quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-ODUSA,Fonds,126.04,126.04,126.04,126.04,0,0
20171108,OD-ODUSA,Fonds,126.86,126.86,126.86,126.86,0,0
20171107,OD-ODUSA,Fonds,127.87,127.87,127.87,127.87,0,0
20171106,OD-ODUSA,Fonds,128.36,128.36,128.36,128.36,0,0
20171103,OD-ODUSA,Fonds,128.58,128.58,128.58,128.58,0,0
20171102,OD-ODUSA,Fonds,127.36,127.36,127.36,127.36,0,0
20171101,OD-ODUSA,Fonds,127.89,127.89,127.89,127.89,0,0
20171031,OD-ODUSA,Fonds,128.21,128.21,128.21,128.21,0,0
20171030,OD-ODUSA,Fonds,127.55,127.55,127.55,127.55,0,0
20171027,OD-ODUSA,Fonds,128.54,128.54,128.54,128.54,0,0
20171026,OD-ODUSA,Fonds,128.40,128.40,128.40,128.40,0,0
20171025,OD-ODUSA,Fonds,125.92,125.92,125.92,125.92,0,0
20171024,OD-ODUSA,Fonds,125.24,125.24,125.24,125.24,0,0
20171023,OD-ODUSA,Fonds,125.23,125.23,125.23,125.23,0,0
20171020,OD-ODUSA,Fonds,124.03,124.03,124.03,124.03,0,0
20171019,OD-ODUSA,Fonds,122.60,122.60,122.60,122.60,0,0
20171018,OD-ODUSA,Fonds,123.14,123.14,123.14,123.14,0,0
20171017,OD-ODUSA,Fonds,122.93,122.93,122.93,122.93,0,0
20171016,OD-ODUSA,Fonds,121.52,121.52,121.52,121.52,0,0
20171013,OD-ODUSA,Fonds,121.74,121.74,121.74,121.74,0,0
20171012,OD-ODUSA,Fonds,121.81,121.81,121.81,121.81,0,0
20171011,OD-ODUSA,Fonds,121.94,121.94,121.94,121.94,0,0
20171010,OD-ODUSA,Fonds,121.98,121.98,121.98,121.98,0,0
20171009,OD-ODUSA,Fonds,122.58,122.58,122.58,122.58,0,0
20171006,OD-ODUSA,Fonds,123.15,123.15,123.15,123.15,0,0
20171005,OD-ODUSA,Fonds,122.53,122.53,122.53,122.53,0,0
20171004,OD-ODUSA,Fonds,121.37,121.37,121.37,121.37,0,0
20171003,OD-ODUSA,Fonds,121.46,121.46,121.46,121.46,0,0
20171002,OD-ODUSA,Fonds,121.45,121.45,121.45,121.45,0,0
20170929,OD-ODUSA,Fonds,120.40,120.40,120.40,120.40,0,0
20170928,OD-ODUSA,Fonds,119.44,119.44,119.44,119.44,0,0
20170927,OD-ODUSA,Fonds,118.77,118.77,118.77,118.77,0,0
20170926,OD-ODUSA,Fonds,118.58,118.58,118.58,118.58,0,0
20170925,OD-ODUSA,Fonds,116.88,116.88,116.88,116.88,0,0
