quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-ODUSD,Fonds,125.74,125.74,125.74,125.74,0,0
20171108,OD-ODUSD,Fonds,126.56,126.56,126.56,126.56,0,0
20171107,OD-ODUSD,Fonds,127.57,127.57,127.57,127.57,0,0
20171106,OD-ODUSD,Fonds,128.06,128.06,128.06,128.06,0,0
20171103,OD-ODUSD,Fonds,128.28,128.28,128.28,128.28,0,0
20171102,OD-ODUSD,Fonds,127.06,127.06,127.06,127.06,0,0
20171101,OD-ODUSD,Fonds,127.59,127.59,127.59,127.59,0,0
20171031,OD-ODUSD,Fonds,127.91,127.91,127.91,127.91,0,0
20171030,OD-ODUSD,Fonds,127.25,127.25,127.25,127.25,0,0
20171027,OD-ODUSD,Fonds,128.25,128.25,128.25,128.25,0,0
20171026,OD-ODUSD,Fonds,128.10,128.10,128.10,128.10,0,0
20171025,OD-ODUSD,Fonds,125.63,125.63,125.63,125.63,0,0
20171024,OD-ODUSD,Fonds,124.96,124.96,124.96,124.96,0,0
20171023,OD-ODUSD,Fonds,124.95,124.95,124.95,124.95,0,0
20171020,OD-ODUSD,Fonds,123.75,123.75,123.75,123.75,0,0
20171019,OD-ODUSD,Fonds,122.33,122.33,122.33,122.33,0,0
20171018,OD-ODUSD,Fonds,122.87,122.87,122.87,122.87,0,0
20171017,OD-ODUSD,Fonds,122.65,122.65,122.65,122.65,0,0
20171016,OD-ODUSD,Fonds,121.25,121.25,121.25,121.25,0,0
20171013,OD-ODUSD,Fonds,121.47,121.47,121.47,121.47,0,0
20171012,OD-ODUSD,Fonds,121.54,121.54,121.54,121.54,0,0
20171011,OD-ODUSD,Fonds,121.67,121.67,121.67,121.67,0,0
20171010,OD-ODUSD,Fonds,121.71,121.71,121.71,121.71,0,0
20171009,OD-ODUSD,Fonds,122.32,122.32,122.32,122.32,0,0
20171006,OD-ODUSD,Fonds,122.88,122.88,122.88,122.88,0,0
20171005,OD-ODUSD,Fonds,122.26,122.26,122.26,122.26,0,0
20171004,OD-ODUSD,Fonds,121.11,121.11,121.11,121.11,0,0
20171003,OD-ODUSD,Fonds,121.20,121.20,121.20,121.20,0,0
20171002,OD-ODUSD,Fonds,121.19,121.19,121.19,121.19,0,0
20170929,OD-ODUSD,Fonds,120.14,120.14,120.14,120.14,0,0
20170928,OD-ODUSD,Fonds,119.19,119.19,119.19,119.19,0,0
20170927,OD-ODUSD,Fonds,118.52,118.52,118.52,118.52,0,0
20170926,OD-ODUSD,Fonds,118.33,118.33,118.33,118.33,0,0
20170925,OD-ODUSD,Fonds,116.63,116.63,116.63,116.63,0,0
20170922,OD-ODUSD,Fonds,116.38,116.38,116.38,116.38,0,0
20170921,OD-ODUSD,Fonds,117.11,117.11,117.11,117.11,0,0
20170920,OD-ODUSD,Fonds,116.64,116.64,116.64,116.64,0,0
20170919,OD-ODUSD,Fonds,116.50,116.50,116.50,116.50,0,0
20170918,OD-ODUSD,Fonds,116.72,116.72,116.72,116.72,0,0
20170915,OD-ODUSD,Fonds,116.60,116.60,116.60,116.60,0,0
20170914,OD-ODUSD,Fonds,118.37,118.37,118.37,118.37,0,0
20170913,OD-ODUSD,Fonds,118.57,118.57,118.57,118.57,0,0
20170912,OD-ODUSD,Fonds,117.84,117.84,117.84,117.84,0,0
20170911,OD-ODUSD,Fonds,117.35,117.35,117.35,117.35,0,0
20170908,OD-ODUSD,Fonds,115.00,115.00,115.00,115.00,0,0
20170907,OD-ODUSD,Fonds,114.19,114.19,114.19,114.19,0,0
20170906,OD-ODUSD,Fonds,114.23,114.23,114.23,114.23,0,0
20170905,OD-ODUSD,Fonds,114.18,114.18,114.18,114.18,0,0
20170901,OD-ODUSD,Fonds,114.71,114.71,114.71,114.71,0,0
20170831,OD-ODUSD,Fonds,114.34,114.34,114.34,114.34,0,0
20170830,OD-ODUSD,Fonds,113.58,113.58,113.58,113.58,0,0
20170829,OD-ODUSD,Fonds,112.39,112.39,112.39,112.39,0,0
20170828,OD-ODUSD,Fonds,113.25,113.25,113.25,113.25,0,0
20170825,OD-ODUSD,Fonds,113.51,113.51,113.51,113.51,0,0
20170824,OD-ODUSD,Fonds,114.30,114.30,114.30,114.30,0,0
20170823,OD-ODUSD,Fonds,114.82,114.82,114.82,114.82,0,0
20170822,OD-ODUSD,Fonds,115.28,115.28,115.28,115.28,0,0
20170821,OD-ODUSD,Fonds,114.12,114.12,114.12,114.12,0,0
20170818,OD-ODUSD,Fonds,114.83,114.83,114.83,114.83,0,0
20170817,OD-ODUSD,Fonds,116.70,116.70,116.70,116.70,0,0
20170816,OD-ODUSD,Fonds,117.20,117.20,117.20,117.20,0,0
20170815,OD-ODUSD,Fonds,117.25,117.25,117.25,117.25,0,0
20170814,OD-ODUSD,Fonds,116.71,116.71,116.71,116.71,0,0
20170811,OD-ODUSD,Fonds,116.32,116.32,116.32,116.32,0,0
20170810,OD-ODUSD,Fonds,116.43,116.43,116.43,116.43,0,0
20170809,OD-ODUSD,Fonds,117.65,117.65,117.65,117.65,0,0
20170808,OD-ODUSD,Fonds,118.30,118.30,118.30,118.30,0,0
20170807,OD-ODUSD,Fonds,118.63,118.63,118.63,118.63,0,0
20170804,OD-ODUSD,Fonds,118.45,118.45,118.45,118.45,0,0
20170803,OD-ODUSD,Fonds,117.03,117.03,117.03,117.03,0,0
20170802,OD-ODUSD,Fonds,117.39,117.39,117.39,117.39,0,0
20170801,OD-ODUSD,Fonds,117.68,117.68,117.68,117.68,0,0
20170731,OD-ODUSD,Fonds,117.64,117.64,117.64,117.64,0,0
20170728,OD-ODUSD,Fonds,117.34,117.34,117.34,117.34,0,0
20170727,OD-ODUSD,Fonds,118.33,118.33,118.33,118.33,0,0
20170726,OD-ODUSD,Fonds,119.05,119.05,119.05,119.05,0,0
20170725,OD-ODUSD,Fonds,119.18,119.18,119.18,119.18,0,0
20170724,OD-ODUSD,Fonds,119.39,119.39,119.39,119.39,0,0
20170721,OD-ODUSD,Fonds,119.24,119.24,119.24,119.24,0,0
20170720,OD-ODUSD,Fonds,119.27,119.27,119.27,119.27,0,0
20170719,OD-ODUSD,Fonds,119.71,119.71,119.71,119.71,0,0
20170718,OD-ODUSD,Fonds,119.62,119.62,119.62,119.62,0,0
20170717,OD-ODUSD,Fonds,121.14,121.14,121.14,121.14,0,0
20170714,OD-ODUSD,Fonds,121.69,121.69,121.69,121.69,0,0
20170713,OD-ODUSD,Fonds,122.21,122.21,122.21,122.21,0,0
20170712,OD-ODUSD,Fonds,122.59,122.59,122.59,122.59,0,0
20170711,OD-ODUSD,Fonds,122.54,122.54,122.54,122.54,0,0
20170710,OD-ODUSD,Fonds,122.99,122.99,122.99,122.99,0,0
20170707,OD-ODUSD,Fonds,122.92,122.92,122.92,122.92,0,0
20170706,OD-ODUSD,Fonds,122.38,122.38,122.38,122.38,0,0
20170705,OD-ODUSD,Fonds,123.31,123.31,123.31,123.31,0,0
20170703,OD-ODUSD,Fonds,123.07,123.07,123.07,123.07,0,0
20170630,OD-ODUSD,Fonds,122.80,122.80,122.80,122.80,0,0
20170629,OD-ODUSD,Fonds,123.08,123.08,123.08,123.08,0,0
20170628,OD-ODUSD,Fonds,124.02,124.02,124.02,124.02,0,0
20170627,OD-ODUSD,Fonds,123.83,123.83,123.83,123.83,0,0
20170626,OD-ODUSD,Fonds,124.58,124.58,124.58,124.58,0,0
20170623,OD-ODUSD,Fonds,123.72,123.72,123.72,123.72,0,0
20170622,OD-ODUSD,Fonds,124.15,124.15,124.15,124.15,0,0
20170621,OD-ODUSD,Fonds,125.21,125.21,125.21,125.21,0,0
20170620,OD-ODUSD,Fonds,126.00,126.00,126.00,126.00,0,0
20170619,OD-ODUSD,Fonds,124.41,124.41,124.41,124.41,0,0
20170616,OD-ODUSD,Fonds,123.21,123.21,123.21,123.21,0,0
20170615,OD-ODUSD,Fonds,123.55,123.55,123.55,123.55,0,0
20170614,OD-ODUSD,Fonds,122.93,122.93,122.93,122.93,0,0
20170613,OD-ODUSD,Fonds,123.37,123.37,123.37,123.37,0,0
20170612,OD-ODUSD,Fonds,123.00,123.00,123.00,123.00,0,0
20170609,OD-ODUSD,Fonds,124.93,124.93,124.93,124.93,0,0
20170608,OD-ODUSD,Fonds,124.12,124.12,124.12,124.12,0,0
20170607,OD-ODUSD,Fonds,124.09,124.09,124.09,124.09,0,0
20170606,OD-ODUSD,Fonds,124.41,124.41,124.41,124.41,0,0
20170602,OD-ODUSD,Fonds,124.32,124.32,124.32,124.32,0,0
20170601,OD-ODUSD,Fonds,123.07,123.07,123.07,123.07,0,0
20170531,OD-ODUSD,Fonds,122.16,122.16,122.16,122.16,0,0
20170530,OD-ODUSD,Fonds,122.34,122.34,122.34,122.34,0,0
20170526,OD-ODUSD,Fonds,121.80,121.80,121.80,121.80,0,0
20170524,OD-ODUSD,Fonds,120.50,120.50,120.50,120.50,0,0
20170523,OD-ODUSD,Fonds,119.69,119.69,119.69,119.69,0,0
20170522,OD-ODUSD,Fonds,119.04,119.04,119.04,119.04,0,0
20170519,OD-ODUSD,Fonds,118.94,118.94,118.94,118.94,0,0
20170518,OD-ODUSD,Fonds,119.31,119.31,119.31,119.31,0,0
20170516,OD-ODUSD,Fonds,120.79,120.79,120.79,120.79,0,0
20170515,OD-ODUSD,Fonds,121.83,121.83,121.83,121.83,0,0
20170512,OD-ODUSD,Fonds,121.78,121.78,121.78,121.78,0,0
20170511,OD-ODUSD,Fonds,121.74,121.74,121.74,121.74,0,0
