quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-OFFSH,Fonds,155.03,155.03,155.03,155.03,0,0
20171108,OD-OFFSH,Fonds,157.40,157.40,157.40,157.40,0,0
20171107,OD-OFFSH,Fonds,158.17,158.17,158.17,158.17,0,0
20171106,OD-OFFSH,Fonds,157.06,157.06,157.06,157.06,0,0
20171103,OD-OFFSH,Fonds,155.65,155.65,155.65,155.65,0,0
20171102,OD-OFFSH,Fonds,155.35,155.35,155.35,155.35,0,0
20171101,OD-OFFSH,Fonds,155.44,155.44,155.44,155.44,0,0
20171031,OD-OFFSH,Fonds,154.85,154.85,154.85,154.85,0,0
20171030,OD-OFFSH,Fonds,153.93,153.93,153.93,153.93,0,0
20171027,OD-OFFSH,Fonds,152.08,152.08,152.08,152.08,0,0
20171026,OD-OFFSH,Fonds,149.91,149.91,149.91,149.91,0,0
20171025,OD-OFFSH,Fonds,148.28,148.28,148.28,148.28,0,0
20171024,OD-OFFSH,Fonds,148.48,148.48,148.48,148.48,0,0
20171023,OD-OFFSH,Fonds,148.40,148.40,148.40,148.40,0,0
20171020,OD-OFFSH,Fonds,148.08,148.08,148.08,148.08,0,0
20171019,OD-OFFSH,Fonds,147.77,147.77,147.77,147.77,0,0
20171018,OD-OFFSH,Fonds,148.71,148.71,148.71,148.71,0,0
20171017,OD-OFFSH,Fonds,148.57,148.57,148.57,148.57,0,0
20171016,OD-OFFSH,Fonds,148.51,148.51,148.51,148.51,0,0
20171013,OD-OFFSH,Fonds,148.30,148.30,148.30,148.30,0,0
20171012,OD-OFFSH,Fonds,148.01,148.01,148.01,148.01,0,0
20171011,OD-OFFSH,Fonds,148.93,148.93,148.93,148.93,0,0
20171010,OD-OFFSH,Fonds,149.33,149.33,149.33,149.33,0,0
20171009,OD-OFFSH,Fonds,149.08,149.08,149.08,149.08,0,0
20171006,OD-OFFSH,Fonds,149.07,149.07,149.07,149.07,0,0
20171005,OD-OFFSH,Fonds,150.08,150.08,150.08,150.08,0,0
20171004,OD-OFFSH,Fonds,148.96,148.96,148.96,148.96,0,0
20171003,OD-OFFSH,Fonds,149.53,149.53,149.53,149.53,0,0
20171002,OD-OFFSH,Fonds,149.19,149.19,149.19,149.19,0,0
20170929,OD-OFFSH,Fonds,149.40,149.40,149.40,149.40,0,0
20170928,OD-OFFSH,Fonds,149.35,149.35,149.35,149.35,0,0
20170927,OD-OFFSH,Fonds,147.87,147.87,147.87,147.87,0,0
20170926,OD-OFFSH,Fonds,147.49,147.49,147.49,147.49,0,0
20170925,OD-OFFSH,Fonds,146.52,146.52,146.52,146.52,0,0
20170922,OD-OFFSH,Fonds,145.17,145.17,145.17,145.17,0,0
20170921,OD-OFFSH,Fonds,145.20,145.20,145.20,145.20,0,0
20170920,OD-OFFSH,Fonds,143.96,143.96,143.96,143.96,0,0
20170919,OD-OFFSH,Fonds,143.49,143.49,143.49,143.49,0,0
20170918,OD-OFFSH,Fonds,143.67,143.67,143.67,143.67,0,0
20170915,OD-OFFSH,Fonds,142.94,142.94,142.94,142.94,0,0
20170914,OD-OFFSH,Fonds,144.24,144.24,144.24,144.24,0,0
20170913,OD-OFFSH,Fonds,142.49,142.49,142.49,142.49,0,0
20170912,OD-OFFSH,Fonds,141.06,141.06,141.06,141.06,0,0
20170911,OD-OFFSH,Fonds,140.64,140.64,140.64,140.64,0,0
20170908,OD-OFFSH,Fonds,138.69,138.69,138.69,138.69,0,0
20170907,OD-OFFSH,Fonds,139.40,139.40,139.40,139.40,0,0
20170906,OD-OFFSH,Fonds,139.67,139.67,139.67,139.67,0,0
20170905,OD-OFFSH,Fonds,138.37,138.37,138.37,138.37,0,0
20170901,OD-OFFSH,Fonds,137.43,137.43,137.43,137.43,0,0
20170831,OD-OFFSH,Fonds,136.41,136.41,136.41,136.41,0,0
20170830,OD-OFFSH,Fonds,135.37,135.37,135.37,135.37,0,0
20170829,OD-OFFSH,Fonds,134.49,134.49,134.49,134.49,0,0
