quote_date,paper,exch,open,high,low,close,volume,value
20171121,OD-SVERIB,Fonds,130.67,130.67,130.67,130.67,0,0
20171120,OD-SVERIB,Fonds,130.42,130.42,130.42,130.42,0,0
20171117,OD-SVERIB,Fonds,130.54,130.54,130.54,130.54,0,0
20171116,OD-SVERIB,Fonds,130.88,130.88,130.88,130.88,0,0
20171115,OD-SVERIB,Fonds,128.87,128.87,128.87,128.87,0,0
20171114,OD-SVERIB,Fonds,129.77,129.77,129.77,129.77,0,0
20171113,OD-SVERIB,Fonds,129.38,129.38,129.38,129.38,0,0
20171110,OD-SVERIB,Fonds,130.26,130.26,130.26,130.26,0,0
20171109,OD-SVERIB,Fonds,131.05,131.05,131.05,131.05,0,0
20171108,OD-SVERIB,Fonds,132.71,132.71,132.71,132.71,0,0
20171107,OD-SVERIB,Fonds,133.88,133.88,133.88,133.88,0,0
20171106,OD-SVERIB,Fonds,134.18,134.18,134.18,134.18,0,0
20171103,OD-SVERIB,Fonds,135.06,135.06,135.06,135.06,0,0
20171102,OD-SVERIB,Fonds,134.05,134.05,134.05,134.05,0,0
20171101,OD-SVERIB,Fonds,133.94,133.94,133.94,133.94,0,0
20171031,OD-SVERIB,Fonds,134.78,134.78,134.78,134.78,0,0
20171030,OD-SVERIB,Fonds,133.88,133.88,133.88,133.88,0,0
20171027,OD-SVERIB,Fonds,133.46,133.46,133.46,133.46,0,0
20171026,OD-SVERIB,Fonds,133.26,133.26,133.26,133.26,0,0
20171025,OD-SVERIB,Fonds,132.13,132.13,132.13,132.13,0,0
20171024,OD-SVERIB,Fonds,131.77,131.77,131.77,131.77,0,0
20171023,OD-SVERIB,Fonds,132.51,132.51,132.51,132.51,0,0
20171020,OD-SVERIB,Fonds,132.51,132.51,132.51,132.51,0,0
20171019,OD-SVERIB,Fonds,131.54,131.54,131.54,131.54,0,0
20171018,OD-SVERIB,Fonds,132.00,132.00,132.00,132.00,0,0
20171017,OD-SVERIB,Fonds,131.85,131.85,131.85,131.85,0,0
20171016,OD-SVERIB,Fonds,132.28,132.28,132.28,132.28,0,0
20171013,OD-SVERIB,Fonds,132.56,132.56,132.56,132.56,0,0
20171012,OD-SVERIB,Fonds,132.10,132.10,132.10,132.10,0,0
20171011,OD-SVERIB,Fonds,133.07,133.07,133.07,133.07,0,0
20171010,OD-SVERIB,Fonds,133.37,133.37,133.37,133.37,0,0
20171009,OD-SVERIB,Fonds,133.42,133.42,133.42,133.42,0,0
20171006,OD-SVERIB,Fonds,133.61,133.61,133.61,133.61,0,0
20171005,OD-SVERIB,Fonds,133.65,133.65,133.65,133.65,0,0
20171004,OD-SVERIB,Fonds,133.16,133.16,133.16,133.16,0,0
20171003,OD-SVERIB,Fonds,133.50,133.50,133.50,133.50,0,0
20171002,OD-SVERIB,Fonds,132.36,132.36,132.36,132.36,0,0
20170929,OD-SVERIB,Fonds,131.13,131.13,131.13,131.13,0,0
20170928,OD-SVERIB,Fonds,130.58,130.58,130.58,130.58,0,0
20170927,OD-SVERIB,Fonds,130.32,130.32,130.32,130.32,0,0
20170926,OD-SVERIB,Fonds,129.19,129.19,129.19,129.19,0,0
20170925,OD-SVERIB,Fonds,129.09,129.09,129.09,129.09,0,0
20170922,OD-SVERIB,Fonds,129.06,129.06,129.06,129.06,0,0
20170921,OD-SVERIB,Fonds,129.43,129.43,129.43,129.43,0,0
20170920,OD-SVERIB,Fonds,128.85,128.85,128.85,128.85,0,0
20170919,OD-SVERIB,Fonds,129.08,129.08,129.08,129.08,0,0
20170918,OD-SVERIB,Fonds,129.49,129.49,129.49,129.49,0,0
20170915,OD-SVERIB,Fonds,128.80,128.80,128.80,128.80,0,0
20170914,OD-SVERIB,Fonds,129.41,129.41,129.41,129.41,0,0
20170913,OD-SVERIB,Fonds,128.17,128.17,128.17,128.17,0,0
20170912,OD-SVERIB,Fonds,127.46,127.46,127.46,127.46,0,0
20170911,OD-SVERIB,Fonds,126.63,126.63,126.63,126.63,0,0
20170908,OD-SVERIB,Fonds,124.99,124.99,124.99,124.99,0,0
20170907,OD-SVERIB,Fonds,125.09,125.09,125.09,125.09,0,0
20170906,OD-SVERIB,Fonds,124.73,124.73,124.73,124.73,0,0
20170905,OD-SVERIB,Fonds,124.98,124.98,124.98,124.98,0,0
20170904,OD-SVERIB,Fonds,124.84,124.84,124.84,124.84,0,0
20170901,OD-SVERIB,Fonds,125.37,125.37,125.37,125.37,0,0
20170831,OD-SVERIB,Fonds,124.59,124.59,124.59,124.59,0,0
20170830,OD-SVERIB,Fonds,123.74,123.74,123.74,123.74,0,0
20170829,OD-SVERIB,Fonds,122.73,122.73,122.73,122.73,0,0
20170828,OD-SVERIB,Fonds,124.19,124.19,124.19,124.19,0,0
20170825,OD-SVERIB,Fonds,124.59,124.59,124.59,124.59,0,0
20170824,OD-SVERIB,Fonds,124.35,124.35,124.35,124.35,0,0
20170823,OD-SVERIB,Fonds,124.79,124.79,124.79,124.79,0,0
20170822,OD-SVERIB,Fonds,125.04,125.04,125.04,125.04,0,0
20170821,OD-SVERIB,Fonds,124.48,124.48,124.48,124.48,0,0
20170818,OD-SVERIB,Fonds,124.79,124.79,124.79,124.79,0,0
20170817,OD-SVERIB,Fonds,126.69,126.69,126.69,126.69,0,0
20170816,OD-SVERIB,Fonds,127.38,127.38,127.38,127.38,0,0
20170815,OD-SVERIB,Fonds,127.38,127.38,127.38,127.38,0,0
20170814,OD-SVERIB,Fonds,127.15,127.15,127.15,127.15,0,0
20170811,OD-SVERIB,Fonds,126.67,126.67,126.67,126.67,0,0
20170810,OD-SVERIB,Fonds,127.62,127.62,127.62,127.62,0,0
20170809,OD-SVERIB,Fonds,128.12,128.12,128.12,128.12,0,0
20170808,OD-SVERIB,Fonds,128.97,128.97,128.97,128.97,0,0
20170807,OD-SVERIB,Fonds,128.94,128.94,128.94,128.94,0,0
20170804,OD-SVERIB,Fonds,128.74,128.74,128.74,128.74,0,0
20170803,OD-SVERIB,Fonds,128.58,128.58,128.58,128.58,0,0
20170802,OD-SVERIB,Fonds,128.16,128.16,128.16,128.16,0,0
20170801,OD-SVERIB,Fonds,127.86,127.86,127.86,127.86,0,0
20170731,OD-SVERIB,Fonds,126.77,126.77,126.77,126.77,0,0
20170728,OD-SVERIB,Fonds,126.71,126.71,126.71,126.71,0,0
20170727,OD-SVERIB,Fonds,126.86,126.86,126.86,126.86,0,0
20170726,OD-SVERIB,Fonds,126.64,126.64,126.64,126.64,0,0
20170725,OD-SVERIB,Fonds,126.59,126.59,126.59,126.59,0,0
20170724,OD-SVERIB,Fonds,126.56,126.56,126.56,126.56,0,0
20170721,OD-SVERIB,Fonds,126.63,126.63,126.63,126.63,0,0
20170720,OD-SVERIB,Fonds,128.37,128.37,128.37,128.37,0,0
20170719,OD-SVERIB,Fonds,129.01,129.01,129.01,129.01,0,0
20170718,OD-SVERIB,Fonds,129.28,129.28,129.28,129.28,0,0
20170717,OD-SVERIB,Fonds,131.30,131.30,131.30,131.30,0,0
20170714,OD-SVERIB,Fonds,131.19,131.19,131.19,131.19,0,0
20170713,OD-SVERIB,Fonds,131.18,131.18,131.18,131.18,0,0
20170712,OD-SVERIB,Fonds,131.31,131.31,131.31,131.31,0,0
20170711,OD-SVERIB,Fonds,130.61,130.61,130.61,130.61,0,0
20170710,OD-SVERIB,Fonds,131.26,131.26,131.26,131.26,0,0
20170707,OD-SVERIB,Fonds,131.66,131.66,131.66,131.66,0,0
20170706,OD-SVERIB,Fonds,130.69,130.69,130.69,130.69,0,0
20170705,OD-SVERIB,Fonds,131.88,131.88,131.88,131.88,0,0
20170704,OD-SVERIB,Fonds,130.49,130.49,130.49,130.49,0,0
20170703,OD-SVERIB,Fonds,132.25,132.25,132.25,132.25,0,0
20170630,OD-SVERIB,Fonds,132.36,132.36,132.36,132.36,0,0
20170629,OD-SVERIB,Fonds,131.86,131.86,131.86,131.86,0,0
20170628,OD-SVERIB,Fonds,133.01,133.01,133.01,133.01,0,0
20170627,OD-SVERIB,Fonds,132.14,132.14,132.14,132.14,0,0
20170626,OD-SVERIB,Fonds,133.76,133.76,133.76,133.76,0,0
20170622,OD-SVERIB,Fonds,133.01,133.01,133.01,133.01,0,0
20170621,OD-SVERIB,Fonds,133.32,133.32,133.32,133.32,0,0
20170620,OD-SVERIB,Fonds,133.76,133.76,133.76,133.76,0,0
20170619,OD-SVERIB,Fonds,133.37,133.37,133.37,133.37,0,0
20170616,OD-SVERIB,Fonds,133.20,133.20,133.20,133.20,0,0
20170615,OD-SVERIB,Fonds,132.12,132.12,132.12,132.12,0,0
20170614,OD-SVERIB,Fonds,133.40,133.40,133.40,133.40,0,0
20170613,OD-SVERIB,Fonds,132.95,132.95,132.95,132.95,0,0
20170612,OD-SVERIB,Fonds,132.18,132.18,132.18,132.18,0,0
20170609,OD-SVERIB,Fonds,134.37,134.37,134.37,134.37,0,0
20170608,OD-SVERIB,Fonds,134.21,134.21,134.21,134.21,0,0
20170607,OD-SVERIB,Fonds,134.34,134.34,134.34,134.34,0,0
20170602,OD-SVERIB,Fonds,134.95,134.95,134.95,134.95,0,0
20170601,OD-SVERIB,Fonds,133.63,133.63,133.63,133.63,0,0
