quote_date,paper,exch,open,high,low,close,volume,value
20171120,OR-INVF,Fonds,292427.76,292427.76,292427.76,292427.76,0,0
20171117,OR-INVF,Fonds,290639.97,290639.97,290639.97,290639.97,0,0
20171116,OR-INVF,Fonds,293013.63,293013.63,293013.63,293013.63,0,0
20171115,OR-INVF,Fonds,291737.08,291737.08,291737.08,291737.08,0,0
20171114,OR-INVF,Fonds,295573.85,295573.85,295573.85,295573.85,0,0
20171113,OR-INVF,Fonds,295896.08,295896.08,295896.08,295896.08,0,0
20171110,OR-INVF,Fonds,298336.79,298336.79,298336.79,298336.79,0,0
20171109,OR-INVF,Fonds,298999.41,298999.41,298999.41,298999.41,0,0
20171108,OR-INVF,Fonds,303173.84,303173.84,303173.84,303173.84,0,0
20171107,OR-INVF,Fonds,302653.87,302653.87,302653.87,302653.87,0,0
20171106,OR-INVF,Fonds,301866.21,301866.21,301866.21,301866.21,0,0
20171103,OR-INVF,Fonds,301772.42,301772.42,301772.42,301772.42,0,0
20171102,OR-INVF,Fonds,299522.85,299522.85,299522.85,299522.85,0,0
20171101,OR-INVF,Fonds,301634.38,301634.38,301634.38,301634.38,0,0
20171031,OR-INVF,Fonds,300831.84,300831.84,300831.84,300831.84,0,0
20171030,OR-INVF,Fonds,301294.47,301294.47,301294.47,301294.47,0,0
20171027,OR-INVF,Fonds,299225.90,299225.90,299225.90,299225.90,0,0
20171026,OR-INVF,Fonds,297076.89,297076.89,297076.89,297076.89,0,0
20171025,OR-INVF,Fonds,298636.08,298636.08,298636.08,298636.08,0,0
20171024,OR-INVF,Fonds,298341.58,298341.58,298341.58,298341.58,0,0
20171023,OR-INVF,Fonds,301261.96,301261.96,301261.96,301261.96,0,0
20171020,OR-INVF,Fonds,302467.28,302467.28,302467.28,302467.28,0,0
20171019,OR-INVF,Fonds,299187.84,299187.84,299187.84,299187.84,0,0
20171018,OR-INVF,Fonds,302697.12,302697.12,302697.12,302697.12,0,0
20171017,OR-INVF,Fonds,304033.03,304033.03,304033.03,304033.03,0,0
20171016,OR-INVF,Fonds,303314.26,303314.26,303314.26,303314.26,0,0
20171013,OR-INVF,Fonds,305226.13,305226.13,305226.13,305226.13,0,0
20171012,OR-INVF,Fonds,303550.78,303550.78,303550.78,303550.78,0,0
20171011,OR-INVF,Fonds,302719.66,302719.66,302719.66,302719.66,0,0
20171010,OR-INVF,Fonds,302113.16,302113.16,302113.16,302113.16,0,0
20171009,OR-INVF,Fonds,301559.83,301559.83,301559.83,301559.83,0,0
