quote_date,paper,exch,open,high,low,close,volume,value
20171109,OR-NACLA,Fonds,171.1203,171.1203,171.1203,171.1203,0,0
20171108,OR-NACLA,Fonds,171.9999,171.9999,171.9999,171.9999,0,0
20171107,OR-NACLA,Fonds,172.1915,172.1915,172.1915,172.1915,0,0
20171106,OR-NACLA,Fonds,173.0293,173.0293,173.0293,173.0293,0,0
20171103,OR-NACLA,Fonds,173.2278,173.2278,173.2278,173.2278,0,0
20171102,OR-NACLA,Fonds,173.0705,173.0705,173.0705,173.0705,0,0
20171030,OR-NACLA,Fonds,173.2352,173.2352,173.2352,173.2352,0,0
20171025,OR-NACLA,Fonds,171.4771,171.4771,171.4771,171.4771,0,0
20171024,OR-NACLA,Fonds,171.1074,171.1074,171.1074,171.1074,0,0
20171023,OR-NACLA,Fonds,171.742,171.742,171.742,171.742,0,0
20171020,OR-NACLA,Fonds,172.5471,172.5471,172.5471,172.5471,0,0
20171019,OR-NACLA,Fonds,171.9702,171.9702,171.9702,171.9702,0,0
20171018,OR-NACLA,Fonds,172.1803,172.1803,172.1803,172.1803,0,0
20171017,OR-NACLA,Fonds,171.3125,171.3125,171.3125,171.3125,0,0
20171016,OR-NACLA,Fonds,171.0663,171.0663,171.0663,171.0663,0,0
20171013,OR-NACLA,Fonds,171.0152,171.0152,171.0152,171.0152,0,0
20171012,OR-NACLA,Fonds,171.2489,171.2489,171.2489,171.2489,0,0
20171010,OR-NACLA,Fonds,172.4281,172.4281,172.4281,172.4281,0,0
20171009,OR-NACLA,Fonds,172.3426,172.3426,172.3426,172.3426,0,0
20171006,OR-NACLA,Fonds,172.4436,172.4436,172.4436,172.4436,0,0
20171005,OR-NACLA,Fonds,172.3821,172.3821,172.3821,172.3821,0,0
20171004,OR-NACLA,Fonds,171.8311,171.8311,171.8311,171.8311,0,0
20171003,OR-NACLA,Fonds,172.1724,172.1724,172.1724,172.1724,0,0
20171002,OR-NACLA,Fonds,171.7874,171.7874,171.7874,171.7874,0,0
20170929,OR-NACLA,Fonds,171.9002,171.9002,171.9002,171.9002,0,0
20170928,OR-NACLA,Fonds,171.3584,171.3584,171.3584,171.3584,0,0
