quote_date,paper,exch,open,high,low,close,volume,value
20171109,PA-DYN6M,Fonds,110.91,110.91,110.91,110.91,0,0
20171108,PA-DYN6M,Fonds,110.98,110.98,110.98,110.98,0,0
20171107,PA-DYN6M,Fonds,111.05,111.05,111.05,111.05,0,0
20171106,PA-DYN6M,Fonds,111.04,111.04,111.04,111.04,0,0
20171103,PA-DYN6M,Fonds,111.02,111.02,111.02,111.02,0,0
20171102,PA-DYN6M,Fonds,111.00,111.00,111.00,111.00,0,0
20171030,PA-DYN6M,Fonds,110.90,110.90,110.90,110.90,0,0
20171027,PA-DYN6M,Fonds,110.86,110.86,110.86,110.86,0,0
20171026,PA-DYN6M,Fonds,110.83,110.83,110.83,110.83,0,0
20171025,PA-DYN6M,Fonds,110.82,110.82,110.82,110.82,0,0
20171024,PA-DYN6M,Fonds,110.82,110.82,110.82,110.82,0,0
20171023,PA-DYN6M,Fonds,110.82,110.82,110.82,110.82,0,0
20171020,PA-DYN6M,Fonds,110.80,110.80,110.80,110.80,0,0
20171019,PA-DYN6M,Fonds,110.78,110.78,110.78,110.78,0,0
20171018,PA-DYN6M,Fonds,110.78,110.78,110.78,110.78,0,0
20171017,PA-DYN6M,Fonds,110.75,110.75,110.75,110.75,0,0
20171016,PA-DYN6M,Fonds,110.74,110.74,110.74,110.74,0,0
20171013,PA-DYN6M,Fonds,110.71,110.71,110.71,110.71,0,0
20171012,PA-DYN6M,Fonds,110.69,110.69,110.69,110.69,0,0
20171011,PA-DYN6M,Fonds,110.67,110.67,110.67,110.67,0,0
20171010,PA-DYN6M,Fonds,110.65,110.65,110.65,110.65,0,0
20171009,PA-DYN6M,Fonds,110.65,110.65,110.65,110.65,0,0
20171006,PA-DYN6M,Fonds,110.63,110.63,110.63,110.63,0,0
20171005,PA-DYN6M,Fonds,110.64,110.64,110.64,110.64,0,0
20171004,PA-DYN6M,Fonds,110.62,110.62,110.62,110.62,0,0
20171003,PA-DYN6M,Fonds,110.64,110.64,110.64,110.64,0,0
20171002,PA-DYN6M,Fonds,110.64,110.64,110.64,110.64,0,0
20170929,PA-DYN6M,Fonds,110.64,110.64,110.64,110.64,0,0
20170928,PA-DYN6M,Fonds,110.64,110.64,110.64,110.64,0,0
20170927,PA-DYN6M,Fonds,110.64,110.64,110.64,110.64,0,0
20170926,PA-DYN6M,Fonds,110.61,110.61,110.61,110.61,0,0
20170925,PA-DYN6M,Fonds,110.62,110.62,110.62,110.62,0,0
20170922,PA-DYN6M,Fonds,110.63,110.63,110.63,110.63,0,0
20170921,PA-DYN6M,Fonds,110.64,110.64,110.64,110.64,0,0
20170920,PA-DYN6M,Fonds,110.66,110.66,110.66,110.66,0,0
20170919,PA-DYN6M,Fonds,110.64,110.64,110.64,110.64,0,0
20170918,PA-DYN6M,Fonds,110.62,110.62,110.62,110.62,0,0
20170915,PA-DYN6M,Fonds,110.58,110.58,110.58,110.58,0,0
20170914,PA-DYN6M,Fonds,110.58,110.58,110.58,110.58,0,0
20170913,PA-DYN6M,Fonds,110.57,110.57,110.57,110.57,0,0
20170912,PA-DYN6M,Fonds,110.57,110.57,110.57,110.57,0,0
20170911,PA-DYN6M,Fonds,110.55,110.55,110.55,110.55,0,0
20170908,PA-DYN6M,Fonds,110.53,110.53,110.53,110.53,0,0
20170907,PA-DYN6M,Fonds,110.53,110.53,110.53,110.53,0,0
20170906,PA-DYN6M,Fonds,110.52,110.52,110.52,110.52,0,0
20170905,PA-DYN6M,Fonds,110.54,110.54,110.54,110.54,0,0
20170904,PA-DYN6M,Fonds,110.54,110.54,110.54,110.54,0,0
20170901,PA-DYN6M,Fonds,110.53,110.53,110.53,110.53,0,0
20170831,PA-DYN6M,Fonds,110.52,110.52,110.52,110.52,0,0
20170830,PA-DYN6M,Fonds,110.52,110.52,110.52,110.52,0,0
20170829,PA-DYN6M,Fonds,110.50,110.50,110.50,110.50,0,0
20170828,PA-DYN6M,Fonds,110.53,110.53,110.53,110.53,0,0
20170825,PA-DYN6M,Fonds,110.53,110.53,110.53,110.53,0,0
20170824,PA-DYN6M,Fonds,110.53,110.53,110.53,110.53,0,0
20170823,PA-DYN6M,Fonds,110.54,110.54,110.54,110.54,0,0
20170822,PA-DYN6M,Fonds,110.57,110.57,110.57,110.57,0,0
20170821,PA-DYN6M,Fonds,110.59,110.59,110.59,110.59,0,0
20170818,PA-DYN6M,Fonds,110.59,110.59,110.59,110.59,0,0
20170817,PA-DYN6M,Fonds,110.62,110.62,110.62,110.62,0,0
20170816,PA-DYN6M,Fonds,110.62,110.62,110.62,110.62,0,0
20170811,PA-DYN6M,Fonds,110.56,110.56,110.56,110.56,0,0
20170810,PA-DYN6M,Fonds,110.62,110.62,110.62,110.62,0,0
20170809,PA-DYN6M,Fonds,110.65,110.65,110.65,110.65,0,0
20170808,PA-DYN6M,Fonds,110.67,110.67,110.67,110.67,0,0
20170807,PA-DYN6M,Fonds,110.71,110.71,110.71,110.71,0,0
20170804,PA-DYN6M,Fonds,110.70,110.70,110.70,110.70,0,0
20170803,PA-DYN6M,Fonds,110.71,110.71,110.71,110.71,0,0
20170802,PA-DYN6M,Fonds,110.70,110.70,110.70,110.70,0,0
20170801,PA-DYN6M,Fonds,110.67,110.67,110.67,110.67,0,0
20170731,PA-DYN6M,Fonds,110.62,110.62,110.62,110.62,0,0
20170728,PA-DYN6M,Fonds,110.60,110.60,110.60,110.60,0,0
20170727,PA-DYN6M,Fonds,110.59,110.59,110.59,110.59,0,0
20170726,PA-DYN6M,Fonds,110.56,110.56,110.56,110.56,0,0
20170725,PA-DYN6M,Fonds,110.54,110.54,110.54,110.54,0,0
20170724,PA-DYN6M,Fonds,110.54,110.54,110.54,110.54,0,0
20170721,PA-DYN6M,Fonds,110.51,110.51,110.51,110.51,0,0
20170720,PA-DYN6M,Fonds,110.48,110.48,110.48,110.48,0,0
20170719,PA-DYN6M,Fonds,110.48,110.48,110.48,110.48,0,0
20170718,PA-DYN6M,Fonds,110.46,110.46,110.46,110.46,0,0
20170717,PA-DYN6M,Fonds,110.43,110.43,110.43,110.43,0,0
20170714,PA-DYN6M,Fonds,110.40,110.40,110.40,110.40,0,0
20170712,PA-DYN6M,Fonds,110.37,110.37,110.37,110.37,0,0
20170711,PA-DYN6M,Fonds,110.31,110.31,110.31,110.31,0,0
