quote_date,paper,exch,open,high,low,close,volume,value
20171121,PA-EBOOP,Fonds,128.08,128.08,128.08,128.08,0,0
20171120,PA-EBOOP,Fonds,128.02,128.02,128.02,128.02,0,0
20171117,PA-EBOOP,Fonds,128.01,128.01,128.01,128.01,0,0
20171116,PA-EBOOP,Fonds,128.00,128.00,128.00,128.00,0,0
20171115,PA-EBOOP,Fonds,127.81,127.81,127.81,127.81,0,0
20171114,PA-EBOOP,Fonds,127.96,127.96,127.96,127.96,0,0
20171113,PA-EBOOP,Fonds,128.13,128.13,128.13,128.13,0,0
20171110,PA-EBOOP,Fonds,128.19,128.19,128.19,128.19,0,0
20171109,PA-EBOOP,Fonds,128.28,128.28,128.28,128.28,0,0
20171108,PA-EBOOP,Fonds,128.45,128.45,128.45,128.45,0,0
20171107,PA-EBOOP,Fonds,128.55,128.55,128.55,128.55,0,0
20171106,PA-EBOOP,Fonds,128.56,128.56,128.56,128.56,0,0
20171103,PA-EBOOP,Fonds,128.54,128.54,128.54,128.54,0,0
20171102,PA-EBOOP,Fonds,128.51,128.51,128.51,128.51,0,0
20171030,PA-EBOOP,Fonds,128.31,128.31,128.31,128.31,0,0
20171027,PA-EBOOP,Fonds,128.24,128.24,128.24,128.24,0,0
20171026,PA-EBOOP,Fonds,128.09,128.09,128.09,128.09,0,0
20171025,PA-EBOOP,Fonds,128.08,128.08,128.08,128.08,0,0
20171024,PA-EBOOP,Fonds,128.10,128.10,128.10,128.10,0,0
20171023,PA-EBOOP,Fonds,128.10,128.10,128.10,128.10,0,0
20171020,PA-EBOOP,Fonds,128.07,128.07,128.07,128.07,0,0
20171019,PA-EBOOP,Fonds,128.05,128.05,128.05,128.05,0,0
20171018,PA-EBOOP,Fonds,128.06,128.06,128.06,128.06,0,0
20171017,PA-EBOOP,Fonds,127.98,127.98,127.98,127.98,0,0
20171016,PA-EBOOP,Fonds,127.95,127.95,127.95,127.95,0,0
20171013,PA-EBOOP,Fonds,127.89,127.89,127.89,127.89,0,0
20171012,PA-EBOOP,Fonds,127.85,127.85,127.85,127.85,0,0
20171011,PA-EBOOP,Fonds,127.80,127.80,127.80,127.80,0,0
20171010,PA-EBOOP,Fonds,127.74,127.74,127.74,127.74,0,0
20171009,PA-EBOOP,Fonds,127.74,127.74,127.74,127.74,0,0
20171006,PA-EBOOP,Fonds,127.72,127.72,127.72,127.72,0,0
20171005,PA-EBOOP,Fonds,127.73,127.73,127.73,127.73,0,0
20171004,PA-EBOOP,Fonds,127.73,127.73,127.73,127.73,0,0
20171003,PA-EBOOP,Fonds,127.74,127.74,127.74,127.74,0,0
20171002,PA-EBOOP,Fonds,127.72,127.72,127.72,127.72,0,0
20170929,PA-EBOOP,Fonds,127.70,127.70,127.70,127.70,0,0
20170928,PA-EBOOP,Fonds,127.69,127.69,127.69,127.69,0,0
20170927,PA-EBOOP,Fonds,127.69,127.69,127.69,127.69,0,0
20170926,PA-EBOOP,Fonds,127.67,127.67,127.67,127.67,0,0
20170925,PA-EBOOP,Fonds,127.66,127.66,127.66,127.66,0,0
20170922,PA-EBOOP,Fonds,127.63,127.63,127.63,127.63,0,0
20170921,PA-EBOOP,Fonds,127.64,127.64,127.64,127.64,0,0
20170920,PA-EBOOP,Fonds,127.67,127.67,127.67,127.67,0,0
20170919,PA-EBOOP,Fonds,127.65,127.65,127.65,127.65,0,0
20170918,PA-EBOOP,Fonds,127.65,127.65,127.65,127.65,0,0
20170915,PA-EBOOP,Fonds,127.63,127.63,127.63,127.63,0,0
20170914,PA-EBOOP,Fonds,127.65,127.65,127.65,127.65,0,0
20170913,PA-EBOOP,Fonds,127.66,127.66,127.66,127.66,0,0
20170912,PA-EBOOP,Fonds,127.68,127.68,127.68,127.68,0,0
20170911,PA-EBOOP,Fonds,127.66,127.66,127.66,127.66,0,0
20170908,PA-EBOOP,Fonds,127.63,127.63,127.63,127.63,0,0
20170907,PA-EBOOP,Fonds,127.63,127.63,127.63,127.63,0,0
20170906,PA-EBOOP,Fonds,127.61,127.61,127.61,127.61,0,0
20170905,PA-EBOOP,Fonds,127.62,127.62,127.62,127.62,0,0
20170904,PA-EBOOP,Fonds,127.60,127.60,127.60,127.60,0,0
