quote_date,paper,exch,open,high,low,close,volume,value
20171121,PA-ECBSD,Fonds,149.67,149.67,149.67,149.67,0,0
20171120,PA-ECBSD,Fonds,149.58,149.58,149.58,149.58,0,0
20171117,PA-ECBSD,Fonds,149.55,149.55,149.55,149.55,0,0
20171116,PA-ECBSD,Fonds,149.45,149.45,149.45,149.45,0,0
20171115,PA-ECBSD,Fonds,149.32,149.32,149.32,149.32,0,0
20171114,PA-ECBSD,Fonds,149.47,149.47,149.47,149.47,0,0
20171113,PA-ECBSD,Fonds,149.49,149.49,149.49,149.49,0,0
20171110,PA-ECBSD,Fonds,149.60,149.60,149.60,149.60,0,0
20171109,PA-ECBSD,Fonds,149.87,149.87,149.87,149.87,0,0
20171108,PA-ECBSD,Fonds,150.35,150.35,150.35,150.35,0,0
20171107,PA-ECBSD,Fonds,150.42,150.42,150.42,150.42,0,0
20171106,PA-ECBSD,Fonds,150.37,150.37,150.37,150.37,0,0
20171103,PA-ECBSD,Fonds,150.19,150.19,150.19,150.19,0,0
20171102,PA-ECBSD,Fonds,150.14,150.14,150.14,150.14,0,0
20171030,PA-ECBSD,Fonds,149.79,149.79,149.79,149.79,0,0
20171027,PA-ECBSD,Fonds,149.50,149.50,149.50,149.50,0,0
20171026,PA-ECBSD,Fonds,149.02,149.02,149.02,149.02,0,0
20171025,PA-ECBSD,Fonds,148.73,148.73,148.73,148.73,0,0
20171024,PA-ECBSD,Fonds,148.76,148.76,148.76,148.76,0,0
20171023,PA-ECBSD,Fonds,148.97,148.97,148.97,148.97,0,0
20171020,PA-ECBSD,Fonds,148.86,148.86,148.86,148.86,0,0
20171019,PA-ECBSD,Fonds,149.12,149.12,149.12,149.12,0,0
20171018,PA-ECBSD,Fonds,149.10,149.10,149.10,149.10,0,0
20171017,PA-ECBSD,Fonds,149.24,149.24,149.24,149.24,0,0
20171016,PA-ECBSD,Fonds,149.16,149.16,149.16,149.16,0,0
20171013,PA-ECBSD,Fonds,148.90,148.90,148.90,148.90,0,0
20171012,PA-ECBSD,Fonds,148.62,148.62,148.62,148.62,0,0
20171011,PA-ECBSD,Fonds,148.45,148.45,148.45,148.45,0,0
20171010,PA-ECBSD,Fonds,148.45,148.45,148.45,148.45,0,0
20171009,PA-ECBSD,Fonds,148.41,148.41,148.41,148.41,0,0
20171006,PA-ECBSD,Fonds,148.24,148.24,148.24,148.24,0,0
20171005,PA-ECBSD,Fonds,148.28,148.28,148.28,148.28,0,0
20171004,PA-ECBSD,Fonds,148.29,148.29,148.29,148.29,0,0
20171003,PA-ECBSD,Fonds,148.31,148.31,148.31,148.31,0,0
20171002,PA-ECBSD,Fonds,148.34,148.34,148.34,148.34,0,0
20170929,PA-ECBSD,Fonds,148.22,148.22,148.22,148.22,0,0
20170928,PA-ECBSD,Fonds,148.11,148.11,148.11,148.11,0,0
20170927,PA-ECBSD,Fonds,148.23,148.23,148.23,148.23,0,0
20170926,PA-ECBSD,Fonds,148.45,148.45,148.45,148.45,0,0
20170925,PA-ECBSD,Fonds,148.55,148.55,148.55,148.55,0,0
20170922,PA-ECBSD,Fonds,148.23,148.23,148.23,148.23,0,0
20170921,PA-ECBSD,Fonds,148.26,148.26,148.26,148.26,0,0
20170920,PA-ECBSD,Fonds,148.37,148.37,148.37,148.37,0,0
20170919,PA-ECBSD,Fonds,148.26,148.26,148.26,148.26,0,0
20170918,PA-ECBSD,Fonds,148.17,148.17,148.17,148.17,0,0
20170915,PA-ECBSD,Fonds,148.16,148.16,148.16,148.16,0,0
20170914,PA-ECBSD,Fonds,148.30,148.30,148.30,148.30,0,0
20170913,PA-ECBSD,Fonds,148.36,148.36,148.36,148.36,0,0
20170912,PA-ECBSD,Fonds,148.41,148.41,148.41,148.41,0,0
20170911,PA-ECBSD,Fonds,148.68,148.68,148.68,148.68,0,0
20170908,PA-ECBSD,Fonds,148.67,148.67,148.67,148.67,0,0
20170907,PA-ECBSD,Fonds,148.79,148.79,148.79,148.79,0,0
20170906,PA-ECBSD,Fonds,148.55,148.55,148.55,148.55,0,0
20170905,PA-ECBSD,Fonds,148.69,148.69,148.69,148.69,0,0
20170904,PA-ECBSD,Fonds,148.52,148.52,148.52,148.52,0,0
20170901,PA-ECBSD,Fonds,148.48,148.48,148.48,148.48,0,0
20170831,PA-ECBSD,Fonds,148.58,148.58,148.58,148.58,0,0
20170830,PA-ECBSD,Fonds,148.63,148.63,148.63,148.63,0,0
20170829,PA-ECBSD,Fonds,148.76,148.76,148.76,148.76,0,0
20170828,PA-ECBSD,Fonds,148.72,148.72,148.72,148.72,0,0
20170825,PA-ECBSD,Fonds,148.60,148.60,148.60,148.60,0,0
20170824,PA-ECBSD,Fonds,148.60,148.60,148.60,148.60,0,0
20170823,PA-ECBSD,Fonds,148.62,148.62,148.62,148.62,0,0
20170822,PA-ECBSD,Fonds,148.57,148.57,148.57,148.57,0,0
20170821,PA-ECBSD,Fonds,148.60,148.60,148.60,148.60,0,0
20170818,PA-ECBSD,Fonds,148.57,148.57,148.57,148.57,0,0
20170817,PA-ECBSD,Fonds,148.55,148.55,148.55,148.55,0,0
20170816,PA-ECBSD,Fonds,148.52,148.52,148.52,148.52,0,0
20170811,PA-ECBSD,Fonds,148.66,148.66,148.66,148.66,0,0
