quote_date,paper,exch,open,high,low,close,volume,value
20171121,PA-EUSUD,Fonds,117.40,117.40,117.40,117.40,0,0
20171120,PA-EUSUD,Fonds,116.98,116.98,116.98,116.98,0,0
20171117,PA-EUSUD,Fonds,116.28,116.28,116.28,116.28,0,0
20171116,PA-EUSUD,Fonds,116.91,116.91,116.91,116.91,0,0
20171115,PA-EUSUD,Fonds,116.11,116.11,116.11,116.11,0,0
20171114,PA-EUSUD,Fonds,116.71,116.71,116.71,116.71,0,0
20171113,PA-EUSUD,Fonds,117.25,117.25,117.25,117.25,0,0
20171110,PA-EUSUD,Fonds,117.79,117.79,117.79,117.79,0,0
20171109,PA-EUSUD,Fonds,118.21,118.21,118.21,118.21,0,0
20171108,PA-EUSUD,Fonds,119.16,119.16,119.16,119.16,0,0
20171107,PA-EUSUD,Fonds,119.36,119.36,119.36,119.36,0,0
20171106,PA-EUSUD,Fonds,120.01,120.01,120.01,120.01,0,0
20171103,PA-EUSUD,Fonds,120.20,120.20,120.20,120.20,0,0
20171102,PA-EUSUD,Fonds,120.09,120.09,120.09,120.09,0,0
20171030,PA-EUSUD,Fonds,119.62,119.62,119.62,119.62,0,0
20171027,PA-EUSUD,Fonds,119.25,119.25,119.25,119.25,0,0
20171026,PA-EUSUD,Fonds,118.73,118.73,118.73,118.73,0,0
20171025,PA-EUSUD,Fonds,117.52,117.52,117.52,117.52,0,0
20171024,PA-EUSUD,Fonds,118.14,118.14,118.14,118.14,0,0
20171023,PA-EUSUD,Fonds,118.53,118.53,118.53,118.53,0,0
20171020,PA-EUSUD,Fonds,118.41,118.41,118.41,118.41,0,0
20171019,PA-EUSUD,Fonds,118.29,118.29,118.29,118.29,0,0
20171018,PA-EUSUD,Fonds,118.98,118.98,118.98,118.98,0,0
20171017,PA-EUSUD,Fonds,118.68,118.68,118.68,118.68,0,0
20171016,PA-EUSUD,Fonds,118.84,118.84,118.84,118.84,0,0
20171013,PA-EUSUD,Fonds,118.61,118.61,118.61,118.61,0,0
20171012,PA-EUSUD,Fonds,118.58,118.58,118.58,118.58,0,0
20171011,PA-EUSUD,Fonds,118.72,118.72,118.72,118.72,0,0
20171010,PA-EUSUD,Fonds,118.61,118.61,118.61,118.61,0,0
20171009,PA-EUSUD,Fonds,118.81,118.81,118.81,118.81,0,0
20171006,PA-EUSUD,Fonds,118.57,118.57,118.57,118.57,0,0
20171005,PA-EUSUD,Fonds,119.03,119.03,119.03,119.03,0,0
20171004,PA-EUSUD,Fonds,118.80,118.80,118.80,118.80,0,0
20171003,PA-EUSUD,Fonds,119.25,119.25,119.25,119.25,0,0
20171002,PA-EUSUD,Fonds,119.36,119.36,119.36,119.36,0,0
20170929,PA-EUSUD,Fonds,118.69,118.69,118.69,118.69,0,0
20170928,PA-EUSUD,Fonds,118.04,118.04,118.04,118.04,0,0
20170927,PA-EUSUD,Fonds,117.71,117.71,117.71,117.71,0,0
20170926,PA-EUSUD,Fonds,117.21,117.21,117.21,117.21,0,0
20170925,PA-EUSUD,Fonds,117.38,117.38,117.38,117.38,0,0
20170922,PA-EUSUD,Fonds,117.27,117.27,117.27,117.27,0,0
20170921,PA-EUSUD,Fonds,117.17,117.17,117.17,117.17,0,0
20170920,PA-EUSUD,Fonds,116.95,116.95,116.95,116.95,0,0
20170919,PA-EUSUD,Fonds,117.09,117.09,117.09,117.09,0,0
20170918,PA-EUSUD,Fonds,116.97,116.97,116.97,116.97,0,0
20170915,PA-EUSUD,Fonds,116.61,116.61,116.61,116.61,0,0
20170914,PA-EUSUD,Fonds,116.95,116.95,116.95,116.95,0,0
20170913,PA-EUSUD,Fonds,116.75,116.75,116.75,116.75,0,0
20170912,PA-EUSUD,Fonds,116.51,116.51,116.51,116.51,0,0
20170911,PA-EUSUD,Fonds,115.91,115.91,115.91,115.91,0,0
20170908,PA-EUSUD,Fonds,114.57,114.57,114.57,114.57,0,0
20170907,PA-EUSUD,Fonds,114.44,114.44,114.44,114.44,0,0
20170906,PA-EUSUD,Fonds,113.95,113.95,113.95,113.95,0,0
20170905,PA-EUSUD,Fonds,113.88,113.88,113.88,113.88,0,0
20170904,PA-EUSUD,Fonds,114.02,114.02,114.02,114.02,0,0
20170901,PA-EUSUD,Fonds,114.63,114.63,114.63,114.63,0,0
20170831,PA-EUSUD,Fonds,113.88,113.88,113.88,113.88,0,0
20170830,PA-EUSUD,Fonds,113.21,113.21,113.21,113.21,0,0
20170829,PA-EUSUD,Fonds,112.54,112.54,112.54,112.54,0,0
20170828,PA-EUSUD,Fonds,113.71,113.71,113.71,113.71,0,0
20170825,PA-EUSUD,Fonds,114.19,114.19,114.19,114.19,0,0
20170824,PA-EUSUD,Fonds,114.51,114.51,114.51,114.51,0,0
20170823,PA-EUSUD,Fonds,114.43,114.43,114.43,114.43,0,0
20170822,PA-EUSUD,Fonds,115.15,115.15,115.15,115.15,0,0
20170821,PA-EUSUD,Fonds,114.17,114.17,114.17,114.17,0,0
20170818,PA-EUSUD,Fonds,114.72,114.72,114.72,114.72,0,0
20170817,PA-EUSUD,Fonds,115.46,115.46,115.46,115.46,0,0
20170816,PA-EUSUD,Fonds,116.03,116.03,116.03,116.03,0,0
20170811,PA-EUSUD,Fonds,114.34,114.34,114.34,114.34,0,0
20170810,PA-EUSUD,Fonds,115.43,115.43,115.43,115.43,0,0
20170809,PA-EUSUD,Fonds,116.44,116.44,116.44,116.44,0,0
20170808,PA-EUSUD,Fonds,117.33,117.33,117.33,117.33,0,0
20170807,PA-EUSUD,Fonds,117.27,117.27,117.27,117.27,0,0
20170804,PA-EUSUD,Fonds,117.32,117.32,117.32,117.32,0,0
20170803,PA-EUSUD,Fonds,116.24,116.24,116.24,116.24,0,0
20170802,PA-EUSUD,Fonds,116.18,116.18,116.18,116.18,0,0
20170801,PA-EUSUD,Fonds,116.59,116.59,116.59,116.59,0,0
20170731,PA-EUSUD,Fonds,115.95,115.95,115.95,115.95,0,0
20170728,PA-EUSUD,Fonds,115.91,115.91,115.91,115.91,0,0
20170727,PA-EUSUD,Fonds,116.69,116.69,116.69,116.69,0,0
20170726,PA-EUSUD,Fonds,117.03,117.03,117.03,117.03,0,0
20170725,PA-EUSUD,Fonds,116.48,116.48,116.48,116.48,0,0
20170724,PA-EUSUD,Fonds,116.11,116.11,116.11,116.11,0,0
20170721,PA-EUSUD,Fonds,116.26,116.26,116.26,116.26,0,0
20170720,PA-EUSUD,Fonds,117.48,117.48,117.48,117.48,0,0
20170719,PA-EUSUD,Fonds,117.46,117.46,117.46,117.46,0,0
20170718,PA-EUSUD,Fonds,116.54,116.54,116.54,116.54,0,0
20170717,PA-EUSUD,Fonds,117.82,117.82,117.82,117.82,0,0
20170714,PA-EUSUD,Fonds,117.90,117.90,117.90,117.90,0,0
20170712,PA-EUSUD,Fonds,117.40,117.40,117.40,117.40,0,0
20170711,PA-EUSUD,Fonds,115.73,115.73,115.73,115.73,0,0
20170710,PA-EUSUD,Fonds,116.57,116.57,116.57,116.57,0,0
20170707,PA-EUSUD,Fonds,116.30,116.30,116.30,116.30,0,0
20170706,PA-EUSUD,Fonds,116.47,116.47,116.47,116.47,0,0
20170705,PA-EUSUD,Fonds,117.08,117.08,117.08,117.08,0,0
20170704,PA-EUSUD,Fonds,116.96,116.96,116.96,116.96,0,0
20170703,PA-EUSUD,Fonds,117.37,117.37,117.37,117.37,0,0
20170630,PA-EUSUD,Fonds,116.08,116.08,116.08,116.08,0,0
20170629,PA-EUSUD,Fonds,116.52,116.52,116.52,116.52,0,0
20170628,PA-EUSUD,Fonds,118.34,118.34,118.34,118.34,0,0
20170627,PA-EUSUD,Fonds,118.39,118.39,118.39,118.39,0,0
20170626,PA-EUSUD,Fonds,119.31,119.31,119.31,119.31,0,0
20170621,PA-EUSUD,Fonds,118.97,118.97,118.97,118.97,0,0
20170620,PA-EUSUD,Fonds,119.19,119.19,119.19,119.19,0,0
20170619,PA-EUSUD,Fonds,119.97,119.97,119.97,119.97,0,0
20170616,PA-EUSUD,Fonds,118.96,118.96,118.96,118.96,0,0
20170615,PA-EUSUD,Fonds,118.48,118.48,118.48,118.48,0,0
20170614,PA-EUSUD,Fonds,119.08,119.08,119.08,119.08,0,0
20170613,PA-EUSUD,Fonds,119.52,119.52,119.52,119.52,0,0
20170612,PA-EUSUD,Fonds,119.15,119.15,119.15,119.15,0,0
20170609,PA-EUSUD,Fonds,120.11,120.11,120.11,120.11,0,0
20170608,PA-EUSUD,Fonds,119.68,119.68,119.68,119.68,0,0
20170607,PA-EUSUD,Fonds,119.64,119.64,119.64,119.64,0,0
20170606,PA-EUSUD,Fonds,119.68,119.68,119.68,119.68,0,0
20170602,PA-EUSUD,Fonds,120.86,120.86,120.86,120.86,0,0
20170601,PA-EUSUD,Fonds,120.39,120.39,120.39,120.39,0,0
20170531,PA-EUSUD,Fonds,119.94,119.94,119.94,119.94,0,0
20170530,PA-EUSUD,Fonds,120.22,120.22,120.22,120.22,0,0
20170529,PA-EUSUD,Fonds,120.37,120.37,120.37,120.37,0,0
20170524,PA-EUSUD,Fonds,120.89,120.89,120.89,120.89,0,0
20170523,PA-EUSUD,Fonds,120.74,120.74,120.74,120.74,0,0
20170522,PA-EUSUD,Fonds,120.54,120.54,120.54,120.54,0,0
20170519,PA-EUSUD,Fonds,120.68,120.68,120.68,120.68,0,0
20170518,PA-EUSUD,Fonds,119.97,119.97,119.97,119.97,0,0
20170516,PA-EUSUD,Fonds,121.82,121.82,121.82,121.82,0,0
20170515,PA-EUSUD,Fonds,121.61,121.61,121.61,121.61,0,0
20170512,PA-EUSUD,Fonds,121.58,121.58,121.58,121.58,0,0
20170511,PA-EUSUD,Fonds,120.85,120.85,120.85,120.85,0,0
20170510,PA-EUSUD,Fonds,121.45,121.45,121.45,121.45,0,0
20170509,PA-EUSUD,Fonds,121.19,121.19,121.19,121.19,0,0
20170508,PA-EUSUD,Fonds,120.86,120.86,120.86,120.86,0,0
20170505,PA-EUSUD,Fonds,121.31,121.31,121.31,121.31,0,0
20170504,PA-EUSUD,Fonds,120.29,120.29,120.29,120.29,0,0
20170503,PA-EUSUD,Fonds,119.23,119.23,119.23,119.23,0,0
20170502,PA-EUSUD,Fonds,118.99,118.99,118.99,118.99,0,0
20170428,PA-EUSUD,Fonds,118.26,118.26,118.26,118.26,0,0
20170427,PA-EUSUD,Fonds,118.53,118.53,118.53,118.53,0,0
20170426,PA-EUSUD,Fonds,118.72,118.72,118.72,118.72,0,0
