quote_date,paper,exch,open,high,low,close,volume,value
20171121,PA-EUVAL,Fonds,174.94,174.94,174.94,174.94,0,0
20171120,PA-EUVAL,Fonds,174.29,174.29,174.29,174.29,0,0
20171117,PA-EUVAL,Fonds,173.63,173.63,173.63,173.63,0,0
20171116,PA-EUVAL,Fonds,174.54,174.54,174.54,174.54,0,0
20171115,PA-EUVAL,Fonds,173.41,173.41,173.41,173.41,0,0
20171114,PA-EUVAL,Fonds,174.38,174.38,174.38,174.38,0,0
20171113,PA-EUVAL,Fonds,175.96,175.96,175.96,175.96,0,0
20171110,PA-EUVAL,Fonds,177.27,177.27,177.27,177.27,0,0
20171109,PA-EUVAL,Fonds,177.53,177.53,177.53,177.53,0,0
20171108,PA-EUVAL,Fonds,179.46,179.46,179.46,179.46,0,0
20171107,PA-EUVAL,Fonds,179.86,179.86,179.86,179.86,0,0
20171106,PA-EUVAL,Fonds,180.14,180.14,180.14,180.14,0,0
20171103,PA-EUVAL,Fonds,180.16,180.16,180.16,180.16,0,0
20171102,PA-EUVAL,Fonds,180.26,180.26,180.26,180.26,0,0
20171030,PA-EUVAL,Fonds,179.36,179.36,179.36,179.36,0,0
20171027,PA-EUVAL,Fonds,179.22,179.22,179.22,179.22,0,0
20171026,PA-EUVAL,Fonds,178.63,178.63,178.63,178.63,0,0
20171025,PA-EUVAL,Fonds,177.06,177.06,177.06,177.06,0,0
20171024,PA-EUVAL,Fonds,177.83,177.83,177.83,177.83,0,0
20171023,PA-EUVAL,Fonds,177.75,177.75,177.75,177.75,0,0
20171020,PA-EUVAL,Fonds,177.55,177.55,177.55,177.55,0,0
20171019,PA-EUVAL,Fonds,176.34,176.34,176.34,176.34,0,0
20171018,PA-EUVAL,Fonds,177.15,177.15,177.15,177.15,0,0
20171017,PA-EUVAL,Fonds,176.55,176.55,176.55,176.55,0,0
20171016,PA-EUVAL,Fonds,177.17,177.17,177.17,177.17,0,0
20171013,PA-EUVAL,Fonds,176.83,176.83,176.83,176.83,0,0
20171012,PA-EUVAL,Fonds,176.13,176.13,176.13,176.13,0,0
20171011,PA-EUVAL,Fonds,176.29,176.29,176.29,176.29,0,0
20171010,PA-EUVAL,Fonds,176.18,176.18,176.18,176.18,0,0
20171009,PA-EUVAL,Fonds,176.56,176.56,176.56,176.56,0,0
20171006,PA-EUVAL,Fonds,176.51,176.51,176.51,176.51,0,0
20171005,PA-EUVAL,Fonds,177.40,177.40,177.40,177.40,0,0
20171004,PA-EUVAL,Fonds,176.99,176.99,176.99,176.99,0,0
20171003,PA-EUVAL,Fonds,177.38,177.38,177.38,177.38,0,0
20171002,PA-EUVAL,Fonds,177.07,177.07,177.07,177.07,0,0
20170929,PA-EUVAL,Fonds,176.37,176.37,176.37,176.37,0,0
