quote_date,paper,exch,open,high,low,close,volume,value
20171109,PA-GBLCB,Fonds,164.95,164.95,164.95,164.95,0,0
20171108,PA-GBLCB,Fonds,165.33,165.33,165.33,165.33,0,0
20171107,PA-GBLCB,Fonds,165.46,165.46,165.46,165.46,0,0
20171106,PA-GBLCB,Fonds,165.42,165.42,165.42,165.42,0,0
20171103,PA-GBLCB,Fonds,165.21,165.21,165.21,165.21,0,0
20171102,PA-GBLCB,Fonds,165.17,165.17,165.17,165.17,0,0
20171030,PA-GBLCB,Fonds,164.96,164.96,164.96,164.96,0,0
20171027,PA-GBLCB,Fonds,164.48,164.48,164.48,164.48,0,0
20171026,PA-GBLCB,Fonds,164.06,164.06,164.06,164.06,0,0
20171025,PA-GBLCB,Fonds,163.96,163.96,163.96,163.96,0,0
20171024,PA-GBLCB,Fonds,164.16,164.16,164.16,164.16,0,0
20171023,PA-GBLCB,Fonds,164.34,164.34,164.34,164.34,0,0
20171020,PA-GBLCB,Fonds,164.16,164.16,164.16,164.16,0,0
20171019,PA-GBLCB,Fonds,164.55,164.55,164.55,164.55,0,0
20171018,PA-GBLCB,Fonds,164.39,164.39,164.39,164.39,0,0
20171017,PA-GBLCB,Fonds,164.64,164.64,164.64,164.64,0,0
20171016,PA-GBLCB,Fonds,164.52,164.52,164.52,164.52,0,0
20171013,PA-GBLCB,Fonds,164.43,164.43,164.43,164.43,0,0
20171012,PA-GBLCB,Fonds,164.05,164.05,164.05,164.05,0,0
20171011,PA-GBLCB,Fonds,163.88,163.88,163.88,163.88,0,0
20171010,PA-GBLCB,Fonds,163.87,163.87,163.87,163.87,0,0
20171009,PA-GBLCB,Fonds,163.75,163.75,163.75,163.75,0,0
20171006,PA-GBLCB,Fonds,163.60,163.60,163.60,163.60,0,0
20171005,PA-GBLCB,Fonds,163.67,163.67,163.67,163.67,0,0
20171004,PA-GBLCB,Fonds,163.73,163.73,163.73,163.73,0,0
20171003,PA-GBLCB,Fonds,163.72,163.72,163.72,163.72,0,0
20171002,PA-GBLCB,Fonds,163.65,163.65,163.65,163.65,0,0
20170929,PA-GBLCB,Fonds,163.53,163.53,163.53,163.53,0,0
20170928,PA-GBLCB,Fonds,163.40,163.40,163.40,163.40,0,0
20170927,PA-GBLCB,Fonds,163.36,163.36,163.36,163.36,0,0
20170926,PA-GBLCB,Fonds,163.82,163.82,163.82,163.82,0,0
20170925,PA-GBLCB,Fonds,163.89,163.89,163.89,163.89,0,0
20170922,PA-GBLCB,Fonds,163.49,163.49,163.49,163.49,0,0
20170921,PA-GBLCB,Fonds,163.44,163.44,163.44,163.44,0,0
20170920,PA-GBLCB,Fonds,163.45,163.45,163.45,163.45,0,0
20170919,PA-GBLCB,Fonds,163.45,163.45,163.45,163.45,0,0
20170918,PA-GBLCB,Fonds,163.38,163.38,163.38,163.38,0,0
20170915,PA-GBLCB,Fonds,163.44,163.44,163.44,163.44,0,0
20170914,PA-GBLCB,Fonds,163.44,163.44,163.44,163.44,0,0
20170913,PA-GBLCB,Fonds,163.38,163.38,163.38,163.38,0,0
20170912,PA-GBLCB,Fonds,163.44,163.44,163.44,163.44,0,0
