quote_date,paper,exch,open,high,low,close,volume,value
20171109,PA-JASMC,Fonds,13040.00,13040.00,13040.00,13040.00,0,0
20171108,PA-JASMC,Fonds,13211.00,13211.00,13211.00,13211.00,0,0
20171107,PA-JASMC,Fonds,13132.00,13132.00,13132.00,13132.00,0,0
20171106,PA-JASMC,Fonds,13101.00,13101.00,13101.00,13101.00,0,0
20171102,PA-JASMC,Fonds,13070.00,13070.00,13070.00,13070.00,0,0
20171030,PA-JASMC,Fonds,12879.00,12879.00,12879.00,12879.00,0,0
20171027,PA-JASMC,Fonds,12791.00,12791.00,12791.00,12791.00,0,0
20171026,PA-JASMC,Fonds,12615.00,12615.00,12615.00,12615.00,0,0
20171025,PA-JASMC,Fonds,12513.00,12513.00,12513.00,12513.00,0,0
20171024,PA-JASMC,Fonds,12574.00,12574.00,12574.00,12574.00,0,0
20171023,PA-JASMC,Fonds,12486.00,12486.00,12486.00,12486.00,0,0
20171020,PA-JASMC,Fonds,12371.00,12371.00,12371.00,12371.00,0,0
20171019,PA-JASMC,Fonds,12260.00,12260.00,12260.00,12260.00,0,0
20171018,PA-JASMC,Fonds,12365.00,12365.00,12365.00,12365.00,0,0
20171017,PA-JASMC,Fonds,12437.00,12437.00,12437.00,12437.00,0,0
20171016,PA-JASMC,Fonds,12423.00,12423.00,12423.00,12423.00,0,0
20171013,PA-JASMC,Fonds,12464.00,12464.00,12464.00,12464.00,0,0
20171012,PA-JASMC,Fonds,12421.00,12421.00,12421.00,12421.00,0,0
20171011,PA-JASMC,Fonds,12373.00,12373.00,12373.00,12373.00,0,0
20171010,PA-JASMC,Fonds,12428.00,12428.00,12428.00,12428.00,0,0
20171006,PA-JASMC,Fonds,12352.00,12352.00,12352.00,12352.00,0,0
20171005,PA-JASMC,Fonds,12291.00,12291.00,12291.00,12291.00,0,0
20171004,PA-JASMC,Fonds,12389.00,12389.00,12389.00,12389.00,0,0
20171003,PA-JASMC,Fonds,12437.00,12437.00,12437.00,12437.00,0,0
20171002,PA-JASMC,Fonds,12417.00,12417.00,12417.00,12417.00,0,0
20170929,PA-JASMC,Fonds,12397.00,12397.00,12397.00,12397.00,0,0
20170928,PA-JASMC,Fonds,12333.00,12333.00,12333.00,12333.00,0,0
20170927,PA-JASMC,Fonds,12216.00,12216.00,12216.00,12216.00,0,0
20170926,PA-JASMC,Fonds,12129.00,12129.00,12129.00,12129.00,0,0
20170925,PA-JASMC,Fonds,12112.00,12112.00,12112.00,12112.00,0,0
20170922,PA-JASMC,Fonds,12006.00,12006.00,12006.00,12006.00,0,0
20170921,PA-JASMC,Fonds,12099.00,12099.00,12099.00,12099.00,0,0
20170920,PA-JASMC,Fonds,12144.00,12144.00,12144.00,12144.00,0,0
20170919,PA-JASMC,Fonds,12160.00,12160.00,12160.00,12160.00,0,0
20170915,PA-JASMC,Fonds,12049.00,12049.00,12049.00,12049.00,0,0
20170914,PA-JASMC,Fonds,11937.00,11937.00,11937.00,11937.00,0,0
20170913,PA-JASMC,Fonds,11982.00,11982.00,11982.00,11982.00,0,0
20170912,PA-JASMC,Fonds,11937.00,11937.00,11937.00,11937.00,0,0
20170911,PA-JASMC,Fonds,11842.00,11842.00,11842.00,11842.00,0,0
20170908,PA-JASMC,Fonds,11639.00,11639.00,11639.00,11639.00,0,0
20170907,PA-JASMC,Fonds,11678.00,11678.00,11678.00,11678.00,0,0
20170906,PA-JASMC,Fonds,11608.00,11608.00,11608.00,11608.00,0,0
20170905,PA-JASMC,Fonds,11491.00,11491.00,11491.00,11491.00,0,0
20170904,PA-JASMC,Fonds,11773.00,11773.00,11773.00,11773.00,0,0
20170901,PA-JASMC,Fonds,11937.00,11937.00,11937.00,11937.00,0,0
20170831,PA-JASMC,Fonds,11872.00,11872.00,11872.00,11872.00,0,0
20170830,PA-JASMC,Fonds,11796.00,11796.00,11796.00,11796.00,0,0
20170829,PA-JASMC,Fonds,11745.00,11745.00,11745.00,11745.00,0,0
20170828,PA-JASMC,Fonds,11731.00,11731.00,11731.00,11731.00,0,0
20170825,PA-JASMC,Fonds,11711.00,11711.00,11711.00,11711.00,0,0
20170824,PA-JASMC,Fonds,11634.00,11634.00,11634.00,11634.00,0,0
20170823,PA-JASMC,Fonds,11617.00,11617.00,11617.00,11617.00,0,0
20170822,PA-JASMC,Fonds,11598.00,11598.00,11598.00,11598.00,0,0
20170821,PA-JASMC,Fonds,11485.00,11485.00,11485.00,11485.00,0,0
20170818,PA-JASMC,Fonds,11445.00,11445.00,11445.00,11445.00,0,0
20170817,PA-JASMC,Fonds,11648.00,11648.00,11648.00,11648.00,0,0
20170816,PA-JASMC,Fonds,11653.00,11653.00,11653.00,11653.00,0,0
20170810,PA-JASMC,Fonds,11542.00,11542.00,11542.00,11542.00,0,0
20170809,PA-JASMC,Fonds,11589.00,11589.00,11589.00,11589.00,0,0
20170808,PA-JASMC,Fonds,11695.00,11695.00,11695.00,11695.00,0,0
20170807,PA-JASMC,Fonds,11653.00,11653.00,11653.00,11653.00,0,0
20170804,PA-JASMC,Fonds,11636.00,11636.00,11636.00,11636.00,0,0
20170803,PA-JASMC,Fonds,11571.00,11571.00,11571.00,11571.00,0,0
20170802,PA-JASMC,Fonds,11579.00,11579.00,11579.00,11579.00,0,0
20170801,PA-JASMC,Fonds,11475.00,11475.00,11475.00,11475.00,0,0
20170731,PA-JASMC,Fonds,11584.00,11584.00,11584.00,11584.00,0,0
20170728,PA-JASMC,Fonds,11612.00,11612.00,11612.00,11612.00,0,0
20170727,PA-JASMC,Fonds,11699.00,11699.00,11699.00,11699.00,0,0
20170726,PA-JASMC,Fonds,11692.00,11692.00,11692.00,11692.00,0,0
20170725,PA-JASMC,Fonds,11715.00,11715.00,11715.00,11715.00,0,0
20170724,PA-JASMC,Fonds,11714.00,11714.00,11714.00,11714.00,0,0
20170721,PA-JASMC,Fonds,11641.00,11641.00,11641.00,11641.00,0,0
20170720,PA-JASMC,Fonds,11618.00,11618.00,11618.00,11618.00,0,0
20170719,PA-JASMC,Fonds,11530.00,11530.00,11530.00,11530.00,0,0
20170718,PA-JASMC,Fonds,11459.00,11459.00,11459.00,11459.00,0,0
20170714,PA-JASMC,Fonds,11461.00,11461.00,11461.00,11461.00,0,0
20170713,PA-JASMC,Fonds,11463.00,11463.00,11463.00,11463.00,0,0
20170712,PA-JASMC,Fonds,11480.00,11480.00,11480.00,11480.00,0,0
20170711,PA-JASMC,Fonds,11465.00,11465.00,11465.00,11465.00,0,0
20170710,PA-JASMC,Fonds,11378.00,11378.00,11378.00,11378.00,0,0
20170707,PA-JASMC,Fonds,11309.00,11309.00,11309.00,11309.00,0,0
20170706,PA-JASMC,Fonds,11286.00,11286.00,11286.00,11286.00,0,0
20170705,PA-JASMC,Fonds,11350.00,11350.00,11350.00,11350.00,0,0
20170704,PA-JASMC,Fonds,11277.00,11277.00,11277.00,11277.00,0,0
20170703,PA-JASMC,Fonds,11468.00,11468.00,11468.00,11468.00,0,0
20170630,PA-JASMC,Fonds,11372.00,11372.00,11372.00,11372.00,0,0
20170629,PA-JASMC,Fonds,11393.00,11393.00,11393.00,11393.00,0,0
20170628,PA-JASMC,Fonds,11313.00,11313.00,11313.00,11313.00,0,0
20170627,PA-JASMC,Fonds,11481.00,11481.00,11481.00,11481.00,0,0
20170626,PA-JASMC,Fonds,11455.00,11455.00,11455.00,11455.00,0,0
20170621,PA-JASMC,Fonds,11369.00,11369.00,11369.00,11369.00,0,0
20170620,PA-JASMC,Fonds,11358.00,11358.00,11358.00,11358.00,0,0
20170619,PA-JASMC,Fonds,11275.00,11275.00,11275.00,11275.00,0,0
20170616,PA-JASMC,Fonds,11137.00,11137.00,11137.00,11137.00,0,0
20170615,PA-JASMC,Fonds,11175.00,11175.00,11175.00,11175.00,0,0
20170614,PA-JASMC,Fonds,11147.00,11147.00,11147.00,11147.00,0,0
20170613,PA-JASMC,Fonds,11202.00,11202.00,11202.00,11202.00,0,0
20170612,PA-JASMC,Fonds,11139.00,11139.00,11139.00,11139.00,0,0
20170609,PA-JASMC,Fonds,11244.00,11244.00,11244.00,11244.00,0,0
20170608,PA-JASMC,Fonds,11260.00,11260.00,11260.00,11260.00,0,0
20170607,PA-JASMC,Fonds,11227.00,11227.00,11227.00,11227.00,0,0
20170606,PA-JASMC,Fonds,11148.00,11148.00,11148.00,11148.00,0,0
20170602,PA-JASMC,Fonds,11149.00,11149.00,11149.00,11149.00,0,0
20170601,PA-JASMC,Fonds,11191.00,11191.00,11191.00,11191.00,0,0
20170531,PA-JASMC,Fonds,11016.00,11016.00,11016.00,11016.00,0,0
20170530,PA-JASMC,Fonds,11003.00,11003.00,11003.00,11003.00,0,0
20170529,PA-JASMC,Fonds,10941.00,10941.00,10941.00,10941.00,0,0
20170526,PA-JASMC,Fonds,10899.00,10899.00,10899.00,10899.00,0,0
20170524,PA-JASMC,Fonds,11015.00,11015.00,11015.00,11015.00,0,0
20170523,PA-JASMC,Fonds,10912.00,10912.00,10912.00,10912.00,0,0
20170522,PA-JASMC,Fonds,10858.00,10858.00,10858.00,10858.00,0,0
20170519,PA-JASMC,Fonds,10808.00,10808.00,10808.00,10808.00,0,0
20170518,PA-JASMC,Fonds,10698.00,10698.00,10698.00,10698.00,0,0
20170516,PA-JASMC,Fonds,10854.00,10854.00,10854.00,10854.00,0,0
20170515,PA-JASMC,Fonds,10810.00,10810.00,10810.00,10810.00,0,0
20170512,PA-JASMC,Fonds,10739.00,10739.00,10739.00,10739.00,0,0
20170511,PA-JASMC,Fonds,10742.00,10742.00,10742.00,10742.00,0,0
20170510,PA-JASMC,Fonds,10770.00,10770.00,10770.00,10770.00,0,0
20170509,PA-JASMC,Fonds,10727.00,10727.00,10727.00,10727.00,0,0
20170508,PA-JASMC,Fonds,10638.00,10638.00,10638.00,10638.00,0,0
20170502,PA-JASMC,Fonds,10441.00,10441.00,10441.00,10441.00,0,0
20170428,PA-JASMC,Fonds,10318.00,10318.00,10318.00,10318.00,0,0
20170427,PA-JASMC,Fonds,10303.00,10303.00,10303.00,10303.00,0,0
20170426,PA-JASMC,Fonds,10215.00,10215.00,10215.00,10215.00,0,0
20170425,PA-JASMC,Fonds,10095.00,10095.00,10095.00,10095.00,0,0
20170424,PA-JASMC,Fonds,9946.00,9946.00,9946.00,9946.00,0,0
20170421,PA-JASMC,Fonds,9871.00,9871.00,9871.00,9871.00,0,0
20170420,PA-JASMC,Fonds,9822.00,9822.00,9822.00,9822.00,0,0
20170419,PA-JASMC,Fonds,9817.00,9817.00,9817.00,9817.00,0,0
20170418,PA-JASMC,Fonds,9726.00,9726.00,9726.00,9726.00,0,0
20170412,PA-JASMC,Fonds,9688.00,9688.00,9688.00,9688.00,0,0
20170411,PA-JASMC,Fonds,9863.00,9863.00,9863.00,9863.00,0,0
20170410,PA-JASMC,Fonds,10001.00,10001.00,10001.00,10001.00,0,0
20170407,PA-JASMC,Fonds,9893.00,9893.00,9893.00,9893.00,0,0
20170406,PA-JASMC,Fonds,9846.00,9846.00,9846.00,9846.00,0,0
20170405,PA-JASMC,Fonds,10083.00,10083.00,10083.00,10083.00,0,0
20170404,PA-JASMC,Fonds,10025.00,10025.00,10025.00,10025.00,0,0
20170403,PA-JASMC,Fonds,10234.00,10234.00,10234.00,10234.00,0,0
20170331,PA-JASMC,Fonds,10236.00,10236.00,10236.00,10236.00,0,0
20170330,PA-JASMC,Fonds,10292.00,10292.00,10292.00,10292.00,0,0
20170329,PA-JASMC,Fonds,10335.00,10335.00,10335.00,10335.00,0,0
20170328,PA-JASMC,Fonds,10213.00,10213.00,10213.00,10213.00,0,0
20170327,PA-JASMC,Fonds,10086.00,10086.00,10086.00,10086.00,0,0
20170324,PA-JASMC,Fonds,10156.00,10156.00,10156.00,10156.00,0,0
20170323,PA-JASMC,Fonds,10075.00,10075.00,10075.00,10075.00,0,0
20170322,PA-JASMC,Fonds,10094.00,10094.00,10094.00,10094.00,0,0
20170321,PA-JASMC,Fonds,10237.00,10237.00,10237.00,10237.00,0,0
20170317,PA-JASMC,Fonds,10255.00,10255.00,10255.00,10255.00,0,0
20170316,PA-JASMC,Fonds,10271.00,10271.00,10271.00,10271.00,0,0
20170315,PA-JASMC,Fonds,10210.00,10210.00,10210.00,10210.00,0,0
20170314,PA-JASMC,Fonds,10320.00,10320.00,10320.00,10320.00,0,0
20170313,PA-JASMC,Fonds,10309.00,10309.00,10309.00,10309.00,0,0
20170310,PA-JASMC,Fonds,10315.00,10315.00,10315.00,10315.00,0,0
20170309,PA-JASMC,Fonds,10272.00,10272.00,10272.00,10272.00,0,0
20170308,PA-JASMC,Fonds,10224.00,10224.00,10224.00,10224.00,0,0
20170307,PA-JASMC,Fonds,10154.00,10154.00,10154.00,10154.00,0,0
20170306,PA-JASMC,Fonds,10153.00,10153.00,10153.00,10153.00,0,0
20170303,PA-JASMC,Fonds,10140.00,10140.00,10140.00,10140.00,0,0
20170302,PA-JASMC,Fonds,10156.00,10156.00,10156.00,10156.00,0,0
20170301,PA-JASMC,Fonds,10129.00,10129.00,10129.00,10129.00,0,0
20170228,PA-JASMC,Fonds,9967.00,9967.00,9967.00,9967.00,0,0
20170227,PA-JASMC,Fonds,9927.00,9927.00,9927.00,9927.00,0,0
20170224,PA-JASMC,Fonds,9979.00,9979.00,9979.00,9979.00,0,0
20170223,PA-JASMC,Fonds,10030.00,10030.00,10030.00,10030.00,0,0
20170222,PA-JASMC,Fonds,10008.00,10008.00,10008.00,10008.00,0,0
20170221,PA-JASMC,Fonds,10040.00,10040.00,10040.00,10040.00,0,0
20170220,PA-JASMC,Fonds,9986.00,9986.00,9986.00,9986.00,0,0
20170217,PA-JASMC,Fonds,9929.00,9929.00,9929.00,9929.00,0,0
20170216,PA-JASMC,Fonds,9902.00,9902.00,9902.00,9902.00,0,0
20170215,PA-JASMC,Fonds,9942.00,9942.00,9942.00,9942.00,0,0
20170214,PA-JASMC,Fonds,9904.00,9904.00,9904.00,9904.00,0,0
20170213,PA-JASMC,Fonds,9939.00,9939.00,9939.00,9939.00,0,0
20170210,PA-JASMC,Fonds,9802.00,9802.00,9802.00,9802.00,0,0
20170209,PA-JASMC,Fonds,9682.00,9682.00,9682.00,9682.00,0,0
20170208,PA-JASMC,Fonds,9625.00,9625.00,9625.00,9625.00,0,0
20170207,PA-JASMC,Fonds,9601.00,9601.00,9601.00,9601.00,0,0
20170206,PA-JASMC,Fonds,9627.00,9627.00,9627.00,9627.00,0,0
20170203,PA-JASMC,Fonds,9644.00,9644.00,9644.00,9644.00,0,0
20170202,PA-JASMC,Fonds,9641.00,9641.00,9641.00,9641.00,0,0
20170201,PA-JASMC,Fonds,9779.00,9779.00,9779.00,9779.00,0,0
20170131,PA-JASMC,Fonds,9648.00,9648.00,9648.00,9648.00,0,0
20170130,PA-JASMC,Fonds,9726.00,9726.00,9726.00,9726.00,0,0
20170127,PA-JASMC,Fonds,9792.00,9792.00,9792.00,9792.00,0,0
20170126,PA-JASMC,Fonds,9823.00,9823.00,9823.00,9823.00,0,0
20170125,PA-JASMC,Fonds,9724.00,9724.00,9724.00,9724.00,0,0
20170124,PA-JASMC,Fonds,9576.00,9576.00,9576.00,9576.00,0,0
20170123,PA-JASMC,Fonds,9562.00,9562.00,9562.00,9562.00,0,0
20170120,PA-JASMC,Fonds,9607.00,9607.00,9607.00,9607.00,0,0
20170119,PA-JASMC,Fonds,9566.00,9566.00,9566.00,9566.00,0,0
20170118,PA-JASMC,Fonds,9437.00,9437.00,9437.00,9437.00,0,0
20170117,PA-JASMC,Fonds,9386.00,9386.00,9386.00,9386.00,0,0
20170116,PA-JASMC,Fonds,9530.00,9530.00,9530.00,9530.00,0,0
20170113,PA-JASMC,Fonds,9675.00,9675.00,9675.00,9675.00,0,0
20170112,PA-JASMC,Fonds,9565.00,9565.00,9565.00,9565.00,0,0
20170111,PA-JASMC,Fonds,9686.00,9686.00,9686.00,9686.00,0,0
20170110,PA-JASMC,Fonds,9667.00,9667.00,9667.00,9667.00,0,0
20170106,PA-JASMC,Fonds,9714.00,9714.00,9714.00,9714.00,0,0
20170105,PA-JASMC,Fonds,9682.00,9682.00,9682.00,9682.00,0,0
20170104,PA-JASMC,Fonds,9659.00,9659.00,9659.00,9659.00,0,0
20161230,PA-JASMC,Fonds,9471.00,9471.00,9471.00,9471.00,0,0
20161229,PA-JASMC,Fonds,9429.00,9429.00,9429.00,9429.00,0,0
20161228,PA-JASMC,Fonds,9534.00,9534.00,9534.00,9534.00,0,0
20161227,PA-JASMC,Fonds,9460.00,9460.00,9460.00,9460.00,0,0
20161222,PA-JASMC,Fonds,9363.00,9363.00,9363.00,9363.00,0,0
20161221,PA-JASMC,Fonds,9355.00,9355.00,9355.00,9355.00,0,0
20161220,PA-JASMC,Fonds,9474.00,9474.00,9474.00,9474.00,0,0
20161219,PA-JASMC,Fonds,9355.00,9355.00,9355.00,9355.00,0,0
20161216,PA-JASMC,Fonds,9392.00,9392.00,9392.00,9392.00,0,0
20161215,PA-JASMC,Fonds,9406.00,9406.00,9406.00,9406.00,0,0
20161214,PA-JASMC,Fonds,9317.00,9317.00,9317.00,9317.00,0,0
20161213,PA-JASMC,Fonds,9390.00,9390.00,9390.00,9390.00,0,0
20161212,PA-JASMC,Fonds,9273.00,9273.00,9273.00,9273.00,0,0
20161209,PA-JASMC,Fonds,9302.00,9302.00,9302.00,9302.00,0,0
20161208,PA-JASMC,Fonds,9231.00,9231.00,9231.00,9231.00,0,0
20161207,PA-JASMC,Fonds,9165.00,9165.00,9165.00,9165.00,0,0
20161206,PA-JASMC,Fonds,9151.00,9151.00,9151.00,9151.00,0,0
20161205,PA-JASMC,Fonds,9219.00,9219.00,9219.00,9219.00,0,0
20161202,PA-JASMC,Fonds,9170.00,9170.00,9170.00,9170.00,0,0
20161201,PA-JASMC,Fonds,9303.00,9303.00,9303.00,9303.00,0,0
20161130,PA-JASMC,Fonds,9315.00,9315.00,9315.00,9315.00,0,0
20161129,PA-JASMC,Fonds,9246.00,9246.00,9246.00,9246.00,0,0
20161128,PA-JASMC,Fonds,9226.00,9226.00,9226.00,9226.00,0,0
20161125,PA-JASMC,Fonds,9121.00,9121.00,9121.00,9121.00,0,0
20161124,PA-JASMC,Fonds,9196.00,9196.00,9196.00,9196.00,0,0
20161122,PA-JASMC,Fonds,9160.00,9160.00,9160.00,9160.00,0,0
20161121,PA-JASMC,Fonds,9108.00,9108.00,9108.00,9108.00,0,0
20161118,PA-JASMC,Fonds,9077.00,9077.00,9077.00,9077.00,0,0
20161117,PA-JASMC,Fonds,9028.00,9028.00,9028.00,9028.00,0,0
20161116,PA-JASMC,Fonds,8932.00,8932.00,8932.00,8932.00,0,0
20161115,PA-JASMC,Fonds,8880.00,8880.00,8880.00,8880.00,0,0
20161114,PA-JASMC,Fonds,8867.00,8867.00,8867.00,8867.00,0,0
20161111,PA-JASMC,Fonds,8679.00,8679.00,8679.00,8679.00,0,0
20161110,PA-JASMC,Fonds,8844.00,8844.00,8844.00,8844.00,0,0
20161109,PA-JASMC,Fonds,8716.00,8716.00,8716.00,8716.00,0,0
20161108,PA-JASMC,Fonds,8718.00,8718.00,8718.00,8718.00,0,0
20161107,PA-JASMC,Fonds,8740.00,8740.00,8740.00,8740.00,0,0
20161104,PA-JASMC,Fonds,8641.00,8641.00,8641.00,8641.00,0,0
20161102,PA-JASMC,Fonds,8664.00,8664.00,8664.00,8664.00,0,0
20161028,PA-JASMC,Fonds,8903.00,8903.00,8903.00,8903.00,0,0
20161027,PA-JASMC,Fonds,8892.00,8892.00,8892.00,8892.00,0,0
20161026,PA-JASMC,Fonds,8835.00,8835.00,8835.00,8835.00,0,0
20161025,PA-JASMC,Fonds,8850.00,8850.00,8850.00,8850.00,0,0
20161024,PA-JASMC,Fonds,8860.00,8860.00,8860.00,8860.00,0,0
20161021,PA-JASMC,Fonds,8785.00,8785.00,8785.00,8785.00,0,0
20161020,PA-JASMC,Fonds,8844.00,8844.00,8844.00,8844.00,0,0
20161019,PA-JASMC,Fonds,8779.00,8779.00,8779.00,8779.00,0,0
20161018,PA-JASMC,Fonds,8766.00,8766.00,8766.00,8766.00,0,0
20161017,PA-JASMC,Fonds,8672.00,8672.00,8672.00,8672.00,0,0
20161014,PA-JASMC,Fonds,8666.00,8666.00,8666.00,8666.00,0,0
20161013,PA-JASMC,Fonds,8567.00,8567.00,8567.00,8567.00,0,0
20161012,PA-JASMC,Fonds,8587.00,8587.00,8587.00,8587.00,0,0
20161011,PA-JASMC,Fonds,8616.00,8616.00,8616.00,8616.00,0,0
20161007,PA-JASMC,Fonds,8589.00,8589.00,8589.00,8589.00,0,0
20161006,PA-JASMC,Fonds,8702.00,8702.00,8702.00,8702.00,0,0
20161005,PA-JASMC,Fonds,8694.00,8694.00,8694.00,8694.00,0,0
20161004,PA-JASMC,Fonds,8683.00,8683.00,8683.00,8683.00,0,0
20161003,PA-JASMC,Fonds,8556.00,8556.00,8556.00,8556.00,0,0
20160930,PA-JASMC,Fonds,8572.00,8572.00,8572.00,8572.00,0,0
20160929,PA-JASMC,Fonds,8612.00,8612.00,8612.00,8612.00,0,0
