quote_date,paper,exch,open,high,low,close,volume,value
20171109,PA-WILCC,Fonds,149.02,149.02,149.02,149.02,0,0
20171108,PA-WILCC,Fonds,149.29,149.29,149.29,149.29,0,0
20171107,PA-WILCC,Fonds,149.16,149.16,149.16,149.16,0,0
20171106,PA-WILCC,Fonds,148.06,148.06,148.06,148.06,0,0
20171103,PA-WILCC,Fonds,147.81,147.81,147.81,147.81,0,0
20171102,PA-WILCC,Fonds,148.26,148.26,148.26,148.26,0,0
20171030,PA-WILCC,Fonds,147.07,147.07,147.07,147.07,0,0
20171027,PA-WILCC,Fonds,146.52,146.52,146.52,146.52,0,0
20171026,PA-WILCC,Fonds,146.56,146.56,146.56,146.56,0,0
20171025,PA-WILCC,Fonds,146.54,146.54,146.54,146.54,0,0
20171024,PA-WILCC,Fonds,146.65,146.65,146.65,146.65,0,0
20171023,PA-WILCC,Fonds,147.02,147.02,147.02,147.02,0,0
20171020,PA-WILCC,Fonds,146.83,146.83,146.83,146.83,0,0
20171019,PA-WILCC,Fonds,147.71,147.71,147.71,147.71,0,0
20171018,PA-WILCC,Fonds,147.57,147.57,147.57,147.57,0,0
20171017,PA-WILCC,Fonds,148.49,148.49,148.49,148.49,0,0
20171016,PA-WILCC,Fonds,148.16,148.16,148.16,148.16,0,0
20171013,PA-WILCC,Fonds,147.95,147.95,147.95,147.95,0,0
20171012,PA-WILCC,Fonds,147.81,147.81,147.81,147.81,0,0
20171011,PA-WILCC,Fonds,147.47,147.47,147.47,147.47,0,0
20171010,PA-WILCC,Fonds,147.32,147.32,147.32,147.32,0,0
20171009,PA-WILCC,Fonds,146.96,146.96,146.96,146.96,0,0
20171006,PA-WILCC,Fonds,146.83,146.83,146.83,146.83,0,0
20171005,PA-WILCC,Fonds,146.66,146.66,146.66,146.66,0,0
20171004,PA-WILCC,Fonds,146.73,146.73,146.73,146.73,0,0
20171003,PA-WILCC,Fonds,146.69,146.69,146.69,146.69,0,0
20171002,PA-WILCC,Fonds,146.76,146.76,146.76,146.76,0,0
20170929,PA-WILCC,Fonds,146.62,146.62,146.62,146.62,0,0
20170928,PA-WILCC,Fonds,146.69,146.69,146.69,146.69,0,0
20170927,PA-WILCC,Fonds,146.56,146.56,146.56,146.56,0,0
20170926,PA-WILCC,Fonds,147.22,147.22,147.22,147.22,0,0
20170925,PA-WILCC,Fonds,147.67,147.67,147.67,147.67,0,0
20170922,PA-WILCC,Fonds,147.11,147.11,147.11,147.11,0,0
20170921,PA-WILCC,Fonds,146.76,146.76,146.76,146.76,0,0
20170920,PA-WILCC,Fonds,146.70,146.70,146.70,146.70,0,0
20170919,PA-WILCC,Fonds,146.77,146.77,146.77,146.77,0,0
20170918,PA-WILCC,Fonds,147.01,147.01,147.01,147.01,0,0
20170915,PA-WILCC,Fonds,147.28,147.28,147.28,147.28,0,0
20170914,PA-WILCC,Fonds,148.11,148.11,148.11,148.11,0,0
20170913,PA-WILCC,Fonds,148.61,148.61,148.61,148.61,0,0
20170912,PA-WILCC,Fonds,148.71,148.71,148.71,148.71,0,0
20170911,PA-WILCC,Fonds,149.99,149.99,149.99,149.99,0,0
20170908,PA-WILCC,Fonds,150.62,150.62,150.62,150.62,0,0
20170907,PA-WILCC,Fonds,150.64,150.64,150.64,150.64,0,0
20170906,PA-WILCC,Fonds,149.72,149.72,149.72,149.72,0,0
20170905,PA-WILCC,Fonds,149.72,149.72,149.72,149.72,0,0
20170904,PA-WILCC,Fonds,148.87,148.87,148.87,148.87,0,0
20170901,PA-WILCC,Fonds,148.95,148.95,148.95,148.95,0,0
20170831,PA-WILCC,Fonds,149.35,149.35,149.35,149.35,0,0
20170830,PA-WILCC,Fonds,149.17,149.17,149.17,149.17,0,0
20170829,PA-WILCC,Fonds,149.39,149.39,149.39,149.39,0,0
20170828,PA-WILCC,Fonds,148.74,148.74,148.74,148.74,0,0
20170825,PA-WILCC,Fonds,148.66,148.66,148.66,148.66,0,0
20170824,PA-WILCC,Fonds,148.55,148.55,148.55,148.55,0,0
20170823,PA-WILCC,Fonds,148.33,148.33,148.33,148.33,0,0
20170822,PA-WILCC,Fonds,147.84,147.84,147.84,147.84,0,0
