quote_date,paper,exch,open,high,low,close,volume,value
20170516,PO-GCBOD,Fonds,110.8341,110.8341,110.8341,110.8341,0,0
20170412,PO-GCBOD,Fonds,109.5947,109.5947,109.5947,109.5947,0,0
20160630,PO-GCBOD,Fonds,103.4109,103.4109,103.4109,103.4109,0,0
20160323,PO-GCBOD,Fonds,101.4458,101.4458,101.4458,101.4458,0,0
20151228,PO-GCBOD,Fonds,100.5193,100.5193,100.5193,100.5193,0,0
20151216,PO-GCBOD,Fonds,100.5431,100.5431,100.5431,100.5431,0,0
20151215,PO-GCBOD,Fonds,100.5932,100.5932,100.5932,100.5932,0,0
20151214,PO-GCBOD,Fonds,100.4785,100.4785,100.4785,100.4785,0,0
20151210,PO-GCBOD,Fonds,101.3005,101.3005,101.3005,101.3005,0,0
20151208,PO-GCBOD,Fonds,101.5162,101.5162,101.5162,101.5162,0,0
20151207,PO-GCBOD,Fonds,101.6588,101.6588,101.6588,101.6588,0,0
20151203,PO-GCBOD,Fonds,101.7121,101.7121,101.7121,101.7121,0,0
20151202,PO-GCBOD,Fonds,101.7923,101.7923,101.7923,101.7923,0,0
20151201,PO-GCBOD,Fonds,101.8507,101.8507,101.8507,101.8507,0,0
20151130,PO-GCBOD,Fonds,101.7814,101.7814,101.7814,101.7814,0,0
20151126,PO-GCBOD,Fonds,101.705,101.705,101.705,101.705,0,0
20151125,PO-GCBOD,Fonds,101.6921,101.6921,101.6921,101.6921,0,0
20151124,PO-GCBOD,Fonds,101.6426,101.6426,101.6426,101.6426,0,0
20151123,PO-GCBOD,Fonds,101.6373,101.6373,101.6373,101.6373,0,0
20151120,PO-GCBOD,Fonds,101.6324,101.6324,101.6324,101.6324,0,0
20151119,PO-GCBOD,Fonds,101.6522,101.6522,101.6522,101.6522,0,0
20151117,PO-GCBOD,Fonds,101.564,101.564,101.564,101.564,0,0
20151116,PO-GCBOD,Fonds,101.4436,101.4436,101.4436,101.4436,0,0
20151113,PO-GCBOD,Fonds,101.4492,101.4492,101.4492,101.4492,0,0
20151112,PO-GCBOD,Fonds,101.5218,101.5218,101.5218,101.5218,0,0
20151111,PO-GCBOD,Fonds,101.703,101.703,101.703,101.703,0,0
20151110,PO-GCBOD,Fonds,101.6351,101.6351,101.6351,101.6351,0,0
20151109,PO-GCBOD,Fonds,101.7406,101.7406,101.7406,101.7406,0,0
20151106,PO-GCBOD,Fonds,101.7552,101.7552,101.7552,101.7552,0,0
20151105,PO-GCBOD,Fonds,101.8171,101.8171,101.8171,101.8171,0,0
20151030,PO-GCBOD,Fonds,101.9325,101.9325,101.9325,101.9325,0,0
20151029,PO-GCBOD,Fonds,101.861,101.861,101.861,101.861,0,0
20151028,PO-GCBOD,Fonds,101.8598,101.8598,101.8598,101.8598,0,0
20151027,PO-GCBOD,Fonds,101.8115,101.8115,101.8115,101.8115,0,0
20151026,PO-GCBOD,Fonds,101.7754,101.7754,101.7754,101.7754,0,0
20151023,PO-GCBOD,Fonds,101.6638,101.6638,101.6638,101.6638,0,0
20151022,PO-GCBOD,Fonds,101.5171,101.5171,101.5171,101.5171,0,0
20151021,PO-GCBOD,Fonds,101.4373,101.4373,101.4373,101.4373,0,0
20151020,PO-GCBOD,Fonds,101.3004,101.3004,101.3004,101.3004,0,0
20151019,PO-GCBOD,Fonds,101.2192,101.2192,101.2192,101.2192,0,0
20151016,PO-GCBOD,Fonds,101.1043,101.1043,101.1043,101.1043,0,0
20151015,PO-GCBOD,Fonds,100.9998,100.9998,100.9998,100.9998,0,0
20151014,PO-GCBOD,Fonds,101.0398,101.0398,101.0398,101.0398,0,0
20151013,PO-GCBOD,Fonds,101.1007,101.1007,101.1007,101.1007,0,0
20151012,PO-GCBOD,Fonds,101.1038,101.1038,101.1038,101.1038,0,0
20151009,PO-GCBOD,Fonds,101.0238,101.0238,101.0238,101.0238,0,0
20151008,PO-GCBOD,Fonds,100.9062,100.9062,100.9062,100.9062,0,0
20151007,PO-GCBOD,Fonds,100.8403,100.8403,100.8403,100.8403,0,0
20151006,PO-GCBOD,Fonds,100.6439,100.6439,100.6439,100.6439,0,0
20151005,PO-GCBOD,Fonds,100.5036,100.5036,100.5036,100.5036,0,0
20151002,PO-GCBOD,Fonds,100.1882,100.1882,100.1882,100.1882,0,0
20151001,PO-GCBOD,Fonds,100.1619,100.1619,100.1619,100.1619,0,0
20150930,PO-GCBOD,Fonds,100.096,100.096,100.096,100.096,0,0
20150929,PO-GCBOD,Fonds,100.1274,100.1274,100.1274,100.1274,0,0
20150928,PO-GCBOD,Fonds,100.3578,100.3578,100.3578,100.3578,0,0
20150925,PO-GCBOD,Fonds,100.7664,100.7664,100.7664,100.7664,0,0
20150924,PO-GCBOD,Fonds,100.8938,100.8938,100.8938,100.8938,0,0
20150923,PO-GCBOD,Fonds,100.9921,100.9921,100.9921,100.9921,0,0
20150922,PO-GCBOD,Fonds,100.9901,100.9901,100.9901,100.9901,0,0
20150921,PO-GCBOD,Fonds,101.1624,101.1624,101.1624,101.1624,0,0
20150918,PO-GCBOD,Fonds,101.372,101.372,101.372,101.372,0,0
20150917,PO-GCBOD,Fonds,101.3355,101.3355,101.3355,101.3355,0,0
20150915,PO-GCBOD,Fonds,101.3313,101.3313,101.3313,101.3313,0,0
20150911,PO-GCBOD,Fonds,101.403,101.403,101.403,101.403,0,0
20150910,PO-GCBOD,Fonds,101.388,101.388,101.388,101.388,0,0
20150909,PO-GCBOD,Fonds,101.3573,101.3573,101.3573,101.3573,0,0
20150908,PO-GCBOD,Fonds,101.2228,101.2228,101.2228,101.2228,0,0
20150907,PO-GCBOD,Fonds,101.1409,101.1409,101.1409,101.1409,0,0
20150904,PO-GCBOD,Fonds,101.1341,101.1341,101.1341,101.1341,0,0
20150903,PO-GCBOD,Fonds,101.1058,101.1058,101.1058,101.1058,0,0
20150902,PO-GCBOD,Fonds,101.032,101.032,101.032,101.032,0,0
20150901,PO-GCBOD,Fonds,101.0214,101.0214,101.0214,101.0214,0,0
20150831,PO-GCBOD,Fonds,101.0513,101.0513,101.0513,101.0513,0,0
20150828,PO-GCBOD,Fonds,101.0455,101.0455,101.0455,101.0455,0,0
20150827,PO-GCBOD,Fonds,100.9488,100.9488,100.9488,100.9488,0,0
20150826,PO-GCBOD,Fonds,100.8138,100.8138,100.8138,100.8138,0,0
20150821,PO-GCBOD,Fonds,101.0569,101.0569,101.0569,101.0569,0,0
20150820,PO-GCBOD,Fonds,101.1479,101.1479,101.1479,101.1479,0,0
20150819,PO-GCBOD,Fonds,101.214,101.214,101.214,101.214,0,0
20150818,PO-GCBOD,Fonds,101.2227,101.2227,101.2227,101.2227,0,0
20150817,PO-GCBOD,Fonds,101.2209,101.2209,101.2209,101.2209,0,0
20150814,PO-GCBOD,Fonds,101.1835,101.1835,101.1835,101.1835,0,0
20150812,PO-GCBOD,Fonds,101.2596,101.2596,101.2596,101.2596,0,0
20150811,PO-GCBOD,Fonds,101.3479,101.3479,101.3479,101.3479,0,0
20150810,PO-GCBOD,Fonds,101.3309,101.3309,101.3309,101.3309,0,0
20150807,PO-GCBOD,Fonds,101.2969,101.2969,101.2969,101.2969,0,0
20150805,PO-GCBOD,Fonds,101.3223,101.3223,101.3223,101.3223,0,0
20150804,PO-GCBOD,Fonds,101.3429,101.3429,101.3429,101.3429,0,0
20150803,PO-GCBOD,Fonds,101.3157,101.3157,101.3157,101.3157,0,0
20150731,PO-GCBOD,Fonds,101.2526,101.2526,101.2526,101.2526,0,0
20150730,PO-GCBOD,Fonds,101.1968,101.1968,101.1968,101.1968,0,0
20150729,PO-GCBOD,Fonds,101.1514,101.1514,101.1514,101.1514,0,0
20150728,PO-GCBOD,Fonds,101.1043,101.1043,101.1043,101.1043,0,0
20150727,PO-GCBOD,Fonds,101.0653,101.0653,101.0653,101.0653,0,0
20150724,PO-GCBOD,Fonds,101.0966,101.0966,101.0966,101.0966,0,0
20150723,PO-GCBOD,Fonds,101.1293,101.1293,101.1293,101.1293,0,0
20150708,PO-GCBOD,Fonds,100.254,100.254,100.254,100.254,0,0
20150707,PO-GCBOD,Fonds,100.351,100.351,100.351,100.351,0,0
20150706,PO-GCBOD,Fonds,100.4504,100.4504,100.4504,100.4504,0,0
20150703,PO-GCBOD,Fonds,100.5288,100.5288,100.5288,100.5288,0,0
20150618,PO-GCBOD,Fonds,100.1934,100.1934,100.1934,100.1934,0,0
20150609,PO-GCBOD,Fonds,100.4762,100.4762,100.4762,100.4762,0,0
20150608,PO-GCBOD,Fonds,100.6545,100.6545,100.6545,100.6545,0,0
20150604,PO-GCBOD,Fonds,100.8227,100.8227,100.8227,100.8227,0,0
20150601,PO-GCBOD,Fonds,101.0665,101.0665,101.0665,101.0665,0,0
20150529,PO-GCBOD,Fonds,101.0262,101.0262,101.0262,101.0262,0,0
20150528,PO-GCBOD,Fonds,101.0779,101.0779,101.0779,101.0779,0,0
20150527,PO-GCBOD,Fonds,101.0479,101.0479,101.0479,101.0479,0,0
20150521,PO-GCBOD,Fonds,100.9022,100.9022,100.9022,100.9022,0,0
20150520,PO-GCBOD,Fonds,100.8262,100.8262,100.8262,100.8262,0,0
20150519,PO-GCBOD,Fonds,100.7712,100.7712,100.7712,100.7712,0,0
20150507,PO-GCBOD,Fonds,100.3751,100.3751,100.3751,100.3751,0,0
20150506,PO-GCBOD,Fonds,100.3879,100.3879,100.3879,100.3879,0,0
20150504,PO-GCBOD,Fonds,100.635,100.635,100.635,100.635,0,0
