quote_date,paper,exch,open,high,low,close,volume,value
20171117,PO-OBLII,Fonds,1011.1399,1011.1399,1011.1399,1011.1399,0,0
20171116,PO-OBLII,Fonds,1010.8965,1010.8965,1010.8965,1010.8965,0,0
20171114,PO-OBLII,Fonds,1010.8236,1010.8236,1010.8236,1010.8236,0,0
20171113,PO-OBLII,Fonds,1010.7519,1010.7519,1010.7519,1010.7519,0,0
20171110,PO-OBLII,Fonds,1010.4465,1010.4465,1010.4465,1010.4465,0,0
20171108,PO-OBLII,Fonds,1011.0218,1011.0218,1011.0218,1011.0218,0,0
20171107,PO-OBLII,Fonds,1010.9603,1010.9603,1010.9603,1010.9603,0,0
20171103,PO-OBLII,Fonds,1010.6682,1010.6682,1010.6682,1010.6682,0,0
20171102,PO-OBLII,Fonds,1010.5819,1010.5819,1010.5819,1010.5819,0,0
20171101,PO-OBLII,Fonds,1010.5552,1010.5552,1010.5552,1010.5552,0,0
20171031,PO-OBLII,Fonds,1010.4764,1010.4764,1010.4764,1010.4764,0,0
20171030,PO-OBLII,Fonds,1010.4338,1010.4338,1010.4338,1010.4338,0,0
20171027,PO-OBLII,Fonds,1010.1606,1010.1606,1010.1606,1010.1606,0,0
20171026,PO-OBLII,Fonds,1010.1107,1010.1107,1010.1107,1010.1107,0,0
20171025,PO-OBLII,Fonds,1010.0449,1010.0449,1010.0449,1010.0449,0,0
20171024,PO-OBLII,Fonds,1010.0691,1010.0691,1010.0691,1010.0691,0,0
20171020,PO-OBLII,Fonds,1009.9833,1009.9833,1009.9833,1009.9833,0,0
20171019,PO-OBLII,Fonds,1010.0345,1010.0345,1010.0345,1010.0345,0,0
20171017,PO-OBLII,Fonds,1010.0922,1010.0922,1010.0922,1010.0922,0,0
20171016,PO-OBLII,Fonds,1009.994,1009.994,1009.994,1009.994,0,0
20171013,PO-OBLII,Fonds,1009.8707,1009.8707,1009.8707,1009.8707,0,0
20171012,PO-OBLII,Fonds,1009.7815,1009.7815,1009.7815,1009.7815,0,0
20171011,PO-OBLII,Fonds,1010.015,1010.015,1010.015,1010.015,0,0
