quote_date,paper,exch,open,high,low,close,volume,value
20171121,PV-RENTS,Fonds,100.067977,100.067977,100.067977,100.067977,0,0
20171120,PV-RENTS,Fonds,100.072625,100.072625,100.072625,100.072625,0,0
20171117,PV-RENTS,Fonds,100.058529,100.058529,100.058529,100.058529,0,0
20171116,PV-RENTS,Fonds,100.050628,100.050628,100.050628,100.050628,0,0
20171115,PV-RENTS,Fonds,100.054994,100.054994,100.054994,100.054994,0,0
20171114,PV-RENTS,Fonds,100.051101,100.051101,100.051101,100.051101,0,0
20171113,PV-RENTS,Fonds,100.042429,100.042429,100.042429,100.042429,0,0
20171110,PV-RENTS,Fonds,100.033552,100.033552,100.033552,100.033552,0,0
20171109,PV-RENTS,Fonds,100.032485,100.032485,100.032485,100.032485,0,0
20171108,PV-RENTS,Fonds,100.035426,100.035426,100.035426,100.035426,0,0
20171107,PV-RENTS,Fonds,100.036257,100.036257,100.036257,100.036257,0,0
20171106,PV-RENTS,Fonds,100.032771,100.032771,100.032771,100.032771,0,0
20171103,PV-RENTS,Fonds,100.020292,100.020292,100.020292,100.020292,0,0
20171102,PV-RENTS,Fonds,100.017287,100.017287,100.017287,100.017287,0,0
20171101,PV-RENTS,Fonds,100.015382,100.015382,100.015382,100.015382,0,0
20171031,PV-RENTS,Fonds,100.012533,100.012533,100.012533,100.012533,0,0
20171030,PV-RENTS,Fonds,100.007961,100.007961,100.007961,100.007961,0,0
20171027,PV-RENTS,Fonds,99.995329,99.995329,99.995329,99.995329,0,0
20171026,PV-RENTS,Fonds,99.993517,99.993517,99.993517,99.993517,0,0
20171025,PV-RENTS,Fonds,99.993948,99.993948,99.993948,99.993948,0,0
20171024,PV-RENTS,Fonds,99.991278,99.991278,99.991278,99.991278,0,0
20171023,PV-RENTS,Fonds,99.989011,99.989011,99.989011,99.989011,0,0
20171020,PV-RENTS,Fonds,99.981385,99.981385,99.981385,99.981385,0,0
20171019,PV-RENTS,Fonds,99.981085,99.981085,99.981085,99.981085,0,0
20171018,PV-RENTS,Fonds,99.981372,99.981372,99.981372,99.981372,0,0
20171017,PV-RENTS,Fonds,99.976018,99.976018,99.976018,99.976018,0,0
20171016,PV-RENTS,Fonds,99.966314,99.966314,99.966314,99.966314,0,0
20171013,PV-RENTS,Fonds,99.962918,99.962918,99.962918,99.962918,0,0
20171012,PV-RENTS,Fonds,99.963487,99.963487,99.963487,99.963487,0,0
20171011,PV-RENTS,Fonds,99.989332,99.989332,99.989332,99.989332,0,0
20171010,PV-RENTS,Fonds,99.994472,99.994472,99.994472,99.994472,0,0
20171009,PV-RENTS,Fonds,100.000878,100.000878,100.000878,100.000878,0,0
20171006,PV-RENTS,Fonds,99.994837,99.994837,99.994837,99.994837,0,0
20171005,PV-RENTS,Fonds,99.992171,99.992171,99.992171,99.992171,0,0
20171004,PV-RENTS,Fonds,99.991817,99.991817,99.991817,99.991817,0,0
20171003,PV-RENTS,Fonds,99.988985,99.988985,99.988985,99.988985,0,0
20171002,PV-RENTS,Fonds,99.983314,99.983314,99.983314,99.983314,0,0
20170929,PV-RENTS,Fonds,99.983011,99.983011,99.983011,99.983011,0,0
20170928,PV-RENTS,Fonds,99.977706,99.977706,99.977706,99.977706,0,0
20170927,PV-RENTS,Fonds,99.993419,99.993419,99.993419,99.993419,0,0
20170926,PV-RENTS,Fonds,99.990423,99.990423,99.990423,99.990423,0,0
20170925,PV-RENTS,Fonds,99.985428,99.985428,99.985428,99.985428,0,0
20170922,PV-RENTS,Fonds,99.975283,99.975283,99.975283,99.975283,0,0
20170921,PV-RENTS,Fonds,99.971819,99.971819,99.971819,99.971819,0,0
20170920,PV-RENTS,Fonds,99.979781,99.979781,99.979781,99.979781,0,0
20170919,PV-RENTS,Fonds,99.979116,99.979116,99.979116,99.979116,0,0
20170918,PV-RENTS,Fonds,99.975417,99.975417,99.975417,99.975417,0,0
20170915,PV-RENTS,Fonds,99.964524,99.964524,99.964524,99.964524,0,0
20170914,PV-RENTS,Fonds,99.963105,99.963105,99.963105,99.963105,0,0
20170913,PV-RENTS,Fonds,99.964892,99.964892,99.964892,99.964892,0,0
20170912,PV-RENTS,Fonds,99.960999,99.960999,99.960999,99.960999,0,0
20170911,PV-RENTS,Fonds,99.960403,99.960403,99.960403,99.960403,0,0
20170908,PV-RENTS,Fonds,99.952677,99.952677,99.952677,99.952677,0,0
20170907,PV-RENTS,Fonds,99.946868,99.946868,99.946868,99.946868,0,0
20170906,PV-RENTS,Fonds,99.95003,99.95003,99.95003,99.95003,0,0
20170905,PV-RENTS,Fonds,99.944557,99.944557,99.944557,99.944557,0,0
20170904,PV-RENTS,Fonds,99.941955,99.941955,99.941955,99.941955,0,0
20170901,PV-RENTS,Fonds,99.931693,99.931693,99.931693,99.931693,0,0
20170831,PV-RENTS,Fonds,99.92832,99.92832,99.92832,99.92832,0,0
20170830,PV-RENTS,Fonds,99.926384,99.926384,99.926384,99.926384,0,0
