quote_date,paper,exch,open,high,low,close,volume,value
20171120,SA-SNOCA,Fonds,1526.67,1526.67,1526.67,1526.67,0,0
20171117,SA-SNOCA,Fonds,1520.34,1520.34,1520.34,1520.34,0,0
20171116,SA-SNOCA,Fonds,1530.49,1530.49,1530.49,1530.49,0,0
20171115,SA-SNOCA,Fonds,1521.25,1521.25,1521.25,1521.25,0,0
20171114,SA-SNOCA,Fonds,1534.63,1534.63,1534.63,1534.63,0,0
20171113,SA-SNOCA,Fonds,1532.56,1532.56,1532.56,1532.56,0,0
20171110,SA-SNOCA,Fonds,1542.32,1542.32,1542.32,1542.32,0,0
20171109,SA-SNOCA,Fonds,1547.87,1547.87,1547.87,1547.87,0,0
20171108,SA-SNOCA,Fonds,1569.32,1569.32,1569.32,1569.32,0,0
20171107,SA-SNOCA,Fonds,1566.97,1566.97,1566.97,1566.97,0,0
20171106,SA-SNOCA,Fonds,1565.97,1565.97,1565.97,1565.97,0,0
20171103,SA-SNOCA,Fonds,1567.46,1567.46,1567.46,1567.46,0,0
20171102,SA-SNOCA,Fonds,1544.82,1544.82,1544.82,1544.82,0,0
20171101,SA-SNOCA,Fonds,1554.60,1554.60,1554.60,1554.60,0,0
20171031,SA-SNOCA,Fonds,1553.97,1553.97,1553.97,1553.97,0,0
20171026,SA-SNOCA,Fonds,1532.82,1532.82,1532.82,1532.82,0,0
20171025,SA-SNOCA,Fonds,1534.42,1534.42,1534.42,1534.42,0,0
20171024,SA-SNOCA,Fonds,1523.34,1523.34,1523.34,1523.34,0,0
20171023,SA-SNOCA,Fonds,1522.03,1522.03,1522.03,1522.03,0,0
20171020,SA-SNOCA,Fonds,1532.57,1532.57,1532.57,1532.57,0,0
20171019,SA-SNOCA,Fonds,1520.90,1520.90,1520.90,1520.90,0,0
20171018,SA-SNOCA,Fonds,1526.98,1526.98,1526.98,1526.98,0,0
20171017,SA-SNOCA,Fonds,1527.96,1527.96,1527.96,1527.96,0,0
20171016,SA-SNOCA,Fonds,1528.77,1528.77,1528.77,1528.77,0,0
20171013,SA-SNOCA,Fonds,1532.27,1532.27,1532.27,1532.27,0,0
20171012,SA-SNOCA,Fonds,1530.69,1530.69,1530.69,1530.69,0,0
20171011,SA-SNOCA,Fonds,1528.45,1528.45,1528.45,1528.45,0,0
20171010,SA-SNOCA,Fonds,1527.60,1527.60,1527.60,1527.60,0,0
20171009,SA-SNOCA,Fonds,1523.10,1523.10,1523.10,1523.10,0,0
20171006,SA-SNOCA,Fonds,1524.72,1524.72,1524.72,1524.72,0,0
20171005,SA-SNOCA,Fonds,1525.94,1525.94,1525.94,1525.94,0,0
20171004,SA-SNOCA,Fonds,1516.56,1516.56,1516.56,1516.56,0,0
20171003,SA-SNOCA,Fonds,1513.57,1513.57,1513.57,1513.57,0,0
20171002,SA-SNOCA,Fonds,1509.80,1509.80,1509.80,1509.80,0,0
20170929,SA-SNOCA,Fonds,1506.21,1506.21,1506.21,1506.21,0,0
20170928,SA-SNOCA,Fonds,1504.20,1504.20,1504.20,1504.20,0,0
20170927,SA-SNOCA,Fonds,1497.90,1497.90,1497.90,1497.90,0,0
20170926,SA-SNOCA,Fonds,1490.41,1490.41,1490.41,1490.41,0,0
20170925,SA-SNOCA,Fonds,1498.25,1498.25,1498.25,1498.25,0,0
20170922,SA-SNOCA,Fonds,1492.39,1492.39,1492.39,1492.39,0,0
20170921,SA-SNOCA,Fonds,1485.33,1485.33,1485.33,1485.33,0,0
20170920,SA-SNOCA,Fonds,1476.39,1476.39,1476.39,1476.39,0,0
20170919,SA-SNOCA,Fonds,1478.21,1478.21,1478.21,1478.21,0,0
20170918,SA-SNOCA,Fonds,1474.04,1474.04,1474.04,1474.04,0,0
20170915,SA-SNOCA,Fonds,1468.32,1468.32,1468.32,1468.32,0,0
20170914,SA-SNOCA,Fonds,1474.20,1474.20,1474.20,1474.20,0,0
20170913,SA-SNOCA,Fonds,1468.47,1468.47,1468.47,1468.47,0,0
20170912,SA-SNOCA,Fonds,1466.34,1466.34,1466.34,1466.34,0,0
20170911,SA-SNOCA,Fonds,1457.13,1457.13,1457.13,1457.13,0,0
20170908,SA-SNOCA,Fonds,1446.86,1446.86,1446.86,1446.86,0,0
20170907,SA-SNOCA,Fonds,1453.78,1453.78,1453.78,1453.78,0,0
20170906,SA-SNOCA,Fonds,1448.79,1448.79,1448.79,1448.79,0,0
20170905,SA-SNOCA,Fonds,1451.47,1451.47,1451.47,1451.47,0,0
20170904,SA-SNOCA,Fonds,1447.32,1447.32,1447.32,1447.32,0,0
20170901,SA-SNOCA,Fonds,1448.54,1448.54,1448.54,1448.54,0,0
20170830,SA-SNOCA,Fonds,1426.88,1426.88,1426.88,1426.88,0,0
20170829,SA-SNOCA,Fonds,1419.88,1419.88,1419.88,1419.88,0,0
20170828,SA-SNOCA,Fonds,1426.15,1426.15,1426.15,1426.15,0,0
20170825,SA-SNOCA,Fonds,1431.52,1431.52,1431.52,1431.52,0,0
20170824,SA-SNOCA,Fonds,1429.80,1429.80,1429.80,1429.80,0,0
20170823,SA-SNOCA,Fonds,1434.30,1434.30,1434.30,1434.30,0,0
20170822,SA-SNOCA,Fonds,1435.56,1435.56,1435.56,1435.56,0,0
20170821,SA-SNOCA,Fonds,1432.82,1432.82,1432.82,1432.82,0,0
20170818,SA-SNOCA,Fonds,1431.40,1431.40,1431.40,1431.40,0,0
20170817,SA-SNOCA,Fonds,1431.36,1431.36,1431.36,1431.36,0,0
20170816,SA-SNOCA,Fonds,1446.74,1446.74,1446.74,1446.74,0,0
20170815,SA-SNOCA,Fonds,1435.29,1435.29,1435.29,1435.29,0,0
20170814,SA-SNOCA,Fonds,1442.16,1442.16,1442.16,1442.16,0,0
20170811,SA-SNOCA,Fonds,1431.52,1431.52,1431.52,1431.52,0,0
20170810,SA-SNOCA,Fonds,1442.58,1442.58,1442.58,1442.58,0,0
20170809,SA-SNOCA,Fonds,1452.99,1452.99,1452.99,1452.99,0,0
20170808,SA-SNOCA,Fonds,1456.35,1456.35,1456.35,1456.35,0,0
20170803,SA-SNOCA,Fonds,1452.70,1452.70,1452.70,1452.70,0,0
20170802,SA-SNOCA,Fonds,1452.14,1452.14,1452.14,1452.14,0,0
20170801,SA-SNOCA,Fonds,1454.26,1454.26,1454.26,1454.26,0,0
20170731,SA-SNOCA,Fonds,1447.80,1447.80,1447.80,1447.80,0,0
20170728,SA-SNOCA,Fonds,1445.68,1445.68,1445.68,1445.68,0,0
20170727,SA-SNOCA,Fonds,1443.32,1443.32,1443.32,1443.32,0,0
20170726,SA-SNOCA,Fonds,1442.43,1442.43,1442.43,1442.43,0,0
20170725,SA-SNOCA,Fonds,1431.76,1431.76,1431.76,1431.76,0,0
20170724,SA-SNOCA,Fonds,1431.04,1431.04,1431.04,1431.04,0,0
20170721,SA-SNOCA,Fonds,1436.26,1436.26,1436.26,1436.26,0,0
20170720,SA-SNOCA,Fonds,1449.32,1449.32,1449.32,1449.32,0,0
20170719,SA-SNOCA,Fonds,1442.66,1442.66,1442.66,1442.66,0,0
20170718,SA-SNOCA,Fonds,1437.52,1437.52,1437.52,1437.52,0,0
20170717,SA-SNOCA,Fonds,1444.62,1444.62,1444.62,1444.62,0,0
