quote_date,paper,exch,open,high,low,close,volume,value
20171109,SC-ECBEU,Fonds,20.9892,20.9892,20.9892,20.9892,0,0
20171108,SC-ECBEU,Fonds,21.0466,21.0466,21.0466,21.0466,0,0
20171107,SC-ECBEU,Fonds,21.0484,21.0484,21.0484,21.0484,0,0
20171106,SC-ECBEU,Fonds,21.0491,21.0491,21.0491,21.0491,0,0
20171103,SC-ECBEU,Fonds,21.0294,21.0294,21.0294,21.0294,0,0
20171102,SC-ECBEU,Fonds,21.0078,21.0078,21.0078,21.0078,0,0
20171101,SC-ECBEU,Fonds,21.0005,21.0005,21.0005,21.0005,0,0
20171031,SC-ECBEU,Fonds,20.9769,20.9769,20.9769,20.9769,0,0
20171030,SC-ECBEU,Fonds,20.9563,20.9563,20.9563,20.9563,0,0
20171027,SC-ECBEU,Fonds,20.9059,20.9059,20.9059,20.9059,0,0
20171026,SC-ECBEU,Fonds,20.8774,20.8774,20.8774,20.8774,0,0
20171025,SC-ECBEU,Fonds,20.835,20.835,20.835,20.835,0,0
20171024,SC-ECBEU,Fonds,20.8589,20.8589,20.8589,20.8589,0,0
20171023,SC-ECBEU,Fonds,20.8845,20.8845,20.8845,20.8845,0,0
20171020,SC-ECBEU,Fonds,20.8692,20.8692,20.8692,20.8692,0,0
20171019,SC-ECBEU,Fonds,20.9041,20.9041,20.9041,20.9041,0,0
20171018,SC-ECBEU,Fonds,20.8987,20.8987,20.8987,20.8987,0,0
20171017,SC-ECBEU,Fonds,20.9042,20.9042,20.9042,20.9042,0,0
20171016,SC-ECBEU,Fonds,20.8897,20.8897,20.8897,20.8897,0,0
20171013,SC-ECBEU,Fonds,20.8634,20.8634,20.8634,20.8634,0,0
20171012,SC-ECBEU,Fonds,20.824,20.824,20.824,20.824,0,0
20171011,SC-ECBEU,Fonds,20.8147,20.8147,20.8147,20.8147,0,0
20171010,SC-ECBEU,Fonds,20.7952,20.7952,20.7952,20.7952,0,0
20171009,SC-ECBEU,Fonds,20.803,20.803,20.803,20.803,0,0
20171006,SC-ECBEU,Fonds,20.7655,20.7655,20.7655,20.7655,0,0
20171005,SC-ECBEU,Fonds,20.8016,20.8016,20.8016,20.8016,0,0
20171004,SC-ECBEU,Fonds,20.7935,20.7935,20.7935,20.7935,0,0
20171003,SC-ECBEU,Fonds,20.7627,20.7627,20.7627,20.7627,0,0
20171002,SC-ECBEU,Fonds,20.7725,20.7725,20.7725,20.7725,0,0
20170929,SC-ECBEU,Fonds,20.7695,20.7695,20.7695,20.7695,0,0
