quote_date,paper,exch,open,high,low,close,volume,value
20171109,SC-IBRIC,Fonds,197.3857,197.3857,197.3857,197.3857,0,0
20171108,SC-IBRIC,Fonds,196.2851,196.2851,196.2851,196.2851,0,0
20171107,SC-IBRIC,Fonds,198.0042,198.0042,198.0042,198.0042,0,0
20171106,SC-IBRIC,Fonds,194.1111,194.1111,194.1111,194.1111,0,0
20171103,SC-IBRIC,Fonds,192.7888,192.7888,192.7888,192.7888,0,0
20171102,SC-IBRIC,Fonds,193.1045,193.1045,193.1045,193.1045,0,0
20171101,SC-IBRIC,Fonds,194.4044,194.4044,194.4044,194.4044,0,0
20171031,SC-IBRIC,Fonds,191.3619,191.3619,191.3619,191.3619,0,0
20171030,SC-IBRIC,Fonds,192.0751,192.0751,192.0751,192.0751,0,0
20171027,SC-IBRIC,Fonds,190.8742,190.8742,190.8742,190.8742,0,0
20171026,SC-IBRIC,Fonds,188.9948,188.9948,188.9948,188.9948,0,0
20171025,SC-IBRIC,Fonds,189.7069,189.7069,189.7069,189.7069,0,0
20171024,SC-IBRIC,Fonds,188.8838,188.8838,188.8838,188.8838,0,0
20171023,SC-IBRIC,Fonds,190.7111,190.7111,190.7111,190.7111,0,0
20171020,SC-IBRIC,Fonds,189.8873,189.8873,189.8873,189.8873,0,0
20171019,SC-IBRIC,Fonds,188.9308,188.9308,188.9308,188.9308,0,0
20171018,SC-IBRIC,Fonds,191.4652,191.4652,191.4652,191.4652,0,0
20171017,SC-IBRIC,Fonds,192.1512,192.1512,192.1512,192.1512,0,0
20171016,SC-IBRIC,Fonds,191.7775,191.7775,191.7775,191.7775,0,0
20171013,SC-IBRIC,Fonds,189.3514,189.3514,189.3514,189.3514,0,0
20171012,SC-IBRIC,Fonds,190.0455,190.0455,190.0455,190.0455,0,0
20171011,SC-IBRIC,Fonds,189.2785,189.2785,189.2785,189.2785,0,0
20171010,SC-IBRIC,Fonds,189.516,189.516,189.516,189.516,0,0
20171009,SC-IBRIC,Fonds,189.7194,189.7194,189.7194,189.7194,0,0
20171006,SC-IBRIC,Fonds,191.2802,191.2802,191.2802,191.2802,0,0
20171005,SC-IBRIC,Fonds,190.2221,190.2221,190.2221,190.2221,0,0
20171004,SC-IBRIC,Fonds,189.8754,189.8754,189.8754,189.8754,0,0
20171003,SC-IBRIC,Fonds,187.5873,187.5873,187.5873,187.5873,0,0
20170929,SC-IBRIC,Fonds,183.5511,183.5511,183.5511,183.5511,0,0
20170928,SC-IBRIC,Fonds,183.7911,183.7911,183.7911,183.7911,0,0
20170927,SC-IBRIC,Fonds,184.898,184.898,184.898,184.898,0,0
20170926,SC-IBRIC,Fonds,184.216,184.216,184.216,184.216,0,0
20170925,SC-IBRIC,Fonds,184.8715,184.8715,184.8715,184.8715,0,0
20170922,SC-IBRIC,Fonds,184.8319,184.8319,184.8319,184.8319,0,0
20170921,SC-IBRIC,Fonds,186.745,186.745,186.745,186.745,0,0
20170920,SC-IBRIC,Fonds,186.2027,186.2027,186.2027,186.2027,0,0
20170919,SC-IBRIC,Fonds,186.0758,186.0758,186.0758,186.0758,0,0
20170918,SC-IBRIC,Fonds,186.6479,186.6479,186.6479,186.6479,0,0
20170915,SC-IBRIC,Fonds,184.8487,184.8487,184.8487,184.8487,0,0
20170914,SC-IBRIC,Fonds,186.2946,186.2946,186.2946,186.2946,0,0
20170913,SC-IBRIC,Fonds,185.1022,185.1022,185.1022,185.1022,0,0
20170912,SC-IBRIC,Fonds,185.5988,185.5988,185.5988,185.5988,0,0
20170911,SC-IBRIC,Fonds,183.245,183.245,183.245,183.245,0,0
20170908,SC-IBRIC,Fonds,181.8823,181.8823,181.8823,181.8823,0,0
20170907,SC-IBRIC,Fonds,179.9401,179.9401,179.9401,179.9401,0,0
20170906,SC-IBRIC,Fonds,180.789,180.789,180.789,180.789,0,0
20170905,SC-IBRIC,Fonds,181.7102,181.7102,181.7102,181.7102,0,0
20170904,SC-IBRIC,Fonds,181.4612,181.4612,181.4612,181.4612,0,0
20170901,SC-IBRIC,Fonds,181.4114,181.4114,181.4114,181.4114,0,0
20170831,SC-IBRIC,Fonds,181.5588,181.5588,181.5588,181.5588,0,0
20170830,SC-IBRIC,Fonds,179.6484,179.6484,179.6484,179.6484,0,0
20170829,SC-IBRIC,Fonds,176.6835,176.6835,176.6835,176.6835,0,0
20170828,SC-IBRIC,Fonds,179.7674,179.7674,179.7674,179.7674,0,0
20170825,SC-IBRIC,Fonds,182.7008,182.7008,182.7008,182.7008,0,0
20170824,SC-IBRIC,Fonds,181.7566,181.7566,181.7566,181.7566,0,0
20170823,SC-IBRIC,Fonds,179.8551,179.8551,179.8551,179.8551,0,0
20170822,SC-IBRIC,Fonds,178.7935,178.7935,178.7935,178.7935,0,0
20170821,SC-IBRIC,Fonds,177.6189,177.6189,177.6189,177.6189,0,0
20170818,SC-IBRIC,Fonds,176.6821,176.6821,176.6821,176.6821,0,0
20170817,SC-IBRIC,Fonds,178.9929,178.9929,178.9929,178.9929,0,0
20170816,SC-IBRIC,Fonds,177.8283,177.8283,177.8283,177.8283,0,0
20170815,SC-IBRIC,Fonds,175.8596,175.8596,175.8596,175.8596,0,0
20170814,SC-IBRIC,Fonds,174.0596,174.0596,174.0596,174.0596,0,0
20170811,SC-IBRIC,Fonds,171.9089,171.9089,171.9089,171.9089,0,0
20170810,SC-IBRIC,Fonds,176.5376,176.5376,176.5376,176.5376,0,0
20170809,SC-IBRIC,Fonds,177.4545,177.4545,177.4545,177.4545,0,0
20170808,SC-IBRIC,Fonds,177.1119,177.1119,177.1119,177.1119,0,0
20170807,SC-IBRIC,Fonds,175.6666,175.6666,175.6666,175.6666,0,0
20170804,SC-IBRIC,Fonds,174.3717,174.3717,174.3717,174.3717,0,0
20170803,SC-IBRIC,Fonds,173.4586,173.4586,173.4586,173.4586,0,0
20170802,SC-IBRIC,Fonds,174.6008,174.6008,174.6008,174.6008,0,0
20170801,SC-IBRIC,Fonds,174.6245,174.6245,174.6245,174.6245,0,0
20170731,SC-IBRIC,Fonds,174.5599,174.5599,174.5599,174.5599,0,0
20170728,SC-IBRIC,Fonds,173.635,173.635,173.635,173.635,0,0
20170727,SC-IBRIC,Fonds,174.9153,174.9153,174.9153,174.9153,0,0
20170726,SC-IBRIC,Fonds,174.4532,174.4532,174.4532,174.4532,0,0
20170725,SC-IBRIC,Fonds,173.3611,173.3611,173.3611,173.3611,0,0
20170724,SC-IBRIC,Fonds,173.8707,173.8707,173.8707,173.8707,0,0
20170721,SC-IBRIC,Fonds,174.0429,174.0429,174.0429,174.0429,0,0
20170720,SC-IBRIC,Fonds,175.2886,175.2886,175.2886,175.2886,0,0
20170719,SC-IBRIC,Fonds,176.3761,176.3761,176.3761,176.3761,0,0
20170718,SC-IBRIC,Fonds,173.7742,173.7742,173.7742,173.7742,0,0
20170717,SC-IBRIC,Fonds,175.3918,175.3918,175.3918,175.3918,0,0
20170714,SC-IBRIC,Fonds,174.581,174.581,174.581,174.581,0,0
20170713,SC-IBRIC,Fonds,174.4557,174.4557,174.4557,174.4557,0,0
20170712,SC-IBRIC,Fonds,170.9517,170.9517,170.9517,170.9517,0,0
20170711,SC-IBRIC,Fonds,170.1857,170.1857,170.1857,170.1857,0,0
20170710,SC-IBRIC,Fonds,167.8917,167.8917,167.8917,167.8917,0,0
20170707,SC-IBRIC,Fonds,167.3818,167.3818,167.3818,167.3818,0,0
20170706,SC-IBRIC,Fonds,168.8131,168.8131,168.8131,168.8131,0,0
20170705,SC-IBRIC,Fonds,169.295,169.295,169.295,169.295,0,0
20170704,SC-IBRIC,Fonds,168.9386,168.9386,168.9386,168.9386,0,0
20170703,SC-IBRIC,Fonds,169.3379,169.3379,169.3379,169.3379,0,0
20170630,SC-IBRIC,Fonds,167.6799,167.6799,167.6799,167.6799,0,0
20170629,SC-IBRIC,Fonds,168.8229,168.8229,168.8229,168.8229,0,0
20170628,SC-IBRIC,Fonds,168.7142,168.7142,168.7142,168.7142,0,0
20170627,SC-IBRIC,Fonds,170.8562,170.8562,170.8562,170.8562,0,0
20170626,SC-IBRIC,Fonds,171.1769,171.1769,171.1769,171.1769,0,0
20170623,SC-IBRIC,Fonds,170.6906,170.6906,170.6906,170.6906,0,0
20170622,SC-IBRIC,Fonds,171.0115,171.0115,171.0115,171.0115,0,0
20170621,SC-IBRIC,Fonds,170.4703,170.4703,170.4703,170.4703,0,0
20170620,SC-IBRIC,Fonds,172.2875,172.2875,172.2875,172.2875,0,0
20170619,SC-IBRIC,Fonds,171.0025,171.0025,171.0025,171.0025,0,0
20170616,SC-IBRIC,Fonds,170.2797,170.2797,170.2797,170.2797,0,0
20170615,SC-IBRIC,Fonds,170.6542,170.6542,170.6542,170.6542,0,0
20170614,SC-IBRIC,Fonds,170.8109,170.8109,170.8109,170.8109,0,0
20170613,SC-IBRIC,Fonds,171.4522,171.4522,171.4522,171.4522,0,0
20170612,SC-IBRIC,Fonds,171.2751,171.2751,171.2751,171.2751,0,0
20170609,SC-IBRIC,Fonds,174.2801,174.2801,174.2801,174.2801,0,0
20170608,SC-IBRIC,Fonds,171.7238,171.7238,171.7238,171.7238,0,0
20170607,SC-IBRIC,Fonds,170.8678,170.8678,170.8678,170.8678,0,0
20170606,SC-IBRIC,Fonds,169.827,169.827,169.827,169.827,0,0
20170602,SC-IBRIC,Fonds,169.5424,169.5424,169.5424,169.5424,0,0
20170601,SC-IBRIC,Fonds,169.9883,169.9883,169.9883,169.9883,0,0
20170531,SC-IBRIC,Fonds,170.1642,170.1642,170.1642,170.1642,0,0
20170530,SC-IBRIC,Fonds,171.8594,171.8594,171.8594,171.8594,0,0
20170529,SC-IBRIC,Fonds,171.5248,171.5248,171.5248,171.5248,0,0
20170526,SC-IBRIC,Fonds,170.9296,170.9296,170.9296,170.9296,0,0
20170524,SC-IBRIC,Fonds,169.1555,169.1555,169.1555,169.1555,0,0
20170523,SC-IBRIC,Fonds,168.7082,168.7082,168.7082,168.7082,0,0
20170522,SC-IBRIC,Fonds,168.5993,168.5993,168.5993,168.5993,0,0
20170519,SC-IBRIC,Fonds,166.6711,166.6711,166.6711,166.6711,0,0
20170518,SC-IBRIC,Fonds,171.1951,171.1951,171.1951,171.1951,0,0
20170516,SC-IBRIC,Fonds,174.2824,174.2824,174.2824,174.2824,0,0
20170515,SC-IBRIC,Fonds,175.1776,175.1776,175.1776,175.1776,0,0
20170512,SC-IBRIC,Fonds,174.0514,174.0514,174.0514,174.0514,0,0
20170511,SC-IBRIC,Fonds,174.2195,174.2195,174.2195,174.2195,0,0
20170510,SC-IBRIC,Fonds,172.2943,172.2943,172.2943,172.2943,0,0
20170509,SC-IBRIC,Fonds,170.4128,170.4128,170.4128,170.4128,0,0
20170508,SC-IBRIC,Fonds,168.2424,168.2424,168.2424,168.2424,0,0
20170505,SC-IBRIC,Fonds,166.5579,166.5579,166.5579,166.5579,0,0
20170504,SC-IBRIC,Fonds,169.3137,169.3137,169.3137,169.3137,0,0
20170503,SC-IBRIC,Fonds,170.9107,170.9107,170.9107,170.9107,0,0
20170502,SC-IBRIC,Fonds,170.3763,170.3763,170.3763,170.3763,0,0
20170428,SC-IBRIC,Fonds,169.3356,169.3356,169.3356,169.3356,0,0
20170427,SC-IBRIC,Fonds,170.0997,170.0997,170.0997,170.0997,0,0
20170426,SC-IBRIC,Fonds,170.5528,170.5528,170.5528,170.5528,0,0
20170425,SC-IBRIC,Fonds,169.7452,169.7452,169.7452,169.7452,0,0
20170424,SC-IBRIC,Fonds,168.1948,168.1948,168.1948,168.1948,0,0
20170421,SC-IBRIC,Fonds,169.4321,169.4321,169.4321,169.4321,0,0
20170420,SC-IBRIC,Fonds,168.1386,168.1386,168.1386,168.1386,0,0
20170419,SC-IBRIC,Fonds,168.0418,168.0418,168.0418,168.0418,0,0
20170418,SC-IBRIC,Fonds,168.771,168.771,168.771,168.771,0,0
20170412,SC-IBRIC,Fonds,170.8808,170.8808,170.8808,170.8808,0,0
20170411,SC-IBRIC,Fonds,170.9216,170.9216,170.9216,170.9216,0,0
20170410,SC-IBRIC,Fonds,171.3478,171.3478,171.3478,171.3478,0,0
20170407,SC-IBRIC,Fonds,171.3293,171.3293,171.3293,171.3293,0,0
20170406,SC-IBRIC,Fonds,171.7389,171.7389,171.7389,171.7389,0,0
20170405,SC-IBRIC,Fonds,172.7936,172.7936,172.7936,172.7936,0,0
20170403,SC-IBRIC,Fonds,170.4774,170.4774,170.4774,170.4774,0,0
20170331,SC-IBRIC,Fonds,169.2858,169.2858,169.2858,169.2858,0,0
20170330,SC-IBRIC,Fonds,169.9804,169.9804,169.9804,169.9804,0,0
20170329,SC-IBRIC,Fonds,168.4441,168.4441,168.4441,168.4441,0,0
20170328,SC-IBRIC,Fonds,166.4804,166.4804,166.4804,166.4804,0,0
20170327,SC-IBRIC,Fonds,165.1743,165.1743,165.1743,165.1743,0,0
20170324,SC-IBRIC,Fonds,166.9775,166.9775,166.9775,166.9775,0,0
20170323,SC-IBRIC,Fonds,166.536,166.536,166.536,166.536,0,0
20170322,SC-IBRIC,Fonds,166.33,166.33,166.33,166.33,0,0
20170321,SC-IBRIC,Fonds,169.4281,169.4281,169.4281,169.4281,0,0
20170320,SC-IBRIC,Fonds,169.3362,169.3362,169.3362,169.3362,0,0
20170317,SC-IBRIC,Fonds,168.7322,168.7322,168.7322,168.7322,0,0
20170316,SC-IBRIC,Fonds,168.3145,168.3145,168.3145,168.3145,0,0
20170315,SC-IBRIC,Fonds,165.9533,165.9533,165.9533,165.9533,0,0
20170314,SC-IBRIC,Fonds,166.3165,166.3165,166.3165,166.3165,0,0
20170313,SC-IBRIC,Fonds,165.2348,165.2348,165.2348,165.2348,0,0
20170310,SC-IBRIC,Fonds,163.6735,163.6735,163.6735,163.6735,0,0
20170309,SC-IBRIC,Fonds,164.0587,164.0587,164.0587,164.0587,0,0
20170308,SC-IBRIC,Fonds,167.0781,167.0781,167.0781,167.0781,0,0
20170307,SC-IBRIC,Fonds,167.1498,167.1498,167.1498,167.1498,0,0
20170306,SC-IBRIC,Fonds,167.1069,167.1069,167.1069,167.1069,0,0
20170303,SC-IBRIC,Fonds,166.3254,166.3254,166.3254,166.3254,0,0
20170302,SC-IBRIC,Fonds,168.8372,168.8372,168.8372,168.8372,0,0
20170301,SC-IBRIC,Fonds,167.9108,167.9108,167.9108,167.9108,0,0
20170228,SC-IBRIC,Fonds,167.4043,167.4043,167.4043,167.4043,0,0
20170227,SC-IBRIC,Fonds,168.3121,168.3121,168.3121,168.3121,0,0
20170224,SC-IBRIC,Fonds,169.2558,169.2558,169.2558,169.2558,0,0
20170223,SC-IBRIC,Fonds,171.8623,171.8623,171.8623,171.8623,0,0
20170222,SC-IBRIC,Fonds,172.204,172.204,172.204,172.204,0,0
20170221,SC-IBRIC,Fonds,170.2713,170.2713,170.2713,170.2713,0,0
20170220,SC-IBRIC,Fonds,168.7362,168.7362,168.7362,168.7362,0,0
20170217,SC-IBRIC,Fonds,167.385,167.385,167.385,167.385,0,0
20170216,SC-IBRIC,Fonds,169.5177,169.5177,169.5177,169.5177,0,0
20170215,SC-IBRIC,Fonds,169.3291,169.3291,169.3291,169.3291,0,0
20170214,SC-IBRIC,Fonds,167.7244,167.7244,167.7244,167.7244,0,0
20170213,SC-IBRIC,Fonds,167.5529,167.5529,167.5529,167.5529,0,0
20170210,SC-IBRIC,Fonds,166.4539,166.4539,166.4539,166.4539,0,0
20170209,SC-IBRIC,Fonds,165.4694,165.4694,165.4694,165.4694,0,0
20170208,SC-IBRIC,Fonds,164.3997,164.3997,164.3997,164.3997,0,0
20170207,SC-IBRIC,Fonds,164.1665,164.1665,164.1665,164.1665,0,0
20170206,SC-IBRIC,Fonds,164.3976,164.3976,164.3976,164.3976,0,0
20170203,SC-IBRIC,Fonds,162.8681,162.8681,162.8681,162.8681,0,0
20170202,SC-IBRIC,Fonds,161.6838,161.6838,161.6838,161.6838,0,0
20170201,SC-IBRIC,Fonds,162.2497,162.2497,162.2497,162.2497,0,0
20170131,SC-IBRIC,Fonds,161.9549,161.9549,161.9549,161.9549,0,0
20170130,SC-IBRIC,Fonds,164.5112,164.5112,164.5112,164.5112,0,0
20170127,SC-IBRIC,Fonds,164.2689,164.2689,164.2689,164.2689,0,0
20170126,SC-IBRIC,Fonds,164.2308,164.2308,164.2308,164.2308,0,0
20170125,SC-IBRIC,Fonds,161.6122,161.6122,161.6122,161.6122,0,0
20170124,SC-IBRIC,Fonds,160.3717,160.3717,160.3717,160.3717,0,0
20170123,SC-IBRIC,Fonds,158.6067,158.6067,158.6067,158.6067,0,0
20170120,SC-IBRIC,Fonds,158.9836,158.9836,158.9836,158.9836,0,0
20170119,SC-IBRIC,Fonds,159.9433,159.9433,159.9433,159.9433,0,0
20170118,SC-IBRIC,Fonds,160.1502,160.1502,160.1502,160.1502,0,0
20170117,SC-IBRIC,Fonds,159.0139,159.0139,159.0139,159.0139,0,0
20170116,SC-IBRIC,Fonds,159.9786,159.9786,159.9786,159.9786,0,0
20170113,SC-IBRIC,Fonds,160.3269,160.3269,160.3269,160.3269,0,0
20170112,SC-IBRIC,Fonds,160.3936,160.3936,160.3936,160.3936,0,0
20170111,SC-IBRIC,Fonds,161.538,161.538,161.538,161.538,0,0
20170110,SC-IBRIC,Fonds,159.8682,159.8682,159.8682,159.8682,0,0
20170109,SC-IBRIC,Fonds,159.2711,159.2711,159.2711,159.2711,0,0
20170106,SC-IBRIC,Fonds,159.6168,159.6168,159.6168,159.6168,0,0
20170105,SC-IBRIC,Fonds,158.6604,158.6604,158.6604,158.6604,0,0
20170104,SC-IBRIC,Fonds,158.1994,158.1994,158.1994,158.1994,0,0
20170103,SC-IBRIC,Fonds,158.0735,158.0735,158.0735,158.0735,0,0
20161230,SC-IBRIC,Fonds,155.5507,155.5507,155.5507,155.5507,0,0
20161229,SC-IBRIC,Fonds,155.3393,155.3393,155.3393,155.3393,0,0
20161228,SC-IBRIC,Fonds,155.1391,155.1391,155.1391,155.1391,0,0
20161227,SC-IBRIC,Fonds,152.5453,152.5453,152.5453,152.5453,0,0
20161223,SC-IBRIC,Fonds,152.1159,152.1159,152.1159,152.1159,0,0
20161222,SC-IBRIC,Fonds,152.2694,152.2694,152.2694,152.2694,0,0
20161221,SC-IBRIC,Fonds,153.3459,153.3459,153.3459,153.3459,0,0
20161220,SC-IBRIC,Fonds,153.3465,153.3465,153.3465,153.3465,0,0
20161219,SC-IBRIC,Fonds,153.2734,153.2734,153.2734,153.2734,0,0
20161216,SC-IBRIC,Fonds,154.5064,154.5064,154.5064,154.5064,0,0
20161215,SC-IBRIC,Fonds,154.7116,154.7116,154.7116,154.7116,0,0
20161214,SC-IBRIC,Fonds,154.5658,154.5658,154.5658,154.5658,0,0
20161213,SC-IBRIC,Fonds,154.5795,154.5795,154.5795,154.5795,0,0
20161212,SC-IBRIC,Fonds,155.0737,155.0737,155.0737,155.0737,0,0
20161209,SC-IBRIC,Fonds,155.9727,155.9727,155.9727,155.9727,0,0
20161208,SC-IBRIC,Fonds,154.8063,154.8063,154.8063,154.8063,0,0
20161207,SC-IBRIC,Fonds,152.1616,152.1616,152.1616,152.1616,0,0
20161206,SC-IBRIC,Fonds,151.5221,151.5221,151.5221,151.5221,0,0
20161205,SC-IBRIC,Fonds,151.2486,151.2486,151.2486,151.2486,0,0
20161202,SC-IBRIC,Fonds,151.655,151.655,151.655,151.655,0,0
20161201,SC-IBRIC,Fonds,155.6648,155.6648,155.6648,155.6648,0,0
20161130,SC-IBRIC,Fonds,155.081,155.081,155.081,155.081,0,0
20161129,SC-IBRIC,Fonds,155.3529,155.3529,155.3529,155.3529,0,0
20161128,SC-IBRIC,Fonds,155.4939,155.4939,155.4939,155.4939,0,0
20161125,SC-IBRIC,Fonds,155.0296,155.0296,155.0296,155.0296,0,0
20161124,SC-IBRIC,Fonds,154.9885,154.9885,154.9885,154.9885,0,0
20161123,SC-IBRIC,Fonds,155.6052,155.6052,155.6052,155.6052,0,0
