quote_date,paper,exch,open,high,low,close,volume,value
20171109,SC-JAPLC,Fonds,18.3614,18.3614,18.3614,18.3614,0,0
20171108,SC-JAPLC,Fonds,18.5638,18.5638,18.5638,18.5638,0,0
20171107,SC-JAPLC,Fonds,18.4044,18.4044,18.4044,18.4044,0,0
20171106,SC-JAPLC,Fonds,18.2791,18.2791,18.2791,18.2791,0,0
20171102,SC-JAPLC,Fonds,18.3011,18.3011,18.3011,18.3011,0,0
20171101,SC-JAPLC,Fonds,18.3385,18.3385,18.3385,18.3385,0,0
20171031,SC-JAPLC,Fonds,18.1787,18.1787,18.1787,18.1787,0,0
20171030,SC-JAPLC,Fonds,18.1713,18.1713,18.1713,18.1713,0,0
20171027,SC-JAPLC,Fonds,18.031,18.031,18.031,18.031,0,0
20171026,SC-JAPLC,Fonds,17.9435,17.9435,17.9435,17.9435,0,0
20171025,SC-JAPLC,Fonds,17.8602,17.8602,17.8602,17.8602,0,0
20171024,SC-JAPLC,Fonds,17.944,17.944,17.944,17.944,0,0
20171023,SC-JAPLC,Fonds,17.934,17.934,17.934,17.934,0,0
20171020,SC-JAPLC,Fonds,17.7861,17.7861,17.7861,17.7861,0,0
20171019,SC-JAPLC,Fonds,17.7684,17.7684,17.7684,17.7684,0,0
20171018,SC-JAPLC,Fonds,17.8482,17.8482,17.8482,17.8482,0,0
20171017,SC-JAPLC,Fonds,17.9272,17.9272,17.9272,17.9272,0,0
20171016,SC-JAPLC,Fonds,17.9714,17.9714,17.9714,17.9714,0,0
20171013,SC-JAPLC,Fonds,17.8766,17.8766,17.8766,17.8766,0,0
20171012,SC-JAPLC,Fonds,17.6992,17.6992,17.6992,17.6992,0,0
20171011,SC-JAPLC,Fonds,17.7273,17.7273,17.7273,17.7273,0,0
20171010,SC-JAPLC,Fonds,17.7613,17.7613,17.7613,17.7613,0,0
20171006,SC-JAPLC,Fonds,17.4621,17.4621,17.4621,17.4621,0,0
20171005,SC-JAPLC,Fonds,17.5265,17.5265,17.5265,17.5265,0,0
20171004,SC-JAPLC,Fonds,17.5543,17.5543,17.5543,17.5543,0,0
20171003,SC-JAPLC,Fonds,17.499,17.499,17.499,17.499,0,0
20171002,SC-JAPLC,Fonds,17.4478,17.4478,17.4478,17.4478,0,0
20170929,SC-JAPLC,Fonds,17.5201,17.5201,17.5201,17.5201,0,0
20170928,SC-JAPLC,Fonds,17.4815,17.4815,17.4815,17.4815,0,0
20170927,SC-JAPLC,Fonds,17.3655,17.3655,17.3655,17.3655,0,0
20170926,SC-JAPLC,Fonds,17.3762,17.3762,17.3762,17.3762,0,0
20170925,SC-JAPLC,Fonds,17.3371,17.3371,17.3371,17.3371,0,0
20170922,SC-JAPLC,Fonds,17.236,17.236,17.236,17.236,0,0
20170921,SC-JAPLC,Fonds,17.2068,17.2068,17.2068,17.2068,0,0
20170920,SC-JAPLC,Fonds,17.3119,17.3119,17.3119,17.3119,0,0
20170919,SC-JAPLC,Fonds,17.2572,17.2572,17.2572,17.2572,0,0
20170915,SC-JAPLC,Fonds,17.105,17.105,17.105,17.105,0,0
20170914,SC-JAPLC,Fonds,17.0504,17.0504,17.0504,17.0504,0,0
20170913,SC-JAPLC,Fonds,17.0843,17.0843,17.0843,17.0843,0,0
20170912,SC-JAPLC,Fonds,16.9962,16.9962,16.9962,16.9962,0,0
20170911,SC-JAPLC,Fonds,17.0124,17.0124,17.0124,17.0124,0,0
20170908,SC-JAPLC,Fonds,17.0178,17.0178,17.0178,17.0178,0,0
20170907,SC-JAPLC,Fonds,16.924,16.924,16.924,16.924,0,0
20170906,SC-JAPLC,Fonds,16.7842,16.7842,16.7842,16.7842,0,0
20170905,SC-JAPLC,Fonds,16.7408,16.7408,16.7408,16.7408,0,0
20170904,SC-JAPLC,Fonds,16.8218,16.8218,16.8218,16.8218,0,0
20170901,SC-JAPLC,Fonds,16.9944,16.9944,16.9944,16.9944,0,0
20170831,SC-JAPLC,Fonds,16.8536,16.8536,16.8536,16.8536,0,0
20170830,SC-JAPLC,Fonds,16.7662,16.7662,16.7662,16.7662,0,0
20170829,SC-JAPLC,Fonds,16.9343,16.9343,16.9343,16.9343,0,0
20170828,SC-JAPLC,Fonds,16.8273,16.8273,16.8273,16.8273,0,0
20170825,SC-JAPLC,Fonds,16.74,16.74,16.74,16.74,0,0
20170824,SC-JAPLC,Fonds,16.7188,16.7188,16.7188,16.7188,0,0
20170823,SC-JAPLC,Fonds,16.7874,16.7874,16.7874,16.7874,0,0
20170822,SC-JAPLC,Fonds,16.7565,16.7565,16.7565,16.7565,0,0
20170821,SC-JAPLC,Fonds,16.797,16.797,16.797,16.797,0,0
20170818,SC-JAPLC,Fonds,16.8387,16.8387,16.8387,16.8387,0,0
20170817,SC-JAPLC,Fonds,16.7957,16.7957,16.7957,16.7957,0,0
20170816,SC-JAPLC,Fonds,16.7112,16.7112,16.7112,16.7112,0,0
20170815,SC-JAPLC,Fonds,16.727,16.727,16.727,16.727,0,0
20170814,SC-JAPLC,Fonds,16.7715,16.7715,16.7715,16.7715,0,0
20170810,SC-JAPLC,Fonds,16.88,16.88,16.88,16.88,0,0
20170809,SC-JAPLC,Fonds,16.9224,16.9224,16.9224,16.9224,0,0
20170808,SC-JAPLC,Fonds,16.9813,16.9813,16.9813,16.9813,0,0
20170807,SC-JAPLC,Fonds,16.9216,16.9216,16.9216,16.9216,0,0
20170804,SC-JAPLC,Fonds,16.9086,16.9086,16.9086,16.9086,0,0
20170803,SC-JAPLC,Fonds,16.9477,16.9477,16.9477,16.9477,0,0
20170802,SC-JAPLC,Fonds,16.8568,16.8568,16.8568,16.8568,0,0
20170801,SC-JAPLC,Fonds,16.8903,16.8903,16.8903,16.8903,0,0
20170731,SC-JAPLC,Fonds,16.8086,16.8086,16.8086,16.8086,0,0
20170728,SC-JAPLC,Fonds,16.6883,16.6883,16.6883,16.6883,0,0
20170727,SC-JAPLC,Fonds,16.6562,16.6562,16.6562,16.6562,0,0
20170726,SC-JAPLC,Fonds,16.6212,16.6212,16.6212,16.6212,0,0
20170725,SC-JAPLC,Fonds,16.5997,16.5997,16.5997,16.5997,0,0
20170724,SC-JAPLC,Fonds,16.737,16.737,16.737,16.737,0,0
20170721,SC-JAPLC,Fonds,16.7077,16.7077,16.7077,16.7077,0,0
20170720,SC-JAPLC,Fonds,16.5786,16.5786,16.5786,16.5786,0,0
20170719,SC-JAPLC,Fonds,16.5709,16.5709,16.5709,16.5709,0,0
20170718,SC-JAPLC,Fonds,16.555,16.555,16.555,16.555,0,0
20170714,SC-JAPLC,Fonds,16.5156,16.5156,16.5156,16.5156,0,0
20170713,SC-JAPLC,Fonds,16.2916,16.2916,16.2916,16.2916,0,0
20170712,SC-JAPLC,Fonds,16.3591,16.3591,16.3591,16.3591,0,0
20170711,SC-JAPLC,Fonds,16.2503,16.2503,16.2503,16.2503,0,0
20170710,SC-JAPLC,Fonds,16.1158,16.1158,16.1158,16.1158,0,0
20170707,SC-JAPLC,Fonds,16.0966,16.0966,16.0966,16.0966,0,0
20170706,SC-JAPLC,Fonds,16.2937,16.2937,16.2937,16.2937,0,0
20170705,SC-JAPLC,Fonds,16.227,16.227,16.227,16.227,0,0
20170704,SC-JAPLC,Fonds,16.1803,16.1803,16.1803,16.1803,0,0
20170703,SC-JAPLC,Fonds,16.2327,16.2327,16.2327,16.2327,0,0
20170630,SC-JAPLC,Fonds,16.2864,16.2864,16.2864,16.2864,0,0
20170629,SC-JAPLC,Fonds,16.2481,16.2481,16.2481,16.2481,0,0
20170628,SC-JAPLC,Fonds,16.2319,16.2319,16.2319,16.2319,0,0
20170627,SC-JAPLC,Fonds,16.2668,16.2668,16.2668,16.2668,0,0
20170626,SC-JAPLC,Fonds,16.2464,16.2464,16.2464,16.2464,0,0
20170623,SC-JAPLC,Fonds,16.2421,16.2421,16.2421,16.2421,0,0
20170622,SC-JAPLC,Fonds,16.2697,16.2697,16.2697,16.2697,0,0
20170621,SC-JAPLC,Fonds,16.2143,16.2143,16.2143,16.2143,0,0
20170620,SC-JAPLC,Fonds,16.2418,16.2418,16.2418,16.2418,0,0
20170619,SC-JAPLC,Fonds,16.1676,16.1676,16.1676,16.1676,0,0
20170616,SC-JAPLC,Fonds,16.1391,16.1391,16.1391,16.1391,0,0
20170615,SC-JAPLC,Fonds,16.185,16.185,16.185,16.185,0,0
20170614,SC-JAPLC,Fonds,16.4408,16.4408,16.4408,16.4408,0,0
20170613,SC-JAPLC,Fonds,16.3331,16.3331,16.3331,16.3331,0,0
20170612,SC-JAPLC,Fonds,16.3159,16.3159,16.3159,16.3159,0,0
20170609,SC-JAPLC,Fonds,16.2129,16.2129,16.2129,16.2129,0,0
20170608,SC-JAPLC,Fonds,16.3528,16.3528,16.3528,16.3528,0,0
20170607,SC-JAPLC,Fonds,16.4128,16.4128,16.4128,16.4128,0,0
20170606,SC-JAPLC,Fonds,16.3342,16.3342,16.3342,16.3342,0,0
