quote_date,paper,exch,open,high,low,close,volume,value
20171109,SC-SIULC,Fonds,1141.0957,1141.0957,1141.0957,1141.0957,0,0
20171108,SC-SIULC,Fonds,1142.2454,1142.2454,1142.2454,1142.2454,0,0
20171107,SC-SIULC,Fonds,1143.0179,1143.0179,1143.0179,1143.0179,0,0
20171106,SC-SIULC,Fonds,1137.8325,1137.8325,1137.8325,1137.8325,0,0
20171103,SC-SIULC,Fonds,1130.2031,1130.2031,1130.2031,1130.2031,0,0
20171102,SC-SIULC,Fonds,1129.823,1129.823,1129.823,1129.823,0,0
20171101,SC-SIULC,Fonds,1136.6973,1136.6973,1136.6973,1136.6973,0,0
20171031,SC-SIULC,Fonds,1134.6692,1134.6692,1134.6692,1134.6692,0,0
20171030,SC-SIULC,Fonds,1132.7096,1132.7096,1132.7096,1132.7096,0,0
20171027,SC-SIULC,Fonds,1127.1315,1127.1315,1127.1315,1127.1315,0,0
20171026,SC-SIULC,Fonds,1105.6978,1105.6978,1105.6978,1105.6978,0,0
20171025,SC-SIULC,Fonds,1104.2568,1104.2568,1104.2568,1104.2568,0,0
20171024,SC-SIULC,Fonds,1098.251,1098.251,1098.251,1098.251,0,0
20171023,SC-SIULC,Fonds,1104.2609,1104.2609,1104.2609,1104.2609,0,0
20171020,SC-SIULC,Fonds,1096.6526,1096.6526,1096.6526,1096.6526,0,0
20171019,SC-SIULC,Fonds,1095.8516,1095.8516,1095.8516,1095.8516,0,0
20171018,SC-SIULC,Fonds,1096.3157,1096.3157,1096.3157,1096.3157,0,0
20171017,SC-SIULC,Fonds,1091.1097,1091.1097,1091.1097,1091.1097,0,0
20171016,SC-SIULC,Fonds,1081.3211,1081.3211,1081.3211,1081.3211,0,0
20171013,SC-SIULC,Fonds,1077.989,1077.989,1077.989,1077.989,0,0
20171012,SC-SIULC,Fonds,1087.4238,1087.4238,1087.4238,1087.4238,0,0
20171011,SC-SIULC,Fonds,1085.91,1085.91,1085.91,1085.91,0,0
20171010,SC-SIULC,Fonds,1088.1142,1088.1142,1088.1142,1088.1142,0,0
20171009,SC-SIULC,Fonds,1094.2371,1094.2371,1094.2371,1094.2371,0,0
20171006,SC-SIULC,Fonds,1101.6036,1101.6036,1101.6036,1101.6036,0,0
20171005,SC-SIULC,Fonds,1086.7286,1086.7286,1086.7286,1086.7286,0,0
20171004,SC-SIULC,Fonds,1082.7308,1082.7308,1082.7308,1082.7308,0,0
20171003,SC-SIULC,Fonds,1086.2743,1086.2743,1086.2743,1086.2743,0,0
20171002,SC-SIULC,Fonds,1081.556,1081.556,1081.556,1081.556,0,0
20170929,SC-SIULC,Fonds,1073.5571,1073.5571,1073.5571,1073.5571,0,0
