quote_date,paper,exch,open,high,low,close,volume,value
20171109,SC-SMCUS,Fonds,292.6409,292.6409,292.6409,292.6409,0,0
20171108,SC-SMCUS,Fonds,292.2339,292.2339,292.2339,292.2339,0,0
20171107,SC-SMCUS,Fonds,293.698,293.698,293.698,293.698,0,0
20171106,SC-SMCUS,Fonds,292.9698,292.9698,292.9698,292.9698,0,0
20171103,SC-SMCUS,Fonds,292.2787,292.2787,292.2787,292.2787,0,0
20171102,SC-SMCUS,Fonds,292.8113,292.8113,292.8113,292.8113,0,0
20171101,SC-SMCUS,Fonds,295.1301,295.1301,295.1301,295.1301,0,0
20171031,SC-SMCUS,Fonds,292.5816,292.5816,292.5816,292.5816,0,0
20171030,SC-SMCUS,Fonds,292.7292,292.7292,292.7292,292.7292,0,0
20171027,SC-SMCUS,Fonds,292.7483,292.7483,292.7483,292.7483,0,0
20171026,SC-SMCUS,Fonds,291.6707,291.6707,291.6707,291.6707,0,0
20171025,SC-SMCUS,Fonds,293.3783,293.3783,293.3783,293.3783,0,0
20171024,SC-SMCUS,Fonds,293.0232,293.0232,293.0232,293.0232,0,0
20171023,SC-SMCUS,Fonds,293.8451,293.8451,293.8451,293.8451,0,0
20171020,SC-SMCUS,Fonds,291.97,291.97,291.97,291.97,0,0
20171019,SC-SMCUS,Fonds,291.2177,291.2177,291.2177,291.2177,0,0
20171018,SC-SMCUS,Fonds,290.7328,290.7328,290.7328,290.7328,0,0
20171017,SC-SMCUS,Fonds,290.9217,290.9217,290.9217,290.9217,0,0
20171016,SC-SMCUS,Fonds,290.572,290.572,290.572,290.572,0,0
20171013,SC-SMCUS,Fonds,291.1617,291.1617,291.1617,291.1617,0,0
20171012,SC-SMCUS,Fonds,291.3942,291.3942,291.3942,291.3942,0,0
20171011,SC-SMCUS,Fonds,291.2059,291.2059,291.2059,291.2059,0,0
20171010,SC-SMCUS,Fonds,290.6423,290.6423,290.6423,290.6423,0,0
20171009,SC-SMCUS,Fonds,291.8336,291.8336,291.8336,291.8336,0,0
20171006,SC-SMCUS,Fonds,292.1731,292.1731,292.1731,292.1731,0,0
20171005,SC-SMCUS,Fonds,291.6232,291.6232,291.6232,291.6232,0,0
20171004,SC-SMCUS,Fonds,291.3741,291.3741,291.3741,291.3741,0,0
20171003,SC-SMCUS,Fonds,290.8064,290.8064,290.8064,290.8064,0,0
20171002,SC-SMCUS,Fonds,289.3947,289.3947,289.3947,289.3947,0,0
20170929,SC-SMCUS,Fonds,288.7118,288.7118,288.7118,288.7118,0,0
20170928,SC-SMCUS,Fonds,288.2731,288.2731,288.2731,288.2731,0,0
20170927,SC-SMCUS,Fonds,286.2861,286.2861,286.2861,286.2861,0,0
20170926,SC-SMCUS,Fonds,285.6855,285.6855,285.6855,285.6855,0,0
20170925,SC-SMCUS,Fonds,285.491,285.491,285.491,285.491,0,0
20170922,SC-SMCUS,Fonds,284.6719,284.6719,284.6719,284.6719,0,0
20170921,SC-SMCUS,Fonds,284.6925,284.6925,284.6925,284.6925,0,0
20170920,SC-SMCUS,Fonds,283.2699,283.2699,283.2699,283.2699,0,0
20170919,SC-SMCUS,Fonds,284.2839,284.2839,284.2839,284.2839,0,0
20170918,SC-SMCUS,Fonds,283.529,283.529,283.529,283.529,0,0
20170915,SC-SMCUS,Fonds,282.5227,282.5227,282.5227,282.5227,0,0
20170914,SC-SMCUS,Fonds,283.5504,283.5504,283.5504,283.5504,0,0
20170913,SC-SMCUS,Fonds,283.4483,283.4483,283.4483,283.4483,0,0
20170912,SC-SMCUS,Fonds,281.9289,281.9289,281.9289,281.9289,0,0
20170911,SC-SMCUS,Fonds,279.0536,279.0536,279.0536,279.0536,0,0
20170908,SC-SMCUS,Fonds,278.3102,278.3102,278.3102,278.3102,0,0
20170907,SC-SMCUS,Fonds,279.2785,279.2785,279.2785,279.2785,0,0
20170906,SC-SMCUS,Fonds,278.905,278.905,278.905,278.905,0,0
20170905,SC-SMCUS,Fonds,281.0656,281.0656,281.0656,281.0656,0,0
20170901,SC-SMCUS,Fonds,280.6504,280.6504,280.6504,280.6504,0,0
20170831,SC-SMCUS,Fonds,278.4789,278.4789,278.4789,278.4789,0,0
20170830,SC-SMCUS,Fonds,277.1949,277.1949,277.1949,277.1949,0,0
20170829,SC-SMCUS,Fonds,275.2305,275.2305,275.2305,275.2305,0,0
20170828,SC-SMCUS,Fonds,276.7916,276.7916,276.7916,276.7916,0,0
20170825,SC-SMCUS,Fonds,275.7386,275.7386,275.7386,275.7386,0,0
20170824,SC-SMCUS,Fonds,275.5852,275.5852,275.5852,275.5852,0,0
20170823,SC-SMCUS,Fonds,276.1329,276.1329,276.1329,276.1329,0,0
20170822,SC-SMCUS,Fonds,273.7163,273.7163,273.7163,273.7163,0,0
20170821,SC-SMCUS,Fonds,273.59,273.59,273.59,273.59,0,0
20170818,SC-SMCUS,Fonds,274.0705,274.0705,274.0705,274.0705,0,0
20170817,SC-SMCUS,Fonds,278.2339,278.2339,278.2339,278.2339,0,0
20170816,SC-SMCUS,Fonds,277.638,277.638,277.638,277.638,0,0
20170815,SC-SMCUS,Fonds,279.3247,279.3247,279.3247,279.3247,0,0
20170814,SC-SMCUS,Fonds,277.9326,277.9326,277.9326,277.9326,0,0
20170811,SC-SMCUS,Fonds,276.1699,276.1699,276.1699,276.1699,0,0
20170810,SC-SMCUS,Fonds,280.6586,280.6586,280.6586,280.6586,0,0
20170809,SC-SMCUS,Fonds,281.478,281.478,281.478,281.478,0,0
20170808,SC-SMCUS,Fonds,282.2735,282.2735,282.2735,282.2735,0,0
20170807,SC-SMCUS,Fonds,282.0126,282.0126,282.0126,282.0126,0,0
20170804,SC-SMCUS,Fonds,281.6268,281.6268,281.6268,281.6268,0,0
20170803,SC-SMCUS,Fonds,282.1292,282.1292,282.1292,282.1292,0,0
20170802,SC-SMCUS,Fonds,284.0142,284.0142,284.0142,284.0142,0,0
20170801,SC-SMCUS,Fonds,284.1689,284.1689,284.1689,284.1689,0,0
20170731,SC-SMCUS,Fonds,284.406,284.406,284.406,284.406,0,0
20170728,SC-SMCUS,Fonds,284.6541,284.6541,284.6541,284.6541,0,0
20170727,SC-SMCUS,Fonds,285.8301,285.8301,285.8301,285.8301,0,0
20170726,SC-SMCUS,Fonds,286.4495,286.4495,286.4495,286.4495,0,0
20170725,SC-SMCUS,Fonds,285.2647,285.2647,285.2647,285.2647,0,0
20170724,SC-SMCUS,Fonds,284.9572,284.9572,284.9572,284.9572,0,0
20170721,SC-SMCUS,Fonds,285.745,285.745,285.745,285.745,0,0
20170720,SC-SMCUS,Fonds,286.2294,286.2294,286.2294,286.2294,0,0
20170719,SC-SMCUS,Fonds,284.1584,284.1584,284.1584,284.1584,0,0
20170718,SC-SMCUS,Fonds,284.7838,284.7838,284.7838,284.7838,0,0
20170717,SC-SMCUS,Fonds,284.8455,284.8455,284.8455,284.8455,0,0
20170714,SC-SMCUS,Fonds,284.2067,284.2067,284.2067,284.2067,0,0
20170713,SC-SMCUS,Fonds,283.935,283.935,283.935,283.935,0,0
20170712,SC-SMCUS,Fonds,282.5591,282.5591,282.5591,282.5591,0,0
20170711,SC-SMCUS,Fonds,282.5401,282.5401,282.5401,282.5401,0,0
20170710,SC-SMCUS,Fonds,283.09,283.09,283.09,283.09,0,0
20170707,SC-SMCUS,Fonds,280.4898,280.4898,280.4898,280.4898,0,0
20170706,SC-SMCUS,Fonds,283.5613,283.5613,283.5613,283.5613,0,0
20170705,SC-SMCUS,Fonds,284.585,284.585,284.585,284.585,0,0
20170703,SC-SMCUS,Fonds,283.3671,283.3671,283.3671,283.3671,0,0
20170630,SC-SMCUS,Fonds,282.8915,282.8915,282.8915,282.8915,0,0
20170629,SC-SMCUS,Fonds,284.4645,284.4645,284.4645,284.4645,0,0
20170628,SC-SMCUS,Fonds,282.2484,282.2484,282.2484,282.2484,0,0
20170627,SC-SMCUS,Fonds,284.2241,284.2241,284.2241,284.2241,0,0
20170626,SC-SMCUS,Fonds,283.3207,283.3207,283.3207,283.3207,0,0
20170623,SC-SMCUS,Fonds,282.6255,282.6255,282.6255,282.6255,0,0
20170622,SC-SMCUS,Fonds,282.4449,282.4449,282.4449,282.4449,0,0
20170621,SC-SMCUS,Fonds,283.7021,283.7021,283.7021,283.7021,0,0
20170620,SC-SMCUS,Fonds,286.6054,286.6054,286.6054,286.6054,0,0
20170619,SC-SMCUS,Fonds,284.5493,284.5493,284.5493,284.5493,0,0
20170616,SC-SMCUS,Fonds,284.8777,284.8777,284.8777,284.8777,0,0
20170615,SC-SMCUS,Fonds,283.6717,283.6717,283.6717,283.6717,0,0
20170614,SC-SMCUS,Fonds,286.0379,286.0379,286.0379,286.0379,0,0
20170613,SC-SMCUS,Fonds,284.4807,284.4807,284.4807,284.4807,0,0
20170612,SC-SMCUS,Fonds,284.3949,284.3949,284.3949,284.3949,0,0
20170609,SC-SMCUS,Fonds,283.152,283.152,283.152,283.152,0,0
20170608,SC-SMCUS,Fonds,282.4473,282.4473,282.4473,282.4473,0,0
