quote_date,paper,exch,open,high,low,close,volume,value
20171109,SE-ASLCT,Fonds,152.395,152.395,152.395,152.395,0,0
20171108,SE-ASLCT,Fonds,153.192,153.192,153.192,153.192,0,0
20171107,SE-ASLCT,Fonds,153.846,153.846,153.846,153.846,0,0
20171106,SE-ASLCT,Fonds,153.335,153.335,153.335,153.335,0,0
20171103,SE-ASLCT,Fonds,152.969,152.969,152.969,152.969,0,0
20171102,SE-ASLCT,Fonds,152.669,152.669,152.669,152.669,0,0
20171101,SE-ASLCT,Fonds,152.157,152.157,152.157,152.157,0,0
20171031,SE-ASLCT,Fonds,152.157,152.157,152.157,152.157,0,0
20171030,SE-ASLCT,Fonds,152.046,152.046,152.046,152.046,0,0
20171027,SE-ASLCT,Fonds,151.659,151.659,151.659,151.659,0,0
20171026,SE-ASLCT,Fonds,151.409,151.409,151.409,151.409,0,0
20171025,SE-ASLCT,Fonds,151.281,151.281,151.281,151.281,0,0
20171024,SE-ASLCT,Fonds,150.77,150.77,150.77,150.77,0,0
20171023,SE-ASLCT,Fonds,151.244,151.244,151.244,151.244,0,0
20171020,SE-ASLCT,Fonds,150.975,150.975,150.975,150.975,0,0
20171019,SE-ASLCT,Fonds,150.696,150.696,150.696,150.696,0,0
20171018,SE-ASLCT,Fonds,151.229,151.229,151.229,151.229,0,0
20171017,SE-ASLCT,Fonds,151.174,151.174,151.174,151.174,0,0
20171016,SE-ASLCT,Fonds,151.411,151.411,151.411,151.411,0,0
20171013,SE-ASLCT,Fonds,151.303,151.303,151.303,151.303,0,0
20171012,SE-ASLCT,Fonds,150.303,150.303,150.303,150.303,0,0
20171011,SE-ASLCT,Fonds,149.855,149.855,149.855,149.855,0,0
20171010,SE-ASLCT,Fonds,149.937,149.937,149.937,149.937,0,0
20171009,SE-ASLCT,Fonds,149.37,149.37,149.37,149.37,0,0
20171006,SE-ASLCT,Fonds,148.801,148.801,148.801,148.801,0,0
20171005,SE-ASLCT,Fonds,149.748,149.748,149.748,149.748,0,0
20171004,SE-ASLCT,Fonds,150.092,150.092,150.092,150.092,0,0
20171003,SE-ASLCT,Fonds,149.749,149.749,149.749,149.749,0,0
20171002,SE-ASLCT,Fonds,149.347,149.347,149.347,149.347,0,0
20170929,SE-ASLCT,Fonds,148.962,148.962,148.962,148.962,0,0
20170928,SE-ASLCT,Fonds,148.662,148.662,148.662,148.662,0,0
20170927,SE-ASLCT,Fonds,149.119,149.119,149.119,149.119,0,0
20170926,SE-ASLCT,Fonds,150.07,150.07,150.07,150.07,0,0
20170925,SE-ASLCT,Fonds,151.293,151.293,151.293,151.293,0,0
20170922,SE-ASLCT,Fonds,151.778,151.778,151.778,151.778,0,0
20170921,SE-ASLCT,Fonds,151.447,151.447,151.447,151.447,0,0
20170920,SE-ASLCT,Fonds,153.274,153.274,153.274,153.274,0,0
20170919,SE-ASLCT,Fonds,152.798,152.798,152.798,152.798,0,0
20170918,SE-ASLCT,Fonds,153.074,153.074,153.074,153.074,0,0
20170915,SE-ASLCT,Fonds,153.129,153.129,153.129,153.129,0,0
20170914,SE-ASLCT,Fonds,152.501,152.501,152.501,152.501,0,0
20170913,SE-ASLCT,Fonds,153.486,153.486,153.486,153.486,0,0
20170912,SE-ASLCT,Fonds,154.194,154.194,154.194,154.194,0,0
