quote_date,paper,exch,open,high,low,close,volume,value
20171121,SE-HYILD,Fonds,191.748,191.748,191.748,191.748,0,0
20171120,SE-HYILD,Fonds,191.591,191.591,191.591,191.591,0,0
20171117,SE-HYILD,Fonds,191.545,191.545,191.545,191.545,0,0
20171116,SE-HYILD,Fonds,190.69,190.69,190.69,190.69,0,0
20171115,SE-HYILD,Fonds,191.161,191.161,191.161,191.161,0,0
20171114,SE-HYILD,Fonds,191.691,191.691,191.691,191.691,0,0
20171113,SE-HYILD,Fonds,191.717,191.717,191.717,191.717,0,0
20171110,SE-HYILD,Fonds,191.933,191.933,191.933,191.933,0,0
20171109,SE-HYILD,Fonds,192.621,192.621,192.621,192.621,0,0
20171108,SE-HYILD,Fonds,193.164,193.164,193.164,193.164,0,0
20171107,SE-HYILD,Fonds,193.402,193.402,193.402,193.402,0,0
20171106,SE-HYILD,Fonds,193.491,193.491,193.491,193.491,0,0
20171103,SE-HYILD,Fonds,193.494,193.494,193.494,193.494,0,0
20171102,SE-HYILD,Fonds,193.415,193.415,193.415,193.415,0,0
20171101,SE-HYILD,Fonds,193.415,193.415,193.415,193.415,0,0
20171031,SE-HYILD,Fonds,193.415,193.415,193.415,193.415,0,0
20171030,SE-HYILD,Fonds,193.349,193.349,193.349,193.349,0,0
20171027,SE-HYILD,Fonds,193.311,193.311,193.311,193.311,0,0
20171026,SE-HYILD,Fonds,193.238,193.238,193.238,193.238,0,0
20171025,SE-HYILD,Fonds,193.54,193.54,193.54,193.54,0,0
20171024,SE-HYILD,Fonds,193.539,193.539,193.539,193.539,0,0
20171023,SE-HYILD,Fonds,193.375,193.375,193.375,193.375,0,0
20171020,SE-HYILD,Fonds,193.296,193.296,193.296,193.296,0,0
20171019,SE-HYILD,Fonds,193.316,193.316,193.316,193.316,0,0
20171018,SE-HYILD,Fonds,193.221,193.221,193.221,193.221,0,0
20171017,SE-HYILD,Fonds,193.01,193.01,193.01,193.01,0,0
20171016,SE-HYILD,Fonds,192.871,192.871,192.871,192.871,0,0
20171013,SE-HYILD,Fonds,192.842,192.842,192.842,192.842,0,0
20171012,SE-HYILD,Fonds,192.897,192.897,192.897,192.897,0,0
20171011,SE-HYILD,Fonds,192.853,192.853,192.853,192.853,0,0
20171010,SE-HYILD,Fonds,192.741,192.741,192.741,192.741,0,0
20171009,SE-HYILD,Fonds,192.741,192.741,192.741,192.741,0,0
20171006,SE-HYILD,Fonds,192.741,192.741,192.741,192.741,0,0
20171005,SE-HYILD,Fonds,192.638,192.638,192.638,192.638,0,0
20171004,SE-HYILD,Fonds,192.591,192.591,192.591,192.591,0,0
20171003,SE-HYILD,Fonds,192.512,192.512,192.512,192.512,0,0
20171002,SE-HYILD,Fonds,192.347,192.347,192.347,192.347,0,0
20170929,SE-HYILD,Fonds,192.227,192.227,192.227,192.227,0,0
20170928,SE-HYILD,Fonds,192.213,192.213,192.213,192.213,0,0
20170927,SE-HYILD,Fonds,192.297,192.297,192.297,192.297,0,0
20170926,SE-HYILD,Fonds,192.181,192.181,192.181,192.181,0,0
