quote_date,paper,exch,open,high,low,close,volume,value
20171109,SE-KOEUR,Fonds,48.587,48.587,48.587,48.587,0,0
20171108,SE-KOEUR,Fonds,48.9491,48.9491,48.9491,48.9491,0,0
20171107,SE-KOEUR,Fonds,48.9892,48.9892,48.9892,48.9892,0,0
20171106,SE-KOEUR,Fonds,48.8185,48.8185,48.8185,48.8185,0,0
20171103,SE-KOEUR,Fonds,48.9127,48.9127,48.9127,48.9127,0,0
20171102,SE-KOEUR,Fonds,48.9202,48.9202,48.9202,48.9202,0,0
20171101,SE-KOEUR,Fonds,48.7794,48.7794,48.7794,48.7794,0,0
20171031,SE-KOEUR,Fonds,49.0586,49.0586,49.0586,49.0586,0,0
20171030,SE-KOEUR,Fonds,48.4744,48.4744,48.4744,48.4744,0,0
20171027,SE-KOEUR,Fonds,48.4399,48.4399,48.4399,48.4399,0,0
20171026,SE-KOEUR,Fonds,48.6672,48.6672,48.6672,48.6672,0,0
20171025,SE-KOEUR,Fonds,48.3888,48.3888,48.3888,48.3888,0,0
20171024,SE-KOEUR,Fonds,48.0237,48.0237,48.0237,48.0237,0,0
20171023,SE-KOEUR,Fonds,47.8581,47.8581,47.8581,47.8581,0,0
20171020,SE-KOEUR,Fonds,47.7418,47.7418,47.7418,47.7418,0,0
20171019,SE-KOEUR,Fonds,48.2309,48.2309,48.2309,48.2309,0,0
20171018,SE-KOEUR,Fonds,48.0067,48.0067,48.0067,48.0067,0,0
20171017,SE-KOEUR,Fonds,47.8404,47.8404,47.8404,47.8404,0,0
20171016,SE-KOEUR,Fonds,47.6519,47.6519,47.6519,47.6519,0,0
20171013,SE-KOEUR,Fonds,47.6663,47.6663,47.6663,47.6663,0,0
20171012,SE-KOEUR,Fonds,47.6336,47.6336,47.6336,47.6336,0,0
20171011,SE-KOEUR,Fonds,47.8069,47.8069,47.8069,47.8069,0,0
20171010,SE-KOEUR,Fonds,47.8192,47.8192,47.8192,47.8192,0,0
20171009,SE-KOEUR,Fonds,47.8458,47.8458,47.8458,47.8458,0,0
20171006,SE-KOEUR,Fonds,47.9652,47.9652,47.9652,47.9652,0,0
20171005,SE-KOEUR,Fonds,47.7402,47.7402,47.7402,47.7402,0,0
20171004,SE-KOEUR,Fonds,47.7108,47.7108,47.7108,47.7108,0,0
20171003,SE-KOEUR,Fonds,47.4826,47.4826,47.4826,47.4826,0,0
20171002,SE-KOEUR,Fonds,47.4968,47.4968,47.4968,47.4968,0,0
20170929,SE-KOEUR,Fonds,47.4014,47.4014,47.4014,47.4014,0,0
20170928,SE-KOEUR,Fonds,47.2225,47.2225,47.2225,47.2225,0,0
20170927,SE-KOEUR,Fonds,46.906,46.906,46.906,46.906,0,0
20170926,SE-KOEUR,Fonds,46.6892,46.6892,46.6892,46.6892,0,0
20170925,SE-KOEUR,Fonds,46.3345,46.3345,46.3345,46.3345,0,0
20170922,SE-KOEUR,Fonds,46.565,46.565,46.565,46.565,0,0
20170921,SE-KOEUR,Fonds,46.5421,46.5421,46.5421,46.5421,0,0
20170920,SE-KOEUR,Fonds,46.7413,46.7413,46.7413,46.7413,0,0
20170919,SE-KOEUR,Fonds,46.7694,46.7694,46.7694,46.7694,0,0
20170918,SE-KOEUR,Fonds,46.5151,46.5151,46.5151,46.5151,0,0
20170915,SE-KOEUR,Fonds,46.782,46.782,46.782,46.782,0,0
20170914,SE-KOEUR,Fonds,46.848,46.848,46.848,46.848,0,0
20170913,SE-KOEUR,Fonds,46.7979,46.7979,46.7979,46.7979,0,0
20170912,SE-KOEUR,Fonds,46.4813,46.4813,46.4813,46.4813,0,0
20170911,SE-KOEUR,Fonds,46.1217,46.1217,46.1217,46.1217,0,0
20170908,SE-KOEUR,Fonds,45.7611,45.7611,45.7611,45.7611,0,0
20170907,SE-KOEUR,Fonds,45.5869,45.5869,45.5869,45.5869,0,0
20170906,SE-KOEUR,Fonds,45.7344,45.7344,45.7344,45.7344,0,0
