quote_date,paper,exch,open,high,low,close,volume,value
20171121,SE-LPEQU,Fonds,2570.7532,2570.7532,2570.7532,2570.7532,0,0
20171120,SE-LPEQU,Fonds,2576.002,2576.002,2576.002,2576.002,0,0
20171117,SE-LPEQU,Fonds,2518.0916,2518.0916,2518.0916,2518.0916,0,0
20171116,SE-LPEQU,Fonds,2518.0916,2518.0916,2518.0916,2518.0916,0,0
20171115,SE-LPEQU,Fonds,2583.8907,2583.8907,2583.8907,2583.8907,0,0
20171114,SE-LPEQU,Fonds,2584.2074,2584.2074,2584.2074,2584.2074,0,0
20171113,SE-LPEQU,Fonds,2583.169,2583.169,2583.169,2583.169,0,0
20171110,SE-LPEQU,Fonds,2558.5299,2558.5299,2558.5299,2558.5299,0,0
20171109,SE-LPEQU,Fonds,2583.4075,2583.4075,2583.4075,2583.4075,0,0
20171108,SE-LPEQU,Fonds,2620.5267,2620.5267,2620.5267,2620.5267,0,0
20171107,SE-LPEQU,Fonds,2621.7798,2621.7798,2621.7798,2621.7798,0,0
20171106,SE-LPEQU,Fonds,2620.9741,2620.9741,2620.9741,2620.9741,0,0
20171103,SE-LPEQU,Fonds,2621.9162,2621.9162,2621.9162,2621.9162,0,0
20171102,SE-LPEQU,Fonds,2646.7629,2646.7629,2646.7629,2646.7629,0,0
20171101,SE-LPEQU,Fonds,2680.0672,2680.0672,2680.0672,2680.0672,0,0
20171031,SE-LPEQU,Fonds,2680.0672,2680.0672,2680.0672,2680.0672,0,0
20171030,SE-LPEQU,Fonds,2647.4722,2647.4722,2647.4722,2647.4722,0,0
20171027,SE-LPEQU,Fonds,2647.4722,2647.4722,2647.4722,2647.4722,0,0
20171026,SE-LPEQU,Fonds,2651.7835,2651.7835,2651.7835,2651.7835,0,0
20171025,SE-LPEQU,Fonds,2649.4185,2649.4185,2649.4185,2649.4185,0,0
20171024,SE-LPEQU,Fonds,2625.7863,2625.7863,2625.7863,2625.7863,0,0
20171023,SE-LPEQU,Fonds,2621.252,2621.252,2621.252,2621.252,0,0
20171020,SE-LPEQU,Fonds,2599.2514,2599.2514,2599.2514,2599.2514,0,0
20171019,SE-LPEQU,Fonds,2625.2819,2625.2819,2625.2819,2625.2819,0,0
20171018,SE-LPEQU,Fonds,2618.3607,2618.3607,2618.3607,2618.3607,0,0
20171017,SE-LPEQU,Fonds,2602.9785,2602.9785,2602.9785,2602.9785,0,0
20171016,SE-LPEQU,Fonds,2574.1615,2574.1615,2574.1615,2574.1615,0,0
20171013,SE-LPEQU,Fonds,2581.6498,2581.6498,2581.6498,2581.6498,0,0
20171012,SE-LPEQU,Fonds,2584.0869,2584.0869,2584.0869,2584.0869,0,0
20171011,SE-LPEQU,Fonds,2606.796,2606.796,2606.796,2606.796,0,0
20171010,SE-LPEQU,Fonds,2618.7647,2618.7647,2618.7647,2618.7647,0,0
20171009,SE-LPEQU,Fonds,2632.1925,2632.1925,2632.1925,2632.1925,0,0
20171006,SE-LPEQU,Fonds,2637.2104,2637.2104,2637.2104,2637.2104,0,0
20171005,SE-LPEQU,Fonds,2601.2503,2601.2503,2601.2503,2601.2503,0,0
20171004,SE-LPEQU,Fonds,2599.7864,2599.7864,2599.7864,2599.7864,0,0
20171003,SE-LPEQU,Fonds,2563.1282,2563.1282,2563.1282,2563.1282,0,0
20171002,SE-LPEQU,Fonds,2563.1282,2563.1282,2563.1282,2563.1282,0,0
20170929,SE-LPEQU,Fonds,2560.4779,2560.4779,2560.4779,2560.4779,0,0
20170928,SE-LPEQU,Fonds,2548.899,2548.899,2548.899,2548.899,0,0
20170927,SE-LPEQU,Fonds,2533.8034,2533.8034,2533.8034,2533.8034,0,0
20170926,SE-LPEQU,Fonds,2519.331,2519.331,2519.331,2519.331,0,0
20170925,SE-LPEQU,Fonds,2510.403,2510.403,2510.403,2510.403,0,0
20170922,SE-LPEQU,Fonds,2510.403,2510.403,2510.403,2510.403,0,0
20170921,SE-LPEQU,Fonds,2485.3655,2485.3655,2485.3655,2485.3655,0,0
20170920,SE-LPEQU,Fonds,2485.3655,2485.3655,2485.3655,2485.3655,0,0
20170919,SE-LPEQU,Fonds,2485.3655,2485.3655,2485.3655,2485.3655,0,0
20170918,SE-LPEQU,Fonds,2485.3655,2485.3655,2485.3655,2485.3655,0,0
20170915,SE-LPEQU,Fonds,2498.4545,2498.4545,2498.4545,2498.4545,0,0
20170914,SE-LPEQU,Fonds,2488.7676,2488.7676,2488.7676,2488.7676,0,0
20170913,SE-LPEQU,Fonds,2488.7676,2488.7676,2488.7676,2488.7676,0,0
20170912,SE-LPEQU,Fonds,2464.5781,2464.5781,2464.5781,2464.5781,0,0
20170911,SE-LPEQU,Fonds,2446.9051,2446.9051,2446.9051,2446.9051,0,0
20170908,SE-LPEQU,Fonds,2428.3274,2428.3274,2428.3274,2428.3274,0,0
20170907,SE-LPEQU,Fonds,2445.5779,2445.5779,2445.5779,2445.5779,0,0
20170906,SE-LPEQU,Fonds,2461.3351,2461.3351,2461.3351,2461.3351,0,0
20170905,SE-LPEQU,Fonds,2470.2023,2470.2023,2470.2023,2470.2023,0,0
20170904,SE-LPEQU,Fonds,2478.7426,2478.7426,2478.7426,2478.7426,0,0
