quote_date,paper,exch,open,high,low,close,volume,value
20171121,SE-NOFOF,Fonds,239.861,239.861,239.861,239.861,0,0
20171120,SE-NOFOF,Fonds,239.211,239.211,239.211,239.211,0,0
20171117,SE-NOFOF,Fonds,240.23,240.23,240.23,240.23,0,0
20171116,SE-NOFOF,Fonds,239.343,239.343,239.343,239.343,0,0
20171115,SE-NOFOF,Fonds,238.87,238.87,238.87,238.87,0,0
20171114,SE-NOFOF,Fonds,237.376,237.376,237.376,237.376,0,0
20171113,SE-NOFOF,Fonds,238.263,238.263,238.263,238.263,0,0
20171110,SE-NOFOF,Fonds,239.021,239.021,239.021,239.021,0,0
20171109,SE-NOFOF,Fonds,243.861,243.861,243.861,243.861,0,0
20171108,SE-NOFOF,Fonds,242.623,242.623,242.623,242.623,0,0
20171107,SE-NOFOF,Fonds,244.285,244.285,244.285,244.285,0,0
20171106,SE-NOFOF,Fonds,244.285,244.285,244.285,244.285,0,0
20171103,SE-NOFOF,Fonds,244.439,244.439,244.439,244.439,0,0
20171102,SE-NOFOF,Fonds,244.439,244.439,244.439,244.439,0,0
20171101,SE-NOFOF,Fonds,243.452,243.452,243.452,243.452,0,0
20171031,SE-NOFOF,Fonds,243.452,243.452,243.452,243.452,0,0
20171030,SE-NOFOF,Fonds,242.572,242.572,242.572,242.572,0,0
20171027,SE-NOFOF,Fonds,242.245,242.245,242.245,242.245,0,0
20171026,SE-NOFOF,Fonds,239.619,239.619,239.619,239.619,0,0
20171025,SE-NOFOF,Fonds,239.511,239.511,239.511,239.511,0,0
20171024,SE-NOFOF,Fonds,241.028,241.028,241.028,241.028,0,0
20171023,SE-NOFOF,Fonds,242.582,242.582,242.582,242.582,0,0
20171020,SE-NOFOF,Fonds,241.864,241.864,241.864,241.864,0,0
20171019,SE-NOFOF,Fonds,242.533,242.533,242.533,242.533,0,0
20171018,SE-NOFOF,Fonds,241.478,241.478,241.478,241.478,0,0
20171017,SE-NOFOF,Fonds,240.918,240.918,240.918,240.918,0,0
20171016,SE-NOFOF,Fonds,241.735,241.735,241.735,241.735,0,0
20171013,SE-NOFOF,Fonds,240.245,240.245,240.245,240.245,0,0
20171012,SE-NOFOF,Fonds,240.50,240.50,240.50,240.50,0,0
20171011,SE-NOFOF,Fonds,240.351,240.351,240.351,240.351,0,0
20171010,SE-NOFOF,Fonds,239.899,239.899,239.899,239.899,0,0
20171009,SE-NOFOF,Fonds,239.767,239.767,239.767,239.767,0,0
20171006,SE-NOFOF,Fonds,240.439,240.439,240.439,240.439,0,0
20171005,SE-NOFOF,Fonds,240.58,240.58,240.58,240.58,0,0
20171004,SE-NOFOF,Fonds,240.173,240.173,240.173,240.173,0,0
20171003,SE-NOFOF,Fonds,239.313,239.313,239.313,239.313,0,0
20171002,SE-NOFOF,Fonds,238.097,238.097,238.097,238.097,0,0
20170929,SE-NOFOF,Fonds,236.51,236.51,236.51,236.51,0,0
20170928,SE-NOFOF,Fonds,234.264,234.264,234.264,234.264,0,0
20170927,SE-NOFOF,Fonds,231.931,231.931,231.931,231.931,0,0
20170926,SE-NOFOF,Fonds,232.51,232.51,232.51,232.51,0,0
20170925,SE-NOFOF,Fonds,232.671,232.671,232.671,232.671,0,0
20170922,SE-NOFOF,Fonds,232.23,232.23,232.23,232.23,0,0
20170921,SE-NOFOF,Fonds,233.102,233.102,233.102,233.102,0,0
20170920,SE-NOFOF,Fonds,232.857,232.857,232.857,232.857,0,0
20170919,SE-NOFOF,Fonds,232.594,232.594,232.594,232.594,0,0
20170918,SE-NOFOF,Fonds,230.964,230.964,230.964,230.964,0,0
20170915,SE-NOFOF,Fonds,233.025,233.025,233.025,233.025,0,0
20170914,SE-NOFOF,Fonds,232.345,232.345,232.345,232.345,0,0
20170913,SE-NOFOF,Fonds,231.827,231.827,231.827,231.827,0,0
20170912,SE-NOFOF,Fonds,231.076,231.076,231.076,231.076,0,0
20170911,SE-NOFOF,Fonds,227.659,227.659,227.659,227.659,0,0
20170908,SE-NOFOF,Fonds,227.353,227.353,227.353,227.353,0,0
20170907,SE-NOFOF,Fonds,226.884,226.884,226.884,226.884,0,0
20170906,SE-NOFOF,Fonds,227.82,227.82,227.82,227.82,0,0
20170905,SE-NOFOF,Fonds,228.535,228.535,228.535,228.535,0,0
20170904,SE-NOFOF,Fonds,229.563,229.563,229.563,229.563,0,0
20170901,SE-NOFOF,Fonds,227.861,227.861,227.861,227.861,0,0
20170831,SE-NOFOF,Fonds,225.86,225.86,225.86,225.86,0,0
20170830,SE-NOFOF,Fonds,223.951,223.951,223.951,223.951,0,0
20170829,SE-NOFOF,Fonds,224.898,224.898,224.898,224.898,0,0
20170828,SE-NOFOF,Fonds,224.155,224.155,224.155,224.155,0,0
20170825,SE-NOFOF,Fonds,223.597,223.597,223.597,223.597,0,0
20170824,SE-NOFOF,Fonds,223.961,223.961,223.961,223.961,0,0
20170823,SE-NOFOF,Fonds,224.307,224.307,224.307,224.307,0,0
20170822,SE-NOFOF,Fonds,224.016,224.016,224.016,224.016,0,0
20170821,SE-NOFOF,Fonds,224.394,224.394,224.394,224.394,0,0
20170818,SE-NOFOF,Fonds,225.047,225.047,225.047,225.047,0,0
20170817,SE-NOFOF,Fonds,226.671,226.671,226.671,226.671,0,0
20170816,SE-NOFOF,Fonds,225.823,225.823,225.823,225.823,0,0
20170815,SE-NOFOF,Fonds,224.868,224.868,224.868,224.868,0,0
20170814,SE-NOFOF,Fonds,224.868,224.868,224.868,224.868,0,0
20170811,SE-NOFOF,Fonds,225.824,225.824,225.824,225.824,0,0
20170810,SE-NOFOF,Fonds,227.333,227.333,227.333,227.333,0,0
20170809,SE-NOFOF,Fonds,226.664,226.664,226.664,226.664,0,0
20170808,SE-NOFOF,Fonds,227.974,227.974,227.974,227.974,0,0
20170807,SE-NOFOF,Fonds,227.839,227.839,227.839,227.839,0,0
20170804,SE-NOFOF,Fonds,226.197,226.197,226.197,226.197,0,0
20170803,SE-NOFOF,Fonds,226.132,226.132,226.132,226.132,0,0
20170802,SE-NOFOF,Fonds,226.396,226.396,226.396,226.396,0,0
20170801,SE-NOFOF,Fonds,224.436,224.436,224.436,224.436,0,0
20170731,SE-NOFOF,Fonds,224.853,224.853,224.853,224.853,0,0
20170728,SE-NOFOF,Fonds,225.00,225.00,225.00,225.00,0,0
20170727,SE-NOFOF,Fonds,225.339,225.339,225.339,225.339,0,0
20170726,SE-NOFOF,Fonds,224.063,224.063,224.063,224.063,0,0
20170725,SE-NOFOF,Fonds,224.558,224.558,224.558,224.558,0,0
20170724,SE-NOFOF,Fonds,226.197,226.197,226.197,226.197,0,0
20170720,SE-NOFOF,Fonds,229.625,229.625,229.625,229.625,0,0
20170719,SE-NOFOF,Fonds,229.781,229.781,229.781,229.781,0,0
20170718,SE-NOFOF,Fonds,232.177,232.177,232.177,232.177,0,0
20170717,SE-NOFOF,Fonds,231.908,231.908,231.908,231.908,0,0
20170714,SE-NOFOF,Fonds,232.225,232.225,232.225,232.225,0,0
20170713,SE-NOFOF,Fonds,231.671,231.671,231.671,231.671,0,0
20170712,SE-NOFOF,Fonds,229.544,229.544,229.544,229.544,0,0
20170711,SE-NOFOF,Fonds,229.805,229.805,229.805,229.805,0,0
20170710,SE-NOFOF,Fonds,229.264,229.264,229.264,229.264,0,0
20170707,SE-NOFOF,Fonds,228.823,228.823,228.823,228.823,0,0
20170706,SE-NOFOF,Fonds,230.79,230.79,230.79,230.79,0,0
20170705,SE-NOFOF,Fonds,228.797,228.797,228.797,228.797,0,0
20170704,SE-NOFOF,Fonds,230.229,230.229,230.229,230.229,0,0
20170703,SE-NOFOF,Fonds,228.894,228.894,228.894,228.894,0,0
20170630,SE-NOFOF,Fonds,227.958,227.958,227.958,227.958,0,0
20170629,SE-NOFOF,Fonds,230.399,230.399,230.399,230.399,0,0
20170628,SE-NOFOF,Fonds,228.947,228.947,228.947,228.947,0,0
20170627,SE-NOFOF,Fonds,230.998,230.998,230.998,230.998,0,0
20170626,SE-NOFOF,Fonds,231.43,231.43,231.43,231.43,0,0
20170623,SE-NOFOF,Fonds,233.14,233.14,233.14,233.14,0,0
20170622,SE-NOFOF,Fonds,233.14,233.14,233.14,233.14,0,0
20170621,SE-NOFOF,Fonds,234.182,234.182,234.182,234.182,0,0
20170620,SE-NOFOF,Fonds,233.84,233.84,233.84,233.84,0,0
20170619,SE-NOFOF,Fonds,232.775,232.775,232.775,232.775,0,0
20170616,SE-NOFOF,Fonds,231.572,231.572,231.572,231.572,0,0
20170615,SE-NOFOF,Fonds,232.648,232.648,232.648,232.648,0,0
20170614,SE-NOFOF,Fonds,231.611,231.611,231.611,231.611,0,0
20170613,SE-NOFOF,Fonds,231.579,231.579,231.579,231.579,0,0
20170612,SE-NOFOF,Fonds,233.516,233.516,233.516,233.516,0,0
20170609,SE-NOFOF,Fonds,231.555,231.555,231.555,231.555,0,0
20170608,SE-NOFOF,Fonds,232.976,232.976,232.976,232.976,0,0
20170607,SE-NOFOF,Fonds,232.817,232.817,232.817,232.817,0,0
20170606,SE-NOFOF,Fonds,230.721,230.721,230.721,230.721,0,0
20170602,SE-NOFOF,Fonds,230.721,230.721,230.721,230.721,0,0
20170601,SE-NOFOF,Fonds,229.429,229.429,229.429,229.429,0,0
20170531,SE-NOFOF,Fonds,229.542,229.542,229.542,229.542,0,0
20170530,SE-NOFOF,Fonds,227.948,227.948,227.948,227.948,0,0
20170529,SE-NOFOF,Fonds,228.753,228.753,228.753,228.753,0,0
20170526,SE-NOFOF,Fonds,227.341,227.341,227.341,227.341,0,0
20170524,SE-NOFOF,Fonds,226.73,226.73,226.73,226.73,0,0
20170523,SE-NOFOF,Fonds,226.73,226.73,226.73,226.73,0,0
20170522,SE-NOFOF,Fonds,226.553,226.553,226.553,226.553,0,0
20170519,SE-NOFOF,Fonds,224.217,224.217,224.217,224.217,0,0
20170518,SE-NOFOF,Fonds,226.157,226.157,226.157,226.157,0,0
20170516,SE-NOFOF,Fonds,229.965,229.965,229.965,229.965,0,0
20170515,SE-NOFOF,Fonds,230.186,230.186,230.186,230.186,0,0
20170512,SE-NOFOF,Fonds,229.854,229.854,229.854,229.854,0,0
20170511,SE-NOFOF,Fonds,231.056,231.056,231.056,231.056,0,0
20170510,SE-NOFOF,Fonds,233.302,233.302,233.302,233.302,0,0
20170509,SE-NOFOF,Fonds,232.424,232.424,232.424,232.424,0,0
20170508,SE-NOFOF,Fonds,232.845,232.845,232.845,232.845,0,0
20170505,SE-NOFOF,Fonds,232.555,232.555,232.555,232.555,0,0
20170504,SE-NOFOF,Fonds,229.747,229.747,229.747,229.747,0,0
20170503,SE-NOFOF,Fonds,229.712,229.712,229.712,229.712,0,0
20170502,SE-NOFOF,Fonds,226.975,226.975,226.975,226.975,0,0
20170428,SE-NOFOF,Fonds,227.27,227.27,227.27,227.27,0,0
20170427,SE-NOFOF,Fonds,226.634,226.634,226.634,226.634,0,0
20170426,SE-NOFOF,Fonds,225.359,225.359,225.359,225.359,0,0
20170425,SE-NOFOF,Fonds,223.303,223.303,223.303,223.303,0,0
20170424,SE-NOFOF,Fonds,220.103,220.103,220.103,220.103,0,0
20170421,SE-NOFOF,Fonds,220.811,220.811,220.811,220.811,0,0
20170420,SE-NOFOF,Fonds,218.442,218.442,218.442,218.442,0,0
20170419,SE-NOFOF,Fonds,216.476,216.476,216.476,216.476,0,0
20170418,SE-NOFOF,Fonds,219.169,219.169,219.169,219.169,0,0
20170412,SE-NOFOF,Fonds,217.095,217.095,217.095,217.095,0,0
20170411,SE-NOFOF,Fonds,217.698,217.698,217.698,217.698,0,0
20170410,SE-NOFOF,Fonds,215.682,215.682,215.682,215.682,0,0
20170407,SE-NOFOF,Fonds,215.682,215.682,215.682,215.682,0,0
20170406,SE-NOFOF,Fonds,215.188,215.188,215.188,215.188,0,0
20170405,SE-NOFOF,Fonds,214.582,214.582,214.582,214.582,0,0
20170404,SE-NOFOF,Fonds,214.875,214.875,214.875,214.875,0,0
20170403,SE-NOFOF,Fonds,215.644,215.644,215.644,215.644,0,0
20170331,SE-NOFOF,Fonds,213.931,213.931,213.931,213.931,0,0
20170330,SE-NOFOF,Fonds,213.614,213.614,213.614,213.614,0,0
20170329,SE-NOFOF,Fonds,214.594,214.594,214.594,214.594,0,0
20170328,SE-NOFOF,Fonds,212.996,212.996,212.996,212.996,0,0
20170327,SE-NOFOF,Fonds,213.81,213.81,213.81,213.81,0,0
20170324,SE-NOFOF,Fonds,213.474,213.474,213.474,213.474,0,0
20170323,SE-NOFOF,Fonds,211.979,211.979,211.979,211.979,0,0
20170322,SE-NOFOF,Fonds,214.111,214.111,214.111,214.111,0,0
20170321,SE-NOFOF,Fonds,215.715,215.715,215.715,215.715,0,0
20170320,SE-NOFOF,Fonds,215.179,215.179,215.179,215.179,0,0
20170317,SE-NOFOF,Fonds,215.852,215.852,215.852,215.852,0,0
20170316,SE-NOFOF,Fonds,214.986,214.986,214.986,214.986,0,0
20170315,SE-NOFOF,Fonds,214.792,214.792,214.792,214.792,0,0
20170314,SE-NOFOF,Fonds,214.676,214.676,214.676,214.676,0,0
20170313,SE-NOFOF,Fonds,214.941,214.941,214.941,214.941,0,0
20170310,SE-NOFOF,Fonds,212.806,212.806,212.806,212.806,0,0
20170309,SE-NOFOF,Fonds,210.464,210.464,210.464,210.464,0,0
20170308,SE-NOFOF,Fonds,210.335,210.335,210.335,210.335,0,0
20170307,SE-NOFOF,Fonds,210.681,210.681,210.681,210.681,0,0
20170306,SE-NOFOF,Fonds,210.649,210.649,210.649,210.649,0,0
20170303,SE-NOFOF,Fonds,211.478,211.478,211.478,211.478,0,0
20170302,SE-NOFOF,Fonds,211.266,211.266,211.266,211.266,0,0
20170301,SE-NOFOF,Fonds,208.94,208.94,208.94,208.94,0,0
20170228,SE-NOFOF,Fonds,207.474,207.474,207.474,207.474,0,0
20170227,SE-NOFOF,Fonds,207.618,207.618,207.618,207.618,0,0
20170224,SE-NOFOF,Fonds,209.629,209.629,209.629,209.629,0,0
20170223,SE-NOFOF,Fonds,209.691,209.691,209.691,209.691,0,0
20170222,SE-NOFOF,Fonds,209.97,209.97,209.97,209.97,0,0
20170221,SE-NOFOF,Fonds,210.108,210.108,210.108,210.108,0,0
20170220,SE-NOFOF,Fonds,209.977,209.977,209.977,209.977,0,0
20170217,SE-NOFOF,Fonds,211.271,211.271,211.271,211.271,0,0
20170216,SE-NOFOF,Fonds,210.772,210.772,210.772,210.772,0,0
20170215,SE-NOFOF,Fonds,211.54,211.54,211.54,211.54,0,0
20170214,SE-NOFOF,Fonds,211.388,211.388,211.388,211.388,0,0
20170213,SE-NOFOF,Fonds,210.249,210.249,210.249,210.249,0,0
20170210,SE-NOFOF,Fonds,209.633,209.633,209.633,209.633,0,0
20170209,SE-NOFOF,Fonds,209.825,209.825,209.825,209.825,0,0
20170208,SE-NOFOF,Fonds,208.486,208.486,208.486,208.486,0,0
20170207,SE-NOFOF,Fonds,206.854,206.854,206.854,206.854,0,0
20170206,SE-NOFOF,Fonds,208.401,208.401,208.401,208.401,0,0
20170203,SE-NOFOF,Fonds,207.956,207.956,207.956,207.956,0,0
20170202,SE-NOFOF,Fonds,209.908,209.908,209.908,209.908,0,0
20170201,SE-NOFOF,Fonds,208.584,208.584,208.584,208.584,0,0
20170131,SE-NOFOF,Fonds,209.083,209.083,209.083,209.083,0,0
20170130,SE-NOFOF,Fonds,210.807,210.807,210.807,210.807,0,0
20170127,SE-NOFOF,Fonds,210.323,210.323,210.323,210.323,0,0
20170126,SE-NOFOF,Fonds,209.14,209.14,209.14,209.14,0,0
20170125,SE-NOFOF,Fonds,207.166,207.166,207.166,207.166,0,0
20170124,SE-NOFOF,Fonds,207.133,207.133,207.133,207.133,0,0
20170123,SE-NOFOF,Fonds,208.57,208.57,208.57,208.57,0,0
20170120,SE-NOFOF,Fonds,207.477,207.477,207.477,207.477,0,0
