quote_date,paper,exch,open,high,low,close,volume,value
20171109,SE-RUSF,Fonds,101.7519,101.7519,101.7519,101.7519,0,0
20171108,SE-RUSF,Fonds,101.956,101.956,101.956,101.956,0,0
20171107,SE-RUSF,Fonds,101.7599,101.7599,101.7599,101.7599,0,0
20171106,SE-RUSF,Fonds,98.5559,98.5559,98.5559,98.5559,0,0
20171103,SE-RUSF,Fonds,98.8805,98.8805,98.8805,98.8805,0,0
20171102,SE-RUSF,Fonds,99.4368,99.4368,99.4368,99.4368,0,0
20171101,SE-RUSF,Fonds,98.535,98.535,98.535,98.535,0,0
20171031,SE-RUSF,Fonds,99.099,99.099,99.099,99.099,0,0
20171030,SE-RUSF,Fonds,99.5685,99.5685,99.5685,99.5685,0,0
20171027,SE-RUSF,Fonds,98.4828,98.4828,98.4828,98.4828,0,0
20171026,SE-RUSF,Fonds,98.1443,98.1443,98.1443,98.1443,0,0
20171025,SE-RUSF,Fonds,97.763,97.763,97.763,97.763,0,0
20171024,SE-RUSF,Fonds,97.0911,97.0911,97.0911,97.0911,0,0
20171023,SE-RUSF,Fonds,97.3416,97.3416,97.3416,97.3416,0,0
20171020,SE-RUSF,Fonds,97.1675,97.1675,97.1675,97.1675,0,0
20171019,SE-RUSF,Fonds,96.5936,96.5936,96.5936,96.5936,0,0
20171018,SE-RUSF,Fonds,98.2736,98.2736,98.2736,98.2736,0,0
20171017,SE-RUSF,Fonds,97.8116,97.8116,97.8116,97.8116,0,0
20171016,SE-RUSF,Fonds,97.5172,97.5172,97.5172,97.5172,0,0
20171013,SE-RUSF,Fonds,96.9651,96.9651,96.9651,96.9651,0,0
20171012,SE-RUSF,Fonds,96.4629,96.4629,96.4629,96.4629,0,0
20171011,SE-RUSF,Fonds,96.6452,96.6452,96.6452,96.6452,0,0
20171010,SE-RUSF,Fonds,96.7078,96.7078,96.7078,96.7078,0,0
20171009,SE-RUSF,Fonds,96.6187,96.6187,96.6187,96.6187,0,0
20171006,SE-RUSF,Fonds,97.444,97.444,97.444,97.444,0,0
20171005,SE-RUSF,Fonds,97.2769,97.2769,97.2769,97.2769,0,0
20171004,SE-RUSF,Fonds,96.6086,96.6086,96.6086,96.6086,0,0
