quote_date,paper,exch,open,high,low,close,volume,value
20171121,SE-SVSMB,Fonds,48.7039,48.7039,48.7039,48.7039,0,0
20171120,SE-SVSMB,Fonds,48.456,48.456,48.456,48.456,0,0
20171117,SE-SVSMB,Fonds,48.3979,48.3979,48.3979,48.3979,0,0
20171116,SE-SVSMB,Fonds,48.5248,48.5248,48.5248,48.5248,0,0
20171115,SE-SVSMB,Fonds,48.3448,48.3448,48.3448,48.3448,0,0
20171114,SE-SVSMB,Fonds,48.172,48.172,48.172,48.172,0,0
20171113,SE-SVSMB,Fonds,47.7699,47.7699,47.7699,47.7699,0,0
20171110,SE-SVSMB,Fonds,48.3976,48.3976,48.3976,48.3976,0,0
20171109,SE-SVSMB,Fonds,48.5567,48.5567,48.5567,48.5567,0,0
20171108,SE-SVSMB,Fonds,48.9906,48.9906,48.9906,48.9906,0,0
20171107,SE-SVSMB,Fonds,49.5647,49.5647,49.5647,49.5647,0,0
20171106,SE-SVSMB,Fonds,49.771,49.771,49.771,49.771,0,0
20171103,SE-SVSMB,Fonds,50.0507,50.0507,50.0507,50.0507,0,0
20171102,SE-SVSMB,Fonds,49.6425,49.6425,49.6425,49.6425,0,0
20171101,SE-SVSMB,Fonds,49.8337,49.8337,49.8337,49.8337,0,0
20171031,SE-SVSMB,Fonds,50.014,50.014,50.014,50.014,0,0
20171030,SE-SVSMB,Fonds,49.764,49.764,49.764,49.764,0,0
20171027,SE-SVSMB,Fonds,49.584,49.584,49.584,49.584,0,0
20171026,SE-SVSMB,Fonds,49.3791,49.3791,49.3791,49.3791,0,0
20171025,SE-SVSMB,Fonds,49.0032,49.0032,49.0032,49.0032,0,0
20171024,SE-SVSMB,Fonds,48.8544,48.8544,48.8544,48.8544,0,0
20171023,SE-SVSMB,Fonds,49.3283,49.3283,49.3283,49.3283,0,0
20171020,SE-SVSMB,Fonds,49.5256,49.5256,49.5256,49.5256,0,0
20171019,SE-SVSMB,Fonds,49.0596,49.0596,49.0596,49.0596,0,0
20171018,SE-SVSMB,Fonds,49.2136,49.2136,49.2136,49.2136,0,0
20171017,SE-SVSMB,Fonds,48.8381,48.8381,48.8381,48.8381,0,0
20171016,SE-SVSMB,Fonds,48.8287,48.8287,48.8287,48.8287,0,0
20171013,SE-SVSMB,Fonds,48.8398,48.8398,48.8398,48.8398,0,0
20171012,SE-SVSMB,Fonds,48.5234,48.5234,48.5234,48.5234,0,0
20171011,SE-SVSMB,Fonds,48.7061,48.7061,48.7061,48.7061,0,0
20171010,SE-SVSMB,Fonds,48.7107,48.7107,48.7107,48.7107,0,0
20171009,SE-SVSMB,Fonds,48.8178,48.8178,48.8178,48.8178,0,0
20171006,SE-SVSMB,Fonds,49.1232,49.1232,49.1232,49.1232,0,0
20171005,SE-SVSMB,Fonds,48.9691,48.9691,48.9691,48.9691,0,0
20171004,SE-SVSMB,Fonds,48.9843,48.9843,48.9843,48.9843,0,0
20171003,SE-SVSMB,Fonds,49.0759,49.0759,49.0759,49.0759,0,0
20171002,SE-SVSMB,Fonds,48.3451,48.3451,48.3451,48.3451,0,0
20170929,SE-SVSMB,Fonds,47.8025,47.8025,47.8025,47.8025,0,0
20170928,SE-SVSMB,Fonds,47.829,47.829,47.829,47.829,0,0
20170927,SE-SVSMB,Fonds,47.6194,47.6194,47.6194,47.6194,0,0
20170926,SE-SVSMB,Fonds,47.095,47.095,47.095,47.095,0,0
20170925,SE-SVSMB,Fonds,47.1483,47.1483,47.1483,47.1483,0,0
20170922,SE-SVSMB,Fonds,47.3558,47.3558,47.3558,47.3558,0,0
20170921,SE-SVSMB,Fonds,47.1924,47.1924,47.1924,47.1924,0,0
20170920,SE-SVSMB,Fonds,47.2001,47.2001,47.2001,47.2001,0,0
20170919,SE-SVSMB,Fonds,47.1684,47.1684,47.1684,47.1684,0,0
20170918,SE-SVSMB,Fonds,47.1951,47.1951,47.1951,47.1951,0,0
20170915,SE-SVSMB,Fonds,47.1502,47.1502,47.1502,47.1502,0,0
20170914,SE-SVSMB,Fonds,47.2445,47.2445,47.2445,47.2445,0,0
20170913,SE-SVSMB,Fonds,46.9272,46.9272,46.9272,46.9272,0,0
20170912,SE-SVSMB,Fonds,46.7214,46.7214,46.7214,46.7214,0,0
20170911,SE-SVSMB,Fonds,46.5507,46.5507,46.5507,46.5507,0,0
20170908,SE-SVSMB,Fonds,45.7798,45.7798,45.7798,45.7798,0,0
20170907,SE-SVSMB,Fonds,45.8345,45.8345,45.8345,45.8345,0,0
20170906,SE-SVSMB,Fonds,45.6307,45.6307,45.6307,45.6307,0,0
20170905,SE-SVSMB,Fonds,45.8447,45.8447,45.8447,45.8447,0,0
20170904,SE-SVSMB,Fonds,45.8727,45.8727,45.8727,45.8727,0,0
20170901,SE-SVSMB,Fonds,46.1234,46.1234,46.1234,46.1234,0,0
20170831,SE-SVSMB,Fonds,45.7813,45.7813,45.7813,45.7813,0,0
20170830,SE-SVSMB,Fonds,45.3463,45.3463,45.3463,45.3463,0,0
20170829,SE-SVSMB,Fonds,44.8948,44.8948,44.8948,44.8948,0,0
20170828,SE-SVSMB,Fonds,45.3108,45.3108,45.3108,45.3108,0,0
20170825,SE-SVSMB,Fonds,45.4938,45.4938,45.4938,45.4938,0,0
20170824,SE-SVSMB,Fonds,45.3395,45.3395,45.3395,45.3395,0,0
20170823,SE-SVSMB,Fonds,45.8419,45.8419,45.8419,45.8419,0,0
20170822,SE-SVSMB,Fonds,45.789,45.789,45.789,45.789,0,0
20170821,SE-SVSMB,Fonds,45.7262,45.7262,45.7262,45.7262,0,0
20170818,SE-SVSMB,Fonds,45.7369,45.7369,45.7369,45.7369,0,0
