quote_date,paper,exch,open,high,low,close,volume,value
20171109,SM-HCVBN,Fonds,1148.78,1148.78,1148.78,1148.78,0,0
20171108,SM-HCVBN,Fonds,1148.45,1148.45,1148.45,1148.45,0,0
20171107,SM-HCVBN,Fonds,1147.42,1147.42,1147.42,1147.42,0,0
20171106,SM-HCVBN,Fonds,1150.21,1150.21,1150.21,1150.21,0,0
20171103,SM-HCVBN,Fonds,1153.19,1153.19,1153.19,1153.19,0,0
20171102,SM-HCVBN,Fonds,1141.95,1141.95,1141.95,1141.95,0,0
20171101,SM-HCVBN,Fonds,1144.52,1144.52,1144.52,1144.52,0,0
20171031,SM-HCVBN,Fonds,1150.96,1150.96,1150.96,1150.96,0,0
20171026,SM-HCVBN,Fonds,1158.63,1158.63,1158.63,1158.63,0,0
20171025,SM-HCVBN,Fonds,1172.69,1172.69,1172.69,1172.69,0,0
20171024,SM-HCVBN,Fonds,1176.25,1176.25,1176.25,1176.25,0,0
20171023,SM-HCVBN,Fonds,1185.31,1185.31,1185.31,1185.31,0,0
20171020,SM-HCVBN,Fonds,1189.90,1189.90,1189.90,1189.90,0,0
20171019,SM-HCVBN,Fonds,1188.96,1188.96,1188.96,1188.96,0,0
20171018,SM-HCVBN,Fonds,1182.94,1182.94,1182.94,1182.94,0,0
20171017,SM-HCVBN,Fonds,1182.03,1182.03,1182.03,1182.03,0,0
20171016,SM-HCVBN,Fonds,1181.30,1181.30,1181.30,1181.30,0,0
20171013,SM-HCVBN,Fonds,1183.14,1183.14,1183.14,1183.14,0,0
20171012,SM-HCVBN,Fonds,1184.76,1184.76,1184.76,1184.76,0,0
20171011,SM-HCVBN,Fonds,1183.50,1183.50,1183.50,1183.50,0,0
20171010,SM-HCVBN,Fonds,1183.64,1183.64,1183.64,1183.64,0,0
20171009,SM-HCVBN,Fonds,1182.64,1182.64,1182.64,1182.64,0,0
20171006,SM-HCVBN,Fonds,1191.77,1191.77,1191.77,1191.77,0,0
20171005,SM-HCVBN,Fonds,1192.89,1192.89,1192.89,1192.89,0,0
20171004,SM-HCVBN,Fonds,1191.75,1191.75,1191.75,1191.75,0,0
20171003,SM-HCVBN,Fonds,1188.88,1188.88,1188.88,1188.88,0,0
20171002,SM-HCVBN,Fonds,1189.83,1189.83,1189.83,1189.83,0,0
20170929,SM-HCVBN,Fonds,1179.10,1179.10,1179.10,1179.10,0,0
20170928,SM-HCVBN,Fonds,1171.64,1171.64,1171.64,1171.64,0,0
20170927,SM-HCVBN,Fonds,1171.40,1171.40,1171.40,1171.40,0,0
20170926,SM-HCVBN,Fonds,1170.35,1170.35,1170.35,1170.35,0,0
20170925,SM-HCVBN,Fonds,1177.05,1177.05,1177.05,1177.05,0,0
20170922,SM-HCVBN,Fonds,1178.06,1178.06,1178.06,1178.06,0,0
20170921,SM-HCVBN,Fonds,1172.63,1172.63,1172.63,1172.63,0,0
20170920,SM-HCVBN,Fonds,1172.98,1172.98,1172.98,1172.98,0,0
20170919,SM-HCVBN,Fonds,1169.73,1169.73,1169.73,1169.73,0,0
20170918,SM-HCVBN,Fonds,1176.69,1176.69,1176.69,1176.69,0,0
20170915,SM-HCVBN,Fonds,1177.79,1177.79,1177.79,1177.79,0,0
20170914,SM-HCVBN,Fonds,1177.74,1177.74,1177.74,1177.74,0,0
20170913,SM-HCVBN,Fonds,1181.86,1181.86,1181.86,1181.86,0,0
20170912,SM-HCVBN,Fonds,1188.09,1188.09,1188.09,1188.09,0,0
20170911,SM-HCVBN,Fonds,1186.41,1186.41,1186.41,1186.41,0,0
20170908,SM-HCVBN,Fonds,1179.25,1179.25,1179.25,1179.25,0,0
20170907,SM-HCVBN,Fonds,1174.65,1174.65,1174.65,1174.65,0,0
20170906,SM-HCVBN,Fonds,1162.54,1162.54,1162.54,1162.54,0,0
20170905,SM-HCVBN,Fonds,1160.28,1160.28,1160.28,1160.28,0,0
20170904,SM-HCVBN,Fonds,1161.30,1161.30,1161.30,1161.30,0,0
20170901,SM-HCVBN,Fonds,1162.96,1162.96,1162.96,1162.96,0,0
20170831,SM-HCVBN,Fonds,1161.03,1161.03,1161.03,1161.03,0,0
20170830,SM-HCVBN,Fonds,1141.70,1141.70,1141.70,1141.70,0,0
20170829,SM-HCVBN,Fonds,1136.55,1136.55,1136.55,1136.55,0,0
20170828,SM-HCVBN,Fonds,1137.72,1137.72,1137.72,1137.72,0,0
20170825,SM-HCVBN,Fonds,1129.84,1129.84,1129.84,1129.84,0,0
20170824,SM-HCVBN,Fonds,1128.03,1128.03,1128.03,1128.03,0,0
20170823,SM-HCVBN,Fonds,1126.94,1126.94,1126.94,1126.94,0,0
20170822,SM-HCVBN,Fonds,1129.55,1129.55,1129.55,1129.55,0,0
20170821,SM-HCVBN,Fonds,1118.46,1118.46,1118.46,1118.46,0,0
20170818,SM-HCVBN,Fonds,1116.52,1116.52,1116.52,1116.52,0,0
20170817,SM-HCVBN,Fonds,1120.80,1120.80,1120.80,1120.80,0,0
20170816,SM-HCVBN,Fonds,1129.21,1129.21,1129.21,1129.21,0,0
20170815,SM-HCVBN,Fonds,1123.59,1123.59,1123.59,1123.59,0,0
20170814,SM-HCVBN,Fonds,1123.49,1123.49,1123.49,1123.49,0,0
20170811,SM-HCVBN,Fonds,1119.01,1119.01,1119.01,1119.01,0,0
20170810,SM-HCVBN,Fonds,1116.99,1116.99,1116.99,1116.99,0,0
20170809,SM-HCVBN,Fonds,1124.16,1124.16,1124.16,1124.16,0,0
20170808,SM-HCVBN,Fonds,1125.51,1125.51,1125.51,1125.51,0,0
20170803,SM-HCVBN,Fonds,1140.56,1140.56,1140.56,1140.56,0,0
20170802,SM-HCVBN,Fonds,1146.85,1146.85,1146.85,1146.85,0,0
20170801,SM-HCVBN,Fonds,1151.61,1151.61,1151.61,1151.61,0,0
20170731,SM-HCVBN,Fonds,1154.26,1154.26,1154.26,1154.26,0,0
20170728,SM-HCVBN,Fonds,1155.46,1155.46,1155.46,1155.46,0,0
20170727,SM-HCVBN,Fonds,1151.91,1151.91,1151.91,1151.91,0,0
20170726,SM-HCVBN,Fonds,1158.52,1158.52,1158.52,1158.52,0,0
20170725,SM-HCVBN,Fonds,1165.88,1165.88,1165.88,1165.88,0,0
20170724,SM-HCVBN,Fonds,1169.13,1169.13,1169.13,1169.13,0,0
20170721,SM-HCVBN,Fonds,1166.98,1166.98,1166.98,1166.98,0,0
20170720,SM-HCVBN,Fonds,1168.57,1168.57,1168.57,1168.57,0,0
20170719,SM-HCVBN,Fonds,1163.75,1163.75,1163.75,1163.75,0,0
20170718,SM-HCVBN,Fonds,1158.95,1158.95,1158.95,1158.95,0,0
20170717,SM-HCVBN,Fonds,1162.83,1162.83,1162.83,1162.83,0,0
20170714,SM-HCVBN,Fonds,1164.61,1164.61,1164.61,1164.61,0,0
20170713,SM-HCVBN,Fonds,1159.72,1159.72,1159.72,1159.72,0,0
20170712,SM-HCVBN,Fonds,1160.44,1160.44,1160.44,1160.44,0,0
20170711,SM-HCVBN,Fonds,1148.89,1148.89,1148.89,1148.89,0,0
20170710,SM-HCVBN,Fonds,1150.15,1150.15,1150.15,1150.15,0,0
20170707,SM-HCVBN,Fonds,1151.96,1151.96,1151.96,1151.96,0,0
20170706,SM-HCVBN,Fonds,1146.56,1146.56,1146.56,1146.56,0,0
20170705,SM-HCVBN,Fonds,1161.72,1161.72,1161.72,1161.72,0,0
20170704,SM-HCVBN,Fonds,1156.57,1156.57,1156.57,1156.57,0,0
20170703,SM-HCVBN,Fonds,1159.26,1159.26,1159.26,1159.26,0,0
20170630,SM-HCVBN,Fonds,1159.78,1159.78,1159.78,1159.78,0,0
20170629,SM-HCVBN,Fonds,1159.48,1159.48,1159.48,1159.48,0,0
20170628,SM-HCVBN,Fonds,1170.37,1170.37,1170.37,1170.37,0,0
20170627,SM-HCVBN,Fonds,1165.62,1165.62,1165.62,1165.62,0,0
20170626,SM-HCVBN,Fonds,1176.88,1176.88,1176.88,1176.88,0,0
20170623,SM-HCVBN,Fonds,1178.31,1178.31,1178.31,1178.31,0,0
20170622,SM-HCVBN,Fonds,1178.23,1178.23,1178.23,1178.23,0,0
20170621,SM-HCVBN,Fonds,1165.01,1165.01,1165.01,1165.01,0,0
20170620,SM-HCVBN,Fonds,1157.14,1157.14,1157.14,1157.14,0,0
20170619,SM-HCVBN,Fonds,1156.26,1156.26,1156.26,1156.26,0,0
20170616,SM-HCVBN,Fonds,1138.41,1138.41,1138.41,1138.41,0,0
20170615,SM-HCVBN,Fonds,1136.06,1136.06,1136.06,1136.06,0,0
20170614,SM-HCVBN,Fonds,1139.86,1139.86,1139.86,1139.86,0,0
20170613,SM-HCVBN,Fonds,1135.72,1135.72,1135.72,1135.72,0,0
20170612,SM-HCVBN,Fonds,1130.20,1130.20,1130.20,1130.20,0,0
20170609,SM-HCVBN,Fonds,1135.89,1135.89,1135.89,1135.89,0,0
20170608,SM-HCVBN,Fonds,1137.35,1137.35,1137.35,1137.35,0,0
20170607,SM-HCVBN,Fonds,1136.48,1136.48,1136.48,1136.48,0,0
20170606,SM-HCVBN,Fonds,1134.97,1134.97,1134.97,1134.97,0,0
20170602,SM-HCVBN,Fonds,1147.23,1147.23,1147.23,1147.23,0,0
20170601,SM-HCVBN,Fonds,1139.80,1139.80,1139.80,1139.80,0,0
20170531,SM-HCVBN,Fonds,1126.31,1126.31,1126.31,1126.31,0,0
20170530,SM-HCVBN,Fonds,1119.63,1119.63,1119.63,1119.63,0,0
20170529,SM-HCVBN,Fonds,1120.18,1120.18,1120.18,1120.18,0,0
20170526,SM-HCVBN,Fonds,1120.78,1120.78,1120.78,1120.78,0,0
20170523,SM-HCVBN,Fonds,1118.73,1118.73,1118.73,1118.73,0,0
20170522,SM-HCVBN,Fonds,1118.11,1118.11,1118.11,1118.11,0,0
20170519,SM-HCVBN,Fonds,1115.04,1115.04,1115.04,1115.04,0,0
20170518,SM-HCVBN,Fonds,1110.92,1110.92,1110.92,1110.92,0,0
20170516,SM-HCVBN,Fonds,1123.76,1123.76,1123.76,1123.76,0,0
20170515,SM-HCVBN,Fonds,1123.98,1123.98,1123.98,1123.98,0,0
20170512,SM-HCVBN,Fonds,1121.17,1121.17,1121.17,1121.17,0,0
20170511,SM-HCVBN,Fonds,1116.11,1116.11,1116.11,1116.11,0,0
20170510,SM-HCVBN,Fonds,1115.97,1115.97,1115.97,1115.97,0,0
20170509,SM-HCVBN,Fonds,1112.53,1112.53,1112.53,1112.53,0,0
20170508,SM-HCVBN,Fonds,1104.52,1104.52,1104.52,1104.52,0,0
20170505,SM-HCVBN,Fonds,1111.38,1111.38,1111.38,1111.38,0,0
20170504,SM-HCVBN,Fonds,1107.19,1107.19,1107.19,1107.19,0,0
20170503,SM-HCVBN,Fonds,1101.23,1101.23,1101.23,1101.23,0,0
20170502,SM-HCVBN,Fonds,1108.31,1108.31,1108.31,1108.31,0,0
20170428,SM-HCVBN,Fonds,1099.94,1099.94,1099.94,1099.94,0,0
20170427,SM-HCVBN,Fonds,1098.39,1098.39,1098.39,1098.39,0,0
20170426,SM-HCVBN,Fonds,1094.59,1094.59,1094.59,1094.59,0,0
20170425,SM-HCVBN,Fonds,1086.63,1086.63,1086.63,1086.63,0,0
20170424,SM-HCVBN,Fonds,1082.71,1082.71,1082.71,1082.71,0,0
20170421,SM-HCVBN,Fonds,1064.79,1064.79,1064.79,1064.79,0,0
20170420,SM-HCVBN,Fonds,1068.56,1068.56,1068.56,1068.56,0,0
20170419,SM-HCVBN,Fonds,1060.83,1060.83,1060.83,1060.83,0,0
20170418,SM-HCVBN,Fonds,1059.00,1059.00,1059.00,1059.00,0,0
20170412,SM-HCVBN,Fonds,1067.74,1067.74,1067.74,1067.74,0,0
20170411,SM-HCVBN,Fonds,1068.74,1068.74,1068.74,1068.74,0,0
20170410,SM-HCVBN,Fonds,1066.06,1066.06,1066.06,1066.06,0,0
20170407,SM-HCVBN,Fonds,1066.90,1066.90,1066.90,1066.90,0,0
20170406,SM-HCVBN,Fonds,1066.84,1066.84,1066.84,1066.84,0,0
20170405,SM-HCVBN,Fonds,1067.65,1067.65,1067.65,1067.65,0,0
20170404,SM-HCVBN,Fonds,1071.61,1071.61,1071.61,1071.61,0,0
20170403,SM-HCVBN,Fonds,1069.36,1069.36,1069.36,1069.36,0,0
20170331,SM-HCVBN,Fonds,1071.17,1071.17,1071.17,1071.17,0,0
20170330,SM-HCVBN,Fonds,1077.34,1077.34,1077.34,1077.34,0,0
20170329,SM-HCVBN,Fonds,1078.22,1078.22,1078.22,1078.22,0,0
20170328,SM-HCVBN,Fonds,1074.22,1074.22,1074.22,1074.22,0,0
20170327,SM-HCVBN,Fonds,1071.88,1071.88,1071.88,1071.88,0,0
20170324,SM-HCVBN,Fonds,1064.09,1064.09,1064.09,1064.09,0,0
20170323,SM-HCVBN,Fonds,1063.17,1063.17,1063.17,1063.17,0,0
20170322,SM-HCVBN,Fonds,1062.08,1062.08,1062.08,1062.08,0,0
20170321,SM-HCVBN,Fonds,1059.66,1059.66,1059.66,1059.66,0,0
20170320,SM-HCVBN,Fonds,1066.33,1066.33,1066.33,1066.33,0,0
20170315,SM-HCVBN,Fonds,1072.44,1072.44,1072.44,1072.44,0,0
20170314,SM-HCVBN,Fonds,1063.22,1063.22,1063.22,1063.22,0,0
20170313,SM-HCVBN,Fonds,1067.96,1067.96,1067.96,1067.96,0,0
20170309,SM-HCVBN,Fonds,1067.13,1067.13,1067.13,1067.13,0,0
20170308,SM-HCVBN,Fonds,1061.70,1061.70,1061.70,1061.70,0,0
20170307,SM-HCVBN,Fonds,1057.89,1057.89,1057.89,1057.89,0,0
