quote_date,paper,exch,open,high,low,close,volume,value
20171120,SM-SCEKN,Fonds,930.33,930.33,930.33,930.33,0,0
20171117,SM-SCEKN,Fonds,929.96,929.96,929.96,929.96,0,0
20171116,SM-SCEKN,Fonds,930.28,930.28,930.28,930.28,0,0
20171115,SM-SCEKN,Fonds,922.40,922.40,922.40,922.40,0,0
20171114,SM-SCEKN,Fonds,930.71,930.71,930.71,930.71,0,0
20171113,SM-SCEKN,Fonds,928.43,928.43,928.43,928.43,0,0
20171110,SM-SCEKN,Fonds,927.73,927.73,927.73,927.73,0,0
20171109,SM-SCEKN,Fonds,930.14,930.14,930.14,930.14,0,0
20171108,SM-SCEKN,Fonds,934.74,934.74,934.74,934.74,0,0
20171107,SM-SCEKN,Fonds,933.18,933.18,933.18,933.18,0,0
20171106,SM-SCEKN,Fonds,931.69,931.69,931.69,931.69,0,0
20171103,SM-SCEKN,Fonds,931.19,931.19,931.19,931.19,0,0
20171102,SM-SCEKN,Fonds,929.21,929.21,929.21,929.21,0,0
20171101,SM-SCEKN,Fonds,928.64,928.64,928.64,928.64,0,0
20171031,SM-SCEKN,Fonds,922.24,922.24,922.24,922.24,0,0
20171026,SM-SCEKN,Fonds,916.16,916.16,916.16,916.16,0,0
20171025,SM-SCEKN,Fonds,913.93,913.93,913.93,913.93,0,0
20171024,SM-SCEKN,Fonds,915.00,915.00,915.00,915.00,0,0
20171023,SM-SCEKN,Fonds,913.11,913.11,913.11,913.11,0,0
20171020,SM-SCEKN,Fonds,913.52,913.52,913.52,913.52,0,0
20171019,SM-SCEKN,Fonds,909.38,909.38,909.38,909.38,0,0
20171018,SM-SCEKN,Fonds,910.97,910.97,910.97,910.97,0,0
20171017,SM-SCEKN,Fonds,908.47,908.47,908.47,908.47,0,0
20171016,SM-SCEKN,Fonds,907.53,907.53,907.53,907.53,0,0
20171013,SM-SCEKN,Fonds,905.89,905.89,905.89,905.89,0,0
20171012,SM-SCEKN,Fonds,904.74,904.74,904.74,904.74,0,0
20171011,SM-SCEKN,Fonds,902.11,902.11,902.11,902.11,0,0
20171010,SM-SCEKN,Fonds,902.28,902.28,902.28,902.28,0,0
20171009,SM-SCEKN,Fonds,899.92,899.92,899.92,899.92,0,0
20171006,SM-SCEKN,Fonds,899.43,899.43,899.43,899.43,0,0
20171005,SM-SCEKN,Fonds,901.24,901.24,901.24,901.24,0,0
20171004,SM-SCEKN,Fonds,900.75,900.75,900.75,900.75,0,0
20171003,SM-SCEKN,Fonds,900.69,900.69,900.69,900.69,0,0
20171002,SM-SCEKN,Fonds,896.86,896.86,896.86,896.86,0,0
20170929,SM-SCEKN,Fonds,891.02,891.02,891.02,891.02,0,0
20170928,SM-SCEKN,Fonds,888.01,888.01,888.01,888.01,0,0
20170927,SM-SCEKN,Fonds,884.65,884.65,884.65,884.65,0,0
20170926,SM-SCEKN,Fonds,881.74,881.74,881.74,881.74,0,0
20170925,SM-SCEKN,Fonds,881.21,881.21,881.21,881.21,0,0
20170922,SM-SCEKN,Fonds,881.93,881.93,881.93,881.93,0,0
20170921,SM-SCEKN,Fonds,881.89,881.89,881.89,881.89,0,0
20170920,SM-SCEKN,Fonds,884.25,884.25,884.25,884.25,0,0
20170919,SM-SCEKN,Fonds,883.87,883.87,883.87,883.87,0,0
20170918,SM-SCEKN,Fonds,882.73,882.73,882.73,882.73,0,0
20170915,SM-SCEKN,Fonds,881.94,881.94,881.94,881.94,0,0
20170914,SM-SCEKN,Fonds,881.35,881.35,881.35,881.35,0,0
20170913,SM-SCEKN,Fonds,882.01,882.01,882.01,882.01,0,0
20170912,SM-SCEKN,Fonds,882.78,882.78,882.78,882.78,0,0
20170911,SM-SCEKN,Fonds,881.88,881.88,881.88,881.88,0,0
20170908,SM-SCEKN,Fonds,875.61,875.61,875.61,875.61,0,0
20170907,SM-SCEKN,Fonds,874.21,874.21,874.21,874.21,0,0
20170906,SM-SCEKN,Fonds,873.02,873.02,873.02,873.02,0,0
20170905,SM-SCEKN,Fonds,874.45,874.45,874.45,874.45,0,0
20170904,SM-SCEKN,Fonds,879.21,879.21,879.21,879.21,0,0
20170901,SM-SCEKN,Fonds,881.61,881.61,881.61,881.61,0,0
20170831,SM-SCEKN,Fonds,879.07,879.07,879.07,879.07,0,0
20170830,SM-SCEKN,Fonds,873.39,873.39,873.39,873.39,0,0
20170829,SM-SCEKN,Fonds,866.54,866.54,866.54,866.54,0,0
20170828,SM-SCEKN,Fonds,868.14,868.14,868.14,868.14,0,0
20170825,SM-SCEKN,Fonds,867.58,867.58,867.58,867.58,0,0
20170824,SM-SCEKN,Fonds,867.22,867.22,867.22,867.22,0,0
20170823,SM-SCEKN,Fonds,868.22,868.22,868.22,868.22,0,0
20170822,SM-SCEKN,Fonds,869.13,869.13,869.13,869.13,0,0
20170821,SM-SCEKN,Fonds,862.08,862.08,862.08,862.08,0,0
20170818,SM-SCEKN,Fonds,861.41,861.41,861.41,861.41,0,0
20170817,SM-SCEKN,Fonds,864.54,864.54,864.54,864.54,0,0
20170816,SM-SCEKN,Fonds,870.95,870.95,870.95,870.95,0,0
20170815,SM-SCEKN,Fonds,868.08,868.08,868.08,868.08,0,0
20170814,SM-SCEKN,Fonds,867.63,867.63,867.63,867.63,0,0
20170811,SM-SCEKN,Fonds,859.76,859.76,859.76,859.76,0,0
20170810,SM-SCEKN,Fonds,861.17,861.17,861.17,861.17,0,0
20170808,SM-SCEKN,Fonds,871.33,871.33,871.33,871.33,0,0
20170803,SM-SCEKN,Fonds,869.67,869.67,869.67,869.67,0,0
20170802,SM-SCEKN,Fonds,869.93,869.93,869.93,869.93,0,0
20170801,SM-SCEKN,Fonds,870.43,870.43,870.43,870.43,0,0
20170731,SM-SCEKN,Fonds,866.62,866.62,866.62,866.62,0,0
20170728,SM-SCEKN,Fonds,865.80,865.80,865.80,865.80,0,0
20170727,SM-SCEKN,Fonds,868.56,868.56,868.56,868.56,0,0
20170726,SM-SCEKN,Fonds,870.13,870.13,870.13,870.13,0,0
20170725,SM-SCEKN,Fonds,869.51,869.51,869.51,869.51,0,0
20170724,SM-SCEKN,Fonds,868.82,868.82,868.82,868.82,0,0
20170721,SM-SCEKN,Fonds,870.86,870.86,870.86,870.86,0,0
20170720,SM-SCEKN,Fonds,873.74,873.74,873.74,873.74,0,0
20170719,SM-SCEKN,Fonds,873.24,873.24,873.24,873.24,0,0
20170718,SM-SCEKN,Fonds,866.57,866.57,866.57,866.57,0,0
20170717,SM-SCEKN,Fonds,869.51,869.51,869.51,869.51,0,0
20170714,SM-SCEKN,Fonds,868.05,868.05,868.05,868.05,0,0
20170713,SM-SCEKN,Fonds,865.43,865.43,865.43,865.43,0,0
20170712,SM-SCEKN,Fonds,862.96,862.96,862.96,862.96,0,0
20170711,SM-SCEKN,Fonds,856.11,856.11,856.11,856.11,0,0
20170710,SM-SCEKN,Fonds,857.18,857.18,857.18,857.18,0,0
20170707,SM-SCEKN,Fonds,855.28,855.28,855.28,855.28,0,0
20170706,SM-SCEKN,Fonds,852.23,852.23,852.23,852.23,0,0
20170705,SM-SCEKN,Fonds,857.68,857.68,857.68,857.68,0,0
20170704,SM-SCEKN,Fonds,855.70,855.70,855.70,855.70,0,0
20170703,SM-SCEKN,Fonds,857.39,857.39,857.39,857.39,0,0
20170630,SM-SCEKN,Fonds,853.78,853.78,853.78,853.78,0,0
20170629,SM-SCEKN,Fonds,854.59,854.59,854.59,854.59,0,0
20170628,SM-SCEKN,Fonds,863.10,863.10,863.10,863.10,0,0
20170627,SM-SCEKN,Fonds,860.89,860.89,860.89,860.89,0,0
20170626,SM-SCEKN,Fonds,869.29,869.29,869.29,869.29,0,0
20170623,SM-SCEKN,Fonds,868.09,868.09,868.09,868.09,0,0
20170622,SM-SCEKN,Fonds,866.66,866.66,866.66,866.66,0,0
20170621,SM-SCEKN,Fonds,868.42,868.42,868.42,868.42,0,0
20170620,SM-SCEKN,Fonds,870.58,870.58,870.58,870.58,0,0
20170619,SM-SCEKN,Fonds,874.54,874.54,874.54,874.54,0,0
20170616,SM-SCEKN,Fonds,868.60,868.60,868.60,868.60,0,0
20170615,SM-SCEKN,Fonds,864.14,864.14,864.14,864.14,0,0
20170614,SM-SCEKN,Fonds,866.55,866.55,866.55,866.55,0,0
20170613,SM-SCEKN,Fonds,867.24,867.24,867.24,867.24,0,0
20170612,SM-SCEKN,Fonds,863.37,863.37,863.37,863.37,0,0
20170609,SM-SCEKN,Fonds,865.49,865.49,865.49,865.49,0,0
20170608,SM-SCEKN,Fonds,865.19,865.19,865.19,865.19,0,0
20170607,SM-SCEKN,Fonds,865.38,865.38,865.38,865.38,0,0
20170606,SM-SCEKN,Fonds,864.76,864.76,864.76,864.76,0,0
20170602,SM-SCEKN,Fonds,868.74,868.74,868.74,868.74,0,0
20170601,SM-SCEKN,Fonds,865.14,865.14,865.14,865.14,0,0
20170531,SM-SCEKN,Fonds,858.45,858.45,858.45,858.45,0,0
20170530,SM-SCEKN,Fonds,857.82,857.82,857.82,857.82,0,0
20170529,SM-SCEKN,Fonds,858.31,858.31,858.31,858.31,0,0
20170526,SM-SCEKN,Fonds,858.66,858.66,858.66,858.66,0,0
20170524,SM-SCEKN,Fonds,857.42,857.42,857.42,857.42,0,0
20170523,SM-SCEKN,Fonds,854.98,854.98,854.98,854.98,0,0
20170522,SM-SCEKN,Fonds,852.49,852.49,852.49,852.49,0,0
20170519,SM-SCEKN,Fonds,850.05,850.05,850.05,850.05,0,0
20170518,SM-SCEKN,Fonds,846.12,846.12,846.12,846.12,0,0
20170516,SM-SCEKN,Fonds,860.17,860.17,860.17,860.17,0,0
20170515,SM-SCEKN,Fonds,858.72,858.72,858.72,858.72,0,0
20170512,SM-SCEKN,Fonds,854.60,854.60,854.60,854.60,0,0
20170511,SM-SCEKN,Fonds,855.92,855.92,855.92,855.92,0,0
20170510,SM-SCEKN,Fonds,857.95,857.95,857.95,857.95,0,0
20170509,SM-SCEKN,Fonds,855.41,855.41,855.41,855.41,0,0
20170508,SM-SCEKN,Fonds,854.99,854.99,854.99,854.99,0,0
20170505,SM-SCEKN,Fonds,856.58,856.58,856.58,856.58,0,0
20170504,SM-SCEKN,Fonds,852.53,852.53,852.53,852.53,0,0
20170503,SM-SCEKN,Fonds,852.87,852.87,852.87,852.87,0,0
20170502,SM-SCEKN,Fonds,855.88,855.88,855.88,855.88,0,0
20170428,SM-SCEKN,Fonds,850.58,850.58,850.58,850.58,0,0
20170427,SM-SCEKN,Fonds,852.68,852.68,852.68,852.68,0,0
20170426,SM-SCEKN,Fonds,851.97,851.97,851.97,851.97,0,0
20170425,SM-SCEKN,Fonds,849.19,849.19,849.19,849.19,0,0
20170424,SM-SCEKN,Fonds,845.26,845.26,845.26,845.26,0,0
20170421,SM-SCEKN,Fonds,834.01,834.01,834.01,834.01,0,0
20170420,SM-SCEKN,Fonds,834.32,834.32,834.32,834.32,0,0
20170419,SM-SCEKN,Fonds,829.54,829.54,829.54,829.54,0,0
20170418,SM-SCEKN,Fonds,830.04,830.04,830.04,830.04,0,0
20170412,SM-SCEKN,Fonds,833.63,833.63,833.63,833.63,0,0
20170411,SM-SCEKN,Fonds,836.76,836.76,836.76,836.76,0,0
20170410,SM-SCEKN,Fonds,836.42,836.42,836.42,836.42,0,0
20170407,SM-SCEKN,Fonds,837.08,837.08,837.08,837.08,0,0
20170406,SM-SCEKN,Fonds,835.66,835.66,835.66,835.66,0,0
20170405,SM-SCEKN,Fonds,833.77,833.77,833.77,833.77,0,0
20170404,SM-SCEKN,Fonds,835.01,835.01,835.01,835.01,0,0
20170403,SM-SCEKN,Fonds,834.21,834.21,834.21,834.21,0,0
20170331,SM-SCEKN,Fonds,834.99,834.99,834.99,834.99,0,0
20170330,SM-SCEKN,Fonds,837.75,837.75,837.75,837.75,0,0
20170329,SM-SCEKN,Fonds,834.82,834.82,834.82,834.82,0,0
