quote_date,paper,exch,open,high,low,close,volume,value
20161219,SO-SBRCU,Fonds,94.42,94.42,94.42,94.42,0,0
20161216,SO-SBRCU,Fonds,93.11,93.11,93.11,93.11,0,0
20161213,SO-SBRCU,Fonds,92.66,92.66,92.66,92.66,0,0
20161209,SO-SBRCU,Fonds,91.72,91.72,91.72,91.72,0,0
20161208,SO-SBRCU,Fonds,91.58,91.58,91.58,91.58,0,0
20161207,SO-SBRCU,Fonds,91.23,91.23,91.23,91.23,0,0
20161206,SO-SBRCU,Fonds,91.08,91.08,91.08,91.08,0,0
20161205,SO-SBRCU,Fonds,90.51,90.51,90.51,90.51,0,0
20161202,SO-SBRCU,Fonds,90.65,90.65,90.65,90.65,0,0
20161201,SO-SBRCU,Fonds,89.99,89.99,89.99,89.99,0,0
20161130,SO-SBRCU,Fonds,89.83,89.83,89.83,89.83,0,0
20161129,SO-SBRCU,Fonds,89.73,89.73,89.73,89.73,0,0
20161128,SO-SBRCU,Fonds,89.79,89.79,89.79,89.79,0,0
20161125,SO-SBRCU,Fonds,89.85,89.85,89.85,89.85,0,0
20161124,SO-SBRCU,Fonds,89.78,89.78,89.78,89.78,0,0
20161123,SO-SBRCU,Fonds,89.77,89.77,89.77,89.77,0,0
20161122,SO-SBRCU,Fonds,89.72,89.72,89.72,89.72,0,0
20161121,SO-SBRCU,Fonds,89.49,89.49,89.49,89.49,0,0
20161109,SO-SBRCU,Fonds,89.68,89.68,89.68,89.68,0,0
20161108,SO-SBRCU,Fonds,89.56,89.56,89.56,89.56,0,0
20161107,SO-SBRCU,Fonds,89.35,89.35,89.35,89.35,0,0
20161104,SO-SBRCU,Fonds,89.37,89.37,89.37,89.37,0,0
20161103,SO-SBRCU,Fonds,88.96,88.96,88.96,88.96,0,0
20161102,SO-SBRCU,Fonds,89.35,89.35,89.35,89.35,0,0
20161031,SO-SBRCU,Fonds,89.78,89.78,89.78,89.78,0,0
20161028,SO-SBRCU,Fonds,89.82,89.82,89.82,89.82,0,0
20161027,SO-SBRCU,Fonds,89.74,89.74,89.74,89.74,0,0
20161026,SO-SBRCU,Fonds,89.85,89.85,89.85,89.85,0,0
20161025,SO-SBRCU,Fonds,89.92,89.92,89.92,89.92,0,0
20161024,SO-SBRCU,Fonds,89.81,89.81,89.81,89.81,0,0
20161021,SO-SBRCU,Fonds,89.66,89.66,89.66,89.66,0,0
20161020,SO-SBRCU,Fonds,89.69,89.69,89.69,89.69,0,0
20161019,SO-SBRCU,Fonds,89.86,89.86,89.86,89.86,0,0
20161018,SO-SBRCU,Fonds,89.94,89.94,89.94,89.94,0,0
20161017,SO-SBRCU,Fonds,90.02,90.02,90.02,90.02,0,0
20161014,SO-SBRCU,Fonds,89.68,89.68,89.68,89.68,0,0
20161013,SO-SBRCU,Fonds,89.97,89.97,89.97,89.97,0,0
20161012,SO-SBRCU,Fonds,89.66,89.66,89.66,89.66,0,0
20161011,SO-SBRCU,Fonds,89.44,89.44,89.44,89.44,0,0
20161010,SO-SBRCU,Fonds,89.13,89.13,89.13,89.13,0,0
20161007,SO-SBRCU,Fonds,88.97,88.97,88.97,88.97,0,0
20161006,SO-SBRCU,Fonds,88.91,88.91,88.91,88.91,0,0
20161004,SO-SBRCU,Fonds,88.89,88.89,88.89,88.89,0,0
20160930,SO-SBRCU,Fonds,88.78,88.78,88.78,88.78,0,0
20160929,SO-SBRCU,Fonds,88.42,88.42,88.42,88.42,0,0
20160927,SO-SBRCU,Fonds,88.81,88.81,88.81,88.81,0,0
20160926,SO-SBRCU,Fonds,88.85,88.85,88.85,88.85,0,0
20160923,SO-SBRCU,Fonds,88.44,88.44,88.44,88.44,0,0
20160922,SO-SBRCU,Fonds,88.06,88.06,88.06,88.06,0,0
20160920,SO-SBRCU,Fonds,88.62,88.62,88.62,88.62,0,0
20160919,SO-SBRCU,Fonds,88.46,88.46,88.46,88.46,0,0
20160916,SO-SBRCU,Fonds,88.35,88.35,88.35,88.35,0,0
20160915,SO-SBRCU,Fonds,88.86,88.86,88.86,88.86,0,0
20160912,SO-SBRCU,Fonds,89.10,89.10,89.10,89.10,0,0
20160909,SO-SBRCU,Fonds,89.01,89.01,89.01,89.01,0,0
20160908,SO-SBRCU,Fonds,89.23,89.23,89.23,89.23,0,0
20160907,SO-SBRCU,Fonds,89.09,89.09,89.09,89.09,0,0
20160905,SO-SBRCU,Fonds,88.87,88.87,88.87,88.87,0,0
20160902,SO-SBRCU,Fonds,88.99,88.99,88.99,88.99,0,0
20160901,SO-SBRCU,Fonds,88.82,88.82,88.82,88.82,0,0
20160830,SO-SBRCU,Fonds,89.13,89.13,89.13,89.13,0,0
20160829,SO-SBRCU,Fonds,89.10,89.10,89.10,89.10,0,0
20160826,SO-SBRCU,Fonds,88.86,88.86,88.86,88.86,0,0
20160825,SO-SBRCU,Fonds,88.85,88.85,88.85,88.85,0,0
