quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-AKSJS,Fonds,1417.6962,1417.6962,1417.6962,1417.6962,0,0
20171120,SP-AKSJS,Fonds,1412.9117,1412.9117,1412.9117,1412.9117,0,0
20171117,SP-AKSJS,Fonds,1405.4676,1405.4676,1405.4676,1405.4676,0,0
20171116,SP-AKSJS,Fonds,1403.4381,1403.4381,1403.4381,1403.4381,0,0
20171115,SP-AKSJS,Fonds,1395.3573,1395.3573,1395.3573,1395.3573,0,0
20171114,SP-AKSJS,Fonds,1402.3749,1402.3749,1402.3749,1402.3749,0,0
20171113,SP-AKSJS,Fonds,1399.1918,1399.1918,1399.1918,1399.1918,0,0
20171110,SP-AKSJS,Fonds,1398.70959,1398.70959,1398.70959,1398.70959,0,0
20171109,SP-AKSJS,Fonds,1402.9127,1402.9127,1402.9127,1402.9127,0,0
20171108,SP-AKSJS,Fonds,1418.3612,1418.3612,1418.3612,1418.3612,0,0
20171107,SP-AKSJS,Fonds,1418.068,1418.068,1418.068,1418.068,0,0
20171106,SP-AKSJS,Fonds,1416.1472,1416.1472,1416.1472,1416.1472,0,0
20171103,SP-AKSJS,Fonds,1414.9107,1414.9107,1414.9107,1414.9107,0,0
20171102,SP-AKSJS,Fonds,1406.3332,1406.3332,1406.3332,1406.3332,0,0
20171101,SP-AKSJS,Fonds,1411.8114,1411.8114,1411.8114,1411.8114,0,0
20171031,SP-AKSJS,Fonds,1410.0425,1410.0425,1410.0425,1410.0425,0,0
20171030,SP-AKSJS,Fonds,1407.3726,1407.3726,1407.3726,1407.3726,0,0
20171027,SP-AKSJS,Fonds,1404.1193,1404.1193,1404.1193,1404.1193,0,0
20171026,SP-AKSJS,Fonds,1390.5717,1390.5717,1390.5717,1390.5717,0,0
20171025,SP-AKSJS,Fonds,1378.8733,1378.8733,1378.8733,1378.8733,0,0
20171024,SP-AKSJS,Fonds,1373.2486,1373.2486,1373.2486,1373.2486,0,0
20171023,SP-AKSJS,Fonds,1374.7927,1374.7927,1374.7927,1374.7927,0,0
20171020,SP-AKSJS,Fonds,1375.3389,1375.3389,1375.3389,1375.3389,0,0
20171019,SP-AKSJS,Fonds,1363.2669,1363.2669,1363.2669,1363.2669,0,0
20171018,SP-AKSJS,Fonds,1365.3197,1365.3197,1365.3197,1365.3197,0,0
20171017,SP-AKSJS,Fonds,1362.1215,1362.1215,1362.1215,1362.1215,0,0
20171016,SP-AKSJS,Fonds,1357.4291,1357.4291,1357.4291,1357.4291,0,0
20171013,SP-AKSJS,Fonds,1357.287,1357.287,1357.287,1357.287,0,0
20171012,SP-AKSJS,Fonds,1355.8653,1355.8653,1355.8653,1355.8653,0,0
20171011,SP-AKSJS,Fonds,1356.9534,1356.9534,1356.9534,1356.9534,0,0
20171010,SP-AKSJS,Fonds,1358.6159,1358.6159,1358.6159,1358.6159,0,0
20171009,SP-AKSJS,Fonds,1357.9326,1357.9326,1357.9326,1357.9326,0,0
20171006,SP-AKSJS,Fonds,1361.6136,1361.6136,1361.6136,1361.6136,0,0
20171005,SP-AKSJS,Fonds,1362.2274,1362.2274,1362.2274,1362.2274,0,0
20171004,SP-AKSJS,Fonds,1353.5819,1353.5819,1353.5819,1353.5819,0,0
20171003,SP-AKSJS,Fonds,1360.3171,1360.3171,1360.3171,1360.3171,0,0
20171002,SP-AKSJS,Fonds,1356.8573,1356.8573,1356.8573,1356.8573,0,0
20170929,SP-AKSJS,Fonds,1350.0133,1350.0133,1350.0133,1350.0133,0,0
20170928,SP-AKSJS,Fonds,1343.4328,1343.4328,1343.4328,1343.4328,0,0
20170927,SP-AKSJS,Fonds,1340.9934,1340.9934,1340.9934,1340.9934,0,0
20170926,SP-AKSJS,Fonds,1329.06,1329.06,1329.06,1329.06,0,0
20170925,SP-AKSJS,Fonds,1325.3262,1325.3262,1325.3262,1325.3262,0,0
20170922,SP-AKSJS,Fonds,1321.7604,1321.7604,1321.7604,1321.7604,0,0
20170921,SP-AKSJS,Fonds,1322.5824,1322.5824,1322.5824,1322.5824,0,0
20170920,SP-AKSJS,Fonds,1320.1242,1320.1242,1320.1242,1320.1242,0,0
20170919,SP-AKSJS,Fonds,1320.0178,1320.0178,1320.0178,1320.0178,0,0
20170918,SP-AKSJS,Fonds,1319.1003,1319.1003,1319.1003,1319.1003,0,0
20170915,SP-AKSJS,Fonds,1316.5247,1316.5247,1316.5247,1316.5247,0,0
20170914,SP-AKSJS,Fonds,1325.6371,1325.6371,1325.6371,1325.6371,0,0
20170913,SP-AKSJS,Fonds,1322.3641,1322.3641,1322.3641,1322.3641,0,0
20170912,SP-AKSJS,Fonds,1315.4806,1315.4806,1315.4806,1315.4806,0,0
20170911,SP-AKSJS,Fonds,1310.4004,1310.4004,1310.4004,1310.4004,0,0
20170908,SP-AKSJS,Fonds,1288.2221,1288.2221,1288.2221,1288.2221,0,0
20170907,SP-AKSJS,Fonds,1287.3138,1287.3138,1287.3138,1287.3138,0,0
20170906,SP-AKSJS,Fonds,1286.9347,1286.9347,1286.9347,1286.9347,0,0
20170905,SP-AKSJS,Fonds,1288.6396,1288.6396,1288.6396,1288.6396,0,0
20170904,SP-AKSJS,Fonds,1293.6821,1293.6821,1293.6821,1293.6821,0,0
20170901,SP-AKSJS,Fonds,1296.17,1296.17,1296.17,1296.17,0,0
20170831,SP-AKSJS,Fonds,1286.9598,1286.9598,1286.9598,1286.9598,0,0
20170830,SP-AKSJS,Fonds,1276.308,1276.308,1276.308,1276.308,0,0
20170829,SP-AKSJS,Fonds,1263.9875,1263.9875,1263.9875,1263.9875,0,0
20170828,SP-AKSJS,Fonds,1273.5008,1273.5008,1273.5008,1273.5008,0,0
20170825,SP-AKSJS,Fonds,1276.6186,1276.6186,1276.6186,1276.6186,0,0
20170824,SP-AKSJS,Fonds,1280.3785,1280.3785,1280.3785,1280.3785,0,0
