quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-FONLI,Fonds,1009.7631,1009.7631,1009.7631,1009.7631,0,0
20171120,SP-FONLI,Fonds,1009.7972,1009.7972,1009.7972,1009.7972,0,0
20171117,SP-FONLI,Fonds,1009.6178,1009.6178,1009.6178,1009.6178,0,0
20171116,SP-FONLI,Fonds,1009.558,1009.558,1009.558,1009.558,0,0
20171115,SP-FONLI,Fonds,1009.5965,1009.5965,1009.5965,1009.5965,0,0
20171114,SP-FONLI,Fonds,1009.5315,1009.5315,1009.5315,1009.5315,0,0
20171113,SP-FONLI,Fonds,1009.4259,1009.4259,1009.4259,1009.4259,0,0
20171110,SP-FONLI,Fonds,1009.32339,1009.32339,1009.32339,1009.32339,0,0
20171109,SP-FONLI,Fonds,1009.313,1009.313,1009.313,1009.313,0,0
20171108,SP-FONLI,Fonds,1009.3479,1009.3479,1009.3479,1009.3479,0,0
20171107,SP-FONLI,Fonds,1009.3661,1009.3661,1009.3661,1009.3661,0,0
20171106,SP-FONLI,Fonds,1009.3244,1009.3244,1009.3244,1009.3244,0,0
20171103,SP-FONLI,Fonds,1009.1692,1009.1692,1009.1692,1009.1692,0,0
20171102,SP-FONLI,Fonds,1009.1349,1009.1349,1009.1349,1009.1349,0,0
20171101,SP-FONLI,Fonds,1009.1185,1009.1185,1009.1185,1009.1185,0,0
20171031,SP-FONLI,Fonds,1009.0786,1009.0786,1009.0786,1009.0786,0,0
20171030,SP-FONLI,Fonds,1008.9979,1008.9979,1008.9979,1008.9979,0,0
20171027,SP-FONLI,Fonds,1008.8495,1008.8495,1008.8495,1008.8495,0,0
20171026,SP-FONLI,Fonds,1008.8009,1008.8009,1008.8009,1008.8009,0,0
20171025,SP-FONLI,Fonds,1008.7763,1008.7763,1008.7763,1008.7763,0,0
20171024,SP-FONLI,Fonds,1008.7996,1008.7996,1008.7996,1008.7996,0,0
20171023,SP-FONLI,Fonds,1008.7763,1008.7763,1008.7763,1008.7763,0,0
20171020,SP-FONLI,Fonds,1008.6705,1008.6705,1008.6705,1008.6705,0,0
20171019,SP-FONLI,Fonds,1008.6574,1008.6574,1008.6574,1008.6574,0,0
20171018,SP-FONLI,Fonds,1008.643,1008.643,1008.643,1008.643,0,0
20171017,SP-FONLI,Fonds,1008.575,1008.575,1008.575,1008.575,0,0
20171016,SP-FONLI,Fonds,1008.5005,1008.5005,1008.5005,1008.5005,0,0
20171013,SP-FONLI,Fonds,1008.467,1008.467,1008.467,1008.467,0,0
20171012,SP-FONLI,Fonds,1008.459,1008.459,1008.459,1008.459,0,0
20171011,SP-FONLI,Fonds,1008.6714,1008.6714,1008.6714,1008.6714,0,0
20171010,SP-FONLI,Fonds,1008.669,1008.669,1008.669,1008.669,0,0
20171009,SP-FONLI,Fonds,1008.7038,1008.7038,1008.7038,1008.7038,0,0
20171006,SP-FONLI,Fonds,1008.5985,1008.5985,1008.5985,1008.5985,0,0
20171005,SP-FONLI,Fonds,1008.5542,1008.5542,1008.5542,1008.5542,0,0
20171004,SP-FONLI,Fonds,1008.6063,1008.6063,1008.6063,1008.6063,0,0
20171003,SP-FONLI,Fonds,1008.5707,1008.5707,1008.5707,1008.5707,0,0
20171002,SP-FONLI,Fonds,1008.5092,1008.5092,1008.5092,1008.5092,0,0
20170929,SP-FONLI,Fonds,1008.4044,1008.4044,1008.4044,1008.4044,0,0
20170928,SP-FONLI,Fonds,1008.3629,1008.3629,1008.3629,1008.3629,0,0
20170927,SP-FONLI,Fonds,1008.4539,1008.4539,1008.4539,1008.4539,0,0
20170926,SP-FONLI,Fonds,1008.4165,1008.4165,1008.4165,1008.4165,0,0
20170925,SP-FONLI,Fonds,1008.3723,1008.3723,1008.3723,1008.3723,0,0
20170922,SP-FONLI,Fonds,1008.2438,1008.2438,1008.2438,1008.2438,0,0
20170921,SP-FONLI,Fonds,1008.202,1008.202,1008.202,1008.202,0,0
20170920,SP-FONLI,Fonds,1008.2555,1008.2555,1008.2555,1008.2555,0,0
20170919,SP-FONLI,Fonds,1008.2418,1008.2418,1008.2418,1008.2418,0,0
20170918,SP-FONLI,Fonds,1008.1926,1008.1926,1008.1926,1008.1926,0,0
20170915,SP-FONLI,Fonds,1008.0367,1008.0367,1008.0367,1008.0367,0,0
20170914,SP-FONLI,Fonds,1008.0178,1008.0178,1008.0178,1008.0178,0,0
20170913,SP-FONLI,Fonds,1008.0627,1008.0627,1008.0627,1008.0627,0,0
20170912,SP-FONLI,Fonds,1008.0396,1008.0396,1008.0396,1008.0396,0,0
20170911,SP-FONLI,Fonds,1008.0334,1008.0334,1008.0334,1008.0334,0,0
20170908,SP-FONLI,Fonds,1007.9361,1007.9361,1007.9361,1007.9361,0,0
20170907,SP-FONLI,Fonds,1007.8296,1007.8296,1007.8296,1007.8296,0,0
20170906,SP-FONLI,Fonds,1007.8455,1007.8455,1007.8455,1007.8455,0,0
20170905,SP-FONLI,Fonds,1007.7803,1007.7803,1007.7803,1007.7803,0,0
20170904,SP-FONLI,Fonds,1007.7472,1007.7472,1007.7472,1007.7472,0,0
20170901,SP-FONLI,Fonds,1007.6165,1007.6165,1007.6165,1007.6165,0,0
20170831,SP-FONLI,Fonds,1007.5501,1007.5501,1007.5501,1007.5501,0,0
20170830,SP-FONLI,Fonds,1007.5731,1007.5731,1007.5731,1007.5731,0,0
20170829,SP-FONLI,Fonds,1007.577,1007.577,1007.577,1007.577,0,0
20170828,SP-FONLI,Fonds,1007.4894,1007.4894,1007.4894,1007.4894,0,0
20170825,SP-FONLI,Fonds,1007.3379,1007.3379,1007.3379,1007.3379,0,0
20170824,SP-FONLI,Fonds,1007.2819,1007.2819,1007.2819,1007.2819,0,0
20170823,SP-FONLI,Fonds,1007.2728,1007.2728,1007.2728,1007.2728,0,0
20170822,SP-FONLI,Fonds,1007.2174,1007.2174,1007.2174,1007.2174,0,0
20170821,SP-FONLI,Fonds,1007.1184,1007.1184,1007.1184,1007.1184,0,0
20170818,SP-FONLI,Fonds,1006.9664,1006.9664,1006.9664,1006.9664,0,0
20170817,SP-FONLI,Fonds,1006.9235,1006.9235,1006.9235,1006.9235,0,0
20170816,SP-FONLI,Fonds,1006.9508,1006.9508,1006.9508,1006.9508,0,0
20170815,SP-FONLI,Fonds,1006.8923,1006.8923,1006.8923,1006.8923,0,0
20170814,SP-FONLI,Fonds,1006.8663,1006.8663,1006.8663,1006.8663,0,0
20170811,SP-FONLI,Fonds,1006.845,1006.845,1006.845,1006.845,0,0
20170810,SP-FONLI,Fonds,1006.8466,1006.8466,1006.8466,1006.8466,0,0
20170809,SP-FONLI,Fonds,1006.949,1006.949,1006.949,1006.949,0,0
20170808,SP-FONLI,Fonds,1006.9176,1006.9176,1006.9176,1006.9176,0,0
20170807,SP-FONLI,Fonds,1006.8092,1006.8092,1006.8092,1006.8092,0,0
20170804,SP-FONLI,Fonds,1006.6842,1006.6842,1006.6842,1006.6842,0,0
20170803,SP-FONLI,Fonds,1006.6516,1006.6516,1006.6516,1006.6516,0,0
20170802,SP-FONLI,Fonds,1006.5233,1006.5233,1006.5233,1006.5233,0,0
20170801,SP-FONLI,Fonds,1006.4495,1006.4495,1006.4495,1006.4495,0,0
20170731,SP-FONLI,Fonds,1006.3195,1006.3195,1006.3195,1006.3195,0,0
20170728,SP-FONLI,Fonds,1006.1686,1006.1686,1006.1686,1006.1686,0,0
20170727,SP-FONLI,Fonds,1006.1455,1006.1455,1006.1455,1006.1455,0,0
20170726,SP-FONLI,Fonds,1006.1055,1006.1055,1006.1055,1006.1055,0,0
20170725,SP-FONLI,Fonds,1006.0531,1006.0531,1006.0531,1006.0531,0,0
20170724,SP-FONLI,Fonds,1005.9909,1005.9909,1005.9909,1005.9909,0,0
20170721,SP-FONLI,Fonds,1005.8458,1005.8458,1005.8458,1005.8458,0,0
20170720,SP-FONLI,Fonds,1005.7881,1005.7881,1005.7881,1005.7881,0,0
20170719,SP-FONLI,Fonds,1005.7687,1005.7687,1005.7687,1005.7687,0,0
20170718,SP-FONLI,Fonds,1005.715,1005.715,1005.715,1005.715,0,0
20170717,SP-FONLI,Fonds,1005.7005,1005.7005,1005.7005,1005.7005,0,0
20170714,SP-FONLI,Fonds,1005.4665,1005.4665,1005.4665,1005.4665,0,0
20170713,SP-FONLI,Fonds,1005.3996,1005.3996,1005.3996,1005.3996,0,0
20170712,SP-FONLI,Fonds,1005.3644,1005.3644,1005.3644,1005.3644,0,0
20170711,SP-FONLI,Fonds,1005.3172,1005.3172,1005.3172,1005.3172,0,0
20170710,SP-FONLI,Fonds,1005.2848,1005.2848,1005.2848,1005.2848,0,0
20170707,SP-FONLI,Fonds,1005.1266,1005.1266,1005.1266,1005.1266,0,0
20170706,SP-FONLI,Fonds,1005.0943,1005.0943,1005.0943,1005.0943,0,0
20170705,SP-FONLI,Fonds,1005.0791,1005.0791,1005.0791,1005.0791,0,0
20170704,SP-FONLI,Fonds,1004.9697,1004.9697,1004.9697,1004.9697,0,0
20170703,SP-FONLI,Fonds,1004.9399,1004.9399,1004.9399,1004.9399,0,0
20170630,SP-FONLI,Fonds,1004.7735,1004.7735,1004.7735,1004.7735,0,0
20170629,SP-FONLI,Fonds,1004.7254,1004.7254,1004.7254,1004.7254,0,0
20170628,SP-FONLI,Fonds,1004.6468,1004.6468,1004.6468,1004.6468,0,0
20170627,SP-FONLI,Fonds,1004.5628,1004.5628,1004.5628,1004.5628,0,0
20170623,SP-FONLI,Fonds,1004.4098,1004.4098,1004.4098,1004.4098,0,0
20170622,SP-FONLI,Fonds,1004.353,1004.353,1004.353,1004.353,0,0
20170621,SP-FONLI,Fonds,1004.3531,1004.3531,1004.3531,1004.3531,0,0
20170620,SP-FONLI,Fonds,1004.299,1004.299,1004.299,1004.299,0,0
20170619,SP-FONLI,Fonds,1004.2723,1004.2723,1004.2723,1004.2723,0,0
20170616,SP-FONLI,Fonds,1004.1065,1004.1065,1004.1065,1004.1065,0,0
20170615,SP-FONLI,Fonds,1004.0209,1004.0209,1004.0209,1004.0209,0,0
20170614,SP-FONLI,Fonds,1003.99,1003.99,1003.99,1003.99,0,0
20170613,SP-FONLI,Fonds,1003.9808,1003.9808,1003.9808,1003.9808,0,0
20170612,SP-FONLI,Fonds,1003.9608,1003.9608,1003.9608,1003.9608,0,0
20170609,SP-FONLI,Fonds,1003.8302,1003.8302,1003.8302,1003.8302,0,0
20170608,SP-FONLI,Fonds,1003.8123,1003.8123,1003.8123,1003.8123,0,0
20170607,SP-FONLI,Fonds,1003.8439,1003.8439,1003.8439,1003.8439,0,0
20170606,SP-FONLI,Fonds,1003.8016,1003.8016,1003.8016,1003.8016,0,0
20170602,SP-FONLI,Fonds,1003.5727,1003.5727,1003.5727,1003.5727,0,0
20170601,SP-FONLI,Fonds,1003.4839,1003.4839,1003.4839,1003.4839,0,0
20170531,SP-FONLI,Fonds,1003.4482,1003.4482,1003.4482,1003.4482,0,0
20170530,SP-FONLI,Fonds,1003.4252,1003.4252,1003.4252,1003.4252,0,0
20170529,SP-FONLI,Fonds,1003.3738,1003.3738,1003.3738,1003.3738,0,0
20170526,SP-FONLI,Fonds,1003.2754,1003.2754,1003.2754,1003.2754,0,0
20170524,SP-FONLI,Fonds,1003.2206,1003.2206,1003.2206,1003.2206,0,0
20170523,SP-FONLI,Fonds,1003.1255,1003.1255,1003.1255,1003.1255,0,0
20170522,SP-FONLI,Fonds,1003.0851,1003.0851,1003.0851,1003.0851,0,0
20170519,SP-FONLI,Fonds,1002.9209,1002.9209,1002.9209,1002.9209,0,0
20170518,SP-FONLI,Fonds,1002.8934,1002.8934,1002.8934,1002.8934,0,0
20170516,SP-FONLI,Fonds,1002.8805,1002.8805,1002.8805,1002.8805,0,0
20170515,SP-FONLI,Fonds,1002.8459,1002.8459,1002.8459,1002.8459,0,0
20170512,SP-FONLI,Fonds,1002.6984,1002.6984,1002.6984,1002.6984,0,0
20170511,SP-FONLI,Fonds,1002.6534,1002.6534,1002.6534,1002.6534,0,0
20170510,SP-FONLI,Fonds,1002.6442,1002.6442,1002.6442,1002.6442,0,0
20170509,SP-FONLI,Fonds,1002.5788,1002.5788,1002.5788,1002.5788,0,0
20170508,SP-FONLI,Fonds,1002.5514,1002.5514,1002.5514,1002.5514,0,0
20170505,SP-FONLI,Fonds,1002.3719,1002.3719,1002.3719,1002.3719,0,0
20170504,SP-FONLI,Fonds,1002.2832,1002.2832,1002.2832,1002.2832,0,0
20170503,SP-FONLI,Fonds,1002.2534,1002.2534,1002.2534,1002.2534,0,0
20170502,SP-FONLI,Fonds,1002.1649,1002.1649,1002.1649,1002.1649,0,0
20170428,SP-FONLI,Fonds,1001.9414,1001.9414,1001.9414,1001.9414,0,0
20170427,SP-FONLI,Fonds,1001.9374,1001.9374,1001.9374,1001.9374,0,0
20170426,SP-FONLI,Fonds,1001.9608,1001.9608,1001.9608,1001.9608,0,0
20170425,SP-FONLI,Fonds,1001.8632,1001.8632,1001.8632,1001.8632,0,0
20170424,SP-FONLI,Fonds,1001.6855,1001.6855,1001.6855,1001.6855,0,0
20170421,SP-FONLI,Fonds,1001.4489,1001.4489,1001.4489,1001.4489,0,0
20170420,SP-FONLI,Fonds,1001.4504,1001.4504,1001.4504,1001.4504,0,0
20170419,SP-FONLI,Fonds,1001.4453,1001.4453,1001.4453,1001.4453,0,0
20170418,SP-FONLI,Fonds,1001.3917,1001.3917,1001.3917,1001.3917,0,0
20170412,SP-FONLI,Fonds,1001.1251,1001.1251,1001.1251,1001.1251,0,0
20170411,SP-FONLI,Fonds,1001.1339,1001.1339,1001.1339,1001.1339,0,0
20170410,SP-FONLI,Fonds,1001.244,1001.244,1001.244,1001.244,0,0
20170407,SP-FONLI,Fonds,1001.1592,1001.1592,1001.1592,1001.1592,0,0
20170406,SP-FONLI,Fonds,1001.1518,1001.1518,1001.1518,1001.1518,0,0
20170405,SP-FONLI,Fonds,1001.157,1001.157,1001.157,1001.157,0,0
20170404,SP-FONLI,Fonds,1001.0596,1001.0596,1001.0596,1001.0596,0,0
20170403,SP-FONLI,Fonds,1001.0175,1001.0175,1001.0175,1001.0175,0,0
20170331,SP-FONLI,Fonds,1000.8865,1000.8865,1000.8865,1000.8865,0,0
20170330,SP-FONLI,Fonds,1000.8423,1000.8423,1000.8423,1000.8423,0,0
20170329,SP-FONLI,Fonds,1000.8138,1000.8138,1000.8138,1000.8138,0,0
20170328,SP-FONLI,Fonds,1000.7886,1000.7886,1000.7886,1000.7886,0,0
20170327,SP-FONLI,Fonds,1000.7049,1000.7049,1000.7049,1000.7049,0,0
20170324,SP-FONLI,Fonds,1000.5022,1000.5022,1000.5022,1000.5022,0,0
20170323,SP-FONLI,Fonds,1000.4446,1000.4446,1000.4446,1000.4446,0,0
20170322,SP-FONLI,Fonds,1000.4101,1000.4101,1000.4101,1000.4101,0,0
