quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-GLINI,Fonds,2482.515,2482.515,2482.515,2482.515,0,0
20171120,SP-GLINI,Fonds,2485.2459,2485.2459,2485.2459,2485.2459,0,0
20171117,SP-GLINI,Fonds,2475.839,2475.839,2475.839,2475.839,0,0
20171116,SP-GLINI,Fonds,2462.0732,2462.0732,2462.0732,2462.0732,0,0
20171115,SP-GLINI,Fonds,2460.4419,2460.4419,2460.4419,2460.4419,0,0
20171114,SP-GLINI,Fonds,2462.0799,2462.0799,2462.0799,2462.0799,0,0
20171113,SP-GLINI,Fonds,2451.0099,2451.0099,2451.0099,2451.0099,0,0
20171110,SP-GLINI,Fonds,2440.88182,2440.88182,2440.88182,2440.88182,0,0
20171109,SP-GLINI,Fonds,2448.9348,2448.9348,2448.9348,2448.9348,0,0
20171108,SP-GLINI,Fonds,2471.8561,2471.8561,2471.8561,2471.8561,0,0
20171107,SP-GLINI,Fonds,2468.2482,2468.2482,2468.2482,2468.2482,0,0
20171106,SP-GLINI,Fonds,2465.7536,2465.7536,2465.7536,2465.7536,0,0
20171103,SP-GLINI,Fonds,2465.4879,2465.4879,2465.4879,2465.4879,0,0
20171102,SP-GLINI,Fonds,2450.5747,2450.5747,2450.5747,2450.5747,0,0
20171101,SP-GLINI,Fonds,2453.672,2453.672,2453.672,2453.672,0,0
20171031,SP-GLINI,Fonds,2455.8699,2455.8699,2455.8699,2455.8699,0,0
20171030,SP-GLINI,Fonds,2447.3725,2447.3725,2447.3725,2447.3725,0,0
20171027,SP-GLINI,Fonds,2454.5472,2454.5472,2454.5472,2454.5472,0,0
20171026,SP-GLINI,Fonds,2428.9234,2428.9234,2428.9234,2428.9234,0,0
20171025,SP-GLINI,Fonds,2390.2881,2390.2881,2390.2881,2390.2881,0,0
20171024,SP-GLINI,Fonds,2390.9912,2390.9912,2390.9912,2390.9912,0,0
20171023,SP-GLINI,Fonds,2390.2355,2390.2355,2390.2355,2390.2355,0,0
20171020,SP-GLINI,Fonds,2391.2172,2391.2172,2391.2172,2391.2172,0,0
20171019,SP-GLINI,Fonds,2377.0754,2377.0754,2377.0754,2377.0754,0,0
20171018,SP-GLINI,Fonds,2379.5158,2379.5158,2379.5158,2379.5158,0,0
20171017,SP-GLINI,Fonds,2372.5182,2372.5182,2372.5182,2372.5182,0,0
20171016,SP-GLINI,Fonds,2355.4933,2355.4933,2355.4933,2355.4933,0,0
20171013,SP-GLINI,Fonds,2352.9737,2352.9737,2352.9737,2352.9737,0,0
20171012,SP-GLINI,Fonds,2349.3863,2349.3863,2349.3863,2349.3863,0,0
20171011,SP-GLINI,Fonds,2359.0972,2359.0972,2359.0972,2359.0972,0,0
20171010,SP-GLINI,Fonds,2362.2984,2362.2984,2362.2984,2362.2984,0,0
20171009,SP-GLINI,Fonds,2364.9032,2364.9032,2364.9032,2364.9032,0,0
20171006,SP-GLINI,Fonds,2377.0868,2377.0868,2377.0868,2377.0868,0,0
20171005,SP-GLINI,Fonds,2371.9437,2371.9437,2371.9437,2371.9437,0,0
20171004,SP-GLINI,Fonds,2352.9772,2352.9772,2352.9772,2352.9772,0,0
20171003,SP-GLINI,Fonds,2360.5701,2360.5701,2360.5701,2360.5701,0,0
20171002,SP-GLINI,Fonds,2359.5768,2359.5768,2359.5768,2359.5768,0,0
20170929,SP-GLINI,Fonds,2345.4014,2345.4014,2345.4014,2345.4014,0,0
20170928,SP-GLINI,Fonds,2330.6856,2330.6856,2330.6856,2330.6856,0,0
20170927,SP-GLINI,Fonds,2329.5651,2329.5651,2329.5651,2329.5651,0,0
20170926,SP-GLINI,Fonds,2307.4996,2307.4996,2307.4996,2307.4996,0,0
20170925,SP-GLINI,Fonds,2286.1162,2286.1162,2286.1162,2286.1162,0,0
20170922,SP-GLINI,Fonds,2284.5906,2284.5906,2284.5906,2284.5906,0,0
20170921,SP-GLINI,Fonds,2288.8374,2288.8374,2288.8374,2288.8374,0,0
20170920,SP-GLINI,Fonds,2294.798,2294.798,2294.798,2294.798,0,0
20170919,SP-GLINI,Fonds,2295.5766,2295.5766,2295.5766,2295.5766,0,0
20170918,SP-GLINI,Fonds,2289.725,2289.725,2289.725,2289.725,0,0
20170915,SP-GLINI,Fonds,2293.5117,2293.5117,2293.5117,2293.5117,0,0
20170914,SP-GLINI,Fonds,2309.3026,2309.3026,2309.3026,2309.3026,0,0
20170913,SP-GLINI,Fonds,2303.5502,2303.5502,2303.5502,2303.5502,0,0
20170912,SP-GLINI,Fonds,2291.7625,2291.7625,2291.7625,2291.7625,0,0
20170911,SP-GLINI,Fonds,2288.4814,2288.4814,2288.4814,2288.4814,0,0
20170908,SP-GLINI,Fonds,2239.3466,2239.3466,2239.3466,2239.3466,0,0
20170907,SP-GLINI,Fonds,2238.3364,2238.3364,2238.3364,2238.3364,0,0
20170906,SP-GLINI,Fonds,2239.5721,2239.5721,2239.5721,2239.5721,0,0
20170905,SP-GLINI,Fonds,2232.6312,2232.6312,2232.6312,2232.6312,0,0
20170904,SP-GLINI,Fonds,2252.318,2252.318,2252.318,2252.318,0,0
20170901,SP-GLINI,Fonds,2252.9171,2252.9171,2252.9171,2252.9171,0,0
20170831,SP-GLINI,Fonds,2243.1265,2243.1265,2243.1265,2243.1265,0,0
20170830,SP-GLINI,Fonds,2232.0132,2232.0132,2232.0132,2232.0132,0,0
20170829,SP-GLINI,Fonds,2210.2149,2210.2149,2210.2149,2210.2149,0,0
20170828,SP-GLINI,Fonds,2222.1409,2222.1409,2222.1409,2222.1409,0,0
20170825,SP-GLINI,Fonds,2223.1696,2223.1696,2223.1696,2223.1696,0,0
20170824,SP-GLINI,Fonds,2235.9788,2235.9788,2235.9788,2235.9788,0,0
20170823,SP-GLINI,Fonds,2249.4734,2249.4734,2249.4734,2249.4734,0,0
20170822,SP-GLINI,Fonds,2261.6864,2261.6864,2261.6864,2261.6864,0,0
20170821,SP-GLINI,Fonds,2243.1351,2243.1351,2243.1351,2243.1351,0,0
20170818,SP-GLINI,Fonds,2253.5921,2253.5921,2253.5921,2253.5921,0,0
20170817,SP-GLINI,Fonds,2260.4114,2260.4114,2260.4114,2260.4114,0,0
20170816,SP-GLINI,Fonds,2287.1487,2287.1487,2287.1487,2287.1487,0,0
20170815,SP-GLINI,Fonds,2281.5735,2281.5735,2281.5735,2281.5735,0,0
20170814,SP-GLINI,Fonds,2274.1917,2274.1917,2274.1917,2274.1917,0,0
20170811,SP-GLINI,Fonds,2266.3449,2266.3449,2266.3449,2266.3449,0,0
20170810,SP-GLINI,Fonds,2265.4535,2265.4535,2265.4535,2265.4535,0,0
20170809,SP-GLINI,Fonds,2296.2135,2296.2135,2296.2135,2296.2135,0,0
20170808,SP-GLINI,Fonds,2295.0181,2295.0181,2295.0181,2295.0181,0,0
20170807,SP-GLINI,Fonds,2301.6812,2301.6812,2301.6812,2301.6812,0,0
20170804,SP-GLINI,Fonds,2300.647,2300.647,2300.647,2300.647,0,0
20170803,SP-GLINI,Fonds,2282.3898,2282.3898,2282.3898,2282.3898,0,0
20170802,SP-GLINI,Fonds,2281.1846,2281.1846,2281.1846,2281.1846,0,0
20170801,SP-GLINI,Fonds,2285.1105,2285.1105,2285.1105,2285.1105,0,0
20170731,SP-GLINI,Fonds,2275.2115,2275.2115,2275.2115,2275.2115,0,0
20170728,SP-GLINI,Fonds,2278.6936,2278.6936,2278.6936,2278.6936,0,0
20170727,SP-GLINI,Fonds,2288.5585,2288.5585,2288.5585,2288.5585,0,0
20170726,SP-GLINI,Fonds,2298.8857,2298.8857,2298.8857,2298.8857,0,0
20170725,SP-GLINI,Fonds,2295.5377,2295.5377,2295.5377,2295.5377,0,0
20170724,SP-GLINI,Fonds,2297.174,2297.174,2297.174,2297.174,0,0
20170721,SP-GLINI,Fonds,2302.319,2302.319,2302.319,2302.319,0,0
20170720,SP-GLINI,Fonds,2312.9166,2312.9166,2312.9166,2312.9166,0,0
20170719,SP-GLINI,Fonds,2316.0598,2316.0598,2316.0598,2316.0598,0,0
20170718,SP-GLINI,Fonds,2306.7508,2306.7508,2306.7508,2306.7508,0,0
20170717,SP-GLINI,Fonds,2328.4775,2328.4775,2328.4775,2328.4775,0,0
20170714,SP-GLINI,Fonds,2345.1204,2345.1204,2345.1204,2345.1204,0,0
20170713,SP-GLINI,Fonds,2347.1372,2347.1372,2347.1372,2347.1372,0,0
20170712,SP-GLINI,Fonds,2349.904,2349.904,2349.904,2349.904,0,0
20170711,SP-GLINI,Fonds,2342.1998,2342.1998,2342.1998,2342.1998,0,0
20170710,SP-GLINI,Fonds,2347.2113,2347.2113,2347.2113,2347.2113,0,0
20170707,SP-GLINI,Fonds,2347.6419,2347.6419,2347.6419,2347.6419,0,0
20170706,SP-GLINI,Fonds,2340.8825,2340.8825,2340.8825,2340.8825,0,0
20170705,SP-GLINI,Fonds,2367.7657,2367.7657,2367.7657,2367.7657,0,0
20170704,SP-GLINI,Fonds,2351.0049,2351.0049,2351.0049,2351.0049,0,0
20170703,SP-GLINI,Fonds,2356.7007,2356.7007,2356.7007,2356.7007,0,0
20170630,SP-GLINI,Fonds,2356.1093,2356.1093,2356.1093,2356.1093,0,0
20170629,SP-GLINI,Fonds,2363.3883,2363.3883,2363.3883,2363.3883,0,0
20170628,SP-GLINI,Fonds,2396.7661,2396.7661,2396.7661,2396.7661,0,0
20170627,SP-GLINI,Fonds,2372.0707,2372.0707,2372.0707,2372.0707,0,0
20170623,SP-GLINI,Fonds,2382.9421,2382.9421,2382.9421,2382.9421,0,0
20170622,SP-GLINI,Fonds,2390.8785,2390.8785,2390.8785,2390.8785,0,0
20170621,SP-GLINI,Fonds,2404.1274,2404.1274,2404.1274,2404.1274,0,0
20170620,SP-GLINI,Fonds,2413.9515,2413.9515,2413.9515,2413.9515,0,0
20170619,SP-GLINI,Fonds,2402.8764,2402.8764,2402.8764,2402.8764,0,0
20170616,SP-GLINI,Fonds,2386.7744,2386.7744,2386.7744,2386.7744,0,0
20170615,SP-GLINI,Fonds,2388.9816,2388.9816,2388.9816,2388.9816,0,0
20170614,SP-GLINI,Fonds,2370.4186,2370.4186,2370.4186,2370.4186,0,0
20170613,SP-GLINI,Fonds,2385.7783,2385.7783,2385.7783,2385.7783,0,0
20170612,SP-GLINI,Fonds,2384.9299,2384.9299,2384.9299,2384.9299,0,0
20170609,SP-GLINI,Fonds,2396.8661,2396.8661,2396.8661,2396.8661,0,0
20170608,SP-GLINI,Fonds,2395.1405,2395.1405,2395.1405,2395.1405,0,0
20170607,SP-GLINI,Fonds,2400.8441,2400.8441,2400.8441,2400.8441,0,0
20170606,SP-GLINI,Fonds,2393.8308,2393.8308,2393.8308,2393.8308,0,0
20170602,SP-GLINI,Fonds,2394.1027,2394.1027,2394.1027,2394.1027,0,0
20170601,SP-GLINI,Fonds,2381.2653,2381.2653,2381.2653,2381.2653,0,0
20170531,SP-GLINI,Fonds,2360.4073,2360.4073,2360.4073,2360.4073,0,0
20170530,SP-GLINI,Fonds,2364.4885,2364.4885,2364.4885,2364.4885,0,0
20170529,SP-GLINI,Fonds,2355.8217,2355.8217,2355.8217,2355.8217,0,0
20170526,SP-GLINI,Fonds,2350.1744,2350.1744,2350.1744,2350.1744,0,0
20170524,SP-GLINI,Fonds,2343.6206,2343.6206,2343.6206,2343.6206,0,0
20170523,SP-GLINI,Fonds,2331.3771,2331.3771,2331.3771,2331.3771,0,0
20170522,SP-GLINI,Fonds,2326.9177,2326.9177,2326.9177,2326.9177,0,0
20170519,SP-GLINI,Fonds,2322.9625,2322.9625,2322.9625,2322.9625,0,0
20170518,SP-GLINI,Fonds,2323.8758,2323.8758,2323.8758,2323.8758,0,0
20170516,SP-GLINI,Fonds,2366.1684,2366.1684,2366.1684,2366.1684,0,0
20170515,SP-GLINI,Fonds,2377.532,2377.532,2377.532,2377.532,0,0
20170512,SP-GLINI,Fonds,2377.9609,2377.9609,2377.9609,2377.9609,0,0
20170511,SP-GLINI,Fonds,2378.4126,2378.4126,2378.4126,2378.4126,0,0
20170510,SP-GLINI,Fonds,2389.6495,2389.6495,2389.6495,2389.6495,0,0
20170509,SP-GLINI,Fonds,2400.4395,2400.4395,2400.4395,2400.4395,0,0
20170508,SP-GLINI,Fonds,2397.2908,2397.2908,2397.2908,2397.2908,0,0
20170505,SP-GLINI,Fonds,2385.4344,2385.4344,2385.4344,2385.4344,0,0
20170504,SP-GLINI,Fonds,2390.7382,2390.7382,2390.7382,2390.7382,0,0
20170503,SP-GLINI,Fonds,2374.7077,2374.7077,2374.7077,2374.7077,0,0
20170502,SP-GLINI,Fonds,2372.2302,2372.2302,2372.2302,2372.2302,0,0
20170428,SP-GLINI,Fonds,2351.8799,2351.8799,2351.8799,2351.8799,0,0
20170427,SP-GLINI,Fonds,2364.2143,2364.2143,2364.2143,2364.2143,0,0
20170426,SP-GLINI,Fonds,2363.059,2363.059,2363.059,2363.059,0,0
20170425,SP-GLINI,Fonds,2351.8334,2351.8334,2351.8334,2351.8334,0,0
20170424,SP-GLINI,Fonds,2340.729,2340.729,2340.729,2340.729,0,0
20170421,SP-GLINI,Fonds,2336.0112,2336.0112,2336.0112,2336.0112,0,0
20170420,SP-GLINI,Fonds,2319.0103,2319.0103,2319.0103,2319.0103,0,0
20170419,SP-GLINI,Fonds,2295.1597,2295.1597,2295.1597,2295.1597,0,0
20170418,SP-GLINI,Fonds,2286.0306,2286.0306,2286.0306,2286.0306,0,0
20170412,SP-GLINI,Fonds,2307.7367,2307.7367,2307.7367,2307.7367,0,0
20170411,SP-GLINI,Fonds,2317.1968,2317.1968,2317.1968,2317.1968,0,0
20170410,SP-GLINI,Fonds,2325.4872,2325.4872,2325.4872,2325.4872,0,0
20170407,SP-GLINI,Fonds,2324.0091,2324.0091,2324.0091,2324.0091,0,0
20170406,SP-GLINI,Fonds,2318.4366,2318.4366,2318.4366,2318.4366,0,0
20170405,SP-GLINI,Fonds,2315.4323,2315.4323,2315.4323,2315.4323,0,0
20170404,SP-GLINI,Fonds,2321.9457,2321.9457,2321.9457,2321.9457,0,0
20170403,SP-GLINI,Fonds,2319.3446,2319.3446,2319.3446,2319.3446,0,0
20170331,SP-GLINI,Fonds,2322.6673,2322.6673,2322.6673,2322.6673,0,0
20170330,SP-GLINI,Fonds,2316.5735,2316.5735,2316.5735,2316.5735,0,0
20170329,SP-GLINI,Fonds,2309.8144,2309.8144,2309.8144,2309.8144,0,0
20170328,SP-GLINI,Fonds,2301.7777,2301.7777,2301.7777,2301.7777,0,0
20170327,SP-GLINI,Fonds,2278.7693,2278.7693,2278.7693,2278.7693,0,0
20170324,SP-GLINI,Fonds,2284.5804,2284.5804,2284.5804,2284.5804,0,0
20170323,SP-GLINI,Fonds,2280.2978,2280.2978,2280.2978,2280.2978,0,0
20170322,SP-GLINI,Fonds,2273.2695,2273.2695,2273.2695,2273.2695,0,0
20170321,SP-GLINI,Fonds,2275.9557,2275.9557,2275.9557,2275.9557,0,0
20170320,SP-GLINI,Fonds,2293.2957,2293.2957,2293.2957,2293.2957,0,0
20170317,SP-GLINI,Fonds,2296.1373,2296.1373,2296.1373,2296.1373,0,0
20170316,SP-GLINI,Fonds,2311.6206,2311.6206,2311.6206,2311.6206,0,0
20170315,SP-GLINI,Fonds,2321.9998,2321.9998,2321.9998,2321.9998,0,0
20170314,SP-GLINI,Fonds,2307.0178,2307.0178,2307.0178,2307.0178,0,0
20170313,SP-GLINI,Fonds,2301.9643,2301.9643,2301.9643,2301.9643,0,0
20170310,SP-GLINI,Fonds,2314.1501,2314.1501,2314.1501,2314.1501,0,0
20170309,SP-GLINI,Fonds,2295.2318,2295.2318,2295.2318,2295.2318,0,0
20170308,SP-GLINI,Fonds,2268.9767,2268.9767,2268.9767,2268.9767,0,0
20170307,SP-GLINI,Fonds,2266.6286,2266.6286,2266.6286,2266.6286,0,0
20170306,SP-GLINI,Fonds,2277.9182,2277.9182,2277.9182,2277.9182,0,0
20170303,SP-GLINI,Fonds,2278.8976,2278.8976,2278.8976,2278.8976,0,0
20170302,SP-GLINI,Fonds,2278.8676,2278.8676,2278.8676,2278.8676,0,0
20170301,SP-GLINI,Fonds,2270.9812,2270.9812,2270.9812,2270.9812,0,0
20170228,SP-GLINI,Fonds,2236.6547,2236.6547,2236.6547,2236.6547,0,0
20170227,SP-GLINI,Fonds,2237.72,2237.72,2237.72,2237.72,0,0
20170224,SP-GLINI,Fonds,2235.4788,2235.4788,2235.4788,2235.4788,0,0
20170223,SP-GLINI,Fonds,2235.7443,2235.7443,2235.7443,2235.7443,0,0
20170222,SP-GLINI,Fonds,2243.4153,2243.4153,2243.4153,2243.4153,0,0
20170221,SP-GLINI,Fonds,2240.1409,2240.1409,2240.1409,2240.1409,0,0
20170220,SP-GLINI,Fonds,2226.5448,2226.5448,2226.5448,2226.5448,0,0
20170217,SP-GLINI,Fonds,2227.0831,2227.0831,2227.0831,2227.0831,0,0
20170216,SP-GLINI,Fonds,2218.3899,2218.3899,2218.3899,2218.3899,0,0
20170215,SP-GLINI,Fonds,2228.3678,2228.3678,2228.3678,2228.3678,0,0
20170214,SP-GLINI,Fonds,2230.3216,2230.3216,2230.3216,2230.3216,0,0
20170213,SP-GLINI,Fonds,2222.2794,2222.2794,2222.2794,2222.2794,0,0
20170210,SP-GLINI,Fonds,2212.7982,2212.7982,2212.7982,2212.7982,0,0
20170209,SP-GLINI,Fonds,2189.7566,2189.7566,2189.7566,2189.7566,0,0
20170208,SP-GLINI,Fonds,2173.7839,2173.7839,2173.7839,2173.7839,0,0
20170207,SP-GLINI,Fonds,2170.9862,2170.9862,2170.9862,2170.9862,0,0
20170206,SP-GLINI,Fonds,2157.556,2157.556,2157.556,2157.556,0,0
20170203,SP-GLINI,Fonds,2151.8664,2151.8664,2151.8664,2151.8664,0,0
20170202,SP-GLINI,Fonds,2142.7273,2142.7273,2142.7273,2142.7273,0,0
20170201,SP-GLINI,Fonds,2150.8528,2150.8528,2150.8528,2150.8528,0,0
20170131,SP-GLINI,Fonds,2142.6458,2142.6458,2142.6458,2142.6458,0,0
20170130,SP-GLINI,Fonds,2165.0332,2165.0332,2165.0332,2165.0332,0,0
20170127,SP-GLINI,Fonds,2179.7674,2179.7674,2179.7674,2179.7674,0,0
20170126,SP-GLINI,Fonds,2189.3196,2189.3196,2189.3196,2189.3196,0,0
