quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-GLOBL,Fonds,11259.8872,11259.8872,11259.8872,11259.8872,0,0
20171120,SP-GLOBL,Fonds,11246.8353,11246.8353,11246.8353,11246.8353,0,0
20171117,SP-GLOBL,Fonds,11239.353,11239.353,11239.353,11239.353,0,0
20171116,SP-GLOBL,Fonds,11229.7497,11229.7497,11229.7497,11229.7497,0,0
20171115,SP-GLOBL,Fonds,11243.4419,11243.4419,11243.4419,11243.4419,0,0
20171114,SP-GLOBL,Fonds,11221.6103,11221.6103,11221.6103,11221.6103,0,0
20171113,SP-GLOBL,Fonds,11209.1971,11209.1971,11209.1971,11209.1971,0,0
20171110,SP-GLOBL,Fonds,11210.65817,11210.65817,11210.65817,11210.65817,0,0
20171109,SP-GLOBL,Fonds,11240.8109,11240.8109,11240.8109,11240.8109,0,0
20171108,SP-GLOBL,Fonds,11271.4178,11271.4178,11271.4178,11271.4178,0,0
20171107,SP-GLOBL,Fonds,11275.642,11275.642,11275.642,11275.642,0,0
20171106,SP-GLOBL,Fonds,11258.6149,11258.6149,11258.6149,11258.6149,0,0
20171103,SP-GLOBL,Fonds,11241.2748,11241.2748,11241.2748,11241.2748,0,0
20171102,SP-GLOBL,Fonds,11237.8323,11237.8323,11237.8323,11237.8323,0,0
20171101,SP-GLOBL,Fonds,11224.0249,11224.0249,11224.0249,11224.0249,0,0
20171031,SP-GLOBL,Fonds,11218.1641,11218.1641,11218.1641,11218.1641,0,0
20171030,SP-GLOBL,Fonds,11215.4289,11215.4289,11215.4289,11215.4289,0,0
20171027,SP-GLOBL,Fonds,11182.6878,11182.6878,11182.6878,11182.6878,0,0
20171026,SP-GLOBL,Fonds,11165.5499,11165.5499,11165.5499,11165.5499,0,0
20171025,SP-GLOBL,Fonds,11157.4368,11157.4368,11157.4368,11157.4368,0,0
20171024,SP-GLOBL,Fonds,11166.9191,11166.9191,11166.9191,11166.9191,0,0
20171023,SP-GLOBL,Fonds,11184.9342,11184.9342,11184.9342,11184.9342,0,0
20171020,SP-GLOBL,Fonds,11172.0145,11172.0145,11172.0145,11172.0145,0,0
20171019,SP-GLOBL,Fonds,11205.4223,11205.4223,11205.4223,11205.4223,0,0
20171018,SP-GLOBL,Fonds,11195.8117,11195.8117,11195.8117,11195.8117,0,0
20171017,SP-GLOBL,Fonds,11218.2955,11218.2955,11218.2955,11218.2955,0,0
20171016,SP-GLOBL,Fonds,11206.549,11206.549,11206.549,11206.549,0,0
20171013,SP-GLOBL,Fonds,11201.6331,11201.6331,11201.6331,11201.6331,0,0
20171012,SP-GLOBL,Fonds,11180.4415,11180.4415,11180.4415,11180.4415,0,0
20171011,SP-GLOBL,Fonds,11169.5045,11169.5045,11169.5045,11169.5045,0,0
20171010,SP-GLOBL,Fonds,11167.9545,11167.9545,11167.9545,11167.9545,0,0
20171009,SP-GLOBL,Fonds,11166.1431,11166.1431,11166.1431,11166.1431,0,0
20171006,SP-GLOBL,Fonds,11155.5785,11155.5785,11155.5785,11155.5785,0,0
20171005,SP-GLOBL,Fonds,11161.3652,11161.3652,11161.3652,11161.3652,0,0
20171004,SP-GLOBL,Fonds,11162.0808,11162.0808,11162.0808,11162.0808,0,0
20171003,SP-GLOBL,Fonds,11162.7839,11162.7839,11162.7839,11162.7839,0,0
20171002,SP-GLOBL,Fonds,11168.6093,11168.6093,11168.6093,11168.6093,0,0
20170929,SP-GLOBL,Fonds,11172.4552,11172.4552,11172.4552,11172.4552,0,0
20170928,SP-GLOBL,Fonds,11162.5033,11162.5033,11162.5033,11162.5033,0,0
20170927,SP-GLOBL,Fonds,11167.381,11167.381,11167.381,11167.381,0,0
20170926,SP-GLOBL,Fonds,11204.8307,11204.8307,11204.8307,11204.8307,0,0
20170925,SP-GLOBL,Fonds,11210.3631,11210.3631,11210.3631,11210.3631,0,0
20170922,SP-GLOBL,Fonds,11190.9846,11190.9846,11190.9846,11190.9846,0,0
20170921,SP-GLOBL,Fonds,11187.2936,11187.2936,11187.2936,11187.2936,0,0
20170920,SP-GLOBL,Fonds,11188.7241,11188.7241,11188.7241,11188.7241,0,0
20170919,SP-GLOBL,Fonds,11192.395,11192.395,11192.395,11192.395,0,0
20170918,SP-GLOBL,Fonds,11194.3349,11194.3349,11194.3349,11194.3349,0,0
20170915,SP-GLOBL,Fonds,11200.5328,11200.5328,11200.5328,11200.5328,0,0
20170914,SP-GLOBL,Fonds,11204.7933,11204.7933,11204.7933,11204.7933,0,0
20170913,SP-GLOBL,Fonds,11216.8756,11216.8756,11216.8756,11216.8756,0,0
20170912,SP-GLOBL,Fonds,11224.3812,11224.3812,11224.3812,11224.3812,0,0
20170911,SP-GLOBL,Fonds,11258.0924,11258.0924,11258.0924,11258.0924,0,0
20170908,SP-GLOBL,Fonds,11281.4894,11281.4894,11281.4894,11281.4894,0,0
20170907,SP-GLOBL,Fonds,11291.5143,11291.5143,11291.5143,11291.5143,0,0
20170906,SP-GLOBL,Fonds,11265.0764,11265.0764,11265.0764,11265.0764,0,0
20170905,SP-GLOBL,Fonds,11274.9706,11274.9706,11274.9706,11274.9706,0,0
20170904,SP-GLOBL,Fonds,11241.7797,11241.7797,11241.7797,11241.7797,0,0
20170901,SP-GLOBL,Fonds,11235.331,11235.331,11235.331,11235.331,0,0
20170831,SP-GLOBL,Fonds,11250.7543,11250.7543,11250.7543,11250.7543,0,0
20170830,SP-GLOBL,Fonds,11241.0347,11241.0347,11241.0347,11241.0347,0,0
20170829,SP-GLOBL,Fonds,11251.4798,11251.4798,11251.4798,11251.4798,0,0
20170828,SP-GLOBL,Fonds,11235.5357,11235.5357,11235.5357,11235.5357,0,0
20170825,SP-GLOBL,Fonds,11229.0918,11229.0918,11229.0918,11229.0918,0,0
20170824,SP-GLOBL,Fonds,11225.3161,11225.3161,11225.3161,11225.3161,0,0
20170823,SP-GLOBL,Fonds,11231.0017,11231.0017,11231.0017,11231.0017,0,0
20170822,SP-GLOBL,Fonds,11216.2886,11216.2886,11216.2886,11216.2886,0,0
20170821,SP-GLOBL,Fonds,11231.7044,11231.7044,11231.7044,11231.7044,0,0
20170818,SP-GLOBL,Fonds,11224.9259,11224.9259,11224.9259,11224.9259,0,0
20170817,SP-GLOBL,Fonds,11214.9569,11214.9569,11214.9569,11214.9569,0,0
20170816,SP-GLOBL,Fonds,11205.2253,11205.2253,11205.2253,11205.2253,0,0
20170815,SP-GLOBL,Fonds,11199.8608,11199.8608,11199.8608,11199.8608,0,0
20170814,SP-GLOBL,Fonds,11216.7628,11216.7628,11216.7628,11216.7628,0,0
20170811,SP-GLOBL,Fonds,11224.327,11224.327,11224.327,11224.327,0,0
20170810,SP-GLOBL,Fonds,11215.8062,11215.8062,11215.8062,11215.8062,0,0
20170809,SP-GLOBL,Fonds,11207.9837,11207.9837,11207.9837,11207.9837,0,0
20170808,SP-GLOBL,Fonds,11181.9287,11181.9287,11181.9287,11181.9287,0,0
20170807,SP-GLOBL,Fonds,11192.1815,11192.1815,11192.1815,11192.1815,0,0
20170804,SP-GLOBL,Fonds,11183.8133,11183.8133,11183.8133,11183.8133,0,0
20170803,SP-GLOBL,Fonds,11198.9749,11198.9749,11198.9749,11198.9749,0,0
20170802,SP-GLOBL,Fonds,11176.111,11176.111,11176.111,11176.111,0,0
20170801,SP-GLOBL,Fonds,11177.4387,11177.4387,11177.4387,11177.4387,0,0
20170731,SP-GLOBL,Fonds,11148.8995,11148.8995,11148.8995,11148.8995,0,0
20170728,SP-GLOBL,Fonds,11144.619,11144.619,11144.619,11144.619,0,0
20170727,SP-GLOBL,Fonds,11145.0609,11145.0609,11145.0609,11145.0609,0,0
20170726,SP-GLOBL,Fonds,11142.5199,11142.5199,11142.5199,11142.5199,0,0
20170725,SP-GLOBL,Fonds,11132.3847,11132.3847,11132.3847,11132.3847,0,0
20170724,SP-GLOBL,Fonds,11168.6861,11168.6861,11168.6861,11168.6861,0,0
