quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-INDNO,Fonds,1478.3515,1478.3515,1478.3515,1478.3515,0,0
20171120,SP-INDNO,Fonds,1463.1329,1463.1329,1463.1329,1463.1329,0,0
20171117,SP-INDNO,Fonds,1455.5884,1455.5884,1455.5884,1455.5884,0,0
20171116,SP-INDNO,Fonds,1466.9096,1466.9096,1466.9096,1466.9096,0,0
20171115,SP-INDNO,Fonds,1453.6605,1453.6605,1453.6605,1453.6605,0,0
20171114,SP-INDNO,Fonds,1466.0029,1466.0029,1466.0029,1466.0029,0,0
20171113,SP-INDNO,Fonds,1473.3559,1473.3559,1473.3559,1473.3559,0,0
20171110,SP-INDNO,Fonds,1477.83132,1477.83132,1477.83132,1477.83132,0,0
20171109,SP-INDNO,Fonds,1483.1473,1483.1473,1483.1473,1483.1473,0,0
20171108,SP-INDNO,Fonds,1503.5483,1503.5483,1503.5483,1503.5483,0,0
20171107,SP-INDNO,Fonds,1498.6668,1498.6668,1498.6668,1498.6668,0,0
20171106,SP-INDNO,Fonds,1496.1035,1496.1035,1496.1035,1496.1035,0,0
20171103,SP-INDNO,Fonds,1492.6259,1492.6259,1492.6259,1492.6259,0,0
20171102,SP-INDNO,Fonds,1479.9368,1479.9368,1479.9368,1479.9368,0,0
20171101,SP-INDNO,Fonds,1491.5015,1491.5015,1491.5015,1491.5015,0,0
20171031,SP-INDNO,Fonds,1476.1437,1476.1437,1476.1437,1476.1437,0,0
20171030,SP-INDNO,Fonds,1481.6836,1481.6836,1481.6836,1481.6836,0,0
20171027,SP-INDNO,Fonds,1466.4651,1466.4651,1466.4651,1466.4651,0,0
20171026,SP-INDNO,Fonds,1455.4936,1455.4936,1455.4936,1455.4936,0,0
20171025,SP-INDNO,Fonds,1460.2736,1460.2736,1460.2736,1460.2736,0,0
20171024,SP-INDNO,Fonds,1447.0807,1447.0807,1447.0807,1447.0807,0,0
20171023,SP-INDNO,Fonds,1448.9005,1448.9005,1448.9005,1448.9005,0,0
20171020,SP-INDNO,Fonds,1454.4152,1454.4152,1454.4152,1454.4152,0,0
