quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-KIG20,Fonds,1017.6007,1017.6007,1017.6007,1017.6007,0,0
20171120,SP-KIG20,Fonds,1017.6161,1017.6161,1017.6161,1017.6161,0,0
20171117,SP-KIG20,Fonds,1016.954,1016.954,1016.954,1016.954,0,0
20171116,SP-KIG20,Fonds,1016.4189,1016.4189,1016.4189,1016.4189,0,0
20171115,SP-KIG20,Fonds,1016.6996,1016.6996,1016.6996,1016.6996,0,0
20171114,SP-KIG20,Fonds,1016.1758,1016.1758,1016.1758,1016.1758,0,0
20171113,SP-KIG20,Fonds,1015.8827,1015.8827,1015.8827,1015.8827,0,0
20171110,SP-KIG20,Fonds,1015.74365,1015.74365,1015.74365,1015.74365,0,0
20171109,SP-KIG20,Fonds,1015.841,1015.841,1015.841,1015.841,0,0
20171108,SP-KIG20,Fonds,1016.5474,1016.5474,1016.5474,1016.5474,0,0
20171107,SP-KIG20,Fonds,1016.1871,1016.1871,1016.1871,1016.1871,0,0
20171106,SP-KIG20,Fonds,1016.0448,1016.0448,1016.0448,1016.0448,0,0
20171103,SP-KIG20,Fonds,1015.5464,1015.5464,1015.5464,1015.5464,0,0
20171102,SP-KIG20,Fonds,1015.0641,1015.0641,1015.0641,1015.0641,0,0
20171101,SP-KIG20,Fonds,1014.7848,1014.7848,1014.7848,1014.7848,0,0
20171031,SP-KIG20,Fonds,1014.5252,1014.5252,1014.5252,1014.5252,0,0
20171030,SP-KIG20,Fonds,1014.4908,1014.4908,1014.4908,1014.4908,0,0
20171027,SP-KIG20,Fonds,1013.8665,1013.8665,1013.8665,1013.8665,0,0
20171026,SP-KIG20,Fonds,1013.6092,1013.6092,1013.6092,1013.6092,0,0
20171025,SP-KIG20,Fonds,1013.2424,1013.2424,1013.2424,1013.2424,0,0
20171024,SP-KIG20,Fonds,1013.4173,1013.4173,1013.4173,1013.4173,0,0
20171023,SP-KIG20,Fonds,1013.6796,1013.6796,1013.6796,1013.6796,0,0
20171020,SP-KIG20,Fonds,1013.5099,1013.5099,1013.5099,1013.5099,0,0
20171019,SP-KIG20,Fonds,1013.7317,1013.7317,1013.7317,1013.7317,0,0
20171018,SP-KIG20,Fonds,1013.606,1013.606,1013.606,1013.606,0,0
20171017,SP-KIG20,Fonds,1013.5938,1013.5938,1013.5938,1013.5938,0,0
20171016,SP-KIG20,Fonds,1013.2978,1013.2978,1013.2978,1013.2978,0,0
20171013,SP-KIG20,Fonds,1012.9323,1012.9323,1012.9323,1012.9323,0,0
20171012,SP-KIG20,Fonds,1012.6144,1012.6144,1012.6144,1012.6144,0,0
20171011,SP-KIG20,Fonds,1013.0818,1013.0818,1013.0818,1013.0818,0,0
20171010,SP-KIG20,Fonds,1013.1307,1013.1307,1013.1307,1013.1307,0,0
20171009,SP-KIG20,Fonds,1013.5231,1013.5231,1013.5231,1013.5231,0,0
20171006,SP-KIG20,Fonds,1013.2297,1013.2297,1013.2297,1013.2297,0,0
20171005,SP-KIG20,Fonds,1013.698,1013.698,1013.698,1013.698,0,0
20171004,SP-KIG20,Fonds,1013.7792,1013.7792,1013.7792,1013.7792,0,0
20171003,SP-KIG20,Fonds,1013.5448,1013.5448,1013.5448,1013.5448,0,0
20171002,SP-KIG20,Fonds,1013.6664,1013.6664,1013.6664,1013.6664,0,0
20170929,SP-KIG20,Fonds,1013.4462,1013.4462,1013.4462,1013.4462,0,0
20170928,SP-KIG20,Fonds,1013.4215,1013.4215,1013.4215,1013.4215,0,0
20170927,SP-KIG20,Fonds,1013.8139,1013.8139,1013.8139,1013.8139,0,0
20170926,SP-KIG20,Fonds,1014.257,1014.257,1014.257,1014.257,0,0
20170925,SP-KIG20,Fonds,1014.0667,1014.0667,1014.0667,1014.0667,0,0
20170922,SP-KIG20,Fonds,1013.883,1013.883,1013.883,1013.883,0,0
20170921,SP-KIG20,Fonds,1013.7505,1013.7505,1013.7505,1013.7505,0,0
20170920,SP-KIG20,Fonds,1014.4771,1014.4771,1014.4771,1014.4771,0,0
20170919,SP-KIG20,Fonds,1014.3684,1014.3684,1014.3684,1014.3684,0,0
20170918,SP-KIG20,Fonds,1014.3931,1014.3931,1014.3931,1014.3931,0,0
20170915,SP-KIG20,Fonds,1014.4496,1014.4496,1014.4496,1014.4496,0,0
20170914,SP-KIG20,Fonds,1014.7004,1014.7004,1014.7004,1014.7004,0,0
20170913,SP-KIG20,Fonds,1014.803,1014.803,1014.803,1014.803,0,0
20170912,SP-KIG20,Fonds,1015.0275,1015.0275,1015.0275,1015.0275,0,0
20170911,SP-KIG20,Fonds,1015.54,1015.54,1015.54,1015.54,0,0
20170908,SP-KIG20,Fonds,1014.9763,1014.9763,1014.9763,1014.9763,0,0
20170907,SP-KIG20,Fonds,1014.7189,1014.7189,1014.7189,1014.7189,0,0
20170906,SP-KIG20,Fonds,1014.6909,1014.6909,1014.6909,1014.6909,0,0
20170905,SP-KIG20,Fonds,1014.1736,1014.1736,1014.1736,1014.1736,0,0
20170904,SP-KIG20,Fonds,1013.9825,1013.9825,1013.9825,1013.9825,0,0
20170901,SP-KIG20,Fonds,1013.5902,1013.5902,1013.5902,1013.5902,0,0
20170831,SP-KIG20,Fonds,1013.6834,1013.6834,1013.6834,1013.6834,0,0
20170830,SP-KIG20,Fonds,1013.651,1013.651,1013.651,1013.651,0,0
20170829,SP-KIG20,Fonds,1013.4534,1013.4534,1013.4534,1013.4534,0,0
20170828,SP-KIG20,Fonds,1012.8856,1012.8856,1012.8856,1012.8856,0,0
20170825,SP-KIG20,Fonds,1012.6784,1012.6784,1012.6784,1012.6784,0,0
