quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-NORGI,Fonds,33619.7448,33619.7448,33619.7448,33619.7448,0,0
20171120,SP-NORGI,Fonds,33306.6957,33306.6957,33306.6957,33306.6957,0,0
20171117,SP-NORGI,Fonds,33127.5379,33127.5379,33127.5379,33127.5379,0,0
20171116,SP-NORGI,Fonds,33364.5232,33364.5232,33364.5232,33364.5232,0,0
20171115,SP-NORGI,Fonds,33094.5242,33094.5242,33094.5242,33094.5242,0,0
20171114,SP-NORGI,Fonds,33393.2873,33393.2873,33393.2873,33393.2873,0,0
20171113,SP-NORGI,Fonds,33570.9441,33570.9441,33570.9441,33570.9441,0,0
20171110,SP-NORGI,Fonds,33662.4418,33662.4418,33662.4418,33662.4418,0,0
20171109,SP-NORGI,Fonds,33779.7892,33779.7892,33779.7892,33779.7892,0,0
20171108,SP-NORGI,Fonds,34207.5996,34207.5996,34207.5996,34207.5996,0,0
20171107,SP-NORGI,Fonds,34048.9342,34048.9342,34048.9342,34048.9342,0,0
20171106,SP-NORGI,Fonds,34009.7177,34009.7177,34009.7177,34009.7177,0,0
20171103,SP-NORGI,Fonds,33927.9784,33927.9784,33927.9784,33927.9784,0,0
20171102,SP-NORGI,Fonds,33695.5037,33695.5037,33695.5037,33695.5037,0,0
20171101,SP-NORGI,Fonds,33966.6728,33966.6728,33966.6728,33966.6728,0,0
20171031,SP-NORGI,Fonds,33697.6659,33697.6659,33697.6659,33697.6659,0,0
20171030,SP-NORGI,Fonds,33798.0877,33798.0877,33798.0877,33798.0877,0,0
20171027,SP-NORGI,Fonds,33424.8863,33424.8863,33424.8863,33424.8863,0,0
20171026,SP-NORGI,Fonds,33178.868,33178.868,33178.868,33178.868,0,0
20171025,SP-NORGI,Fonds,33276.1704,33276.1704,33276.1704,33276.1704,0,0
20171024,SP-NORGI,Fonds,32954.4638,32954.4638,32954.4638,32954.4638,0,0
20171023,SP-NORGI,Fonds,33037.838,33037.838,33037.838,33037.838,0,0
20171020,SP-NORGI,Fonds,33129.9656,33129.9656,33129.9656,33129.9656,0,0
20171019,SP-NORGI,Fonds,32808.9773,32808.9773,32808.9773,32808.9773,0,0
20171018,SP-NORGI,Fonds,32846.9781,32846.9781,32846.9781,32846.9781,0,0
20171017,SP-NORGI,Fonds,32866.8028,32866.8028,32866.8028,32866.8028,0,0
20171016,SP-NORGI,Fonds,32938.0552,32938.0552,32938.0552,32938.0552,0,0
20171013,SP-NORGI,Fonds,33005.9599,33005.9599,33005.9599,33005.9599,0,0
20171012,SP-NORGI,Fonds,32928.3866,32928.3866,32928.3866,32928.3866,0,0
20171011,SP-NORGI,Fonds,32884.7719,32884.7719,32884.7719,32884.7719,0,0
20171010,SP-NORGI,Fonds,32854.1253,32854.1253,32854.1253,32854.1253,0,0
20171009,SP-NORGI,Fonds,32789.6876,32789.6876,32789.6876,32789.6876,0,0
20171006,SP-NORGI,Fonds,32767.5864,32767.5864,32767.5864,32767.5864,0,0
20171005,SP-NORGI,Fonds,32930.7694,32930.7694,32930.7694,32930.7694,0,0
20171004,SP-NORGI,Fonds,32715.1871,32715.1871,32715.1871,32715.1871,0,0
20171003,SP-NORGI,Fonds,32900.7647,32900.7647,32900.7647,32900.7647,0,0
20171002,SP-NORGI,Fonds,32768.6693,32768.6693,32768.6693,32768.6693,0,0
20170929,SP-NORGI,Fonds,32706.8231,32706.8231,32706.8231,32706.8231,0,0
20170928,SP-NORGI,Fonds,32690.6959,32690.6959,32690.6959,32690.6959,0,0
20170927,SP-NORGI,Fonds,32539.8808,32539.8808,32539.8808,32539.8808,0,0
20170926,SP-NORGI,Fonds,32345.2275,32345.2275,32345.2275,32345.2275,0,0
20170925,SP-NORGI,Fonds,32490.5101,32490.5101,32490.5101,32490.5101,0,0
20170922,SP-NORGI,Fonds,32298.9097,32298.9097,32298.9097,32298.9097,0,0
20170921,SP-NORGI,Fonds,32256.1949,32256.1949,32256.1949,32256.1949,0,0
20170920,SP-NORGI,Fonds,31977.9745,31977.9745,31977.9745,31977.9745,0,0
20170919,SP-NORGI,Fonds,31901.6066,31901.6066,31901.6066,31901.6066,0,0
20170918,SP-NORGI,Fonds,31887.9554,31887.9554,31887.9554,31887.9554,0,0
20170915,SP-NORGI,Fonds,31733.7884,31733.7884,31733.7884,31733.7884,0,0
20170914,SP-NORGI,Fonds,31870.0566,31870.0566,31870.0566,31870.0566,0,0
20170913,SP-NORGI,Fonds,31845.3545,31845.3545,31845.3545,31845.3545,0,0
20170912,SP-NORGI,Fonds,31627.2026,31627.2026,31627.2026,31627.2026,0,0
20170911,SP-NORGI,Fonds,31441.1736,31441.1736,31441.1736,31441.1736,0,0
20170908,SP-NORGI,Fonds,31177.4032,31177.4032,31177.4032,31177.4032,0,0
20170907,SP-NORGI,Fonds,31252.29,31252.29,31252.29,31252.29,0,0
20170906,SP-NORGI,Fonds,31162.6621,31162.6621,31162.6621,31162.6621,0,0
20170905,SP-NORGI,Fonds,31308.9687,31308.9687,31308.9687,31308.9687,0,0
20170904,SP-NORGI,Fonds,31213.7579,31213.7579,31213.7579,31213.7579,0,0
20170901,SP-NORGI,Fonds,31295.6235,31295.6235,31295.6235,31295.6235,0,0
20170831,SP-NORGI,Fonds,31031.1714,31031.1714,31031.1714,31031.1714,0,0
20170830,SP-NORGI,Fonds,30647.6069,30647.6069,30647.6069,30647.6069,0,0
20170829,SP-NORGI,Fonds,30366.6278,30366.6278,30366.6278,30366.6278,0,0
20170828,SP-NORGI,Fonds,30601.7467,30601.7467,30601.7467,30601.7467,0,0
20170825,SP-NORGI,Fonds,30703.0862,30703.0862,30703.0862,30703.0862,0,0
20170824,SP-NORGI,Fonds,30727.8806,30727.8806,30727.8806,30727.8806,0,0
20170823,SP-NORGI,Fonds,30668.5628,30668.5628,30668.5628,30668.5628,0,0
20170822,SP-NORGI,Fonds,30699.8019,30699.8019,30699.8019,30699.8019,0,0
20170821,SP-NORGI,Fonds,30533.2088,30533.2088,30533.2088,30533.2088,0,0
20170818,SP-NORGI,Fonds,30535.3826,30535.3826,30535.3826,30535.3826,0,0
20170817,SP-NORGI,Fonds,30541.6912,30541.6912,30541.6912,30541.6912,0,0
20170816,SP-NORGI,Fonds,30911.3968,30911.3968,30911.3968,30911.3968,0,0
20170815,SP-NORGI,Fonds,30694.2936,30694.2936,30694.2936,30694.2936,0,0
20170814,SP-NORGI,Fonds,30914.4588,30914.4588,30914.4588,30914.4588,0,0
20170811,SP-NORGI,Fonds,30594.6381,30594.6381,30594.6381,30594.6381,0,0
20170810,SP-NORGI,Fonds,30895.114,30895.114,30895.114,30895.114,0,0
20170809,SP-NORGI,Fonds,31141.3013,31141.3013,31141.3013,31141.3013,0,0
20170808,SP-NORGI,Fonds,31180.6699,31180.6699,31180.6699,31180.6699,0,0
20170807,SP-NORGI,Fonds,31214.8519,31214.8519,31214.8519,31214.8519,0,0
20170804,SP-NORGI,Fonds,31016.0642,31016.0642,31016.0642,31016.0642,0,0
20170803,SP-NORGI,Fonds,30956.9357,30956.9357,30956.9357,30956.9357,0,0
20170802,SP-NORGI,Fonds,30901.8897,30901.8897,30901.8897,30901.8897,0,0
20170801,SP-NORGI,Fonds,31000.647,31000.647,31000.647,31000.647,0,0
20170731,SP-NORGI,Fonds,30847.6307,30847.6307,30847.6307,30847.6307,0,0
20170728,SP-NORGI,Fonds,30885.7441,30885.7441,30885.7441,30885.7441,0,0
20170727,SP-NORGI,Fonds,30842.41,30842.41,30842.41,30842.41,0,0
20170726,SP-NORGI,Fonds,30812.911,30812.911,30812.911,30812.911,0,0
20170725,SP-NORGI,Fonds,30504.8243,30504.8243,30504.8243,30504.8243,0,0
20170724,SP-NORGI,Fonds,30417.8738,30417.8738,30417.8738,30417.8738,0,0
20170721,SP-NORGI,Fonds,30411.5483,30411.5483,30411.5483,30411.5483,0,0
20170720,SP-NORGI,Fonds,30837.0898,30837.0898,30837.0898,30837.0898,0,0
20170719,SP-NORGI,Fonds,30573.0105,30573.0105,30573.0105,30573.0105,0,0
20170718,SP-NORGI,Fonds,30429.2635,30429.2635,30429.2635,30429.2635,0,0
20170717,SP-NORGI,Fonds,30614.7243,30614.7243,30614.7243,30614.7243,0,0
20170714,SP-NORGI,Fonds,30239.3764,30239.3764,30239.3764,30239.3764,0,0
20170713,SP-NORGI,Fonds,30248.1517,30248.1517,30248.1517,30248.1517,0,0
20170712,SP-NORGI,Fonds,30033.8476,30033.8476,30033.8476,30033.8476,0,0
20170711,SP-NORGI,Fonds,29446.5599,29446.5599,29446.5599,29446.5599,0,0
20170710,SP-NORGI,Fonds,29416.9551,29416.9551,29416.9551,29416.9551,0,0
20170707,SP-NORGI,Fonds,29193.633,29193.633,29193.633,29193.633,0,0
20170706,SP-NORGI,Fonds,29395.1125,29395.1125,29395.1125,29395.1125,0,0
20170705,SP-NORGI,Fonds,29406.3152,29406.3152,29406.3152,29406.3152,0,0
20170704,SP-NORGI,Fonds,29621.276,29621.276,29621.276,29621.276,0,0
20170703,SP-NORGI,Fonds,29559.3935,29559.3935,29559.3935,29559.3935,0,0
20170630,SP-NORGI,Fonds,29304.9778,29304.9778,29304.9778,29304.9778,0,0
20170629,SP-NORGI,Fonds,29123.172,29123.172,29123.172,29123.172,0,0
20170628,SP-NORGI,Fonds,29277.2089,29277.2089,29277.2089,29277.2089,0,0
20170627,SP-NORGI,Fonds,29070.8699,29070.8699,29070.8699,29070.8699,0,0
20170623,SP-NORGI,Fonds,29000.7919,29000.7919,29000.7919,29000.7919,0,0
20170622,SP-NORGI,Fonds,29010.5782,29010.5782,29010.5782,29010.5782,0,0
20170621,SP-NORGI,Fonds,29252.1762,29252.1762,29252.1762,29252.1762,0,0
20170620,SP-NORGI,Fonds,29420.981,29420.981,29420.981,29420.981,0,0
20170619,SP-NORGI,Fonds,29517.7053,29517.7053,29517.7053,29517.7053,0,0
20170616,SP-NORGI,Fonds,29256.7933,29256.7933,29256.7933,29256.7933,0,0
20170615,SP-NORGI,Fonds,29160.4461,29160.4461,29160.4461,29160.4461,0,0
20170614,SP-NORGI,Fonds,29669.9105,29669.9105,29669.9105,29669.9105,0,0
20170613,SP-NORGI,Fonds,29708.274,29708.274,29708.274,29708.274,0,0
20170612,SP-NORGI,Fonds,29786.4463,29786.4463,29786.4463,29786.4463,0,0
20170609,SP-NORGI,Fonds,29592.7587,29592.7587,29592.7587,29592.7587,0,0
20170608,SP-NORGI,Fonds,29507.3366,29507.3366,29507.3366,29507.3366,0,0
20170607,SP-NORGI,Fonds,29724.2023,29724.2023,29724.2023,29724.2023,0,0
20170606,SP-NORGI,Fonds,29650.3854,29650.3854,29650.3854,29650.3854,0,0
20170602,SP-NORGI,Fonds,29763.3157,29763.3157,29763.3157,29763.3157,0,0
20170601,SP-NORGI,Fonds,29818.223,29818.223,29818.223,29818.223,0,0
20170531,SP-NORGI,Fonds,29707.1231,29707.1231,29707.1231,29707.1231,0,0
20170530,SP-NORGI,Fonds,30002.7393,30002.7393,30002.7393,30002.7393,0,0
20170529,SP-NORGI,Fonds,29982.0428,29982.0428,29982.0428,29982.0428,0,0
20170526,SP-NORGI,Fonds,29989.8236,29989.8236,29989.8236,29989.8236,0,0
20170524,SP-NORGI,Fonds,30247.3356,30247.3356,30247.3356,30247.3356,0,0
20170523,SP-NORGI,Fonds,30093.3676,30093.3676,30093.3676,30093.3676,0,0
20170522,SP-NORGI,Fonds,30212.3846,30212.3846,30212.3846,30212.3846,0,0
20170519,SP-NORGI,Fonds,30146.0517,30146.0517,30146.0517,30146.0517,0,0
20170518,SP-NORGI,Fonds,29736.0349,29736.0349,29736.0349,29736.0349,0,0
20170516,SP-NORGI,Fonds,30368.4033,30368.4033,30368.4033,30368.4033,0,0
20170515,SP-NORGI,Fonds,30233.9656,30233.9656,30233.9656,30233.9656,0,0
20170512,SP-NORGI,Fonds,30069.9026,30069.9026,30069.9026,30069.9026,0,0
20170511,SP-NORGI,Fonds,29963.4048,29963.4048,29963.4048,29963.4048,0,0
20170510,SP-NORGI,Fonds,30053.1376,30053.1376,30053.1376,30053.1376,0,0
20170509,SP-NORGI,Fonds,30055.4698,30055.4698,30055.4698,30055.4698,0,0
20170508,SP-NORGI,Fonds,29781.6784,29781.6784,29781.6784,29781.6784,0,0
20170505,SP-NORGI,Fonds,29637.0512,29637.0512,29637.0512,29637.0512,0,0
20170504,SP-NORGI,Fonds,29268.0289,29268.0289,29268.0289,29268.0289,0,0
20170503,SP-NORGI,Fonds,29382.5578,29382.5578,29382.5578,29382.5578,0,0
20170502,SP-NORGI,Fonds,29499.0567,29499.0567,29499.0567,29499.0567,0,0
20170428,SP-NORGI,Fonds,29133.3386,29133.3386,29133.3386,29133.3386,0,0
20170427,SP-NORGI,Fonds,29194.1182,29194.1182,29194.1182,29194.1182,0,0
20170426,SP-NORGI,Fonds,29093.913,29093.913,29093.913,29093.913,0,0
20170425,SP-NORGI,Fonds,29158.4829,29158.4829,29158.4829,29158.4829,0,0
20170424,SP-NORGI,Fonds,28847.942,28847.942,28847.942,28847.942,0,0
20170421,SP-NORGI,Fonds,28502.087,28502.087,28502.087,28502.087,0,0
20170420,SP-NORGI,Fonds,28543.4355,28543.4355,28543.4355,28543.4355,0,0
20170419,SP-NORGI,Fonds,28541.8582,28541.8582,28541.8582,28541.8582,0,0
20170418,SP-NORGI,Fonds,28672.0935,28672.0935,28672.0935,28672.0935,0,0
20170412,SP-NORGI,Fonds,29138.3782,29138.3782,29138.3782,29138.3782,0,0
20170411,SP-NORGI,Fonds,28967.8214,28967.8214,28967.8214,28967.8214,0,0
20170410,SP-NORGI,Fonds,29036.3659,29036.3659,29036.3659,29036.3659,0,0
20170407,SP-NORGI,Fonds,28968.1797,28968.1797,28968.1797,28968.1797,0,0
20170406,SP-NORGI,Fonds,28968.516,28968.516,28968.516,28968.516,0,0
20170405,SP-NORGI,Fonds,29007.5451,29007.5451,29007.5451,29007.5451,0,0
20170404,SP-NORGI,Fonds,28708.715,28708.715,28708.715,28708.715,0,0
20170403,SP-NORGI,Fonds,28908.8137,28908.8137,28908.8137,28908.8137,0,0
20170331,SP-NORGI,Fonds,28738.4679,28738.4679,28738.4679,28738.4679,0,0
20170330,SP-NORGI,Fonds,28896.3359,28896.3359,28896.3359,28896.3359,0,0
20170329,SP-NORGI,Fonds,28696.4666,28696.4666,28696.4666,28696.4666,0,0
20170328,SP-NORGI,Fonds,28649.3067,28649.3067,28649.3067,28649.3067,0,0
20170327,SP-NORGI,Fonds,28366.1469,28366.1469,28366.1469,28366.1469,0,0
20170324,SP-NORGI,Fonds,28952.1575,28952.1575,28952.1575,28952.1575,0,0
20170323,SP-NORGI,Fonds,28994.3412,28994.3412,28994.3412,28994.3412,0,0
20170322,SP-NORGI,Fonds,28973.907,28973.907,28973.907,28973.907,0,0
20170321,SP-NORGI,Fonds,29318.4374,29318.4374,29318.4374,29318.4374,0,0
20170320,SP-NORGI,Fonds,29323.6967,29323.6967,29323.6967,29323.6967,0,0
20170317,SP-NORGI,Fonds,29318.8009,29318.8009,29318.8009,29318.8009,0,0
20170316,SP-NORGI,Fonds,29322.9387,29322.9387,29322.9387,29322.9387,0,0
20170315,SP-NORGI,Fonds,29088.0614,29088.0614,29088.0614,29088.0614,0,0
20170314,SP-NORGI,Fonds,28960.2893,28960.2893,28960.2893,28960.2893,0,0
20170313,SP-NORGI,Fonds,29160.1577,29160.1577,29160.1577,29160.1577,0,0
20170310,SP-NORGI,Fonds,29097.353,29097.353,29097.353,29097.353,0,0
20170309,SP-NORGI,Fonds,28768.5121,28768.5121,28768.5121,28768.5121,0,0
20170308,SP-NORGI,Fonds,28855.2857,28855.2857,28855.2857,28855.2857,0,0
20170307,SP-NORGI,Fonds,28888.9907,28888.9907,28888.9907,28888.9907,0,0
20170306,SP-NORGI,Fonds,28820.1135,28820.1135,28820.1135,28820.1135,0,0
20170303,SP-NORGI,Fonds,28846.9738,28846.9738,28846.9738,28846.9738,0,0
20170302,SP-NORGI,Fonds,29150.4311,29150.4311,29150.4311,29150.4311,0,0
20170301,SP-NORGI,Fonds,29023.0583,29023.0583,29023.0583,29023.0583,0,0
20170228,SP-NORGI,Fonds,28778.8489,28778.8489,28778.8489,28778.8489,0,0
20170227,SP-NORGI,Fonds,28670.8301,28670.8301,28670.8301,28670.8301,0,0
20170224,SP-NORGI,Fonds,28664.1994,28664.1994,28664.1994,28664.1994,0,0
20170223,SP-NORGI,Fonds,28887.9841,28887.9841,28887.9841,28887.9841,0,0
20170222,SP-NORGI,Fonds,28947.203,28947.203,28947.203,28947.203,0,0
20170221,SP-NORGI,Fonds,29130.6745,29130.6745,29130.6745,29130.6745,0,0
20170220,SP-NORGI,Fonds,28772.4265,28772.4265,28772.4265,28772.4265,0,0
20170217,SP-NORGI,Fonds,28617.9031,28617.9031,28617.9031,28617.9031,0,0
