quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-SGESG,Fonds,1077.39,1077.39,1077.39,1077.39,0,0
20171120,SP-SGESG,Fonds,1078.7217,1078.7217,1078.7217,1078.7217,0,0
20171117,SP-SGESG,Fonds,1074.5873,1074.5873,1074.5873,1074.5873,0,0
20171116,SP-SGESG,Fonds,1068.9133,1068.9133,1068.9133,1068.9133,0,0
20171115,SP-SGESG,Fonds,1068.3005,1068.3005,1068.3005,1068.3005,0,0
20171114,SP-SGESG,Fonds,1069.1356,1069.1356,1069.1356,1069.1356,0,0
20171113,SP-SGESG,Fonds,1064.3945,1064.3945,1064.3945,1064.3945,0,0
20171110,SP-SGESG,Fonds,1060.06118,1060.06118,1060.06118,1060.06118,0,0
20171109,SP-SGESG,Fonds,1063.0178,1063.0178,1063.0178,1063.0178,0,0
20171108,SP-SGESG,Fonds,1073.3712,1073.3712,1073.3712,1073.3712,0,0
20171107,SP-SGESG,Fonds,1071.7839,1071.7839,1071.7839,1071.7839,0,0
20171106,SP-SGESG,Fonds,1070.148,1070.148,1070.148,1070.148,0,0
20171103,SP-SGESG,Fonds,1070.661,1070.661,1070.661,1070.661,0,0
20171102,SP-SGESG,Fonds,1063.8655,1063.8655,1063.8655,1063.8655,0,0
20171101,SP-SGESG,Fonds,1065.0405,1065.0405,1065.0405,1065.0405,0,0
20171031,SP-SGESG,Fonds,1065.7074,1065.7074,1065.7074,1065.7074,0,0
20171030,SP-SGESG,Fonds,1061.8587,1061.8587,1061.8587,1061.8587,0,0
20171027,SP-SGESG,Fonds,1065.8383,1065.8383,1065.8383,1065.8383,0,0
20171026,SP-SGESG,Fonds,1053.9846,1053.9846,1053.9846,1053.9846,0,0
20171025,SP-SGESG,Fonds,1036.7971,1036.7971,1036.7971,1036.7971,0,0
20171024,SP-SGESG,Fonds,1037.6523,1037.6523,1037.6523,1037.6523,0,0
20171023,SP-SGESG,Fonds,1037.4125,1037.4125,1037.4125,1037.4125,0,0
20171020,SP-SGESG,Fonds,1038.0364,1038.0364,1038.0364,1038.0364,0,0
20171019,SP-SGESG,Fonds,1031.7305,1031.7305,1031.7305,1031.7305,0,0
20171018,SP-SGESG,Fonds,1033.0633,1033.0633,1033.0633,1033.0633,0,0
20171017,SP-SGESG,Fonds,1029.2917,1029.2917,1029.2917,1029.2917,0,0
20171016,SP-SGESG,Fonds,1021.4693,1021.4693,1021.4693,1021.4693,0,0
20171013,SP-SGESG,Fonds,1020.497,1020.497,1020.497,1020.497,0,0
20171012,SP-SGESG,Fonds,1018.7933,1018.7933,1018.7933,1018.7933,0,0
20171011,SP-SGESG,Fonds,1023.3324,1023.3324,1023.3324,1023.3324,0,0
20171010,SP-SGESG,Fonds,1024.6703,1024.6703,1024.6703,1024.6703,0,0
20171009,SP-SGESG,Fonds,1025.6805,1025.6805,1025.6805,1025.6805,0,0
20171006,SP-SGESG,Fonds,1031.0283,1031.0283,1031.0283,1031.0283,0,0
20171005,SP-SGESG,Fonds,1028.6267,1028.6267,1028.6267,1028.6267,0,0
20171004,SP-SGESG,Fonds,1020.6179,1020.6179,1020.6179,1020.6179,0,0
20171003,SP-SGESG,Fonds,1024.1467,1024.1467,1024.1467,1024.1467,0,0
20171002,SP-SGESG,Fonds,1023.8522,1023.8522,1023.8522,1023.8522,0,0
20170929,SP-SGESG,Fonds,1017.1985,1017.1985,1017.1985,1017.1985,0,0
20170928,SP-SGESG,Fonds,1011.1812,1011.1812,1011.1812,1011.1812,0,0
20170927,SP-SGESG,Fonds,1010.3712,1010.3712,1010.3712,1010.3712,0,0
20170926,SP-SGESG,Fonds,1001.345,1001.345,1001.345,1001.345,0,0
20170925,SP-SGESG,Fonds,992.0208,992.0208,992.0208,992.0208,0,0
20170922,SP-SGESG,Fonds,991.4258,991.4258,991.4258,991.4258,0,0
20170921,SP-SGESG,Fonds,993.4429,993.4429,993.4429,993.4429,0,0
20170920,SP-SGESG,Fonds,995.9281,995.9281,995.9281,995.9281,0,0
20170919,SP-SGESG,Fonds,996.4201,996.4201,996.4201,996.4201,0,0
20170918,SP-SGESG,Fonds,993.8902,993.8902,993.8902,993.8902,0,0
20170915,SP-SGESG,Fonds,995.4116,995.4116,995.4116,995.4116,0,0
20170914,SP-SGESG,Fonds,1002.1435,1002.1435,1002.1435,1002.1435,0,0
20170913,SP-SGESG,Fonds,1000.00,1000.00,1000.00,1000.00,0,0
