quote_date,paper,exch,open,high,low,close,volume,value
20171121,SP-SNKIG,Fonds,1064.3667,1064.3667,1064.3667,1064.3667,0,0
20171120,SP-SNKIG,Fonds,1064.4016,1064.4016,1064.4016,1064.4016,0,0
20171117,SP-SNKIG,Fonds,1063.7342,1063.7342,1063.7342,1063.7342,0,0
20171116,SP-SNKIG,Fonds,1063.2892,1063.2892,1063.2892,1063.2892,0,0
20171115,SP-SNKIG,Fonds,1063.4023,1063.4023,1063.4023,1063.4023,0,0
20171114,SP-SNKIG,Fonds,1062.8854,1062.8854,1062.8854,1062.8854,0,0
20171113,SP-SNKIG,Fonds,1062.5796,1062.5796,1062.5796,1062.5796,0,0
20171110,SP-SNKIG,Fonds,1062.48606,1062.48606,1062.48606,1062.48606,0,0
20171109,SP-SNKIG,Fonds,1062.5637,1062.5637,1062.5637,1062.5637,0,0
20171108,SP-SNKIG,Fonds,1063.3113,1063.3113,1063.3113,1063.3113,0,0
20171107,SP-SNKIG,Fonds,1062.9831,1062.9831,1062.9831,1062.9831,0,0
20171106,SP-SNKIG,Fonds,1062.8059,1062.8059,1062.8059,1062.8059,0,0
20171103,SP-SNKIG,Fonds,1062.2948,1062.2948,1062.2948,1062.2948,0,0
20171102,SP-SNKIG,Fonds,1061.8313,1061.8313,1061.8313,1061.8313,0,0
20171101,SP-SNKIG,Fonds,1061.5668,1061.5668,1061.5668,1061.5668,0,0
20171031,SP-SNKIG,Fonds,1061.2943,1061.2943,1061.2943,1061.2943,0,0
20171030,SP-SNKIG,Fonds,1061.2354,1061.2354,1061.2354,1061.2354,0,0
20171027,SP-SNKIG,Fonds,1060.5268,1060.5268,1060.5268,1060.5268,0,0
20171026,SP-SNKIG,Fonds,1060.2981,1060.2981,1060.2981,1060.2981,0,0
20171025,SP-SNKIG,Fonds,1059.9328,1059.9328,1059.9328,1059.9328,0,0
20171024,SP-SNKIG,Fonds,1060.1312,1060.1312,1060.1312,1060.1312,0,0
20171023,SP-SNKIG,Fonds,1060.4431,1060.4431,1060.4431,1060.4431,0,0
20171020,SP-SNKIG,Fonds,1060.2179,1060.2179,1060.2179,1060.2179,0,0
20171019,SP-SNKIG,Fonds,1060.4612,1060.4612,1060.4612,1060.4612,0,0
20171018,SP-SNKIG,Fonds,1060.3155,1060.3155,1060.3155,1060.3155,0,0
20171017,SP-SNKIG,Fonds,1060.2978,1060.2978,1060.2978,1060.2978,0,0
20171016,SP-SNKIG,Fonds,1060.0488,1060.0488,1060.0488,1060.0488,0,0
20171013,SP-SNKIG,Fonds,1059.6688,1059.6688,1059.6688,1059.6688,0,0
20171012,SP-SNKIG,Fonds,1059.3071,1059.3071,1059.3071,1059.3071,0,0
20171011,SP-SNKIG,Fonds,1060.0339,1060.0339,1060.0339,1060.0339,0,0
20171010,SP-SNKIG,Fonds,1060.0152,1060.0152,1060.0152,1060.0152,0,0
20171009,SP-SNKIG,Fonds,1060.2597,1060.2597,1060.2597,1060.2597,0,0
20171006,SP-SNKIG,Fonds,1059.8557,1059.8557,1059.8557,1059.8557,0,0
20171005,SP-SNKIG,Fonds,1060.3595,1060.3595,1060.3595,1060.3595,0,0
20171004,SP-SNKIG,Fonds,1060.4951,1060.4951,1060.4951,1060.4951,0,0
20171003,SP-SNKIG,Fonds,1060.2386,1060.2386,1060.2386,1060.2386,0,0
20171002,SP-SNKIG,Fonds,1060.3908,1060.3908,1060.3908,1060.3908,0,0
20170929,SP-SNKIG,Fonds,1060.0555,1060.0555,1060.0555,1060.0555,0,0
20170928,SP-SNKIG,Fonds,1059.9715,1059.9715,1059.9715,1059.9715,0,0
20170927,SP-SNKIG,Fonds,1060.2484,1060.2484,1060.2484,1060.2484,0,0
20170926,SP-SNKIG,Fonds,1060.6795,1060.6795,1060.6795,1060.6795,0,0
20170925,SP-SNKIG,Fonds,1060.451,1060.451,1060.451,1060.451,0,0
20170922,SP-SNKIG,Fonds,1060.2047,1060.2047,1060.2047,1060.2047,0,0
20170921,SP-SNKIG,Fonds,1060.0566,1060.0566,1060.0566,1060.0566,0,0
20170920,SP-SNKIG,Fonds,1060.6908,1060.6908,1060.6908,1060.6908,0,0
20170919,SP-SNKIG,Fonds,1060.5789,1060.5789,1060.5789,1060.5789,0,0
20170918,SP-SNKIG,Fonds,1060.5828,1060.5828,1060.5828,1060.5828,0,0
20170915,SP-SNKIG,Fonds,1060.6061,1060.6061,1060.6061,1060.6061,0,0
20170914,SP-SNKIG,Fonds,1060.8629,1060.8629,1060.8629,1060.8629,0,0
20170913,SP-SNKIG,Fonds,1060.9458,1060.9458,1060.9458,1060.9458,0,0
20170912,SP-SNKIG,Fonds,1061.1071,1061.1071,1061.1071,1061.1071,0,0
20170911,SP-SNKIG,Fonds,1061.6046,1061.6046,1061.6046,1061.6046,0,0
20170908,SP-SNKIG,Fonds,1061.0258,1061.0258,1061.0258,1061.0258,0,0
20170907,SP-SNKIG,Fonds,1060.7173,1060.7173,1060.7173,1060.7173,0,0
20170906,SP-SNKIG,Fonds,1060.6446,1060.6446,1060.6446,1060.6446,0,0
20170905,SP-SNKIG,Fonds,1060.0723,1060.0723,1060.0723,1060.0723,0,0
20170904,SP-SNKIG,Fonds,1059.8436,1059.8436,1059.8436,1059.8436,0,0
20170901,SP-SNKIG,Fonds,1059.4085,1059.4085,1059.4085,1059.4085,0,0
20170831,SP-SNKIG,Fonds,1059.5069,1059.5069,1059.5069,1059.5069,0,0
20170830,SP-SNKIG,Fonds,1059.421,1059.421,1059.421,1059.421,0,0
20170829,SP-SNKIG,Fonds,1059.2752,1059.2752,1059.2752,1059.2752,0,0
20170828,SP-SNKIG,Fonds,1058.8503,1058.8503,1058.8503,1058.8503,0,0
20170825,SP-SNKIG,Fonds,1058.5799,1058.5799,1058.5799,1058.5799,0,0
20170824,SP-SNKIG,Fonds,1058.5091,1058.5091,1058.5091,1058.5091,0,0
20170823,SP-SNKIG,Fonds,1058.2716,1058.2716,1058.2716,1058.2716,0,0
20170822,SP-SNKIG,Fonds,1057.9152,1057.9152,1057.9152,1057.9152,0,0
20170821,SP-SNKIG,Fonds,1057.8118,1057.8118,1057.8118,1057.8118,0,0
20170818,SP-SNKIG,Fonds,1057.4643,1057.4643,1057.4643,1057.4643,0,0
20170817,SP-SNKIG,Fonds,1057.0764,1057.0764,1057.0764,1057.0764,0,0
20170816,SP-SNKIG,Fonds,1056.7608,1056.7608,1056.7608,1056.7608,0,0
20170815,SP-SNKIG,Fonds,1056.8336,1056.8336,1056.8336,1056.8336,0,0
20170814,SP-SNKIG,Fonds,1057.5432,1057.5432,1057.5432,1057.5432,0,0
20170811,SP-SNKIG,Fonds,1058.175,1058.175,1058.175,1058.175,0,0
20170810,SP-SNKIG,Fonds,1058.0194,1058.0194,1058.0194,1058.0194,0,0
20170809,SP-SNKIG,Fonds,1057.5963,1057.5963,1057.5963,1057.5963,0,0
20170808,SP-SNKIG,Fonds,1057.0176,1057.0176,1057.0176,1057.0176,0,0
20170807,SP-SNKIG,Fonds,1056.8243,1056.8243,1056.8243,1056.8243,0,0
20170804,SP-SNKIG,Fonds,1056.4608,1056.4608,1056.4608,1056.4608,0,0
20170803,SP-SNKIG,Fonds,1056.3521,1056.3521,1056.3521,1056.3521,0,0
20170802,SP-SNKIG,Fonds,1055.7169,1055.7169,1055.7169,1055.7169,0,0
20170801,SP-SNKIG,Fonds,1055.3043,1055.3043,1055.3043,1055.3043,0,0
20170731,SP-SNKIG,Fonds,1054.935,1054.935,1054.935,1054.935,0,0
20170728,SP-SNKIG,Fonds,1054.759,1054.759,1054.759,1054.759,0,0
20170727,SP-SNKIG,Fonds,1054.9844,1054.9844,1054.9844,1054.9844,0,0
20170726,SP-SNKIG,Fonds,1054.6862,1054.6862,1054.6862,1054.6862,0,0
20170725,SP-SNKIG,Fonds,1054.5575,1054.5575,1054.5575,1054.5575,0,0
20170724,SP-SNKIG,Fonds,1054.8443,1054.8443,1054.8443,1054.8443,0,0
20170721,SP-SNKIG,Fonds,1054.5168,1054.5168,1054.5168,1054.5168,0,0
20170720,SP-SNKIG,Fonds,1054.2163,1054.2163,1054.2163,1054.2163,0,0
20170719,SP-SNKIG,Fonds,1054.1656,1054.1656,1054.1656,1054.1656,0,0
20170718,SP-SNKIG,Fonds,1054.0217,1054.0217,1054.0217,1054.0217,0,0
20170717,SP-SNKIG,Fonds,1054.021,1054.021,1054.021,1054.021,0,0
20170714,SP-SNKIG,Fonds,1053.5854,1053.5854,1053.5854,1053.5854,0,0
20170713,SP-SNKIG,Fonds,1053.4851,1053.4851,1053.4851,1053.4851,0,0
20170712,SP-SNKIG,Fonds,1053.3043,1053.3043,1053.3043,1053.3043,0,0
20170711,SP-SNKIG,Fonds,1053.0266,1053.0266,1053.0266,1053.0266,0,0
20170710,SP-SNKIG,Fonds,1052.9808,1052.9808,1052.9808,1052.9808,0,0
20170707,SP-SNKIG,Fonds,1052.4887,1052.4887,1052.4887,1052.4887,0,0
20170706,SP-SNKIG,Fonds,1052.4452,1052.4452,1052.4452,1052.4452,0,0
20170705,SP-SNKIG,Fonds,1052.8852,1052.8852,1052.8852,1052.8852,0,0
20170704,SP-SNKIG,Fonds,1052.9138,1052.9138,1052.9138,1052.9138,0,0
20170703,SP-SNKIG,Fonds,1052.6139,1052.6139,1052.6139,1052.6139,0,0
20170630,SP-SNKIG,Fonds,1052.2272,1052.2272,1052.2272,1052.2272,0,0
20170629,SP-SNKIG,Fonds,1052.303,1052.303,1052.303,1052.303,0,0
20170628,SP-SNKIG,Fonds,1052.6441,1052.6441,1052.6441,1052.6441,0,0
20170627,SP-SNKIG,Fonds,1052.5958,1052.5958,1052.5958,1052.5958,0,0
20170623,SP-SNKIG,Fonds,1052.5486,1052.5486,1052.5486,1052.5486,0,0
20170622,SP-SNKIG,Fonds,1052.5298,1052.5298,1052.5298,1052.5298,0,0
20170621,SP-SNKIG,Fonds,1052.5964,1052.5964,1052.5964,1052.5964,0,0
20170620,SP-SNKIG,Fonds,1052.3404,1052.3404,1052.3404,1052.3404,0,0
20170619,SP-SNKIG,Fonds,1051.8743,1051.8743,1051.8743,1051.8743,0,0
20170616,SP-SNKIG,Fonds,1051.5476,1051.5476,1051.5476,1051.5476,0,0
20170615,SP-SNKIG,Fonds,1051.5473,1051.5473,1051.5473,1051.5473,0,0
20170614,SP-SNKIG,Fonds,1051.9174,1051.9174,1051.9174,1051.9174,0,0
20170613,SP-SNKIG,Fonds,1051.9218,1051.9218,1051.9218,1051.9218,0,0
20170612,SP-SNKIG,Fonds,1052.5109,1052.5109,1052.5109,1052.5109,0,0
20170609,SP-SNKIG,Fonds,1052.3988,1052.3988,1052.3988,1052.3988,0,0
20170608,SP-SNKIG,Fonds,1052.4383,1052.4383,1052.4383,1052.4383,0,0
20170607,SP-SNKIG,Fonds,1052.61,1052.61,1052.61,1052.61,0,0
20170606,SP-SNKIG,Fonds,1052.6295,1052.6295,1052.6295,1052.6295,0,0
20170602,SP-SNKIG,Fonds,1051.9572,1051.9572,1051.9572,1051.9572,0,0
20170601,SP-SNKIG,Fonds,1051.4697,1051.4697,1051.4697,1051.4697,0,0
20170531,SP-SNKIG,Fonds,1051.2236,1051.2236,1051.2236,1051.2236,0,0
20170530,SP-SNKIG,Fonds,1051.201,1051.201,1051.201,1051.201,0,0
20170529,SP-SNKIG,Fonds,1050.8829,1050.8829,1050.8829,1050.8829,0,0
20170526,SP-SNKIG,Fonds,1050.7113,1050.7113,1050.7113,1050.7113,0,0
20170524,SP-SNKIG,Fonds,1050.5104,1050.5104,1050.5104,1050.5104,0,0
20170523,SP-SNKIG,Fonds,1050.1861,1050.1861,1050.1861,1050.1861,0,0
20170522,SP-SNKIG,Fonds,1050.0997,1050.0997,1050.0997,1050.0997,0,0
20170519,SP-SNKIG,Fonds,1050.1334,1050.1334,1050.1334,1050.1334,0,0
20170518,SP-SNKIG,Fonds,1050.1106,1050.1106,1050.1106,1050.1106,0,0
20170516,SP-SNKIG,Fonds,1049.1607,1049.1607,1049.1607,1049.1607,0,0
20170515,SP-SNKIG,Fonds,1049.0414,1049.0414,1049.0414,1049.0414,0,0
20170512,SP-SNKIG,Fonds,1048.7233,1048.7233,1048.7233,1048.7233,0,0
20170511,SP-SNKIG,Fonds,1048.1227,1048.1227,1048.1227,1048.1227,0,0
20170510,SP-SNKIG,Fonds,1047.8978,1047.8978,1047.8978,1047.8978,0,0
20170509,SP-SNKIG,Fonds,1047.4673,1047.4673,1047.4673,1047.4673,0,0
20170508,SP-SNKIG,Fonds,1047.5178,1047.5178,1047.5178,1047.5178,0,0
20170505,SP-SNKIG,Fonds,1046.7243,1046.7243,1046.7243,1046.7243,0,0
20170504,SP-SNKIG,Fonds,1046.6169,1046.6169,1046.6169,1046.6169,0,0
20170503,SP-SNKIG,Fonds,1046.8001,1046.8001,1046.8001,1046.8001,0,0
20170502,SP-SNKIG,Fonds,1046.5754,1046.5754,1046.5754,1046.5754,0,0
20170428,SP-SNKIG,Fonds,1046.2439,1046.2439,1046.2439,1046.2439,0,0
20170426,SP-SNKIG,Fonds,1045.8754,1045.8754,1045.8754,1045.8754,0,0
20170425,SP-SNKIG,Fonds,1045.6502,1045.6502,1045.6502,1045.6502,0,0
20170424,SP-SNKIG,Fonds,1045.4775,1045.4775,1045.4775,1045.4775,0,0
20170421,SP-SNKIG,Fonds,1045.7448,1045.7448,1045.7448,1045.7448,0,0
20170420,SP-SNKIG,Fonds,1045.7998,1045.7998,1045.7998,1045.7998,0,0
20170419,SP-SNKIG,Fonds,1046.1268,1046.1268,1046.1268,1046.1268,0,0
20170418,SP-SNKIG,Fonds,1046.0518,1046.0518,1046.0518,1046.0518,0,0
20170412,SP-SNKIG,Fonds,1045.5477,1045.5477,1045.5477,1045.5477,0,0
20170411,SP-SNKIG,Fonds,1045.72,1045.72,1045.72,1045.72,0,0
20170410,SP-SNKIG,Fonds,1045.9954,1045.9954,1045.9954,1045.9954,0,0
20170407,SP-SNKIG,Fonds,1045.8616,1045.8616,1045.8616,1045.8616,0,0
20170406,SP-SNKIG,Fonds,1045.7492,1045.7492,1045.7492,1045.7492,0,0
20170405,SP-SNKIG,Fonds,1045.0932,1045.0932,1045.0932,1045.0932,0,0
20170404,SP-SNKIG,Fonds,1045.0409,1045.0409,1045.0409,1045.0409,0,0
20170403,SP-SNKIG,Fonds,1044.8243,1044.8243,1044.8243,1044.8243,0,0
20170331,SP-SNKIG,Fonds,1044.5624,1044.5624,1044.5624,1044.5624,0,0
20170330,SP-SNKIG,Fonds,1044.5522,1044.5522,1044.5522,1044.5522,0,0
20170329,SP-SNKIG,Fonds,1044.1272,1044.1272,1044.1272,1044.1272,0,0
20170328,SP-SNKIG,Fonds,1043.7025,1043.7025,1043.7025,1043.7025,0,0
20170327,SP-SNKIG,Fonds,1043.4642,1043.4642,1043.4642,1043.4642,0,0
20170324,SP-SNKIG,Fonds,1042.8775,1042.8775,1042.8775,1042.8775,0,0
20170323,SP-SNKIG,Fonds,1042.6379,1042.6379,1042.6379,1042.6379,0,0
20170322,SP-SNKIG,Fonds,1042.4471,1042.4471,1042.4471,1042.4471,0,0
20170321,SP-SNKIG,Fonds,1041.7921,1041.7921,1041.7921,1041.7921,0,0
20170320,SP-SNKIG,Fonds,1041.4712,1041.4712,1041.4712,1041.4712,0,0
20170317,SP-SNKIG,Fonds,1041.299,1041.299,1041.299,1041.299,0,0
20170316,SP-SNKIG,Fonds,1041.4451,1041.4451,1041.4451,1041.4451,0,0
20170315,SP-SNKIG,Fonds,1040.6037,1040.6037,1040.6037,1040.6037,0,0
20170314,SP-SNKIG,Fonds,1040.2587,1040.2587,1040.2587,1040.2587,0,0
20170313,SP-SNKIG,Fonds,1039.9198,1039.9198,1039.9198,1039.9198,0,0
20170310,SP-SNKIG,Fonds,1039.6997,1039.6997,1039.6997,1039.6997,0,0
20170309,SP-SNKIG,Fonds,1039.0363,1039.0363,1039.0363,1039.0363,0,0
20170308,SP-SNKIG,Fonds,1039.0946,1039.0946,1039.0946,1039.0946,0,0
20170307,SP-SNKIG,Fonds,1039.1791,1039.1791,1039.1791,1039.1791,0,0
20170306,SP-SNKIG,Fonds,1038.9198,1038.9198,1038.9198,1038.9198,0,0
20170303,SP-SNKIG,Fonds,1038.2177,1038.2177,1038.2177,1038.2177,0,0
20170302,SP-SNKIG,Fonds,1038.3711,1038.3711,1038.3711,1038.3711,0,0
20170301,SP-SNKIG,Fonds,1038.3721,1038.3721,1038.3721,1038.3721,0,0
20170228,SP-SNKIG,Fonds,1038.6337,1038.6337,1038.6337,1038.6337,0,0
20170227,SP-SNKIG,Fonds,1038.864,1038.864,1038.864,1038.864,0,0
20170224,SP-SNKIG,Fonds,1038.8633,1038.8633,1038.8633,1038.8633,0,0
20170223,SP-SNKIG,Fonds,1038.4439,1038.4439,1038.4439,1038.4439,0,0
20170222,SP-SNKIG,Fonds,1038.3534,1038.3534,1038.3534,1038.3534,0,0
20170221,SP-SNKIG,Fonds,1038.1876,1038.1876,1038.1876,1038.1876,0,0
20170220,SP-SNKIG,Fonds,1038.5678,1038.5678,1038.5678,1038.5678,0,0
20170217,SP-SNKIG,Fonds,1038.3139,1038.3139,1038.3139,1038.3139,0,0
20170216,SP-SNKIG,Fonds,1037.9842,1037.9842,1037.9842,1037.9842,0,0
20170215,SP-SNKIG,Fonds,1037.4678,1037.4678,1037.4678,1037.4678,0,0
20170214,SP-SNKIG,Fonds,1037.5003,1037.5003,1037.5003,1037.5003,0,0
20170213,SP-SNKIG,Fonds,1038.0991,1038.0991,1038.0991,1038.0991,0,0
