quote_date,paper,exch,open,high,low,close,volume,value
20171109,SP-TRPSM,Fonds,2452.3585,2452.3585,2452.3585,2452.3585,0,0
20171108,SP-TRPSM,Fonds,2486.7328,2486.7328,2486.7328,2486.7328,0,0
20171107,SP-TRPSM,Fonds,2475.2058,2475.2058,2475.2058,2475.2058,0,0
20171106,SP-TRPSM,Fonds,2475.8498,2475.8498,2475.8498,2475.8498,0,0
20171103,SP-TRPSM,Fonds,2476.9623,2476.9623,2476.9623,2476.9623,0,0
20171102,SP-TRPSM,Fonds,2464.4516,2464.4516,2464.4516,2464.4516,0,0
20171101,SP-TRPSM,Fonds,2471.1731,2471.1731,2471.1731,2471.1731,0,0
20171031,SP-TRPSM,Fonds,2473.5561,2473.5561,2473.5561,2473.5561,0,0
20171030,SP-TRPSM,Fonds,2459.6666,2459.6666,2459.6666,2459.6666,0,0
20171027,SP-TRPSM,Fonds,2465.0972,2465.0972,2465.0972,2465.0972,0,0
20171026,SP-TRPSM,Fonds,2450.695,2450.695,2450.695,2450.695,0,0
20171025,SP-TRPSM,Fonds,2412.5976,2412.5976,2412.5976,2412.5976,0,0
20171024,SP-TRPSM,Fonds,2410.2508,2410.2508,2410.2508,2410.2508,0,0
20171023,SP-TRPSM,Fonds,2413.9545,2413.9545,2413.9545,2413.9545,0,0
20171020,SP-TRPSM,Fonds,2407.4704,2407.4704,2407.4704,2407.4704,0,0
20171019,SP-TRPSM,Fonds,2394.4348,2394.4348,2394.4348,2394.4348,0,0
20171018,SP-TRPSM,Fonds,2398.17,2398.17,2398.17,2398.17,0,0
20171017,SP-TRPSM,Fonds,2386.7269,2386.7269,2386.7269,2386.7269,0,0
20171016,SP-TRPSM,Fonds,2372.5683,2372.5683,2372.5683,2372.5683,0,0
20171013,SP-TRPSM,Fonds,2373.4659,2373.4659,2373.4659,2373.4659,0,0
20171012,SP-TRPSM,Fonds,2362.8438,2362.8438,2362.8438,2362.8438,0,0
20171011,SP-TRPSM,Fonds,2366.2208,2366.2208,2366.2208,2366.2208,0,0
20171010,SP-TRPSM,Fonds,2366.2437,2366.2437,2366.2437,2366.2437,0,0
20171009,SP-TRPSM,Fonds,2362.4053,2362.4053,2362.4053,2362.4053,0,0
20171006,SP-TRPSM,Fonds,2372.0629,2372.0629,2372.0629,2372.0629,0,0
20171005,SP-TRPSM,Fonds,2366.4197,2366.4197,2366.4197,2366.4197,0,0
20171004,SP-TRPSM,Fonds,2356.682,2356.682,2356.682,2356.682,0,0
20171003,SP-TRPSM,Fonds,2361.8475,2361.8475,2361.8475,2361.8475,0,0
20171002,SP-TRPSM,Fonds,2359.7616,2359.7616,2359.7616,2359.7616,0,0
20170929,SP-TRPSM,Fonds,2342.7367,2342.7367,2342.7367,2342.7367,0,0
20170928,SP-TRPSM,Fonds,2325.0378,2325.0378,2325.0378,2325.0378,0,0
20170927,SP-TRPSM,Fonds,2323.008,2323.008,2323.008,2323.008,0,0
20170926,SP-TRPSM,Fonds,2306.1479,2306.1479,2306.1479,2306.1479,0,0
20170925,SP-TRPSM,Fonds,2291.1618,2291.1618,2291.1618,2291.1618,0,0
20170922,SP-TRPSM,Fonds,2293.6235,2293.6235,2293.6235,2293.6235,0,0
20170921,SP-TRPSM,Fonds,2295.6499,2295.6499,2295.6499,2295.6499,0,0
20170920,SP-TRPSM,Fonds,2297.5806,2297.5806,2297.5806,2297.5806,0,0
20170919,SP-TRPSM,Fonds,2299.9529,2299.9529,2299.9529,2299.9529,0,0
20170918,SP-TRPSM,Fonds,2299.8908,2299.8908,2299.8908,2299.8908,0,0
20170915,SP-TRPSM,Fonds,2293.2758,2293.2758,2293.2758,2293.2758,0,0
20170914,SP-TRPSM,Fonds,2308.8331,2308.8331,2308.8331,2308.8331,0,0
20170913,SP-TRPSM,Fonds,2299.9597,2299.9597,2299.9597,2299.9597,0,0
20170912,SP-TRPSM,Fonds,2294.0076,2294.0076,2294.0076,2294.0076,0,0
20170911,SP-TRPSM,Fonds,2291.5709,2291.5709,2291.5709,2291.5709,0,0
20170908,SP-TRPSM,Fonds,2241.9652,2241.9652,2241.9652,2241.9652,0,0
20170907,SP-TRPSM,Fonds,2240.6073,2240.6073,2240.6073,2240.6073,0,0
20170906,SP-TRPSM,Fonds,2234.7236,2234.7236,2234.7236,2234.7236,0,0
20170905,SP-TRPSM,Fonds,2231.0341,2231.0341,2231.0341,2231.0341,0,0
20170904,SP-TRPSM,Fonds,2244.6861,2244.6861,2244.6861,2244.6861,0,0
20170901,SP-TRPSM,Fonds,2245.2052,2245.2052,2245.2052,2245.2052,0,0
20170831,SP-TRPSM,Fonds,2234.1355,2234.1355,2234.1355,2234.1355,0,0
20170830,SP-TRPSM,Fonds,2227.5897,2227.5897,2227.5897,2227.5897,0,0
20170829,SP-TRPSM,Fonds,2204.3677,2204.3677,2204.3677,2204.3677,0,0
20170828,SP-TRPSM,Fonds,2222.6192,2222.6192,2222.6192,2222.6192,0,0
20170825,SP-TRPSM,Fonds,2224.2845,2224.2845,2224.2845,2224.2845,0,0
20170824,SP-TRPSM,Fonds,2239.2907,2239.2907,2239.2907,2239.2907,0,0
20170823,SP-TRPSM,Fonds,2247.5892,2247.5892,2247.5892,2247.5892,0,0
20170822,SP-TRPSM,Fonds,2261.9314,2261.9314,2261.9314,2261.9314,0,0
20170821,SP-TRPSM,Fonds,2242.6121,2242.6121,2242.6121,2242.6121,0,0
20170818,SP-TRPSM,Fonds,2250.3044,2250.3044,2250.3044,2250.3044,0,0
20170817,SP-TRPSM,Fonds,2262.6217,2262.6217,2262.6217,2262.6217,0,0
20170816,SP-TRPSM,Fonds,2282.5708,2282.5708,2282.5708,2282.5708,0,0
20170815,SP-TRPSM,Fonds,2273.9963,2273.9963,2273.9963,2273.9963,0,0
20170814,SP-TRPSM,Fonds,2270.3775,2270.3775,2270.3775,2270.3775,0,0
20170811,SP-TRPSM,Fonds,2255.9259,2255.9259,2255.9259,2255.9259,0,0
20170810,SP-TRPSM,Fonds,2261.9426,2261.9426,2261.9426,2261.9426,0,0
20170809,SP-TRPSM,Fonds,2288.0097,2288.0097,2288.0097,2288.0097,0,0
20170808,SP-TRPSM,Fonds,2288.6834,2288.6834,2288.6834,2288.6834,0,0
20170807,SP-TRPSM,Fonds,2291.9119,2291.9119,2291.9119,2291.9119,0,0
20170804,SP-TRPSM,Fonds,2289.3183,2289.3183,2289.3183,2289.3183,0,0
20170803,SP-TRPSM,Fonds,2272.0855,2272.0855,2272.0855,2272.0855,0,0
20170802,SP-TRPSM,Fonds,2271.3361,2271.3361,2271.3361,2271.3361,0,0
20170801,SP-TRPSM,Fonds,2276.8159,2276.8159,2276.8159,2276.8159,0,0
20170731,SP-TRPSM,Fonds,2265.1809,2265.1809,2265.1809,2265.1809,0,0
20170728,SP-TRPSM,Fonds,2266.8707,2266.8707,2266.8707,2266.8707,0,0
20170727,SP-TRPSM,Fonds,2283.8138,2283.8138,2283.8138,2283.8138,0,0
20170726,SP-TRPSM,Fonds,2288.4276,2288.4276,2288.4276,2288.4276,0,0
20170725,SP-TRPSM,Fonds,2286.6905,2286.6905,2286.6905,2286.6905,0,0
20170724,SP-TRPSM,Fonds,2291.6345,2291.6345,2291.6345,2291.6345,0,0
20170721,SP-TRPSM,Fonds,2300.6699,2300.6699,2300.6699,2300.6699,0,0
20170720,SP-TRPSM,Fonds,2314.3895,2314.3895,2314.3895,2314.3895,0,0
20170719,SP-TRPSM,Fonds,2313.0109,2313.0109,2313.0109,2313.0109,0,0
20170718,SP-TRPSM,Fonds,2305.0359,2305.0359,2305.0359,2305.0359,0,0
20170717,SP-TRPSM,Fonds,2326.4431,2326.4431,2326.4431,2326.4431,0,0
20170714,SP-TRPSM,Fonds,2336.1671,2336.1671,2336.1671,2336.1671,0,0
20170713,SP-TRPSM,Fonds,2334.2429,2334.2429,2334.2429,2334.2429,0,0
20170712,SP-TRPSM,Fonds,2333.8756,2333.8756,2333.8756,2333.8756,0,0
20170711,SP-TRPSM,Fonds,2320.6307,2320.6307,2320.6307,2320.6307,0,0
20170710,SP-TRPSM,Fonds,2324.8182,2324.8182,2324.8182,2324.8182,0,0
20170707,SP-TRPSM,Fonds,2322.5851,2322.5851,2322.5851,2322.5851,0,0
20170706,SP-TRPSM,Fonds,2318.9814,2318.9814,2318.9814,2318.9814,0,0
20170705,SP-TRPSM,Fonds,2342.0199,2342.0199,2342.0199,2342.0199,0,0
20170704,SP-TRPSM,Fonds,2325.2573,2325.2573,2325.2573,2325.2573,0,0
20170703,SP-TRPSM,Fonds,2333.8893,2333.8893,2333.8893,2333.8893,0,0
20170630,SP-TRPSM,Fonds,2330.9372,2330.9372,2330.9372,2330.9372,0,0
20170629,SP-TRPSM,Fonds,2338.0238,2338.0238,2338.0238,2338.0238,0,0
20170628,SP-TRPSM,Fonds,2371.9605,2371.9605,2371.9605,2371.9605,0,0
20170627,SP-TRPSM,Fonds,2349.7384,2349.7384,2349.7384,2349.7384,0,0
20170623,SP-TRPSM,Fonds,2360.4033,2360.4033,2360.4033,2360.4033,0,0
20170622,SP-TRPSM,Fonds,2364.0971,2364.0971,2364.0971,2364.0971,0,0
20170621,SP-TRPSM,Fonds,2379.0627,2379.0627,2379.0627,2379.0627,0,0
20170620,SP-TRPSM,Fonds,2388.3301,2388.3301,2388.3301,2388.3301,0,0
20170619,SP-TRPSM,Fonds,2383.6098,2383.6098,2383.6098,2383.6098,0,0
20170616,SP-TRPSM,Fonds,2361.4864,2361.4864,2361.4864,2361.4864,0,0
20170615,SP-TRPSM,Fonds,2362.6703,2362.6703,2362.6703,2362.6703,0,0
20170614,SP-TRPSM,Fonds,2349.5694,2349.5694,2349.5694,2349.5694,0,0
20170613,SP-TRPSM,Fonds,2359.3604,2359.3604,2359.3604,2359.3604,0,0
20170612,SP-TRPSM,Fonds,2356.3982,2356.3982,2356.3982,2356.3982,0,0
20170609,SP-TRPSM,Fonds,2375.9522,2375.9522,2375.9522,2375.9522,0,0
20170608,SP-TRPSM,Fonds,2373.033,2373.033,2373.033,2373.033,0,0
20170607,SP-TRPSM,Fonds,2377.0872,2377.0872,2377.0872,2377.0872,0,0
20170606,SP-TRPSM,Fonds,2370.8507,2370.8507,2370.8507,2370.8507,0,0
20170602,SP-TRPSM,Fonds,2377.5443,2377.5443,2377.5443,2377.5443,0,0
20170601,SP-TRPSM,Fonds,2365.8565,2365.8565,2365.8565,2365.8565,0,0
20170531,SP-TRPSM,Fonds,2349.5756,2349.5756,2349.5756,2349.5756,0,0
20170530,SP-TRPSM,Fonds,2349.3372,2349.3372,2349.3372,2349.3372,0,0
20170529,SP-TRPSM,Fonds,2339.3008,2339.3008,2339.3008,2339.3008,0,0
20170526,SP-TRPSM,Fonds,2334.8435,2334.8435,2334.8435,2334.8435,0,0
20170524,SP-TRPSM,Fonds,2323.3727,2323.3727,2323.3727,2323.3727,0,0
20170523,SP-TRPSM,Fonds,2316.3297,2316.3297,2316.3297,2316.3297,0,0
20170522,SP-TRPSM,Fonds,2311.9291,2311.9291,2311.9291,2311.9291,0,0
20170519,SP-TRPSM,Fonds,2303.9739,2303.9739,2303.9739,2303.9739,0,0
20170518,SP-TRPSM,Fonds,2300.4334,2300.4334,2300.4334,2300.4334,0,0
20170516,SP-TRPSM,Fonds,2358.4201,2358.4201,2358.4201,2358.4201,0,0
20170515,SP-TRPSM,Fonds,2364.4715,2364.4715,2364.4715,2364.4715,0,0
20170512,SP-TRPSM,Fonds,2357.6938,2357.6938,2357.6938,2357.6938,0,0
20170511,SP-TRPSM,Fonds,2352.1602,2352.1602,2352.1602,2352.1602,0,0
20170510,SP-TRPSM,Fonds,2361.2536,2361.2536,2361.2536,2361.2536,0,0
20170509,SP-TRPSM,Fonds,2366.902,2366.902,2366.902,2366.902,0,0
