quote_date,paper,exch,open,high,low,close,volume,value
20171121,SS-FDAKE,Fonds,12.81,12.81,12.81,12.81,0,0
20171120,SS-FDAKE,Fonds,12.78,12.78,12.78,12.78,0,0
20171117,SS-FDAKE,Fonds,12.76,12.76,12.76,12.76,0,0
20171116,SS-FDAKE,Fonds,12.80,12.80,12.80,12.80,0,0
20171115,SS-FDAKE,Fonds,12.78,12.78,12.78,12.78,0,0
20171114,SS-FDAKE,Fonds,12.95,12.95,12.95,12.95,0,0
20171113,SS-FDAKE,Fonds,13.07,13.07,13.07,13.07,0,0
20171110,SS-FDAKE,Fonds,13.12,13.12,13.12,13.12,0,0
20171109,SS-FDAKE,Fonds,13.15,13.15,13.15,13.15,0,0
20171108,SS-FDAKE,Fonds,13.16,13.16,13.16,13.16,0,0
20171107,SS-FDAKE,Fonds,13.16,13.16,13.16,13.16,0,0
20171106,SS-FDAKE,Fonds,13.13,13.13,13.13,13.13,0,0
20171103,SS-FDAKE,Fonds,13.10,13.10,13.10,13.10,0,0
20171102,SS-FDAKE,Fonds,13.07,13.07,13.07,13.07,0,0
20171101,SS-FDAKE,Fonds,13.09,13.09,13.09,13.09,0,0
20171031,SS-FDAKE,Fonds,13.06,13.06,13.06,13.06,0,0
20171030,SS-FDAKE,Fonds,13.05,13.05,13.05,13.05,0,0
20171027,SS-FDAKE,Fonds,13.01,13.01,13.01,13.01,0,0
20171026,SS-FDAKE,Fonds,12.95,12.95,12.95,12.95,0,0
20171025,SS-FDAKE,Fonds,13.03,13.03,13.03,13.03,0,0
20171024,SS-FDAKE,Fonds,13.06,13.06,13.06,13.06,0,0
20171023,SS-FDAKE,Fonds,13.04,13.04,13.04,13.04,0,0
20171020,SS-FDAKE,Fonds,13.00,13.00,13.00,13.00,0,0
20171019,SS-FDAKE,Fonds,13.02,13.02,13.02,13.02,0,0
20171018,SS-FDAKE,Fonds,13.08,13.08,13.08,13.08,0,0
20171017,SS-FDAKE,Fonds,13.09,13.09,13.09,13.09,0,0
20171016,SS-FDAKE,Fonds,13.07,13.07,13.07,13.07,0,0
20171013,SS-FDAKE,Fonds,13.03,13.03,13.03,13.03,0,0
20171012,SS-FDAKE,Fonds,13.00,13.00,13.00,13.00,0,0
20171011,SS-FDAKE,Fonds,13.00,13.00,13.00,13.00,0,0
20171010,SS-FDAKE,Fonds,13.01,13.01,13.01,13.01,0,0
20171009,SS-FDAKE,Fonds,13.05,13.05,13.05,13.05,0,0
20171006,SS-FDAKE,Fonds,13.04,13.04,13.04,13.04,0,0
20171005,SS-FDAKE,Fonds,13.03,13.03,13.03,13.03,0,0
20171004,SS-FDAKE,Fonds,13.01,13.01,13.01,13.01,0,0
20171003,SS-FDAKE,Fonds,12.97,12.97,12.97,12.97,0,0
20171002,SS-FDAKE,Fonds,12.97,12.97,12.97,12.97,0,0
20170929,SS-FDAKE,Fonds,12.90,12.90,12.90,12.90,0,0
20170928,SS-FDAKE,Fonds,12.91,12.91,12.91,12.91,0,0
20170927,SS-FDAKE,Fonds,12.95,12.95,12.95,12.95,0,0
20170926,SS-FDAKE,Fonds,12.97,12.97,12.97,12.97,0,0
20170925,SS-FDAKE,Fonds,12.93,12.93,12.93,12.93,0,0
20170922,SS-FDAKE,Fonds,12.87,12.87,12.87,12.87,0,0
20170921,SS-FDAKE,Fonds,12.90,12.90,12.90,12.90,0,0
20170920,SS-FDAKE,Fonds,12.85,12.85,12.85,12.85,0,0
20170919,SS-FDAKE,Fonds,12.85,12.85,12.85,12.85,0,0
