quote_date,paper,exch,open,high,low,close,volume,value
20171121,ST-HOEYRE,Fonds,102.1165,102.1165,102.1165,102.1165,0,0
20171120,ST-HOEYRE,Fonds,102.1226,102.1226,102.1226,102.1226,0,0
20171117,ST-HOEYRE,Fonds,102.1113,102.1113,102.1113,102.1113,0,0
20171116,ST-HOEYRE,Fonds,102.1018,102.1018,102.1018,102.1018,0,0
20171115,ST-HOEYRE,Fonds,102.0979,102.0979,102.0979,102.0979,0,0
20171114,ST-HOEYRE,Fonds,102.0979,102.0979,102.0979,102.0979,0,0
20171113,ST-HOEYRE,Fonds,102.0917,102.0917,102.0917,102.0917,0,0
20171110,ST-HOEYRE,Fonds,102.0821,102.0821,102.0821,102.0821,0,0
20171109,ST-HOEYRE,Fonds,102.0813,102.0813,102.0813,102.0813,0,0
20171108,ST-HOEYRE,Fonds,102.0827,102.0827,102.0827,102.0827,0,0
20171107,ST-HOEYRE,Fonds,102.0812,102.0812,102.0812,102.0812,0,0
20171106,ST-HOEYRE,Fonds,102.0796,102.0796,102.0796,102.0796,0,0
20171103,ST-HOEYRE,Fonds,102.0698,102.0698,102.0698,102.0698,0,0
20171102,ST-HOEYRE,Fonds,102.0664,102.0664,102.0664,102.0664,0,0
20171101,ST-HOEYRE,Fonds,102.0599,102.0599,102.0599,102.0599,0,0
20171031,ST-HOEYRE,Fonds,102.0568,102.0568,102.0568,102.0568,0,0
20171030,ST-HOEYRE,Fonds,102.053,102.053,102.053,102.053,0,0
20171027,ST-HOEYRE,Fonds,102.0407,102.0407,102.0407,102.0407,0,0
20171026,ST-HOEYRE,Fonds,102.036,102.036,102.036,102.036,0,0
20171025,ST-HOEYRE,Fonds,102.0319,102.0319,102.0319,102.0319,0,0
20171024,ST-HOEYRE,Fonds,102.029,102.029,102.029,102.029,0,0
20171023,ST-HOEYRE,Fonds,102.0247,102.0247,102.0247,102.0247,0,0
20171020,ST-HOEYRE,Fonds,102.0202,102.0202,102.0202,102.0202,0,0
20171019,ST-HOEYRE,Fonds,102.0169,102.0169,102.0169,102.0169,0,0
20171018,ST-HOEYRE,Fonds,102.0175,102.0175,102.0175,102.0175,0,0
20171017,ST-HOEYRE,Fonds,102.0115,102.0115,102.0115,102.0115,0,0
20171016,ST-HOEYRE,Fonds,102.0087,102.0087,102.0087,102.0087,0,0
20171013,ST-HOEYRE,Fonds,102.0018,102.0018,102.0018,102.0018,0,0
20171012,ST-HOEYRE,Fonds,102.0017,102.0017,102.0017,102.0017,0,0
20171011,ST-HOEYRE,Fonds,102.0235,102.0235,102.0235,102.0235,0,0
20171010,ST-HOEYRE,Fonds,102.0235,102.0235,102.0235,102.0235,0,0
20171009,ST-HOEYRE,Fonds,102.0194,102.0194,102.0194,102.0194,0,0
20171006,ST-HOEYRE,Fonds,102.0118,102.0118,102.0118,102.0118,0,0
20171005,ST-HOEYRE,Fonds,102.0096,102.0096,102.0096,102.0096,0,0
20171004,ST-HOEYRE,Fonds,102.0114,102.0114,102.0114,102.0114,0,0
20171003,ST-HOEYRE,Fonds,102.0076,102.0076,102.0076,102.0076,0,0
20171002,ST-HOEYRE,Fonds,102.0013,102.0013,102.0013,102.0013,0,0
20170929,ST-HOEYRE,Fonds,101.9849,101.9849,101.9849,101.9849,0,0
20170928,ST-HOEYRE,Fonds,101.9786,101.9786,101.9786,101.9786,0,0
