quote_date,paper,exch,open,high,low,close,volume,value
20171121,SV-CVBRU,Fonds,128.25,128.25,128.25,128.25,0,0
20171120,SV-CVBRU,Fonds,128.13,128.13,128.13,128.13,0,0
20171117,SV-CVBRU,Fonds,128.07,128.07,128.07,128.07,0,0
20171116,SV-CVBRU,Fonds,127.99,127.99,127.99,127.99,0,0
20171115,SV-CVBRU,Fonds,127.67,127.67,127.67,127.67,0,0
20171114,SV-CVBRU,Fonds,127.94,127.94,127.94,127.94,0,0
20171113,SV-CVBRU,Fonds,128.11,128.11,128.11,128.11,0,0
20171110,SV-CVBRU,Fonds,128.23,128.23,128.23,128.23,0,0
20171109,SV-CVBRU,Fonds,128.39,128.39,128.39,128.39,0,0
20171108,SV-CVBRU,Fonds,128.78,128.78,128.78,128.78,0,0
20171107,SV-CVBRU,Fonds,128.99,128.99,128.99,128.99,0,0
20171106,SV-CVBRU,Fonds,130.04,130.04,130.04,130.04,0,0
20171103,SV-CVBRU,Fonds,129.00,129.00,129.00,129.00,0,0
20171102,SV-CVBRU,Fonds,128.95,128.95,128.95,128.95,0,0
20171030,SV-CVBRU,Fonds,128.95,128.95,128.95,128.95,0,0
20171027,SV-CVBRU,Fonds,128.90,128.90,128.90,128.90,0,0
20171026,SV-CVBRU,Fonds,129.88,129.88,129.88,129.88,0,0
20171025,SV-CVBRU,Fonds,128.82,128.82,128.82,128.82,0,0
20171024,SV-CVBRU,Fonds,129.01,129.01,129.01,129.01,0,0
20171023,SV-CVBRU,Fonds,129.03,129.03,129.03,129.03,0,0
20171020,SV-CVBRU,Fonds,129.95,129.95,129.95,129.95,0,0
20171019,SV-CVBRU,Fonds,128.85,128.85,128.85,128.85,0,0
20171018,SV-CVBRU,Fonds,128.88,128.88,128.88,128.88,0,0
20171017,SV-CVBRU,Fonds,128.87,128.87,128.87,128.87,0,0
20171016,SV-CVBRU,Fonds,128.79,128.79,128.79,128.79,0,0
20171013,SV-CVBRU,Fonds,129.77,129.77,129.77,129.77,0,0
20171012,SV-CVBRU,Fonds,128.68,128.68,128.68,128.68,0,0
20171010,SV-CVBRU,Fonds,128.67,128.67,128.67,128.67,0,0
20171009,SV-CVBRU,Fonds,128.65,128.65,128.65,128.65,0,0
20171006,SV-CVBRU,Fonds,129.72,129.72,129.72,129.72,0,0
20171005,SV-CVBRU,Fonds,128.66,128.66,128.66,128.66,0,0
20171004,SV-CVBRU,Fonds,128.66,128.66,128.66,128.66,0,0
20171003,SV-CVBRU,Fonds,128.63,128.63,128.63,128.63,0,0
20171002,SV-CVBRU,Fonds,128.65,128.65,128.65,128.65,0,0
20170929,SV-CVBRU,Fonds,128.50,128.50,128.50,128.50,0,0
20170928,SV-CVBRU,Fonds,129.50,129.50,129.50,129.50,0,0
20170927,SV-CVBRU,Fonds,128.37,128.37,128.37,128.37,0,0
20170926,SV-CVBRU,Fonds,128.32,128.32,128.32,128.32,0,0
20170925,SV-CVBRU,Fonds,128.28,128.28,128.28,128.28,0,0
20170922,SV-CVBRU,Fonds,128.15,128.15,128.15,128.15,0,0
20170921,SV-CVBRU,Fonds,128.14,128.14,128.14,128.14,0,0
20170920,SV-CVBRU,Fonds,128.11,128.11,128.11,128.11,0,0
20170919,SV-CVBRU,Fonds,128.11,128.11,128.11,128.11,0,0
20170918,SV-CVBRU,Fonds,128.10,128.10,128.10,128.10,0,0
20170915,SV-CVBRU,Fonds,128.04,128.04,128.04,128.04,0,0
20170914,SV-CVBRU,Fonds,128.12,128.12,128.12,128.12,0,0
20170913,SV-CVBRU,Fonds,128.10,128.10,128.10,128.10,0,0
20170912,SV-CVBRU,Fonds,129.13,129.13,129.13,129.13,0,0
20170911,SV-CVBRU,Fonds,129.09,129.09,129.09,129.09,0,0
20170908,SV-CVBRU,Fonds,127.93,127.93,127.93,127.93,0,0
20170907,SV-CVBRU,Fonds,129.02,129.02,129.02,129.02,0,0
20170906,SV-CVBRU,Fonds,129.01,129.01,129.01,129.01,0,0
20170905,SV-CVBRU,Fonds,127.85,127.85,127.85,127.85,0,0
20170904,SV-CVBRU,Fonds,127.68,127.68,127.68,127.68,0,0
20170901,SV-CVBRU,Fonds,127.70,127.70,127.70,127.70,0,0
20170831,SV-CVBRU,Fonds,127.67,127.67,127.67,127.67,0,0
20170830,SV-CVBRU,Fonds,127.49,127.49,127.49,127.49,0,0
20170829,SV-CVBRU,Fonds,128.35,128.35,128.35,128.35,0,0
20170828,SV-CVBRU,Fonds,127.33,127.33,127.33,127.33,0,0
20170825,SV-CVBRU,Fonds,128.35,128.35,128.35,128.35,0,0
20170824,SV-CVBRU,Fonds,127.21,127.21,127.21,127.21,0,0
20170823,SV-CVBRU,Fonds,127.15,127.15,127.15,127.15,0,0
20170822,SV-CVBRU,Fonds,127.12,127.12,127.12,127.12,0,0
20170821,SV-CVBRU,Fonds,128.11,128.11,128.11,128.11,0,0
20170818,SV-CVBRU,Fonds,128.09,128.09,128.09,128.09,0,0
20170817,SV-CVBRU,Fonds,128.20,128.20,128.20,128.20,0,0
20170816,SV-CVBRU,Fonds,128.32,128.32,128.32,128.32,0,0
20170811,SV-CVBRU,Fonds,127.04,127.04,127.04,127.04,0,0
20170810,SV-CVBRU,Fonds,128.28,128.28,128.28,128.28,0,0
20170809,SV-CVBRU,Fonds,127.42,127.42,127.42,127.42,0,0
20170808,SV-CVBRU,Fonds,128.73,128.73,128.73,128.73,0,0
20170807,SV-CVBRU,Fonds,127.73,127.73,127.73,127.73,0,0
20170804,SV-CVBRU,Fonds,128.74,128.74,128.74,128.74,0,0
20170803,SV-CVBRU,Fonds,127.67,127.67,127.67,127.67,0,0
20170802,SV-CVBRU,Fonds,127.69,127.69,127.69,127.69,0,0
20170801,SV-CVBRU,Fonds,128.75,128.75,128.75,128.75,0,0
20170731,SV-CVBRU,Fonds,128.69,128.69,128.69,128.69,0,0
20170728,SV-CVBRU,Fonds,128.64,128.64,128.64,128.64,0,0
20170727,SV-CVBRU,Fonds,128.67,128.67,128.67,128.67,0,0
20170726,SV-CVBRU,Fonds,127.60,127.60,127.60,127.60,0,0
20170725,SV-CVBRU,Fonds,127.43,127.43,127.43,127.43,0,0
20170724,SV-CVBRU,Fonds,128.42,128.42,128.42,128.42,0,0
20170720,SV-CVBRU,Fonds,127.25,127.25,127.25,127.25,0,0
20170719,SV-CVBRU,Fonds,127.23,127.23,127.23,127.23,0,0
20170718,SV-CVBRU,Fonds,127.07,127.07,127.07,127.07,0,0
20170717,SV-CVBRU,Fonds,127.04,127.04,127.04,127.04,0,0
20170714,SV-CVBRU,Fonds,126.85,126.85,126.85,126.85,0,0
20170713,SV-CVBRU,Fonds,126.74,126.74,126.74,126.74,0,0
