quote_date,paper,exch,open,high,low,close,volume,value
20171109,SV-EMCEU,Fonds,78.84,78.84,78.84,78.84,0,0
20171108,SV-EMCEU,Fonds,78.95,78.95,78.95,78.95,0,0
20171107,SV-EMCEU,Fonds,79.75,79.75,79.75,79.75,0,0
20171106,SV-EMCEU,Fonds,79.11,79.11,79.11,79.11,0,0
20171103,SV-EMCEU,Fonds,79.08,79.08,79.08,79.08,0,0
20171102,SV-EMCEU,Fonds,79.09,79.09,79.09,79.09,0,0
20171030,SV-EMCEU,Fonds,79.80,79.80,79.80,79.80,0,0
20171027,SV-EMCEU,Fonds,78.99,78.99,78.99,78.99,0,0
20171026,SV-EMCEU,Fonds,78.97,78.97,78.97,78.97,0,0
20171025,SV-EMCEU,Fonds,79.02,79.02,79.02,79.02,0,0
20171024,SV-EMCEU,Fonds,79.08,79.08,79.08,79.08,0,0
20171023,SV-EMCEU,Fonds,79.16,79.16,79.16,79.16,0,0
20171020,SV-EMCEU,Fonds,79.80,79.80,79.80,79.80,0,0
20171019,SV-EMCEU,Fonds,79.16,79.16,79.16,79.16,0,0
20171018,SV-EMCEU,Fonds,79.11,79.11,79.11,79.11,0,0
20171017,SV-EMCEU,Fonds,79.14,79.14,79.14,79.14,0,0
20171016,SV-EMCEU,Fonds,79.13,79.13,79.13,79.13,0,0
20171013,SV-EMCEU,Fonds,79.13,79.13,79.13,79.13,0,0
20171012,SV-EMCEU,Fonds,79.08,79.08,79.08,79.08,0,0
20171010,SV-EMCEU,Fonds,79.05,79.05,79.05,79.05,0,0
20171009,SV-EMCEU,Fonds,79.04,79.04,79.04,79.04,0,0
20171006,SV-EMCEU,Fonds,79.04,79.04,79.04,79.04,0,0
20171005,SV-EMCEU,Fonds,79.07,79.07,79.07,79.07,0,0
20171004,SV-EMCEU,Fonds,79.08,79.08,79.08,79.08,0,0
20171003,SV-EMCEU,Fonds,79.04,79.04,79.04,79.04,0,0
20171002,SV-EMCEU,Fonds,79.04,79.04,79.04,79.04,0,0
20170929,SV-EMCEU,Fonds,79.01,79.01,79.01,79.01,0,0
20170928,SV-EMCEU,Fonds,79.71,79.71,79.71,79.71,0,0
20170927,SV-EMCEU,Fonds,79.74,79.74,79.74,79.74,0,0
20170926,SV-EMCEU,Fonds,79.11,79.11,79.11,79.11,0,0
20170925,SV-EMCEU,Fonds,79.11,79.11,79.11,79.11,0,0
20170922,SV-EMCEU,Fonds,79.77,79.77,79.77,79.77,0,0
20170921,SV-EMCEU,Fonds,79.03,79.03,79.03,79.03,0,0
20170920,SV-EMCEU,Fonds,79.07,79.07,79.07,79.07,0,0
20170919,SV-EMCEU,Fonds,79.09,79.09,79.09,79.09,0,0
20170918,SV-EMCEU,Fonds,79.10,79.10,79.10,79.10,0,0
20170915,SV-EMCEU,Fonds,79.12,79.12,79.12,79.12,0,0
20170914,SV-EMCEU,Fonds,79.15,79.15,79.15,79.15,0,0
20170913,SV-EMCEU,Fonds,79.16,79.16,79.16,79.16,0,0
20170912,SV-EMCEU,Fonds,79.18,79.18,79.18,79.18,0,0
20170911,SV-EMCEU,Fonds,79.20,79.20,79.20,79.20,0,0
20170908,SV-EMCEU,Fonds,79.22,79.22,79.22,79.22,0,0
20170907,SV-EMCEU,Fonds,79.21,79.21,79.21,79.21,0,0
20170906,SV-EMCEU,Fonds,80.37,80.37,80.37,80.37,0,0
20170905,SV-EMCEU,Fonds,80.34,80.34,80.34,80.34,0,0
20170904,SV-EMCEU,Fonds,80.96,80.96,80.96,80.96,0,0
20170901,SV-EMCEU,Fonds,80.93,80.93,80.93,80.93,0,0
20170831,SV-EMCEU,Fonds,80.24,80.24,80.24,80.24,0,0
20170830,SV-EMCEU,Fonds,80.87,80.87,80.87,80.87,0,0
20170829,SV-EMCEU,Fonds,80.82,80.82,80.82,80.82,0,0
20170828,SV-EMCEU,Fonds,80.08,80.08,80.08,80.08,0,0
20170825,SV-EMCEU,Fonds,80.72,80.72,80.72,80.72,0,0
20170824,SV-EMCEU,Fonds,80.70,80.70,80.70,80.70,0,0
20170823,SV-EMCEU,Fonds,80.67,80.67,80.67,80.67,0,0
20170822,SV-EMCEU,Fonds,80.63,80.63,80.63,80.63,0,0
20170821,SV-EMCEU,Fonds,80.63,80.63,80.63,80.63,0,0
