quote_date,paper,exch,open,high,low,close,volume,value
20171120,SW-OSERP,Fonds,31.06,31.06,31.06,31.06,0,0
20171117,SW-OSERP,Fonds,31.14,31.14,31.14,31.14,0,0
20171116,SW-OSERP,Fonds,30.83,30.83,30.83,30.83,0,0
20171115,SW-OSERP,Fonds,30.82,30.82,30.82,30.82,0,0
20171114,SW-OSERP,Fonds,31.28,31.28,31.28,31.28,0,0
20171113,SW-OSERP,Fonds,31.09,31.09,31.09,31.09,0,0
20171110,SW-OSERP,Fonds,31.16,31.16,31.16,31.16,0,0
20171109,SW-OSERP,Fonds,31.26,31.26,31.26,31.26,0,0
20171108,SW-OSERP,Fonds,31.31,31.31,31.31,31.31,0,0
20171106,SW-OSERP,Fonds,30.95,30.95,30.95,30.95,0,0
20171103,SW-OSERP,Fonds,30.77,30.77,30.77,30.77,0,0
20171102,SW-OSERP,Fonds,30.90,30.90,30.90,30.90,0,0
20171101,SW-OSERP,Fonds,30.87,30.87,30.87,30.87,0,0
20171031,SW-OSERP,Fonds,30.57,30.57,30.57,30.57,0,0
20171030,SW-OSERP,Fonds,30.58,30.58,30.58,30.58,0,0
20171027,SW-OSERP,Fonds,30.25,30.25,30.25,30.25,0,0
20171026,SW-OSERP,Fonds,30.19,30.19,30.19,30.19,0,0
20171025,SW-OSERP,Fonds,30.10,30.10,30.10,30.10,0,0
20171024,SW-OSERP,Fonds,29.96,29.96,29.96,29.96,0,0
20171023,SW-OSERP,Fonds,29.99,29.99,29.99,29.99,0,0
20171020,SW-OSERP,Fonds,30.02,30.02,30.02,30.02,0,0
20171019,SW-OSERP,Fonds,29.93,29.93,29.93,29.93,0,0
20171017,SW-OSERP,Fonds,30.14,30.14,30.14,30.14,0,0
20171016,SW-OSERP,Fonds,30.15,30.15,30.15,30.15,0,0
20171013,SW-OSERP,Fonds,30.01,30.01,30.01,30.01,0,0
20171012,SW-OSERP,Fonds,29.78,29.78,29.78,29.78,0,0
20171011,SW-OSERP,Fonds,29.54,29.54,29.54,29.54,0,0
20171010,SW-OSERP,Fonds,29.44,29.44,29.44,29.44,0,0
20171009,SW-OSERP,Fonds,29.26,29.26,29.26,29.26,0,0
20171006,SW-OSERP,Fonds,29.68,29.68,29.68,29.68,0,0
20171004,SW-OSERP,Fonds,29.72,29.72,29.72,29.72,0,0
20171003,SW-OSERP,Fonds,29.74,29.74,29.74,29.74,0,0
20170929,SW-OSERP,Fonds,29.89,29.89,29.89,29.89,0,0
20170927,SW-OSERP,Fonds,29.55,29.55,29.55,29.55,0,0
20170926,SW-OSERP,Fonds,29.75,29.75,29.75,29.75,0,0
20170925,SW-OSERP,Fonds,29.45,29.45,29.45,29.45,0,0
20170922,SW-OSERP,Fonds,29.51,29.51,29.51,29.51,0,0
20170921,SW-OSERP,Fonds,29.54,29.54,29.54,29.54,0,0
